city,lat,lng,primary_hazard,hazard_severity,fema_flood_zone,wildfire_risk_score_1_10,earthquake_risk_score_1_10,hurricane_risk_score_1_10,tornado_risk_score_1_10,composite_hazard_score_1_10,data_source,as_of_date,source_url
Sioux Falls,43.5446,-96.7311,Low,No major hazard designation,X,1,1,1,1,3.02,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fargo,46.8772,-96.7898,Low,No major hazard designation,X,1,1,1,1,4.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Billings,45.7833,-108.5007,Low,No major hazard designation,X,1,1,1,1,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bozeman,45.677,-111.0429,Low,No major hazard designation,X,1,1,1,1,2.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Cheyenne,41.14,-104.8202,Low,No major hazard designation,X,1,1,1,1,3.83,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Idaho Falls,43.4917,-112.0408,Low,No major hazard designation,X,1,1,1,1,3.7,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Provo,40.2338,-111.6585,Low,No major hazard designation,X,1,1,1,1,2.49,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Ogden,41.223,-111.9738,Low,No major hazard designation,X,1,1,1,1,4.44,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
St. George,37.0965,-113.5684,Low,No major hazard designation,X,1,1,1,1,3.45,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Carson City,39.1638,-119.7674,Low,No major hazard designation,X,1,1,1,1,4.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Santa Fe,35.687,-105.9378,Low,No major hazard designation,X,1,1,1,1,3.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Las Cruces,32.3199,-106.7637,Low,No major hazard designation,X,1,1,1,1,4.25,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Yuma,32.6927,-114.6277,Extreme Heat,Extreme,X,1,1,1,1,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Flagstaff,35.1983,-111.6513,Low,No major hazard designation,X,1,1,1,1,4.25,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Prescott,34.54,-112.4685,Low,No major hazard designation,X,1,1,1,1,2.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Medford,42.3265,-122.8756,Low,No major hazard designation,X,1,1,1,1,2.81,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bend,44.0582,-121.3153,Low,No major hazard designation,X,1,1,1,1,3.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Corvallis,44.5646,-123.262,Low,No major hazard designation,X,1,1,1,1,4.22,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Salem,44.9429,-123.0351,Low,No major hazard designation,X,1,1,1,1,3.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bellingham,48.7519,-122.4787,Low,No major hazard designation,X,1,1,1,1,4.14,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Yakima,46.6021,-120.5059,Low,No major hazard designation,X,1,1,1,1,3.29,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Olympia,47.0379,-122.9007,Low,No major hazard designation,X,1,1,1,1,3.69,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tri-Cities,46.2396,-119.1006,Low,No major hazard designation,X,1,1,1,1,4.19,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Vancouver,45.6387,-122.6615,Low,No major hazard designation,X,1,1,1,1,3.15,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Everett,47.979,-122.2021,Low,No major hazard designation,X,1,1,1,1,2.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tacoma,47.2529,-122.4443,Low,No major hazard designation,X,1,1,1,1,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bellevue,47.6101,-122.2015,Low,No major hazard designation,X,1,1,1,1,4.37,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bradenton,27.4989,-82.5748,Flood/Hurricane,High,AE,1,1,7,1,3.39,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lakeland,28.0395,-81.9498,Low,No major hazard designation,X,1,1,1,1,2.8,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fort Myers,26.6406,-81.8723,Flood/Hurricane,High,AE,1,1,7,1,3.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Naples,26.142,-81.7948,Flood/Hurricane,High,AE,1,1,7,1,3.86,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Ocala,29.1872,-82.1401,Low,No major hazard designation,X,1,1,1,1,3.45,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Palm Beach,26.7056,-80.0364,Flood/Hurricane,Moderate,X500,1,1,4,1,3.57,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Miami,25.7617,-80.1918,Flood/Hurricane,Extreme,AE/VE,1,1,10,1,4.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Daytona,29.2108,-81.0228,Low,No major hazard designation,X,1,1,1,1,4.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Melbourne,28.0836,-80.6081,Low,No major hazard designation,X,1,1,1,1,3.75,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Gainesville,29.6516,-82.3248,Low,No major hazard designation,X,1,1,1,1,2.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Port St. Lucie,27.273,-80.3582,Low,No major hazard designation,X,1,1,1,1,3.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Pensacola,30.4213,-87.2169,Flood/Hurricane,Moderate,X500,1,1,4,1,3.7,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Macon,32.8407,-83.6324,Low,No major hazard designation,X,1,1,1,1,4.27,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Augusta,33.4735,-82.0105,Low,No major hazard designation,X,1,1,1,1,4.37,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Columbus GA,32.461,-84.9877,Low,No major hazard designation,X,1,1,1,1,4.19,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Athens,33.9519,-83.3576,Low,No major hazard designation,X,1,1,1,1,3.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Valdosta,30.8327,-83.2785,Low,No major hazard designation,X,1,1,1,1,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Birmingham,33.5186,-86.8104,Low,No major hazard designation,X,1,1,1,1,3.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Mobile,30.6954,-88.0399,Low,No major hazard designation,X,1,1,1,1,4.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tuscaloosa,33.2098,-87.5692,Low,No major hazard designation,X,1,1,1,1,4.52,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Dothan,31.2232,-85.3905,Low,No major hazard designation,X,1,1,1,1,3.08,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Auburn,32.6099,-85.4808,Low,No major hazard designation,X,1,1,1,1,3.74,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Jackson,32.2988,-90.1848,Low,No major hazard designation,X,1,1,1,1,3.01,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Gulfport,30.3674,-89.0928,Flood/Hurricane,High,AE,1,1,7,1,3.44,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Hattiesburg,31.3271,-89.2903,Low,No major hazard designation,X,1,1,1,1,3.7,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Starkville,33.4504,-88.8184,Low,No major hazard designation,X,1,1,1,1,3.73,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Little Rock,34.7465,-92.2896,Low,No major hazard designation,X,1,1,1,1,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fort Smith,35.3859,-94.3985,Low,No major hazard designation,X,1,1,1,1,2.65,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Jonesboro,35.8423,-90.7043,Low,No major hazard designation,X,1,1,1,1,3.45,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Springdale,36.1867,-94.1288,Low,No major hazard designation,X,1,1,1,1,3.67,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Rogers,36.332,-94.1185,Low,No major hazard designation,X,1,1,1,1,3.6,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bentonville,36.3729,-94.2088,Low,No major hazard designation,X,1,1,1,1,4.41,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Clarksville,36.5298,-87.3595,Low,No major hazard designation,X,1,1,1,1,2.68,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Johnson City,36.3134,-82.3535,Low,No major hazard designation,X,1,1,1,1,4.42,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Kingsport,36.5484,-82.5618,Low,No major hazard designation,X,1,1,1,1,4.26,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Jackson TN,35.6145,-88.8139,Low,No major hazard designation,X,1,1,1,1,2.6,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Franklin,35.9251,-86.8689,Low,No major hazard designation,X,1,1,1,1,3.34,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Brentwood,36.0331,-86.7828,Low,No major hazard designation,X,1,1,1,1,3.71,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Murfreesboro,35.8456,-86.3903,Low,No major hazard designation,X,1,1,1,1,3.32,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Smyrna,35.9829,-86.5186,Low,No major hazard designation,X,1,1,1,1,4.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Spring Hill,35.7512,-86.93,Low,No major hazard designation,X,1,1,1,1,3.39,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bowling Green,36.9685,-86.4808,Low,No major hazard designation,X,1,1,1,1,3.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lexington,38.0406,-84.5037,Low,No major hazard designation,X,1,1,1,1,2.76,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Evansville,37.9716,-87.5711,Low,No major hazard designation,X,1,1,1,1,3.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
South Bend,41.6764,-86.252,Low,No major hazard designation,X,1,1,1,1,4.34,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Fort Wayne,41.1306,-85.1289,Low,No major hazard designation,X,1,1,1,1,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Grand Rapids,42.9634,-85.6681,Low,No major hazard designation,X,1,1,1,1,3.79,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Ann Arbor,42.2808,-83.743,Low,No major hazard designation,X,1,1,1,1,3.74,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lansing,42.7325,-84.5555,Low,No major hazard designation,X,1,1,1,1,4.06,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Kalamazoo,42.2917,-85.5872,Low,No major hazard designation,X,1,1,1,1,3.13,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Flint,43.0125,-83.6875,Low,No major hazard designation,X,1,1,1,1,3.15,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Detroit,42.3314,-83.0458,Low,No major hazard designation,X,1,1,1,1,2.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Toledo,41.6639,-83.5552,Low,No major hazard designation,X,1,1,1,1,3.5,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Akron,41.0814,-81.519,Low,No major hazard designation,X,1,1,1,1,4.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Dayton,39.7589,-84.1916,Low,No major hazard designation,X,1,1,1,1,3.68,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Cincinnati,39.1031,-84.512,Low,No major hazard designation,X,1,1,1,1,4.42,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Cleveland,41.4993,-81.6944,Low,No major hazard designation,X,1,1,1,1,2.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Pittsburgh,40.4406,-79.9959,Low,No major hazard designation,X,1,1,1,1,2.71,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Providence,41.824,-71.4128,Low,No major hazard designation,X,1,1,1,1,3.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Hartford,41.7658,-72.6851,Low,No major hazard designation,X,1,1,1,1,2.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bridgeport,41.1865,-73.1952,Low,No major hazard designation,X,1,1,1,1,2.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Springfield MA,42.1015,-72.5898,Low,No major hazard designation,X,1,1,1,1,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Worcester,42.2626,-71.8023,Low,No major hazard designation,X,1,1,1,1,3.76,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Syracuse,43.0481,-76.1474,Low,No major hazard designation,X,1,1,1,1,3.73,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Rochester,43.1566,-77.6088,Low,No major hazard designation,X,1,1,1,1,3.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Albany,42.6526,-73.7562,Low,No major hazard designation,X,1,1,1,1,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Buffalo,42.8864,-78.8784,Low,No major hazard designation,X,1,1,1,1,4.49,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Yonkers,40.9312,-73.8988,Low,No major hazard designation,X,1,1,1,1,2.53,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Newark,40.7357,-74.1724,Low,No major hazard designation,X,1,1,1,1,4.54,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Paterson,40.9168,-74.1719,Low,No major hazard designation,X,1,1,1,1,4.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Anchorage,61.2181,-149.9003,Low,No major hazard designation,X,1,1,1,1,4.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Honolulu,21.3069,-157.8583,Low,No major hazard designation,X,1,1,1,1,3.3,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Wichita Falls,33.9137,-98.4934,Low,No major hazard designation,X,1,1,1,1,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Midland,31.9973,-102.0779,Low,No major hazard designation,X,1,1,1,1,3.86,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Odessa,31.8457,-102.3676,Low,No major hazard designation,X,1,1,1,1,3.39,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Tyler,32.3513,-95.3011,Low,No major hazard designation,X,1,1,1,1,2.46,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Waco,31.5493,-97.1467,Low,No major hazard designation,X,1,1,1,1,4.0,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Beaumont,30.086,-94.1018,Flood,High,AE,1,1,1,1,3.16,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Abilene,32.4487,-99.7331,Low,No major hazard designation,X,1,1,1,1,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Laredo,27.5306,-99.4803,Low,No major hazard designation,X,1,1,1,1,4.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
McAllen,26.2034,-98.23,Low,No major hazard designation,X,1,1,1,1,2.6,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Brownsville,25.9017,-97.4975,Low,No major hazard designation,X,1,1,1,1,4.2,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Killeen,31.1171,-97.7278,Low,No major hazard designation,X,1,1,1,1,3.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Bryan-College Station,30.628,-96.3344,Low,No major hazard designation,X,1,1,1,1,4.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Victoria,28.8053,-97.0036,Low,No major hazard designation,X,1,1,1,1,3.35,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Longview,32.5007,-94.7405,Low,No major hazard designation,X,1,1,1,1,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Nacogdoches,31.6035,-94.6552,Low,No major hazard designation,X,1,1,1,1,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Lufkin,31.3382,-94.7291,Low,No major hazard designation,X,1,1,1,1,2.85,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Huntsville TX,30.7235,-95.5508,Low,No major hazard designation,X,1,1,1,1,3.85,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Texarkana,33.4251,-94.0477,Low,No major hazard designation,X,1,1,1,1,3.84,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Paris TX,33.6609,-95.5555,Low,No major hazard designation,X,1,1,1,1,2.78,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
Amarillo,35.222,-101.8313,Tornado/Hail,High,X,1,1,1,5,3.78,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
