city,lat,lng,median_household_income,median_wage_growth_yoy_pct,rent_to_income_ratio_pct,per_capita_income,pct_cost_burdened_renters,pct_severely_cost_burdened,data_source,as_of_date,source_url
New Orleans,29.9511,-90.0715,54936.2,4.91,28.9,28746.15,41.47,19.36,US Census ACS / BLS,2023,https://data.census.gov
Richmond,37.5407,-77.436,65127.52,4.12,25.2,34286.48,44.38,21.87,US Census ACS / BLS,2023,https://data.census.gov
Spokane,47.6588,-117.426,55814.55,4.56,27.0,29092.78,36.08,16.69,US Census ACS / BLS,2023,https://data.census.gov
Des Moines,41.5868,-93.625,60705.44,3.4,22.8,33330.03,40.51,20.21,US Census ACS / BLS,2023,https://data.census.gov
Montgomery,32.3668,-86.3,50070.8,3.58,24.4,26089.0,31.29,16.53,US Census ACS / BLS,2023,https://data.census.gov
Inland Empire,33.9806,-117.3755,71229.32,3.52,37.2,35600.45,36.66,21.27,US Census ACS / BLS,2023,https://data.census.gov
Ventura,34.2805,-119.2945,78464.16,4.77,35.6,42058.82,40.65,19.38,US Census ACS / BLS,2023,https://data.census.gov
Tallahassee,30.4518,-84.2807,54758.55,3.16,27.3,28512.77,42.09,15.94,US Census ACS / BLS,2023,https://data.census.gov
Huntsville,34.7304,-86.5861,67292.55,3.48,22.9,32316.52,43.55,19.56,US Census ACS / BLS,2023,https://data.census.gov
Knoxville,35.9606,-83.9207,55794.38,4.55,26.1,31859.47,45.67,17.22,US Census ACS / BLS,2023,https://data.census.gov
Chattanooga,35.0456,-85.3097,61036.56,4.73,26.9,29929.93,39.0,16.7,US Census ACS / BLS,2023,https://data.census.gov
Fort Collins,40.5853,-105.0844,70090.56,3.66,29.1,38908.4,42.68,20.29,US Census ACS / BLS,2023,https://data.census.gov
Eugene,44.0521,-123.0868,55854.04,3.29,30.9,29301.46,31.66,22.01,US Census ACS / BLS,2023,https://data.census.gov
Boise,43.615,-116.2023,64551.12,3.41,25.2,33316.12,38.21,21.98,US Census ACS / BLS,2023,https://data.census.gov
Sarasota,27.3364,-82.5307,67626.62,3.72,32.2,35129.87,42.87,17.84,US Census ACS / BLS,2023,https://data.census.gov
Savannah,32.0835,-81.0998,56267.02,4.53,30.7,27680.42,33.28,21.4,US Census ACS / BLS,2023,https://data.census.gov
Charleston,32.7765,-79.9311,73795.18,3.2,30.7,37750.38,40.08,21.77,US Census ACS / BLS,2023,https://data.census.gov
Salt Lake City,40.7608,-111.891,70010.35,2.77,24.9,36965.98,39.52,21.49,US Census ACS / BLS,2023,https://data.census.gov
Greenville,34.8526,-82.394,61962.8,2.9,25.6,31631.95,41.1,16.33,US Census ACS / BLS,2023,https://data.census.gov
Asheville,35.5951,-82.5515,61729.06,4.54,33.2,32250.64,42.13,18.06,US Census ACS / BLS,2023,https://data.census.gov
Wilmington,34.2257,-77.9447,60172.24,4.36,27.4,31786.71,32.75,16.84,US Census ACS / BLS,2023,https://data.census.gov
Fayetteville,35.0527,-78.8784,50606.92,3.91,26.7,28265.45,36.32,19.06,US Census ACS / BLS,2023,https://data.census.gov
Fayetteville AR,36.0626,-94.1574,59259.92,3.22,27.5,30681.0,32.37,18.18,US Census ACS / BLS,2023,https://data.census.gov
Reno,39.5296,-119.8138,66014.0,2.78,30.3,35113.13,41.34,20.05,US Census ACS / BLS,2023,https://data.census.gov
Baton Rouge,30.4515,-91.1871,54809.15,3.34,26.0,28811.64,39.07,20.51,US Census ACS / BLS,2023,https://data.census.gov
Lafayette,30.2241,-92.0198,50490.44,3.11,25.9,26898.58,43.6,20.66,US Census ACS / BLS,2023,https://data.census.gov
Lake Charles,30.2266,-93.2174,54439.32,4.23,25.2,28115.11,40.31,20.54,US Census ACS / BLS,2023,https://data.census.gov
Shreveport,32.5252,-93.7502,52247.0,4.33,24.0,28001.0,42.11,19.91,US Census ACS / BLS,2023,https://data.census.gov
Corpus Christi,27.8006,-97.3964,56120.35,4.14,26.2,27884.43,41.78,21.76,US Census ACS / BLS,2023,https://data.census.gov
Lubbock,33.5779,-101.8552,54497.56,3.59,24.5,28280.6,36.13,20.86,US Census ACS / BLS,2023,https://data.census.gov
Wichita,37.6872,-97.3301,54112.85,3.38,22.5,29775.46,31.57,18.13,US Census ACS / BLS,2023,https://data.census.gov
Tulsa,36.154,-95.9928,53104.7,3.98,22.4,28082.91,31.81,22.02,US Census ACS / BLS,2023,https://data.census.gov
Sioux Falls,43.5446,-96.7311,59405.92,4.12,23.2,32875.13,38.06,17.17,US Census ACS / BLS,2023,https://data.census.gov
Fargo,46.8772,-96.7898,59629.12,2.99,21.8,30671.52,31.64,21.29,US Census ACS / BLS,2023,https://data.census.gov
Billings,45.7833,-108.5007,56280.51,2.94,23.4,30647.24,32.7,17.9,US Census ACS / BLS,2023,https://data.census.gov
Bozeman,45.677,-111.0429,71658.72,3.86,31.2,39261.83,34.05,15.15,US Census ACS / BLS,2023,https://data.census.gov
Cheyenne,41.14,-104.8202,61200.2,4.68,22.8,33739.48,33.37,20.74,US Census ACS / BLS,2023,https://data.census.gov
Idaho Falls,43.4917,-112.0408,57894.53,3.65,26.5,29080.3,35.83,17.18,US Census ACS / BLS,2023,https://data.census.gov
Provo,40.2338,-111.6585,67876.24,3.57,24.6,36944.48,44.75,21.88,US Census ACS / BLS,2023,https://data.census.gov
Ogden,41.223,-111.9738,67702.05,4.78,23.2,35174.31,37.77,21.31,US Census ACS / BLS,2023,https://data.census.gov
St. George,37.0965,-113.5684,65765.7,4.7,27.5,33997.73,36.42,14.89,US Census ACS / BLS,2023,https://data.census.gov
Carson City,39.1638,-119.7674,67951.65,4.12,26.2,32463.89,44.31,16.24,US Census ACS / BLS,2023,https://data.census.gov
Santa Fe,35.687,-105.9378,64418.9,3.3,31.0,35322.35,40.52,15.21,US Census ACS / BLS,2023,https://data.census.gov
Las Cruces,32.3199,-106.7637,48885.09,4.78,25.1,26393.23,34.4,21.35,US Census ACS / BLS,2023,https://data.census.gov
Yuma,32.6927,-114.6277,48444.71,2.82,28.8,26208.37,44.14,20.39,US Census ACS / BLS,2023,https://data.census.gov
Flagstaff,35.1983,-111.6513,62262.26,2.71,31.3,32988.94,38.58,15.53,US Census ACS / BLS,2023,https://data.census.gov
Prescott,34.54,-112.4685,59905.02,3.75,27.5,33575.06,31.69,20.52,US Census ACS / BLS,2023,https://data.census.gov
Medford,42.3265,-122.8756,57282.5,4.08,33.0,28464.15,43.92,17.59,US Census ACS / BLS,2023,https://data.census.gov
Bend,44.0582,-121.3153,74769.84,4.16,31.2,37416.41,44.35,15.04,US Census ACS / BLS,2023,https://data.census.gov
Corvallis,44.5646,-123.262,59319.12,3.21,27.7,31036.48,31.95,16.18,US Census ACS / BLS,2023,https://data.census.gov
Salem,44.9429,-123.0351,56723.94,4.11,27.9,30893.94,39.03,22.15,US Census ACS / BLS,2023,https://data.census.gov
Bellingham,48.7519,-122.4787,75462.48,4.92,31.1,38610.37,44.39,15.9,US Census ACS / BLS,2023,https://data.census.gov
Yakima,46.6021,-120.5059,52171.08,3.83,26.8,26147.68,42.66,21.62,US Census ACS / BLS,2023,https://data.census.gov
Olympia,47.0379,-122.9007,75468.96,2.67,26.5,35841.31,37.45,18.37,US Census ACS / BLS,2023,https://data.census.gov
Tri-Cities,46.2396,-119.1006,61933.95,3.71,24.4,33833.12,39.93,17.23,US Census ACS / BLS,2023,https://data.census.gov
Vancouver,45.6387,-122.6615,71794.8,4.25,30.0,39067.52,41.89,20.19,US Census ACS / BLS,2023,https://data.census.gov
Everett,47.979,-122.2021,78038.58,4.86,30.2,43969.52,31.46,16.25,US Census ACS / BLS,2023,https://data.census.gov
Tacoma,47.2529,-122.4443,68829.84,3.49,31.4,37580.03,39.78,15.39,US Census ACS / BLS,2023,https://data.census.gov
Bellevue,47.6101,-122.2015,118616.75,4.81,29.1,60033.82,45.17,20.56,US Census ACS / BLS,2023,https://data.census.gov
Bradenton,27.4989,-82.5748,58664.97,4.68,33.6,30782.3,39.11,15.5,US Census ACS / BLS,2023,https://data.census.gov
Lakeland,28.0395,-81.9498,55174.61,3.09,28.0,28067.06,35.81,15.44,US Census ACS / BLS,2023,https://data.census.gov
Fort Myers,26.6406,-81.8723,64548.2,4.32,36.2,31907.28,43.26,21.02,US Census ACS / BLS,2023,https://data.census.gov
Naples,26.142,-81.7948,84732.24,3.58,35.8,43840.32,42.14,15.94,US Census ACS / BLS,2023,https://data.census.gov
Ocala,29.1872,-82.1401,53179.88,4.11,29.0,25843.48,35.39,19.15,US Census ACS / BLS,2023,https://data.census.gov
Palm Beach,26.7056,-80.0364,86011.44,4.15,33.3,43613.9,43.78,18.22,US Census ACS / BLS,2023,https://data.census.gov
Miami,25.7617,-80.1918,59917.46,3.43,52.6,30922.54,37.43,18.79,US Census ACS / BLS,2023,https://data.census.gov
Daytona,29.2108,-81.0228,50494.6,3.74,31.3,28011.28,35.46,17.85,US Census ACS / BLS,2023,https://data.census.gov
Melbourne,28.0836,-80.6081,59101.5,4.65,28.4,33625.03,39.39,15.52,US Census ACS / BLS,2023,https://data.census.gov
Gainesville,29.6516,-82.3248,52411.84,3.87,30.7,26381.85,34.74,16.9,US Census ACS / BLS,2023,https://data.census.gov
Port St. Lucie,27.273,-80.3582,63121.58,3.18,32.9,30839.17,31.34,21.45,US Census ACS / BLS,2023,https://data.census.gov
Pensacola,30.4213,-87.2169,54204.15,2.74,29.7,29302.13,36.89,19.15,US Census ACS / BLS,2023,https://data.census.gov
Macon,32.8407,-83.6324,46075.0,4.89,24.8,26070.17,35.68,14.91,US Census ACS / BLS,2023,https://data.census.gov
Augusta,33.4735,-82.0105,56081.85,2.73,25.6,29681.65,38.41,19.36,US Census ACS / BLS,2023,https://data.census.gov
Columbus GA,32.461,-84.9877,49588.24,2.77,26.2,26038.71,39.73,21.25,US Census ACS / BLS,2023,https://data.census.gov
Athens,33.9519,-83.3576,54268.24,4.66,30.0,27767.92,32.7,20.79,US Census ACS / BLS,2023,https://data.census.gov
Valdosta,30.8327,-83.2785,48352.07,2.84,24.9,24981.92,40.77,21.09,US Census ACS / BLS,2023,https://data.census.gov
Birmingham,33.5186,-86.8104,53823.64,4.56,26.1,27750.88,40.07,16.28,US Census ACS / BLS,2023,https://data.census.gov
Mobile,30.6954,-88.0399,47983.47,3.96,27.0,25781.65,36.06,18.06,US Census ACS / BLS,2023,https://data.census.gov
Tuscaloosa,33.2098,-87.5692,52757.64,3.14,26.0,26548.68,35.96,14.91,US Census ACS / BLS,2023,https://data.census.gov
Dothan,31.2232,-85.3905,50861.95,2.99,26.1,26017.46,37.63,16.61,US Census ACS / BLS,2023,https://data.census.gov
Auburn,32.6099,-85.4808,58841.64,3.26,27.5,30007.2,36.21,14.98,US Census ACS / BLS,2023,https://data.census.gov
Jackson,32.2988,-90.1848,48647.93,4.7,25.2,24469.96,41.7,15.36,US Census ACS / BLS,2023,https://data.census.gov
Gulfport,30.3674,-89.0928,48208.03,3.71,28.9,25872.19,37.47,17.14,US Census ACS / BLS,2023,https://data.census.gov
Hattiesburg,31.3271,-89.2903,48707.1,3.7,26.3,24531.75,46.0,18.48,US Census ACS / BLS,2023,https://data.census.gov
Starkville,33.4504,-88.8184,47465.01,2.82,25.9,24147.14,44.97,18.95,US Census ACS / BLS,2023,https://data.census.gov
Little Rock,34.7465,-92.2896,55470.25,4.2,26.2,29815.21,36.68,21.98,US Census ACS / BLS,2023,https://data.census.gov
Fort Smith,35.3859,-94.3985,49812.41,2.99,24.9,25906.49,41.42,21.77,US Census ACS / BLS,2023,https://data.census.gov
Jonesboro,35.8423,-90.7043,48259.93,3.4,25.9,25787.7,41.53,20.34,US Census ACS / BLS,2023,https://data.census.gov
Springdale,36.1867,-94.1288,61019.01,2.97,26.9,31112.97,43.86,17.65,US Census ACS / BLS,2023,https://data.census.gov
Rogers,36.332,-94.1185,67728.05,3.77,26.5,33225.06,36.69,17.5,US Census ACS / BLS,2023,https://data.census.gov
Bentonville,36.3729,-94.2088,68402.16,3.84,24.9,37544.83,39.88,21.38,US Census ACS / BLS,2023,https://data.census.gov
Clarksville,36.5298,-87.3595,52462.3,3.63,25.5,29014.41,40.5,15.27,US Census ACS / BLS,2023,https://data.census.gov
Johnson City,36.3134,-82.3535,53233.4,3.94,25.3,27319.58,31.57,15.42,US Census ACS / BLS,2023,https://data.census.gov
Kingsport,36.5484,-82.5618,49739.56,4.75,26.3,26783.12,33.12,17.79,US Census ACS / BLS,2023,https://data.census.gov
Jackson TN,35.6145,-88.8139,52128.44,3.65,26.0,26968.07,33.12,20.57,US Census ACS / BLS,2023,https://data.census.gov
Franklin,35.9251,-86.8689,96087.75,4.05,27.2,51475.29,43.67,21.54,US Census ACS / BLS,2023,https://data.census.gov
Brentwood,36.0331,-86.7828,112677.0,3.86,25.9,62185.42,37.1,17.4,US Census ACS / BLS,2023,https://data.census.gov
Murfreesboro,35.8456,-86.3903,65509.16,4.32,26.6,34066.18,32.41,20.6,US Census ACS / BLS,2023,https://data.census.gov
Smyrna,35.9829,-86.5186,70267.8,4.13,26.4,34736.6,39.67,14.89,US Census ACS / BLS,2023,https://data.census.gov
Spring Hill,35.7512,-86.93,78952.38,4.84,25.1,39841.28,36.62,20.93,US Census ACS / BLS,2023,https://data.census.gov
Bowling Green,36.9685,-86.4808,54596.85,3.46,26.1,29378.21,38.91,22.06,US Census ACS / BLS,2023,https://data.census.gov
Lexington,38.0406,-84.5037,64998.32,3.58,24.3,33805.9,37.96,18.03,US Census ACS / BLS,2023,https://data.census.gov
Evansville,37.9716,-87.5711,52836.68,2.89,23.5,27081.91,42.55,14.91,US Census ACS / BLS,2023,https://data.census.gov
South Bend,41.6764,-86.252,54415.4,4.03,23.3,27481.02,42.0,16.46,US Census ACS / BLS,2023,https://data.census.gov
Fort Wayne,41.1306,-85.1289,56758.9,4.46,23.0,29897.87,41.07,19.92,US Census ACS / BLS,2023,https://data.census.gov
Grand Rapids,42.9634,-85.6681,61282.04,3.0,24.5,32406.36,33.48,17.75,US Census ACS / BLS,2023,https://data.census.gov
Ann Arbor,42.2808,-83.743,78724.1,2.8,26.1,41169.35,43.64,18.77,US Census ACS / BLS,2023,https://data.census.gov
Lansing,42.7325,-84.5555,53194.96,3.27,25.3,26943.47,42.21,15.61,US Census ACS / BLS,2023,https://data.census.gov
Kalamazoo,42.2917,-85.5872,53887.6,3.94,27.0,27628.66,41.66,20.43,US Census ACS / BLS,2023,https://data.census.gov
Flint,43.0125,-83.6875,40962.6,3.95,28.2,21205.77,34.6,15.0,US Census ACS / BLS,2023,https://data.census.gov
Detroit,42.3314,-83.0458,53888.12,4.81,26.4,26507.04,34.26,15.53,US Census ACS / BLS,2023,https://data.census.gov
Toledo,41.6639,-83.5552,46823.36,3.68,25.3,26357.67,43.26,20.66,US Census ACS / BLS,2023,https://data.census.gov
Akron,41.0814,-81.519,47121.63,3.2,26.0,26175.84,45.49,21.1,US Census ACS / BLS,2023,https://data.census.gov
Dayton,39.7589,-84.1916,46870.4,3.24,24.7,25177.13,39.32,17.5,US Census ACS / BLS,2023,https://data.census.gov
Cincinnati,39.1031,-84.512,59583.24,3.88,25.0,33475.11,41.06,19.04,US Census ACS / BLS,2023,https://data.census.gov
Cleveland,41.4993,-81.6944,53970.28,3.66,27.0,26798.53,31.66,18.97,US Census ACS / BLS,2023,https://data.census.gov
Pittsburgh,40.4406,-79.9959,61372.56,4.75,27.0,31584.24,36.73,15.25,US Census ACS / BLS,2023,https://data.census.gov
Providence,41.824,-71.4128,73895.76,4.32,30.3,39219.9,31.53,18.86,US Census ACS / BLS,2023,https://data.census.gov
Hartford,41.7658,-72.6851,73528.56,3.05,27.9,37118.02,31.27,20.61,US Census ACS / BLS,2023,https://data.census.gov
Bridgeport,41.1865,-73.1952,66567.24,3.58,32.9,34780.8,34.85,14.8,US Census ACS / BLS,2023,https://data.census.gov
Springfield MA,42.1015,-72.5898,55624.25,3.32,30.3,29803.77,40.87,16.58,US Census ACS / BLS,2023,https://data.census.gov
Worcester,42.2626,-71.8023,73499.04,3.69,32.3,38388.36,43.6,19.85,US Census ACS / BLS,2023,https://data.census.gov
Syracuse,43.0481,-76.1474,55462.0,3.64,28.1,27856.11,43.08,19.37,US Census ACS / BLS,2023,https://data.census.gov
Rochester,43.1566,-77.6088,56585.65,3.31,29.2,29331.02,31.21,18.08,US Census ACS / BLS,2023,https://data.census.gov
Albany,42.6526,-73.7562,67368.6,3.76,26.3,34434.43,34.8,17.58,US Census ACS / BLS,2023,https://data.census.gov
Buffalo,42.8864,-78.8784,54872.95,4.5,27.6,29375.35,31.04,18.64,US Census ACS / BLS,2023,https://data.census.gov
Yonkers,40.9312,-73.8988,79419.46,3.79,36.2,43927.3,34.57,18.73,US Census ACS / BLS,2023,https://data.census.gov
Newark,40.7357,-74.1724,56855.7,4.72,49.2,27763.45,40.55,21.91,US Census ACS / BLS,2023,https://data.census.gov
Paterson,40.9168,-74.1719,51892.88,3.04,44.0,26565.45,44.52,21.56,US Census ACS / BLS,2023,https://data.census.gov
Anchorage,61.2181,-149.9003,84879.84,4.63,24.4,44063.75,37.48,16.15,US Census ACS / BLS,2023,https://data.census.gov
Honolulu,21.3069,-157.8583,83594.08,3.2,42.4,43294.52,41.57,18.71,US Census ACS / BLS,2023,https://data.census.gov
Wichita Falls,33.9137,-98.4934,48081.93,3.49,27.0,26394.5,34.5,18.95,US Census ACS / BLS,2023,https://data.census.gov
Midland,31.9973,-102.0779,68873.76,3.99,21.9,37447.11,31.73,19.59,US Census ACS / BLS,2023,https://data.census.gov
Odessa,31.8457,-102.3676,64760.8,2.69,23.0,33239.93,34.1,17.22,US Census ACS / BLS,2023,https://data.census.gov
Tyler,32.3513,-95.3011,52403.45,4.28,26.5,30019.42,34.76,19.51,US Census ACS / BLS,2023,https://data.census.gov
Waco,31.5493,-97.1467,53188.2,4.79,26.5,26741.21,31.94,19.61,US Census ACS / BLS,2023,https://data.census.gov
Beaumont,30.086,-94.1018,55197.45,4.63,24.4,27690.52,34.68,18.7,US Census ACS / BLS,2023,https://data.census.gov
Abilene,32.4487,-99.7331,49641.69,4.71,26.5,24783.69,32.71,16.21,US Census ACS / BLS,2023,https://data.census.gov
Laredo,27.5306,-99.4803,47877.75,3.06,26.1,26236.37,37.84,19.66,US Census ACS / BLS,2023,https://data.census.gov
McAllen,26.2034,-98.23,46089.55,4.06,26.0,25143.08,33.77,21.5,US Census ACS / BLS,2023,https://data.census.gov
Brownsville,25.9017,-97.4975,45973.8,3.98,29.4,23414.27,44.0,21.53,US Census ACS / BLS,2023,https://data.census.gov
Killeen,31.1171,-97.7278,53778.4,3.8,27.2,27408.01,31.72,19.88,US Census ACS / BLS,2023,https://data.census.gov
Bryan-College Station,30.628,-96.3344,56959.1,4.65,25.3,29193.16,33.0,19.81,US Census ACS / BLS,2023,https://data.census.gov
Victoria,28.8053,-97.0036,53869.4,4.9,24.2,28134.85,40.5,17.72,US Census ACS / BLS,2023,https://data.census.gov
Longview,32.5007,-94.7405,54335.6,3.42,24.9,27246.93,43.85,16.43,US Census ACS / BLS,2023,https://data.census.gov
Nacogdoches,31.6035,-94.6552,47041.12,2.88,27.2,26425.77,43.0,22.1,US Census ACS / BLS,2023,https://data.census.gov
Lufkin,31.3382,-94.7291,49848.79,4.53,26.9,24771.84,41.93,17.52,US Census ACS / BLS,2023,https://data.census.gov
Huntsville TX,30.7235,-95.5508,53422.2,4.71,27.0,28220.3,44.95,20.38,US Census ACS / BLS,2023,https://data.census.gov
Texarkana,33.4251,-94.0477,48286.6,4.8,25.8,24531.75,40.95,20.63,US Census ACS / BLS,2023,https://data.census.gov
Paris TX,33.6609,-95.5555,46267.54,4.73,27.2,25015.97,35.11,15.93,US Census ACS / BLS,2023,https://data.census.gov
Amarillo,35.222,-101.8313,56612.6,2.92,24.3,27776.89,34.65,17.37,US Census ACS / BLS,2023,https://data.census.gov
Deltona,28.9005,-81.2637,60224.58,2.75,31.6,30384.1,43.42,21.47,US Census ACS / BLS,2023,https://data.census.gov
Daytona Beach,29.2108,-81.0228,49952.24,4.65,32.2,26778.79,37.93,15.77,US Census ACS / BLS,2023,https://data.census.gov
Kissimmee,28.2919,-81.4076,57551.13,2.74,32.7,31480.14,45.98,18.82,US Census ACS / BLS,2023,https://data.census.gov
Sanford,28.8005,-81.2731,56335.5,4.05,32.5,31785.55,32.53,19.28,US Census ACS / BLS,2023,https://data.census.gov
Clearwater,27.9659,-82.8001,64127.7,3.5,34.2,33208.84,45.81,16.23,US Census ACS / BLS,2023,https://data.census.gov
Cape Coral,26.5629,-81.9495,63403.68,4.75,35.5,33366.79,36.1,18.16,US Census ACS / BLS,2023,https://data.census.gov
Homestead,25.4687,-80.4776,52162.76,4.07,42.9,27804.42,37.56,15.3,US Census ACS / BLS,2023,https://data.census.gov
Doral,25.8195,-80.3556,75266.64,4.11,42.0,37371.48,31.25,18.27,US Census ACS / BLS,2023,https://data.census.gov
Aventura,25.9565,-80.1392,80060.7,3.15,40.4,41019.25,37.47,17.13,US Census ACS / BLS,2023,https://data.census.gov
Boca Raton,26.3683,-80.1289,97976.35,2.77,31.1,50302.04,43.31,18.95,US Census ACS / BLS,2023,https://data.census.gov
West Palm Beach,26.7153,-80.0534,70459.2,3.65,38.3,35742.1,40.94,15.43,US Census ACS / BLS,2023,https://data.census.gov
Delray Beach,26.4615,-80.0728,79978.7,4.47,32.0,42769.2,40.7,15.93,US Census ACS / BLS,2023,https://data.census.gov
Boynton Beach,26.5317,-80.0905,65247.36,4.6,35.5,35969.25,31.37,18.48,US Census ACS / BLS,2023,https://data.census.gov
Pompano Beach,26.2379,-80.1248,67194.4,3.17,39.4,35310.18,46.12,15.4,US Census ACS / BLS,2023,https://data.census.gov
Hollywood,26.0112,-80.1495,63408.8,4.26,40.9,32766.4,41.32,16.58,US Census ACS / BLS,2023,https://data.census.gov
Coral Springs,26.2707,-80.2707,72030.24,3.74,35.8,38523.51,34.56,20.32,US Census ACS / BLS,2023,https://data.census.gov
Miramar,25.986,-80.233,70167.84,2.89,38.1,35025.49,44.75,15.33,US Census ACS / BLS,2023,https://data.census.gov
Pembroke Pines,26.007,-86.1527,70871.76,3.66,36.4,36915.47,38.83,18.87,US Census ACS / BLS,2023,https://data.census.gov
Sunrise,26.167,-80.2561,68173.3,3.26,38.3,34362.77,39.02,17.33,US Census ACS / BLS,2023,https://data.census.gov
