city,lat,lng,units_delivered_12mo,units_delivered_prior_12mo,delivery_growth_yoy_pct,pct_class_a,pct_class_b,pct_class_c,data_source,as_of_date,source_url
Charlotte,35.2271,-80.8431,6207,5389,11.63,55.27,26.63,9.11,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Indianapolis,39.7684,-86.1581,2911,2773,7.46,65.09,33.81,9.05,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Seattle,47.6062,-122.3321,5965,5694,6.37,64.19,31.06,7.87,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Denver,39.7392,-104.9903,4943,4897,8.68,66.26,29.84,7.35,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Nashville,36.1627,-86.7816,5489,4969,6.15,73.24,24.49,8.21,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Oklahoma City,35.4676,-97.5164,1628,1317,6.37,51.99,31.18,10.4,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
El Paso,31.7619,-106.485,1024,1028,6.24,57.55,33.69,10.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
DC Metro,38.9072,-77.0369,5803,5574,7.5,64.57,33.23,10.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Boston,42.3601,-71.0589,3857,3725,7.93,65.58,30.33,10.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Las Vegas,36.1699,-115.1398,3681,3749,5.95,70.98,24.21,10.02,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Memphis,35.1495,-90.049,1525,1490,8.04,72.52,23.49,8.14,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Louisville,38.2527,-85.7585,1707,1529,7.6,56.16,23.39,10.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Portland,45.5051,-122.675,3416,3033,9.77,72.08,23.91,10.22,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Baltimore,39.2904,-76.6122,2462,2533,11.65,64.08,32.65,10.47,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Milwaukee,43.0389,-87.9065,1237,1048,8.96,51.03,24.5,9.22,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Albuquerque,35.0844,-106.6504,1338,1368,9.21,63.77,23.78,10.08,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tucson,32.2226,-110.9747,1458,1467,7.61,64.93,24.68,10.14,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Central Valley,36.7783,-119.4179,943,848,7.83,67.4,30.14,10.17,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sacramento,38.5816,-121.4944,2644,2633,7.41,59.85,29.97,9.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Kansas City,39.0997,-94.5786,2324,2279,6.76,72.49,32.23,7.33,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Atlanta,33.749,-84.388,8799,8976,7.55,66.53,30.01,8.69,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Omaha,41.2565,-95.9345,1637,1399,9.58,56.4,26.65,9.02,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Colorado Springs,38.8339,-104.8214,1651,1427,8.46,67.37,28.88,10.47,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Raleigh-Durham,35.7796,-78.6382,4897,4245,7.01,69.64,31.77,7.96,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Hampton Roads,36.8529,-75.978,2371,2238,9.01,55.47,24.7,9.96,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Minneapolis,44.9778,-93.265,3390,2808,6.49,61.1,28.41,9.57,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tampa Bay,27.9506,-82.4572,6245,5650,10.93,61.84,26.8,8.51,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
New Orleans,29.9511,-90.0715,1501,1366,6.92,64.62,31.73,7.67,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Richmond,37.5407,-77.436,2150,2146,5.33,72.29,30.54,8.35,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Spokane,47.6588,-117.426,1281,1209,8.33,51.58,34.11,10.09,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Des Moines,41.5868,-93.625,1215,1014,10.71,57.49,28.45,10.18,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Montgomery,32.3668,-86.3,937,884,9.14,53.97,33.45,7.97,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Inland Empire,33.9806,-117.3755,4316,3758,8.28,69.28,26.86,8.08,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Ventura,34.2805,-119.2945,1487,1506,5.97,51.27,24.57,10.21,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tallahassee,30.4518,-84.2807,947,855,5.32,64.06,23.27,10.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Huntsville,34.7304,-86.5861,1778,1576,6.75,69.46,26.61,7.91,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Knoxville,35.9606,-83.9207,1352,1119,11.73,57.41,26.87,8.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Chattanooga,35.0456,-85.3097,1314,1205,10.39,69.69,33.74,7.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fort Collins,40.5853,-105.0844,1487,1350,5.97,60.26,24.48,9.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Eugene,44.0521,-123.0868,1099,1128,9.98,64.62,32.32,10.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Boise,43.615,-116.2023,1435,1431,5.58,70.47,26.18,10.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sarasota,27.3364,-82.5307,1509,1543,8.01,69.44,33.08,8.67,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Savannah,32.0835,-81.0998,976,949,11.57,56.25,28.4,7.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Charleston,32.7765,-79.9311,2323,2245,8.9,54.46,32.89,9.86,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Salt Lake City,40.7608,-111.891,2911,2646,10.68,60.65,30.23,9.23,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Greenville,34.8526,-82.394,1807,1662,9.89,54.15,27.68,7.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Asheville,35.5951,-82.5515,1169,1083,9.24,59.13,29.46,9.83,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Wilmington,34.2257,-77.9447,1224,1028,6.84,63.0,30.69,10.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fayetteville,35.0527,-78.8784,1068,1051,5.96,53.66,28.24,9.11,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fayetteville AR,36.0626,-94.1574,1339,1354,10.34,64.5,29.78,8.15,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Reno,39.5296,-119.8138,1498,1265,8.17,53.89,32.75,9.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Baton Rouge,30.4515,-91.1871,1265,1030,11.07,67.26,30.69,7.24,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lafayette,30.2241,-92.0198,959,891,7.02,70.73,26.49,10.7,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lake Charles,30.2266,-93.2174,845,789,8.98,62.32,32.38,8.83,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Shreveport,32.5252,-93.7502,924,794,8.1,57.56,23.48,8.2,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Corpus Christi,27.8006,-97.3964,1064,929,7.23,69.38,24.18,8.18,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lubbock,33.5779,-101.8552,827,779,7.8,55.65,28.13,9.16,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Wichita,37.6872,-97.3301,982,949,9.52,61.55,32.38,10.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tulsa,36.154,-95.9928,1210,1214,6.0,55.19,30.83,8.48,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Sioux Falls,43.5446,-96.7311,1126,1127,9.84,60.76,28.52,9.03,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fargo,46.8772,-96.7898,1131,1114,11.16,67.52,27.54,10.1,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Billings,45.7833,-108.5007,910,739,8.92,66.84,32.49,8.06,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bozeman,45.677,-111.0429,1157,1030,9.69,71.66,27.76,7.84,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Cheyenne,41.14,-104.8202,853,828,11.26,59.82,30.41,7.36,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Idaho Falls,43.4917,-112.0408,914,925,7.29,50.62,27.7,8.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Provo,40.2338,-111.6585,1532,1284,11.17,60.62,23.74,7.2,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Ogden,41.223,-111.9738,1193,1073,11.17,65.82,26.1,8.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
St. George,37.0965,-113.5684,1312,1328,8.52,59.04,24.29,8.11,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Carson City,39.1638,-119.7674,872,768,8.86,58.48,23.82,8.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Santa Fe,35.687,-105.9378,928,884,5.7,72.39,23.89,8.44,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Las Cruces,32.3199,-106.7637,727,610,6.43,65.03,25.73,10.77,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Yuma,32.6927,-114.6277,741,696,7.9,61.31,27.7,8.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Flagstaff,35.1983,-111.6513,1165,1139,11.41,65.03,30.17,9.28,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Prescott,34.54,-112.4685,1004,871,6.74,67.32,25.05,7.69,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Medford,42.3265,-122.8756,776,678,6.03,50.12,23.67,9.71,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bend,44.0582,-121.3153,1113,967,5.17,57.59,28.35,7.2,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Corvallis,44.5646,-123.262,834,775,7.76,72.88,32.09,7.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Salem,44.9429,-123.0351,1121,940,5.27,54.32,24.61,10.65,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bellingham,48.7519,-122.4787,1146,1143,6.35,59.42,26.56,9.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Yakima,46.6021,-120.5059,733,728,8.53,73.53,30.79,8.12,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Olympia,47.0379,-122.9007,934,764,10.01,74.56,31.75,8.22,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tri-Cities,46.2396,-119.1006,1145,1114,7.08,73.79,29.15,8.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Vancouver,45.6387,-122.6615,1570,1386,5.18,70.76,25.25,7.87,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Everett,47.979,-122.2021,1778,1825,6.94,58.62,23.99,10.51,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tacoma,47.2529,-122.4443,2105,1795,6.58,71.31,25.49,7.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bellevue,47.6101,-122.2015,2376,2079,10.5,63.73,25.8,10.39,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bradenton,27.4989,-82.5748,1026,838,7.63,72.01,31.21,10.16,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lakeland,28.0395,-81.9498,846,819,6.18,62.54,23.25,9.85,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fort Myers,26.6406,-81.8723,1550,1340,6.38,53.44,28.6,8.68,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Naples,26.142,-81.7948,1181,1195,9.77,63.12,26.75,10.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Ocala,29.1872,-82.1401,788,747,10.93,70.94,31.52,10.74,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Palm Beach,26.7056,-80.0364,2952,2757,11.55,67.77,31.9,10.75,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Miami,25.7617,-80.1918,8002,7606,5.36,51.76,28.71,8.87,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Daytona,29.2108,-81.0228,987,937,11.6,50.39,25.45,9.03,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Melbourne,28.0836,-80.6081,1259,1035,7.15,72.57,28.66,10.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Gainesville,29.6516,-82.3248,1076,904,5.24,69.9,23.14,7.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Port St. Lucie,27.273,-80.3582,1741,1501,6.1,70.33,33.9,7.83,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Pensacola,30.4213,-87.2169,1119,967,10.92,59.01,25.52,7.95,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Macon,32.8407,-83.6324,739,658,10.0,74.06,25.1,8.53,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Augusta,33.4735,-82.0105,1061,962,8.14,70.48,32.06,10.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Columbus GA,32.461,-84.9877,866,731,5.19,51.17,26.32,8.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Athens,33.9519,-83.3576,1117,1084,10.83,66.57,23.16,10.37,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Valdosta,30.8327,-83.2785,669,605,11.44,69.96,29.06,10.39,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Birmingham,33.5186,-86.8104,1090,975,5.17,70.41,24.42,7.88,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Mobile,30.6954,-88.0399,929,954,7.17,56.18,31.02,10.8,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tuscaloosa,33.2098,-87.5692,1061,969,9.16,56.39,26.5,8.19,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Dothan,31.2232,-85.3905,687,699,8.57,74.36,32.51,9.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Auburn,32.6099,-85.4808,997,929,5.89,57.26,25.79,8.18,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Jackson,32.2988,-90.1848,779,686,8.26,61.69,25.98,7.76,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Gulfport,30.3674,-89.0928,933,902,8.04,56.26,28.52,9.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Hattiesburg,31.3271,-89.2903,764,723,10.48,65.47,24.86,7.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Starkville,33.4504,-88.8184,643,605,5.49,54.91,28.0,7.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Little Rock,34.7465,-92.2896,1111,1111,9.67,50.6,24.14,8.62,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fort Smith,35.3859,-94.3985,697,569,10.32,66.56,30.59,7.66,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Jonesboro,35.8423,-90.7043,727,612,6.71,72.22,33.52,7.96,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Springdale,36.1867,-94.1288,1240,1156,8.02,67.12,23.8,7.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Rogers,36.332,-94.1185,1474,1270,9.97,62.4,24.59,9.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bentonville,36.3729,-94.2088,1625,1398,8.86,53.03,24.89,7.67,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Clarksville,36.5298,-87.3595,1140,1109,8.42,50.97,24.41,9.18,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Johnson City,36.3134,-82.3535,841,680,8.25,54.89,29.72,9.87,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Kingsport,36.5484,-82.5618,933,814,6.01,57.99,27.13,9.1,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Jackson TN,35.6145,-88.8139,799,672,5.2,61.89,32.09,10.73,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Franklin,35.9251,-86.8689,1802,1617,11.43,60.3,28.71,9.75,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Brentwood,36.0331,-86.7828,1216,994,10.38,74.69,27.6,8.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Murfreesboro,35.8456,-86.3903,1540,1371,10.54,63.02,28.54,9.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Smyrna,35.9829,-86.5186,1409,1362,10.55,56.27,31.64,10.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Spring Hill,35.7512,-86.93,1536,1386,10.58,57.74,33.28,9.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bowling Green,36.9685,-86.4808,1094,993,7.7,56.65,25.06,8.4,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lexington,38.0406,-84.5037,1635,1351,6.3,52.75,23.38,8.59,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Evansville,37.9716,-87.5711,903,839,9.42,62.53,28.55,8.09,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
South Bend,41.6764,-86.252,876,841,6.1,71.18,31.13,9.27,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Fort Wayne,41.1306,-85.1289,1077,906,5.62,68.26,27.45,8.76,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Grand Rapids,42.9634,-85.6681,1560,1432,10.47,54.1,26.88,7.76,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Ann Arbor,42.2808,-83.743,1258,1213,6.03,54.44,31.56,10.22,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lansing,42.7325,-84.5555,947,953,9.96,60.66,32.54,7.27,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Kalamazoo,42.2917,-85.5872,953,946,11.65,57.01,31.6,10.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Flint,43.0125,-83.6875,539,489,6.11,60.94,34.12,8.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Detroit,42.3314,-83.0458,2037,1803,10.68,69.91,25.73,8.14,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Toledo,41.6639,-83.5552,766,720,8.95,55.79,25.71,7.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Akron,41.0814,-81.519,841,865,9.13,54.59,30.86,9.26,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Dayton,39.7589,-84.1916,803,689,10.85,61.24,33.5,10.57,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Cincinnati,39.1031,-84.512,2174,2018,9.67,67.41,27.23,10.24,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Cleveland,41.4993,-81.6944,1687,1460,6.74,54.59,30.42,7.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Pittsburgh,40.4406,-79.9959,2416,2147,10.48,60.0,26.2,10.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Providence,41.824,-71.4128,1667,1501,7.15,64.32,32.06,8.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Hartford,41.7658,-72.6851,1356,1324,7.52,68.65,29.26,10.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bridgeport,41.1865,-73.1952,1199,985,11.23,62.61,31.97,9.44,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Springfield MA,42.1015,-72.5898,1166,1128,8.24,50.76,26.27,9.43,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Worcester,42.2626,-71.8023,1861,1845,11.7,71.22,25.46,7.74,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Syracuse,43.0481,-76.1474,1115,1003,10.51,58.15,28.76,8.94,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Rochester,43.1566,-77.6088,972,982,11.37,64.72,28.35,10.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Albany,42.6526,-73.7562,1173,1108,7.02,60.14,27.54,8.59,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Buffalo,42.8864,-78.8784,1278,1037,10.64,60.44,27.86,10.21,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Yonkers,40.9312,-73.8988,1684,1604,8.2,71.32,26.94,9.96,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Newark,40.7357,-74.1724,2307,2244,9.82,63.95,31.57,10.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Paterson,40.9168,-74.1719,1327,1201,9.89,52.05,29.21,8.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Anchorage,61.2181,-149.9003,1178,1192,8.22,52.41,29.2,10.21,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Honolulu,21.3069,-157.8583,1482,1288,8.13,59.43,28.08,8.79,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Wichita Falls,33.9137,-98.4934,779,685,6.05,57.99,28.34,8.7,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Midland,31.9973,-102.0779,1015,1031,8.82,60.3,23.25,7.59,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Odessa,31.8457,-102.3676,843,786,9.21,70.08,33.44,10.07,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Tyler,32.3513,-95.3011,773,650,8.4,71.27,24.63,9.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Waco,31.5493,-97.1467,941,886,10.47,71.44,28.94,7.21,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Beaumont,30.086,-94.1018,931,810,6.27,58.97,27.8,10.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Abilene,32.4487,-99.7331,788,794,8.18,65.1,31.1,8.59,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Laredo,27.5306,-99.4803,675,640,5.14,74.17,25.73,10.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
McAllen,26.2034,-98.23,1014,936,6.74,64.64,32.4,8.24,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Brownsville,25.9017,-97.4975,846,761,6.27,62.94,33.08,7.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Killeen,31.1171,-97.7278,1063,950,11.15,61.12,22.97,7.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Bryan-College Station,30.628,-96.3344,1307,1331,6.53,70.5,25.13,9.31,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Victoria,28.8053,-97.0036,708,580,9.19,51.08,28.94,10.79,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Longview,32.5007,-94.7405,927,848,10.9,56.76,28.93,8.57,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Nacogdoches,31.6035,-94.6552,745,665,8.82,53.91,30.57,9.44,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Lufkin,31.3382,-94.7291,790,653,9.19,53.79,25.31,9.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Huntsville TX,30.7235,-95.5508,836,850,9.9,55.88,28.21,9.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Texarkana,33.4251,-94.0477,724,656,6.27,65.07,24.72,9.87,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Paris TX,33.6609,-95.5555,766,620,6.06,70.23,24.0,10.26,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Amarillo,35.222,-101.8313,1182,1139,6.8,56.93,29.44,7.67,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
Deltona,28.9005,-81.2637,1144,942,10.3,60.53,27.75,7.46,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
