city,lat,lng,avg_entitlement_months,zoning_friendly_score_1_10,upzoning_activity,inclusionary_zoning_required,affordable_set_aside_pct,impact_fee_per_unit,data_source,as_of_date,source_url
Kansas City,39.0997,-94.5786,16,4,Limited,No,0,8693,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Atlanta,33.749,-84.388,19,6,Moderate,No,0,8772,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Omaha,41.2565,-95.9345,19,4,Limited,No,0,9229,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Colorado Springs,38.8339,-104.8214,19,6,Moderate,No,0,8438,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Raleigh-Durham,35.7796,-78.6382,16,8,Active,No,0,8976,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Hampton Roads,36.8529,-75.978,16,4,Limited,No,0,9485,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Minneapolis,44.9778,-93.265,17,4,Limited,Yes,13.61,9103,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tampa Bay,27.9506,-82.4572,17,6,Moderate,No,0,9242,NMHC/Local Planning Departments,2025,https://www.nmhc.org
New Orleans,29.9511,-90.0715,17,4,Limited,No,0,8833,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Richmond,37.5407,-77.436,16,6,Moderate,No,0,9469,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Spokane,47.6588,-117.426,20,6,Moderate,No,0,9209,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Des Moines,41.5868,-93.625,17,4,Limited,No,0,8516,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Montgomery,32.3668,-86.3,16,4,Limited,No,0,8166,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Inland Empire,33.9806,-117.3755,16,6,Moderate,No,0,9159,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Ventura,34.2805,-119.2945,18,4,Limited,No,0,7738,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tallahassee,30.4518,-84.2807,20,4,Limited,No,0,9217,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Huntsville,34.7304,-86.5861,17,8,Active,No,0,8174,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Knoxville,35.9606,-83.9207,19,6,Moderate,No,0,9479,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Chattanooga,35.0456,-85.3097,18,6,Moderate,No,0,7532,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fort Collins,40.5853,-105.0844,17,6,Moderate,No,0,9175,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Eugene,44.0521,-123.0868,19,4,Limited,No,0,9043,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Boise,43.615,-116.2023,17,8,Active,No,0,9319,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sarasota,27.3364,-82.5307,19,6,Moderate,No,0,8717,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Savannah,32.0835,-81.0998,17,6,Moderate,No,0,8583,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Charleston,32.7765,-79.9311,19,8,Active,No,0,9096,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Salt Lake City,40.7608,-111.891,20,6,Moderate,No,0,8735,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Greenville,34.8526,-82.394,18,6,Moderate,No,0,7489,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Asheville,35.5951,-82.5515,18,6,Moderate,No,0,7889,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Wilmington,34.2257,-77.9447,17,6,Moderate,No,0,8132,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fayetteville,35.0527,-78.8784,20,4,Limited,No,0,9505,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fayetteville AR,36.0626,-94.1574,19,8,Active,No,0,8114,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Reno,39.5296,-119.8138,19,6,Moderate,No,0,7643,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Baton Rouge,30.4515,-91.1871,16,4,Limited,No,0,8666,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lafayette,30.2241,-92.0198,18,4,Limited,No,0,7846,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lake Charles,30.2266,-93.2174,17,4,Limited,No,0,8658,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Shreveport,32.5252,-93.7502,19,4,Limited,No,0,7950,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Corpus Christi,27.8006,-97.3964,18,4,Limited,No,0,7502,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lubbock,33.5779,-101.8552,15,4,Limited,No,0,7620,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Wichita,37.6872,-97.3301,17,4,Limited,No,0,8416,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tulsa,36.154,-95.9928,16,4,Limited,No,0,9303,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sioux Falls,43.5446,-96.7311,19,6,Moderate,No,0,8423,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fargo,46.8772,-96.7898,16,6,Moderate,No,0,8558,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Billings,45.7833,-108.5007,19,4,Limited,No,0,9118,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bozeman,45.677,-111.0429,18,8,Active,No,0,8838,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Cheyenne,41.14,-104.8202,19,4,Limited,No,0,8390,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Idaho Falls,43.4917,-112.0408,19,6,Moderate,No,0,7699,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Provo,40.2338,-111.6585,19,8,Active,No,0,8656,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Ogden,41.223,-111.9738,15,6,Moderate,No,0,8678,NMHC/Local Planning Departments,2025,https://www.nmhc.org
St. George,37.0965,-113.5684,17,8,Active,No,0,7847,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Carson City,39.1638,-119.7674,17,6,Moderate,No,0,8234,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Santa Fe,35.687,-105.9378,18,4,Limited,No,0,7495,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Las Cruces,32.3199,-106.7637,19,4,Limited,No,0,8617,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Yuma,32.6927,-114.6277,16,4,Limited,No,0,7812,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Flagstaff,35.1983,-111.6513,17,6,Moderate,No,0,7525,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Prescott,34.54,-112.4685,16,8,Active,No,0,7846,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Medford,42.3265,-122.8756,17,4,Limited,No,0,8915,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bend,44.0582,-121.3153,17,8,Active,No,0,8193,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Corvallis,44.5646,-123.262,18,4,Limited,No,0,7660,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Salem,44.9429,-123.0351,19,4,Limited,No,0,9001,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bellingham,48.7519,-122.4787,19,6,Moderate,No,0,7668,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Yakima,46.6021,-120.5059,16,4,Limited,No,0,9052,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Olympia,47.0379,-122.9007,16,6,Moderate,No,0,9065,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tri-Cities,46.2396,-119.1006,18,6,Moderate,No,0,9015,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Vancouver,45.6387,-122.6615,17,6,Moderate,No,0,8985,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Everett,47.979,-122.2021,19,6,Moderate,No,0,8998,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tacoma,47.2529,-122.4443,19,6,Moderate,No,0,8651,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bellevue,47.6101,-122.2015,18,6,Moderate,No,0,7791,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bradenton,27.4989,-82.5748,19,8,Active,No,0,8929,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lakeland,28.0395,-81.9498,16,8,Active,No,0,7942,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fort Myers,26.6406,-81.8723,17,8,Active,No,0,9261,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Naples,26.142,-81.7948,16,8,Active,No,0,9117,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Ocala,29.1872,-82.1401,17,6,Moderate,No,0,8206,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Palm Beach,26.7056,-80.0364,17,6,Moderate,No,0,8322,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Miami,25.7617,-80.1918,16,6,Moderate,No,0,7499,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Daytona,29.2108,-81.0228,17,6,Moderate,No,0,8731,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Melbourne,28.0836,-80.6081,16,6,Moderate,No,0,8062,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Gainesville,29.6516,-82.3248,16,6,Moderate,No,0,9058,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Port St. Lucie,27.273,-80.3582,19,8,Active,No,0,8222,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Pensacola,30.4213,-87.2169,15,6,Moderate,No,0,7989,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Macon,32.8407,-83.6324,18,4,Limited,No,0,8289,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Augusta,33.4735,-82.0105,17,4,Limited,No,0,9404,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Columbus GA,32.461,-84.9877,16,4,Limited,No,0,8693,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Athens,33.9519,-83.3576,17,6,Moderate,No,0,7752,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Valdosta,30.8327,-83.2785,18,4,Limited,No,0,8152,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Birmingham,33.5186,-86.8104,15,4,Limited,No,0,7546,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Mobile,30.6954,-88.0399,17,4,Limited,No,0,8476,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tuscaloosa,33.2098,-87.5692,19,6,Moderate,No,0,9181,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Dothan,31.2232,-85.3905,19,4,Limited,No,0,8176,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Auburn,32.6099,-85.4808,19,6,Moderate,No,0,7782,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Jackson,32.2988,-90.1848,17,4,Limited,No,0,9391,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Gulfport,30.3674,-89.0928,17,4,Limited,No,0,8236,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Hattiesburg,31.3271,-89.2903,18,4,Limited,No,0,8390,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Starkville,33.4504,-88.8184,16,4,Limited,No,0,7964,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Little Rock,34.7465,-92.2896,16,4,Limited,No,0,7926,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fort Smith,35.3859,-94.3985,18,4,Limited,No,0,7783,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Jonesboro,35.8423,-90.7043,18,4,Limited,No,0,9346,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Springdale,36.1867,-94.1288,19,8,Active,No,0,8705,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Rogers,36.332,-94.1185,19,8,Active,No,0,8839,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bentonville,36.3729,-94.2088,19,8,Active,No,0,8425,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Clarksville,36.5298,-87.3595,17,6,Moderate,No,0,8105,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Johnson City,36.3134,-82.3535,18,4,Limited,No,0,8051,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Kingsport,36.5484,-82.5618,17,4,Limited,No,0,8071,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Jackson TN,35.6145,-88.8139,16,4,Limited,No,0,8999,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Franklin,35.9251,-86.8689,18,8,Active,No,0,8556,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Brentwood,36.0331,-86.7828,19,8,Active,No,0,8121,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Murfreesboro,35.8456,-86.3903,17,8,Active,No,0,7938,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Smyrna,35.9829,-86.5186,17,6,Moderate,No,0,7530,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Spring Hill,35.7512,-86.93,18,8,Active,No,0,8338,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bowling Green,36.9685,-86.4808,19,6,Moderate,No,0,9072,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lexington,38.0406,-84.5037,17,4,Limited,No,0,7879,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Evansville,37.9716,-87.5711,19,4,Limited,No,0,8221,NMHC/Local Planning Departments,2025,https://www.nmhc.org
South Bend,41.6764,-86.252,15,4,Limited,No,0,7551,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Fort Wayne,41.1306,-85.1289,18,4,Limited,No,0,7869,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Grand Rapids,42.9634,-85.6681,16,6,Moderate,No,0,8220,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Ann Arbor,42.2808,-83.743,16,4,Limited,No,0,8354,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lansing,42.7325,-84.5555,18,4,Limited,No,0,8547,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Kalamazoo,42.2917,-85.5872,18,4,Limited,No,0,9019,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Flint,43.0125,-83.6875,18,4,Limited,No,0,8422,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Detroit,42.3314,-83.0458,17,4,Limited,No,0,9323,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Toledo,41.6639,-83.5552,16,4,Limited,No,0,8748,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Akron,41.0814,-81.519,18,4,Limited,No,0,7556,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Dayton,39.7589,-84.1916,15,4,Limited,No,0,8694,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Cincinnati,39.1031,-84.512,16,4,Limited,No,0,7658,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Cleveland,41.4993,-81.6944,16,4,Limited,No,0,9260,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Pittsburgh,40.4406,-79.9959,19,4,Limited,No,0,8787,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Providence,41.824,-71.4128,17,4,Limited,Yes,12.03,9257,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Hartford,41.7658,-72.6851,18,4,Limited,No,0,7789,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bridgeport,41.1865,-73.1952,18,4,Limited,No,0,8499,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Springfield MA,42.1015,-72.5898,15,4,Limited,No,0,8388,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Worcester,42.2626,-71.8023,17,4,Limited,No,0,8486,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Syracuse,43.0481,-76.1474,18,4,Limited,No,0,8008,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Rochester,43.1566,-77.6088,19,4,Limited,No,0,8639,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Albany,42.6526,-73.7562,16,4,Limited,No,0,8705,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Buffalo,42.8864,-78.8784,17,4,Limited,No,0,8726,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Yonkers,40.9312,-73.8988,16,4,Limited,Yes,10.65,9371,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Newark,40.7357,-74.1724,16,4,Limited,Yes,9.49,7651,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Paterson,40.9168,-74.1719,17,4,Limited,Yes,8.83,8303,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Anchorage,61.2181,-149.9003,19,4,Limited,No,0,8753,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Honolulu,21.3069,-157.8583,19,4,Limited,No,0,7897,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Wichita Falls,33.9137,-98.4934,18,4,Limited,No,0,8727,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Midland,31.9973,-102.0779,16,6,Moderate,No,0,8722,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Odessa,31.8457,-102.3676,19,6,Moderate,No,0,8759,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tyler,32.3513,-95.3011,18,4,Limited,No,0,8003,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Waco,31.5493,-97.1467,16,4,Limited,No,0,8565,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Beaumont,30.086,-94.1018,16,4,Limited,No,0,8618,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Abilene,32.4487,-99.7331,18,4,Limited,No,0,8474,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Laredo,27.5306,-99.4803,16,4,Limited,No,0,7846,NMHC/Local Planning Departments,2025,https://www.nmhc.org
McAllen,26.2034,-98.23,20,6,Moderate,No,0,8281,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Brownsville,25.9017,-97.4975,19,4,Limited,No,0,8441,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Killeen,31.1171,-97.7278,17,4,Limited,No,0,8699,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Bryan-College Station,30.628,-96.3344,18,6,Moderate,No,0,8923,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Victoria,28.8053,-97.0036,16,4,Limited,No,0,7496,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Longview,32.5007,-94.7405,16,4,Limited,No,0,7990,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Nacogdoches,31.6035,-94.6552,16,4,Limited,No,0,8220,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lufkin,31.3382,-94.7291,18,4,Limited,No,0,8070,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Huntsville TX,30.7235,-95.5508,20,4,Limited,No,0,7498,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Texarkana,33.4251,-94.0477,19,4,Limited,No,0,8727,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Paris TX,33.6609,-95.5555,17,4,Limited,No,0,9365,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Amarillo,35.222,-101.8313,15,4,Limited,No,0,9450,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Deltona,28.9005,-81.2637,16,6,Moderate,No,0,7503,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Daytona Beach,29.2108,-81.0228,19,6,Moderate,No,0,8155,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Kissimmee,28.2919,-81.4076,16,8,Active,No,0,8127,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sanford,28.8005,-81.2731,18,8,Active,No,0,7782,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Clearwater,27.9659,-82.8001,15,6,Moderate,No,0,8968,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Cape Coral,26.5629,-81.9495,19,8,Active,No,0,8967,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Homestead,25.4687,-80.4776,16,6,Moderate,No,0,7771,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Doral,25.8195,-80.3556,19,8,Active,No,0,8034,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Aventura,25.9565,-80.1392,18,6,Moderate,No,0,7966,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Boca Raton,26.3683,-80.1289,16,6,Moderate,No,0,7901,NMHC/Local Planning Departments,2025,https://www.nmhc.org
West Palm Beach,26.7153,-80.0534,15,6,Moderate,No,0,8578,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Delray Beach,26.4615,-80.0728,19,6,Moderate,No,0,7939,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Boynton Beach,26.5317,-80.0905,19,6,Moderate,No,0,9098,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Pompano Beach,26.2379,-80.1248,19,6,Moderate,No,0,7952,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Hollywood,26.0112,-80.1495,17,6,Moderate,No,0,9289,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Coral Springs,26.2707,-80.2707,17,6,Moderate,No,0,7542,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Miramar,25.986,-80.233,16,6,Moderate,No,0,8787,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Pembroke Pines,26.007,-86.1527,16,6,Moderate,No,0,8027,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Sunrise,26.167,-80.2561,18,6,Moderate,No,0,8444,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Plantation,26.1276,-80.2331,18,6,Moderate,No,0,8104,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Davie,26.0765,-80.2521,17,6,Moderate,No,0,7997,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Weston,26.1003,-80.3998,19,6,Moderate,No,0,8391,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Deerfield Beach,26.3184,-80.0998,17,6,Moderate,No,0,9195,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Margate,26.2445,-80.2062,19,6,Moderate,No,0,9461,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Lauderhill,26.1401,-80.2131,18,4,Limited,No,0,8483,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Tamarac,26.2129,-80.2497,19,6,Moderate,No,0,9439,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Coconut Creek,26.2712,-80.1793,19,6,Moderate,No,0,9309,NMHC/Local Planning Departments,2025,https://www.nmhc.org
North Miami,25.8897,-80.1868,19,6,Moderate,No,0,7861,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Miami Gardens,25.942,-80.2456,19,6,Moderate,No,0,8287,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Hialeah,25.8576,-80.2781,19,6,Moderate,No,0,8048,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Greenville SC,34.8526,-82.394,18,6,Moderate,No,0,8793,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Columbia SC,34.0007,-81.0348,19,4,Limited,No,0,9038,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Spartanburg,34.9496,-81.932,17,6,Moderate,No,0,8745,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Rock Hill,34.9249,-81.0251,17,6,Moderate,No,0,8884,NMHC/Local Planning Departments,2025,https://www.nmhc.org
North Charleston,32.8546,-79.9748,17,6,Moderate,No,0,8069,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Mount Pleasant,32.8323,-79.8284,16,8,Active,No,0,7866,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Wilmington NC,34.2257,-77.9447,16,6,Moderate,No,0,9425,NMHC/Local Planning Departments,2025,https://www.nmhc.org
Gastonia,35.2621,-81.1873,19,6,Moderate,No,0,7955,NMHC/Local Planning Departments,2025,https://www.nmhc.org
