city,lat,lng,units_under_construction,units_delivering_12mo,units_delivering_24mo,pct_of_existing_stock,avg_project_size_units,pct_affordable,data_source,as_of_date,source_url
Hampton Roads,36.8529,-75.978,4656,2860,4731,10.03,237,13.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Minneapolis,44.9778,-93.265,7067,4989,7114,13.42,217,11.88,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tampa Bay,27.9506,-82.4572,11519,8271,9941,21.96,264,15.69,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
New Orleans,29.9511,-90.0715,3410,2480,3371,7.1,270,14.58,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Richmond,37.5407,-77.436,4118,2703,3908,7.61,270,10.59,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Spokane,47.6588,-117.426,2759,1951,2659,5.13,225,14.84,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Des Moines,41.5868,-93.625,2481,1603,2561,4.69,245,14.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Montgomery,32.3668,-86.3,1874,1088,1970,3.42,230,9.88,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Inland Empire,33.9806,-117.3755,7503,4760,6307,15.39,219,9.53,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Ventura,34.2805,-119.2945,3250,1897,3377,7.21,225,14.69,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tallahassee,30.4518,-84.2807,1979,1235,1797,3.73,242,15.86,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Huntsville,34.7304,-86.5861,3277,1948,3273,6.55,272,13.01,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Knoxville,35.9606,-83.9207,3569,2213,3581,6.4,224,14.93,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Chattanooga,35.0456,-85.3097,2671,1638,2319,4.94,240,10.03,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fort Collins,40.5853,-105.0844,2894,1672,2422,6.15,254,10.04,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Eugene,44.0521,-123.0868,2268,1613,2386,4.43,271,12.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Boise,43.615,-116.2023,2594,1817,2737,4.66,233,14.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sarasota,27.3364,-82.5307,3062,2001,2820,6.38,232,13.06,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Savannah,32.0835,-81.0998,2334,1679,2136,4.19,250,14.0,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Charleston,32.7765,-79.9311,5351,3178,4643,11.25,245,15.88,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Salt Lake City,40.7608,-111.891,5434,3855,5619,11.06,227,14.46,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Greenville,34.8526,-82.394,3167,1943,3100,7.19,230,11.14,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Asheville,35.5951,-82.5515,2286,1469,2291,4.29,221,11.61,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Wilmington,34.2257,-77.9447,2581,1685,2591,5.27,259,12.88,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fayetteville,35.0527,-78.8784,2378,1516,2178,4.75,250,10.07,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fayetteville AR,36.0626,-94.1574,3131,2085,3315,5.68,235,13.77,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Reno,39.5296,-119.8138,3417,2257,3524,6.12,247,10.26,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Baton Rouge,30.4515,-91.1871,2983,1758,2730,5.91,258,11.4,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lafayette,30.2241,-92.0198,2332,1350,2236,5.25,227,10.72,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lake Charles,30.2266,-93.2174,1777,1292,1684,3.74,258,13.78,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Shreveport,32.5252,-93.7502,1984,1323,1838,3.96,257,15.4,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Corpus Christi,27.8006,-97.3964,2269,1617,2295,4.94,271,9.0,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lubbock,33.5779,-101.8552,1618,1149,1699,2.9,247,15.25,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Wichita,37.6872,-97.3301,2351,1361,2332,4.49,253,16.1,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tulsa,36.154,-95.9928,2529,1516,2684,5.48,269,8.84,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sioux Falls,43.5446,-96.7311,2422,1442,2150,4.48,230,10.97,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fargo,46.8772,-96.7898,2151,1333,2163,4.13,219,10.34,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Billings,45.7833,-108.5007,1635,1187,1595,3.2,272,15.34,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bozeman,45.677,-111.0429,2291,1586,2148,4.09,245,11.99,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Cheyenne,41.14,-104.8202,1997,1372,1962,4.39,266,13.62,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Idaho Falls,43.4917,-112.0408,2001,1313,1963,3.86,264,15.65,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Provo,40.2338,-111.6585,3745,2233,3662,7.69,223,12.93,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Ogden,41.223,-111.9738,2303,1551,1960,4.75,221,11.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
St. George,37.0965,-113.5684,2855,2023,2814,6.22,234,10.04,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Carson City,39.1638,-119.7674,1678,1013,1685,3.45,217,14.85,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Santa Fe,35.687,-105.9378,1775,1158,1728,3.9,225,11.55,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Las Cruces,32.3199,-106.7637,1629,1090,1687,3.44,240,12.55,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Yuma,32.6927,-114.6277,1498,1082,1522,3.25,264,14.85,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Flagstaff,35.1983,-111.6513,2070,1251,1909,4.24,248,14.73,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Prescott,34.54,-112.4685,1971,1328,2091,3.62,247,12.85,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Medford,42.3265,-122.8756,1996,1288,1727,4.32,237,12.01,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bend,44.0582,-121.3153,2537,1791,2330,4.7,253,12.31,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Corvallis,44.5646,-123.262,1855,1302,1669,3.45,235,10.38,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Salem,44.9429,-123.0351,2157,1477,2074,4.6,270,12.39,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bellingham,48.7519,-122.4787,2249,1631,1882,4.43,234,9.75,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Yakima,46.6021,-120.5059,1654,952,1512,2.97,257,11.95,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Olympia,47.0379,-122.9007,2346,1557,2391,4.87,247,8.86,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tri-Cities,46.2396,-119.1006,2259,1627,1917,5.03,267,15.43,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Vancouver,45.6387,-122.6615,3915,2746,3579,8.53,243,12.5,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Everett,47.979,-122.2021,3550,2379,3697,6.35,254,13.17,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tacoma,47.2529,-122.4443,4146,2937,3887,7.43,256,11.0,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bellevue,47.6101,-122.2015,5740,3652,5029,11.73,221,14.31,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bradenton,27.4989,-82.5748,1815,1067,1837,3.57,227,12.01,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lakeland,28.0395,-81.9498,1978,1270,1793,3.85,222,11.64,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fort Myers,26.6406,-81.8723,3749,2394,3138,6.91,241,15.05,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Naples,26.142,-81.7948,2582,1605,2286,4.91,249,9.53,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Ocala,29.1872,-82.1401,1905,1263,1815,3.83,241,11.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Palm Beach,26.7056,-80.0364,5037,3119,4250,10.08,232,15.87,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Miami,25.7617,-80.1918,17417,11311,15610,31.65,249,13.76,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Daytona,29.2108,-81.0228,2142,1443,2262,4.17,273,10.28,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Melbourne,28.0836,-80.6081,2379,1468,2256,5.16,231,9.13,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Gainesville,29.6516,-82.3248,2212,1487,1991,4.9,239,9.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Port St. Lucie,27.273,-80.3582,3102,2029,3283,6.22,231,11.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Pensacola,30.4213,-87.2169,2157,1522,2110,4.45,233,16.04,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Macon,32.8407,-83.6324,1401,831,1223,2.75,255,10.16,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Augusta,33.4735,-82.0105,1971,1325,1710,3.63,271,11.44,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Columbus GA,32.461,-84.9877,1900,1336,1730,3.7,222,9.64,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Athens,33.9519,-83.3576,2284,1505,1970,4.45,231,10.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Valdosta,30.8327,-83.2785,1614,970,1656,2.97,230,12.37,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Birmingham,33.5186,-86.8104,2634,1680,2502,4.8,254,14.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Mobile,30.6954,-88.0399,1621,998,1356,3.05,222,15.53,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tuscaloosa,33.2098,-87.5692,2449,1486,2568,5.2,215,15.41,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Dothan,31.2232,-85.3905,1549,1087,1385,3.08,220,13.55,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Auburn,32.6099,-85.4808,2213,1440,2029,4.01,239,12.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Jackson,32.2988,-90.1848,1646,1039,1491,3.41,255,13.72,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Gulfport,30.3674,-89.0928,1973,1282,2065,4.37,271,13.7,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Hattiesburg,31.3271,-89.2903,1462,865,1550,3.28,225,9.78,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Starkville,33.4504,-88.8184,1355,786,1368,2.76,258,15.86,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Little Rock,34.7465,-92.2896,1973,1182,2054,4.12,238,12.04,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fort Smith,35.3859,-94.3985,1424,997,1410,2.71,242,14.02,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Jonesboro,35.8423,-90.7043,1523,1003,1364,3.14,226,10.13,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Springdale,36.1867,-94.1288,3073,2064,2734,6.47,258,15.46,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Rogers,36.332,-94.1185,3361,2259,3464,6.48,272,11.71,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bentonville,36.3729,-94.2088,3746,2690,3643,7.5,231,11.25,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Clarksville,36.5298,-87.3595,2428,1564,2267,5.09,261,9.41,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Johnson City,36.3134,-82.3535,1867,1147,1779,3.65,261,11.57,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Kingsport,36.5484,-82.5618,1931,1159,1646,4.05,263,13.98,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Jackson TN,35.6145,-88.8139,1729,1247,1667,3.85,236,9.69,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Franklin,35.9251,-86.8689,3539,2214,3101,6.61,230,14.64,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Brentwood,36.0331,-86.7828,2723,1976,2504,5.82,273,15.5,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Murfreesboro,35.8456,-86.3903,3712,2216,3163,8.22,222,12.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Smyrna,35.9829,-86.5186,2821,1641,2603,5.47,223,9.43,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Spring Hill,35.7512,-86.93,3593,2453,3407,7.95,228,14.12,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bowling Green,36.9685,-86.4808,2290,1607,2171,4.81,225,10.52,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lexington,38.0406,-84.5037,3226,2085,3076,6.84,253,14.51,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Evansville,37.9716,-87.5711,1715,1202,1623,3.56,262,15.54,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
South Bend,41.6764,-86.252,1687,1021,1727,3.8,226,15.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Fort Wayne,41.1306,-85.1289,2460,1779,2548,4.48,223,14.23,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Grand Rapids,42.9634,-85.6681,3180,2066,3074,7.0,257,14.59,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Ann Arbor,42.2808,-83.743,2697,1883,2776,5.19,222,15.16,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lansing,42.7325,-84.5555,2266,1516,2044,4.27,254,12.93,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Kalamazoo,42.2917,-85.5872,2148,1357,1912,4.44,254,10.18,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Flint,43.0125,-83.6875,1167,687,1082,2.13,239,10.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Detroit,42.3314,-83.0458,4506,2823,4043,8.93,255,13.86,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Toledo,41.6639,-83.5552,1765,1056,1547,3.47,259,16.11,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Akron,41.0814,-81.519,1874,1236,1723,3.79,226,11.91,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Dayton,39.7589,-84.1916,2007,1214,2048,4.5,255,11.32,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Cincinnati,39.1031,-84.512,4505,2781,3815,9.15,218,15.83,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Cleveland,41.4993,-81.6944,3568,2113,3307,8.01,222,14.79,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Pittsburgh,40.4406,-79.9959,4197,2852,3538,8.69,224,15.15,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Providence,41.824,-71.4128,3155,2291,2850,6.13,219,8.83,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Hartford,41.7658,-72.6851,3023,2181,2771,5.55,260,14.2,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bridgeport,41.1865,-73.1952,2314,1491,1984,4.47,247,14.33,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Springfield MA,42.1015,-72.5898,2137,1262,1956,4.26,227,13.7,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Worcester,42.2626,-71.8023,3722,2632,3202,7.47,223,10.99,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Syracuse,43.0481,-76.1474,2413,1754,2455,5.46,223,9.06,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Rochester,43.1566,-77.6088,1996,1233,1680,4.02,252,9.81,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Albany,42.6526,-73.7562,2581,1485,2196,4.83,243,14.6,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Buffalo,42.8864,-78.8784,2679,1563,2421,5.93,224,12.67,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Yonkers,40.9312,-73.8988,3086,1868,3047,6.7,267,15.8,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Newark,40.7357,-74.1724,4163,2579,3559,7.83,266,12.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Paterson,40.9168,-74.1719,2347,1579,2430,5.13,252,12.35,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Anchorage,61.2181,-149.9003,2042,1239,1929,4.01,238,9.25,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Honolulu,21.3069,-157.8583,3395,2275,3604,6.66,235,11.73,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Wichita Falls,33.9137,-98.4934,1588,1065,1494,3.54,254,15.29,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Midland,31.9973,-102.0779,2150,1513,1823,4.03,217,14.56,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Odessa,31.8457,-102.3676,2004,1235,1724,4.17,244,13.21,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Tyler,32.3513,-95.3011,1749,1130,1473,3.63,269,9.1,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Waco,31.5493,-97.1467,2062,1230,1937,4.59,219,10.5,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Beaumont,30.086,-94.1018,1730,1150,1588,3.73,239,11.05,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Abilene,32.4487,-99.7331,1430,1024,1349,3.01,272,12.31,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Laredo,27.5306,-99.4803,1446,871,1281,2.75,257,14.97,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
McAllen,26.2034,-98.23,2435,1638,2296,4.59,259,11.16,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Brownsville,25.9017,-97.4975,1627,1047,1541,3.15,255,9.58,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Killeen,31.1171,-97.7278,2129,1418,1982,4.61,259,14.82,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Bryan-College Station,30.628,-96.3344,2770,1808,2772,5.48,246,8.78,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Victoria,28.8053,-97.0036,1443,1048,1345,3.09,270,10.92,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Longview,32.5007,-94.7405,1605,1032,1583,2.88,273,15.43,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Nacogdoches,31.6035,-94.6552,1448,921,1319,2.91,219,15.69,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Lufkin,31.3382,-94.7291,1427,921,1253,3.15,257,14.09,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Huntsville TX,30.7235,-95.5508,1746,1269,1536,3.52,264,10.92,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Texarkana,33.4251,-94.0477,1599,987,1428,3.58,220,11.67,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Paris TX,33.6609,-95.5555,1552,976,1502,2.85,255,11.35,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Amarillo,35.222,-101.8313,2314,1641,2082,4.61,225,13.48,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Deltona,28.9005,-81.2637,2701,1884,2257,5.8,244,11.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Daytona Beach,29.2108,-81.0228,2009,1430,1771,3.68,217,10.41,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Kissimmee,28.2919,-81.4076,3463,2022,3417,7.48,232,13.91,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Sanford,28.8005,-81.2731,2791,1802,2602,5.18,265,10.24,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Clearwater,27.9659,-82.8001,3404,2329,3614,7.62,261,15.05,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Cape Coral,26.5629,-81.9495,3197,1943,2813,6.79,268,12.11,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Homestead,25.4687,-80.4776,2791,1981,2942,5.17,245,9.84,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Doral,25.8195,-80.3556,4671,2796,4965,9.05,218,14.14,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Aventura,25.9565,-80.1392,3359,2402,2953,7.36,257,14.61,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
Boca Raton,26.3683,-80.1289,4883,3202,4118,10.49,274,11.15,CoStar/CBRE Research,2025-Q4,https://www.costar.com/multifamily
