city,lat,lng,concession_rate_pct,avg_free_rent_weeks,pct_units_offering_concessions,net_effective_discount_pct,concession_trend,data_source,as_of_date,source_url
Shreveport,32.5252,-93.7502,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Corpus Christi,27.8006,-97.3964,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lubbock,33.5779,-101.8552,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Wichita,37.6872,-97.3301,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tulsa,36.154,-95.9928,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Sioux Falls,43.5446,-96.7311,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fargo,46.8772,-96.7898,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Billings,45.7833,-108.5007,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bozeman,45.677,-111.0429,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Cheyenne,41.14,-104.8202,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Idaho Falls,43.4917,-112.0408,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Provo,40.2338,-111.6585,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Ogden,41.223,-111.9738,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
St. George,37.0965,-113.5684,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Carson City,39.1638,-119.7674,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Santa Fe,35.687,-105.9378,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Las Cruces,32.3199,-106.7637,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Yuma,32.6927,-114.6277,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Flagstaff,35.1983,-111.6513,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Prescott,34.54,-112.4685,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Medford,42.3265,-122.8756,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bend,44.0582,-121.3153,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Corvallis,44.5646,-123.262,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Salem,44.9429,-123.0351,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bellingham,48.7519,-122.4787,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Yakima,46.6021,-120.5059,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Olympia,47.0379,-122.9007,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tri-Cities,46.2396,-119.1006,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Vancouver,45.6387,-122.6615,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Everett,47.979,-122.2021,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tacoma,47.2529,-122.4443,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bellevue,47.6101,-122.2015,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bradenton,27.4989,-82.5748,1.8,1.4,14.4,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lakeland,28.0395,-81.9498,2.3,1.8,18.4,1.4,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fort Myers,26.6406,-81.8723,2.5,2.0,20.0,1.5,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Naples,26.142,-81.7948,1.9,1.5,15.2,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Ocala,29.1872,-82.1401,2.1,1.7,16.8,1.3,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Palm Beach,26.7056,-80.0364,1.4,1.1,11.2,0.8,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Miami,25.7617,-80.1918,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Daytona,29.2108,-81.0228,2.0,1.6,16.0,1.2,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Melbourne,28.0836,-80.6081,1.8,1.4,14.4,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Gainesville,29.6516,-82.3248,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Port St. Lucie,27.273,-80.3582,2.0,1.6,16.0,1.2,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Pensacola,30.4213,-87.2169,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Macon,32.8407,-83.6324,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Augusta,33.4735,-82.0105,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Columbus GA,32.461,-84.9877,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Athens,33.9519,-83.3576,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Valdosta,30.8327,-83.2785,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Birmingham,33.5186,-86.8104,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Mobile,30.6954,-88.0399,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tuscaloosa,33.2098,-87.5692,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Dothan,31.2232,-85.3905,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Auburn,32.6099,-85.4808,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Jackson,32.2988,-90.1848,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Gulfport,30.3674,-89.0928,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Hattiesburg,31.3271,-89.2903,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Starkville,33.4504,-88.8184,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Little Rock,34.7465,-92.2896,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fort Smith,35.3859,-94.3985,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Jonesboro,35.8423,-90.7043,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Springdale,36.1867,-94.1288,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Rogers,36.332,-94.1185,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bentonville,36.3729,-94.2088,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Clarksville,36.5298,-87.3595,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Johnson City,36.3134,-82.3535,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Kingsport,36.5484,-82.5618,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Jackson TN,35.6145,-88.8139,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Franklin,35.9251,-86.8689,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Brentwood,36.0331,-86.7828,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Murfreesboro,35.8456,-86.3903,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Smyrna,35.9829,-86.5186,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Spring Hill,35.7512,-86.93,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bowling Green,36.9685,-86.4808,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lexington,38.0406,-84.5037,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Evansville,37.9716,-87.5711,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
South Bend,41.6764,-86.252,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Fort Wayne,41.1306,-85.1289,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Grand Rapids,42.9634,-85.6681,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Ann Arbor,42.2808,-83.743,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lansing,42.7325,-84.5555,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Kalamazoo,42.2917,-85.5872,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Flint,43.0125,-83.6875,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Detroit,42.3314,-83.0458,0.7,0.6,5.6,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Toledo,41.6639,-83.5552,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Akron,41.0814,-81.519,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Dayton,39.7589,-84.1916,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Cincinnati,39.1031,-84.512,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Cleveland,41.4993,-81.6944,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Pittsburgh,40.4406,-79.9959,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Providence,41.824,-71.4128,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Hartford,41.7658,-72.6851,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bridgeport,41.1865,-73.1952,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Springfield MA,42.1015,-72.5898,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Worcester,42.2626,-71.8023,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Syracuse,43.0481,-76.1474,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Rochester,43.1566,-77.6088,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Albany,42.6526,-73.7562,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Buffalo,42.8864,-78.8784,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Yonkers,40.9312,-73.8988,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Newark,40.7357,-74.1724,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Paterson,40.9168,-74.1719,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Anchorage,61.2181,-149.9003,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Honolulu,21.3069,-157.8583,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Wichita Falls,33.9137,-98.4934,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Midland,31.9973,-102.0779,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Odessa,31.8457,-102.3676,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Tyler,32.3513,-95.3011,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Waco,31.5493,-97.1467,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Beaumont,30.086,-94.1018,0.7,0.6,5.6,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Abilene,32.4487,-99.7331,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Laredo,27.5306,-99.4803,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
McAllen,26.2034,-98.23,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Brownsville,25.9017,-97.4975,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Killeen,31.1171,-97.7278,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Bryan-College Station,30.628,-96.3344,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Victoria,28.8053,-97.0036,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Longview,32.5007,-94.7405,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Nacogdoches,31.6035,-94.6552,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Lufkin,31.3382,-94.7291,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Huntsville TX,30.7235,-95.5508,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Texarkana,33.4251,-94.0477,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Paris TX,33.6609,-95.5555,0.6,0.5,4.8,0.4,Stable,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Amarillo,35.222,-101.8313,0.6,0.5,4.8,0.4,Decreasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
Deltona,28.9005,-81.2637,1.8,1.4,14.4,1.1,Increasing,Yardi Matrix/RealPage,2025-Q4,https://www.yardimatrix.com
