city,lat,lng,transaction_volume_12mo_usd,transaction_volume_prior_12mo_usd,volume_yoy_chg_pct,transaction_count_12mo,avg_deal_size_usd,pct_institutional_buyers,cap_rate_trailing_pct,data_source,as_of_date,source_url
Seattle,47.6062,-122.3321,5291616000.0,6747494400.0,-21.73,246,60883315.0,67.17,4.58,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Denver,39.7392,-104.9903,2909504000.0,3960645120.0,-21.42,222,53544346.5,58.24,5.23,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Nashville,36.1627,-86.7816,2783264000.0,4094807040.0,-18.76,307,35599781.25,69.84,5.25,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Oklahoma City,35.4676,-97.5164,849821500.0,1119574440.0,-21.91,139,24556633.6,62.66,6.21,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
El Paso,31.7619,-106.485,466392000.0,720487872.0,-21.24,92,21875593.25,63.27,6.57,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
DC Metro,38.9072,-77.0369,5927716000.0,8122027680.0,-28.55,305,61406347.0,63.4,4.53,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Boston,42.3601,-71.0589,4719052000.0,7802589600.0,-22.86,220,78786967.5,64.71,4.19,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Las Vegas,36.1699,-115.1398,2722092000.0,4299134940.0,-28.02,317,39348806.25,68.7,5.87,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Memphis,35.1495,-90.049,800606500.0,1272393900.0,-33.28,146,23842507.7,56.02,6.17,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Louisville,38.2527,-85.7585,846251500.0,1154853180.0,-29.49,129,28183077.6,68.77,5.35,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Portland,45.5051,-122.675,2009280000.0,2516436720.0,-20.7,158,46570410.75,56.98,4.64,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Baltimore,39.2904,-76.6122,1696931000.0,2739118140.0,-24.27,173,35609632.5,65.74,5.87,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Milwaukee,43.0389,-87.9065,769114000.0,1092943260.0,-20.09,125,23756719.5,52.32,6.43,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Albuquerque,35.0844,-106.6504,767352800.0,816652800.0,-25.33,106,23092140.3,55.16,5.71,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tucson,32.2226,-110.9747,768045000.0,972720900.0,-30.1,109,30742523.0,66.34,5.81,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Central Valley,36.7783,-119.4179,545203200.0,686786688.0,-30.87,54,26461817.25,61.42,5.51,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Sacramento,38.5816,-121.4944,1669453500.0,2126460600.0,-30.65,124,48916331.0,50.03,5.42,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Kansas City,39.0997,-94.5786,1382562500.0,1496826000.0,-18.63,181,23091764.75,62.65,6.23,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Atlanta,33.749,-84.388,4047540000.0,5106764880.0,-21.29,460,34244915.25,68.73,5.26,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Omaha,41.2565,-95.9345,958083000.0,1489384260.0,-33.32,161,29603801.75,63.21,5.96,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Colorado Springs,38.8339,-104.8214,888250000.0,1160223480.0,-18.76,87,34451911.75,54.19,5.86,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Raleigh-Durham,35.7796,-78.6382,3967775000.0,4607290800.0,-33.49,329,44338413.5,65.17,4.95,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Hampton Roads,36.8529,-75.978,1300437500.0,1693210500.0,-27.87,155,30535478.4,67.21,5.74,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Minneapolis,44.9778,-93.265,1962597000.0,2886778440.0,-31.84,225,36210281.25,60.7,5.15,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tampa Bay,27.9506,-82.4572,3347344000.0,5451345900.0,-29.26,398,34704880.75,57.65,5.71,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
New Orleans,29.9511,-90.0715,854207500.0,1015776180.0,-28.72,101,28933935.25,52.76,6.11,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Richmond,37.5407,-77.436,951247500.0,1401204420.0,-26.18,116,36693899.0,61.73,5.91,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Spokane,47.6588,-117.426,659779000.0,874874088.0,-30.74,65,31063054.0,62.15,5.56,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Des Moines,41.5868,-93.625,686691200.0,829078848.0,-18.32,99,25300230.0,63.61,6.11,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Montgomery,32.3668,-86.3,429316400.0,501155856.0,-30.83,58,22442986.4,48.53,6.9,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Inland Empire,33.9806,-117.3755,1866900000.0,2631560400.0,-33.35,137,54632303.75,54.07,4.82,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Ventura,34.2805,-119.2945,1103562500.0,1506910500.0,-31.71,72,62456629.0,52.09,4.44,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tallahassee,30.4518,-84.2807,549422400.0,578155968.0,-20.16,64,31104227.6,62.19,6.19,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Huntsville,34.7304,-86.5861,672309200.0,904582512.0,-28.49,78,32837749.75,53.46,6.18,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Knoxville,35.9606,-83.9207,593728400.0,969246432.0,-28.96,89,26267160.25,49.29,5.84,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Chattanooga,35.0456,-85.3097,580991800.0,690731280.0,-30.41,67,28034113.75,63.25,6.2,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fort Collins,40.5853,-105.0844,638265000.0,953232300.0,-31.13,60,45921930.25,61.79,5.21,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Eugene,44.0521,-123.0868,659987800.0,727544808.0,-19.86,52,46045575.0,60.31,4.96,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Boise,43.615,-116.2023,658804400.0,841923504.0,-25.32,56,43044505.0,57.45,5.83,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Sarasota,27.3364,-82.5307,1088397800.0,1323698544.0,-29.11,80,51565908.4,64.47,5.54,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Savannah,32.0835,-81.0998,517447000.0,823609512.0,-32.45,66,38811492.25,61.59,5.84,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Charleston,32.7765,-79.9311,1344185000.0,2182707432.0,-31.69,142,44367736.0,59.41,4.94,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Salt Lake City,40.7608,-111.891,1789616000.0,2661256080.0,-28.72,150,38087291.25,69.81,5.55,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Greenville,34.8526,-82.394,834394000.0,1099855800.0,-26.15,103,30663278.25,62.97,5.75,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Asheville,35.5951,-82.5515,571387000.0,765279144.0,-22.63,43,40734484.0,61.78,4.92,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Wilmington,34.2257,-77.9447,622160200.0,769319424.0,-21.57,53,35929155.25,55.29,5.46,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fayetteville,35.0527,-78.8784,540638400.0,601064064.0,-24.74,63,25984944.6,56.69,6.34,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fayetteville AR,36.0626,-94.1574,572257000.0,703660176.0,-19.86,67,31397709.75,50.09,6.26,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Reno,39.5296,-119.8138,727115500.0,1163225340.0,-22.8,65,51020992.75,58.16,5.64,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Baton Rouge,30.4515,-91.1871,563678800.0,778884552.0,-27.53,76,21894272.7,47.99,6.54,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Lafayette,30.2241,-92.0198,531264000.0,639772992.0,-29.44,73,26985565.2,68.17,5.87,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Lake Charles,30.2266,-93.2174,373821200.0,557951112.0,-27.82,57,20264789.0,62.74,6.27,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Shreveport,32.5252,-93.7502,323376200.0,515450088.0,-29.53,64,22756028.6,54.09,6.13,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Corpus Christi,27.8006,-97.3964,477912000.0,625402944.0,-31.5,69,28176950.4,69.98,6.23,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Lubbock,33.5779,-101.8552,369512000.0,526654008.0,-19.74,66,19394426.9,65.28,6.56,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Wichita,37.6872,-97.3301,493291200.0,662416704.0,-28.84,81,18630813.5,67.07,6.0,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tulsa,36.154,-95.9928,564566200.0,734836104.0,-30.81,92,25064551.1,53.76,6.58,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Sioux Falls,43.5446,-96.7311,649269400.0,696989016.0,-32.6,70,28826413.25,52.05,5.43,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fargo,46.8772,-96.7898,550070400.0,657517824.0,-22.33,64,27148509.5,52.91,6.23,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Billings,45.7833,-108.5007,383682200.0,531468000.0,-23.62,55,23638994.75,55.24,6.06,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bozeman,45.677,-111.0429,652853800.0,786081888.0,-23.53,36,58517368.5,56.18,4.92,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Cheyenne,41.14,-104.8202,323570000.0,454259448.0,-28.41,51,27249397.4,65.27,5.56,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Idaho Falls,43.4917,-112.0408,392882000.0,472887504.0,-30.76,53,29628157.0,63.89,6.12,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Provo,40.2338,-111.6585,785145000.0,1061245800.0,-22.56,84,40620450.0,66.04,5.25,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Ogden,41.223,-111.9738,531175600.0,818986680.0,-29.16,70,28261756.25,49.76,5.63,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
St. George,37.0965,-113.5684,528617800.0,799292664.0,-33.45,48,40126500.0,69.61,5.32,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Carson City,39.1638,-119.7674,366890000.0,562075632.0,-20.98,34,37382533.75,48.89,5.38,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Santa Fe,35.687,-105.9378,459897600.0,634485312.0,-24.51,35,43033821.25,68.04,4.82,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Las Cruces,32.3199,-106.7637,275338000.0,390165552.0,-30.96,42,22638146.6,55.81,6.53,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Yuma,32.6927,-114.6277,298706800.0,388795680.0,-29.51,36,26541753.9,58.01,5.85,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Flagstaff,35.1983,-111.6513,445512000.0,611188416.0,-28.57,38,43263619.0,61.75,5.27,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Prescott,34.54,-112.4685,434064000.0,709150464.0,-31.12,48,44068313.5,48.7,5.45,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Medford,42.3265,-122.8756,424391600.0,466830000.0,-18.82,34,34097516.5,63.45,5.26,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bend,44.0582,-121.3153,662754400.0,844994808.0,-19.16,36,58833718.5,56.64,5.25,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Corvallis,44.5646,-123.262,381892400.0,495874008.0,-29.37,33,35220364.75,58.23,5.53,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Salem,44.9429,-123.0351,544224000.0,698466240.0,-20.85,45,39213525.0,54.22,5.23,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bellingham,48.7519,-122.4787,597922000.0,826992072.0,-18.37,41,50820573.0,59.6,4.81,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Yakima,46.6021,-120.5059,306846400.0,392179536.0,-30.08,35,26190971.7,70.02,6.23,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Olympia,47.0379,-122.9007,528672000.0,713722752.0,-27.16,35,41181841.75,47.16,5.56,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tri-Cities,46.2396,-119.1006,395697800.0,491577120.0,-28.54,47,34839098.25,65.74,5.7,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Vancouver,45.6387,-122.6615,702165000.0,1069264800.0,-19.94,56,58000136.25,51.7,4.91,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Everett,47.979,-122.2021,887765500.0,1083359340.0,-24.2,48,57359851.25,56.91,4.97,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tacoma,47.2529,-122.4443,1366962500.0,1496097000.0,-19.92,90,46606791.0,63.03,4.75,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bellevue,47.6101,-122.2015,2202249000.0,2590328160.0,-22.73,101,92850390.0,54.18,3.89,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bradenton,27.4989,-82.5748,474444600.0,515493720.0,-28.91,45,33290442.9,60.54,5.72,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Lakeland,28.0395,-81.9498,545491200.0,573692544.0,-21.44,61,33613330.8,58.7,6.2,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fort Myers,26.6406,-81.8723,797062000.0,1207013940.0,-28.73,78,41905968.75,68.78,5.9,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Naples,26.142,-81.7948,915509500.0,1173607920.0,-27.27,53,60565115.0,59.98,5.44,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Ocala,29.1872,-82.1401,359001200.0,475005168.0,-23.01,48,32694948.25,60.79,6.06,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Palm Beach,26.7056,-80.0364,1902936000.0,3108180600.0,-21.65,119,61039501.25,57.73,5.53,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Miami,25.7617,-80.1918,7497085000.0,10712417400.0,-19.72,443,61096805.0,48.19,4.89,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Daytona,29.2108,-81.0228,516878400.0,666195840.0,-32.95,57,27535992.0,61.59,6.36,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Melbourne,28.0836,-80.6081,659239600.0,737617320.0,-26.93,56,30133401.25,55.65,6.24,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Gainesville,29.6516,-82.3248,388356200.0,524893392.0,-18.68,46,32837749.75,67.64,6.14,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Port St. Lucie,27.273,-80.3582,714967500.0,955638000.0,-27.37,67,43518225.25,49.27,6.09,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Pensacola,30.4213,-87.2169,432912000.0,637782336.0,-26.39,57,34092762.0,48.19,5.34,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Macon,32.8407,-83.6324,300126400.0,350357616.0,-27.62,51,20799842.3,53.31,6.97,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Augusta,33.4735,-82.0105,369056000.0,496760472.0,-29.83,49,23459006.4,65.76,6.09,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Columbus GA,32.461,-84.9877,252901600.0,368311104.0,-25.24,37,25234651.2,55.56,6.43,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Athens,33.9519,-83.3576,377389400.0,475349904.0,-33.17,43,32793877.0,61.09,5.81,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Valdosta,30.8327,-83.2785,271306000.0,378163296.0,-25.39,47,23054663.0,57.33,6.45,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Birmingham,33.5186,-86.8104,646763800.0,794594664.0,-31.05,83,23192162.4,57.76,6.48,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Mobile,30.6954,-88.0399,364860800.0,549677448.0,-27.18,67,22584444.8,47.71,6.32,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Tuscaloosa,33.2098,-87.5692,328061600.0,523502136.0,-18.81,59,26998752.0,47.61,6.34,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Dothan,31.2232,-85.3905,279781600.0,397913040.0,-20.78,42,20049326.9,65.65,6.81,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Auburn,32.6099,-85.4808,436794800.0,499579920.0,-30.51,54,25701976.0,53.08,6.36,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Jackson,32.2988,-90.1848,319345600.0,336350448.0,-32.16,46,20654732.0,62.0,7.14,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Gulfport,30.3674,-89.0928,243762400.0,413816256.0,-24.01,42,21550220.8,56.65,6.71,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Hattiesburg,31.3271,-89.2903,267752800.0,360354960.0,-33.06,48,20495313.8,58.02,6.53,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Starkville,33.4504,-88.8184,158502600.0,237675384.0,-33.13,27,19537195.1,62.86,6.09,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Little Rock,34.7465,-92.2896,450696000.0,673925184.0,-30.41,78,25284468.0,55.71,6.45,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fort Smith,35.3859,-94.3985,257437600.0,360391248.0,-24.97,51,19677343.7,61.81,6.72,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Jonesboro,35.8423,-90.7043,256757200.0,358731072.0,-29.68,50,20670827.0,52.51,5.99,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Springdale,36.1867,-94.1288,455088000.0,649197504.0,-31.54,64,27557970.0,59.43,5.47,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Rogers,36.332,-94.1185,610328200.0,824624280.0,-20.81,61,36704601.25,53.38,5.45,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bentonville,36.3729,-94.2088,684059600.0,884114784.0,-20.37,65,38377704.25,57.34,5.12,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Clarksville,36.5298,-87.3595,401192600.0,506844000.0,-29.38,49,25901951.75,46.86,5.75,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Johnson City,36.3134,-82.3535,422989400.0,573070248.0,-20.76,53,22946909.75,60.02,6.15,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Kingsport,36.5484,-82.5618,291046000.0,372384432.0,-26.21,41,27110051.7,67.45,6.45,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Jackson TN,35.6145,-88.8139,283024000.0,415285920.0,-29.74,37,21706449.6,54.82,5.92,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Franklin,35.9251,-86.8689,1331375000.0,1838524500.0,-25.49,82,66580621.25,58.73,4.83,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Brentwood,36.0331,-86.7828,1091800500.0,1381438800.0,-20.35,49,67304063.75,49.79,4.91,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Murfreesboro,35.8456,-86.3903,821720500.0,1072618740.0,-24.93,87,40348953.25,68.6,5.89,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Smyrna,35.9829,-86.5186,728980400.0,839632176.0,-19.33,69,42184171.75,58.82,5.3,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Spring Hill,35.7512,-86.93,737107500.0,936368100.0,-21.36,59,49552462.75,55.75,5.47,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Bowling Green,36.9685,-86.4808,432326000.0,509429520.0,-32.52,52,23614484.1,53.36,5.99,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Lexington,38.0406,-84.5037,750495000.0,1008441900.0,-28.52,85,26301561.0,69.44,5.88,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Evansville,37.9716,-87.5711,349619000.0,563282208.0,-27.58,63,21264821.3,52.17,6.29,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
South Bend,41.6764,-86.252,364712600.0,495516960.0,-29.05,59,18797158.1,62.23,6.32,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Fort Wayne,41.1306,-85.1289,518923200.0,704189376.0,-18.4,71,19347929.0,57.88,5.71,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Grand Rapids,42.9634,-85.6681,838987500.0,984676500.0,-31.14,85,27035992.5,48.6,5.78,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Ann Arbor,42.2808,-83.743,884119000.0,1071709920.0,-30.61,53,53672468.25,64.83,5.13,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Lansing,42.7325,-84.5555,419750400.0,705900096.0,-19.85,63,25450035.6,50.65,5.82,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Kalamazoo,42.2917,-85.5872,422442200.0,476174808.0,-27.82,57,23704982.4,47.05,5.62,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Flint,43.0125,-83.6875,178871400.0,217910736.0,-32.21,32,16090264.0,57.53,7.18,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Detroit,42.3314,-83.0458,1357400000.0,1631205000.0,-25.22,184,21809746.2,53.16,6.7,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Toledo,41.6639,-83.5552,323353400.0,532674576.0,-24.22,63,22791792.8,60.83,6.87,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Akron,41.0814,-81.519,394079000.0,506647008.0,-22.63,62,18710988.8,58.34,6.21,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Dayton,39.7589,-84.1916,399220400.0,522037008.0,-30.07,65,20453333.6,53.25,7.02,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Cincinnati,39.1031,-84.512,1189104000.0,1518233220.0,-25.72,125,25203891.25,68.22,6.01,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Cleveland,41.4993,-81.6944,826616500.0,1016024040.0,-29.27,138,23393627.4,57.62,6.05,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Pittsburgh,40.4406,-79.9959,1085847000.0,1286216820.0,-30.78,127,28476467.25,59.11,6.07,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Providence,41.824,-71.4128,825367000.0,1159259580.0,-22.01,65,50586474.0,56.25,4.62,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
Hartford,41.7658,-72.6851,845737500.0,977410800.0,-32.54,61,40653232.0,66.63,5.79,Real Capital Analytics/MSCI,2025-Q4,https://www.msci.com/real-assets
