city,lat,lng,gross_rent_multiplier,grm_class_a,grm_class_b,grm_class_c,grm_5yr_avg,grm_trend,data_source,as_of_date,source_url
Fargo,46.8772,-96.7898,9.11,10.6,8.3,6.6,10.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Billings,45.7833,-108.5007,9.34,10.7,8.9,6.5,10.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bozeman,45.677,-111.0429,14.31,16.8,12.7,9.8,14.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Cheyenne,41.14,-104.8202,9.38,10.9,8.7,6.5,10.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Idaho Falls,43.4917,-112.0408,10.29,11.9,9.8,7.2,10.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Provo,40.2338,-111.6585,10.58,12.3,10.3,7.9,11.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Ogden,41.223,-111.9738,10.72,12.1,9.8,7.7,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
St. George,37.0965,-113.5684,11.62,14.9,11.3,8.5,12.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Carson City,39.1638,-119.7674,11.38,14.0,11.5,7.9,12.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Santa Fe,35.687,-105.9378,11.92,14.6,11.5,8.5,13.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Las Cruces,32.3199,-106.7637,8.81,10.6,7.9,6.2,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Yuma,32.6927,-114.6277,9.43,10.5,8.7,6.1,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Flagstaff,35.1983,-111.6513,12.35,15.1,12.3,9.1,12.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Prescott,34.54,-112.4685,11.45,12.8,10.5,7.8,12.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Medford,42.3265,-122.8756,11.38,14.2,11.1,8.5,11.8,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bend,44.0582,-121.3153,13.71,15.7,12.1,10.0,14.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Corvallis,44.5646,-123.262,11.15,12.9,11.4,8.4,12.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Salem,44.9429,-123.0351,11.42,13.2,9.9,8.2,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bellingham,48.7519,-122.4787,13.72,15.5,12.8,9.7,14.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Yakima,46.6021,-120.5059,9.0,11.0,8.3,6.6,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Olympia,47.0379,-122.9007,12.82,15.0,11.8,8.8,13.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tri-Cities,46.2396,-119.1006,10.4,12.3,10.0,7.6,11.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Vancouver,45.6387,-122.6615,14.2,15.7,12.8,9.5,14.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Everett,47.979,-122.2021,14.52,17.9,14.0,10.4,15.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tacoma,47.2529,-122.4443,12.95,15.1,12.8,9.3,14.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bellevue,47.6101,-122.2015,17.5,21.5,17.4,12.9,18.7,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bradenton,27.4989,-82.5748,11.98,13.3,11.2,8.5,13.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lakeland,28.0395,-81.9498,9.97,12.8,10.0,7.4,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Fort Myers,26.6406,-81.8723,13.0,14.1,12.1,9.1,13.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Naples,26.142,-81.7948,13.77,17.6,13.9,9.9,15.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Ocala,29.1872,-82.1401,10.39,12.2,9.4,7.0,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Palm Beach,26.7056,-80.0364,15.34,16.7,14.0,10.4,15.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Miami,25.7617,-80.1918,15.07,17.4,13.9,10.9,16.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Daytona,29.2108,-81.0228,10.64,11.7,9.9,7.7,11.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Melbourne,28.0836,-80.6081,11.12,12.9,11.0,8.7,12.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Gainesville,29.6516,-82.3248,10.22,11.5,9.6,7.4,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Port St. Lucie,27.273,-80.3582,12.53,15.1,12.2,9.5,13.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Pensacola,30.4213,-87.2169,9.97,11.8,10.2,7.6,11.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Macon,32.8407,-83.6324,8.27,9.6,8.5,6.0,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Augusta,33.4735,-82.0105,9.24,10.3,9.2,6.9,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Columbus GA,32.461,-84.9877,8.48,10.6,8.5,6.5,9.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Athens,33.9519,-83.3576,10.43,12.4,9.8,7.7,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Valdosta,30.8327,-83.2785,8.59,9.9,8.5,6.2,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Birmingham,33.5186,-86.8104,9.26,10.6,8.5,6.8,10.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Mobile,30.6954,-88.0399,8.12,9.7,7.8,6.5,9.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tuscaloosa,33.2098,-87.5692,8.9,10.0,8.8,6.2,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Dothan,31.2232,-85.3905,8.52,9.8,7.8,6.2,9.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Auburn,32.6099,-85.4808,10.63,11.9,10.1,7.6,11.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Jackson,32.2988,-90.1848,8.2,9.5,7.9,6.1,8.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Gulfport,30.3674,-89.0928,8.95,10.1,8.6,6.3,10.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Hattiesburg,31.3271,-89.2903,8.77,10.5,8.2,5.8,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Starkville,33.4504,-88.8184,8.06,10.5,8.1,6.4,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Little Rock,34.7465,-92.2896,8.64,10.6,8.7,6.3,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Fort Smith,35.3859,-94.3985,8.5,10.2,7.6,5.9,9.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Jonesboro,35.8423,-90.7043,8.56,9.8,8.1,6.4,9.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Springdale,36.1867,-94.1288,10.76,11.4,9.5,7.2,10.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Rogers,36.332,-94.1185,11.12,13.1,10.0,8.0,12.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bentonville,36.3729,-94.2088,11.94,13.9,11.0,8.4,12.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Clarksville,36.5298,-87.3595,8.95,10.6,8.6,6.5,10.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Johnson City,36.3134,-82.3535,9.27,10.7,8.7,6.8,10.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Kingsport,36.5484,-82.5618,9.38,11.4,8.6,6.3,9.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Jackson TN,35.6145,-88.8139,8.5,10.3,8.2,6.2,9.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Franklin,35.9251,-86.8689,15.3,16.4,13.9,10.3,15.6,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Brentwood,36.0331,-86.7828,16.79,19.2,15.0,12.0,17.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Murfreesboro,35.8456,-86.3903,11.03,13.7,11.4,7.9,12.3,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Smyrna,35.9829,-86.5186,11.54,14.3,10.9,8.7,12.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Spring Hill,35.7512,-86.93,12.59,15.1,11.8,8.5,12.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bowling Green,36.9685,-86.4808,9.45,11.3,9.2,6.5,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lexington,38.0406,-84.5037,9.61,12.1,9.5,7.1,10.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Evansville,37.9716,-87.5711,8.08,10.6,7.7,6.2,9.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
South Bend,41.6764,-86.252,8.96,9.6,8.2,5.9,9.1,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Fort Wayne,41.1306,-85.1289,8.35,9.7,7.6,6.1,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Grand Rapids,42.9634,-85.6681,9.85,12.4,9.7,7.5,10.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Ann Arbor,42.2808,-83.743,13.84,15.7,13.3,10.1,15.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Lansing,42.7325,-84.5555,9.06,11.1,9.0,6.5,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Kalamazoo,42.2917,-85.5872,9.24,11.4,9.0,6.5,9.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Flint,43.0125,-83.6875,7.61,9.2,6.7,5.6,8.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Detroit,42.3314,-83.0458,8.85,11.0,8.3,6.5,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Toledo,41.6639,-83.5552,8.59,10.5,8.2,6.0,8.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Akron,41.0814,-81.519,8.99,9.7,7.6,6.2,9.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Dayton,39.7589,-84.1916,8.41,9.5,8.2,6.3,9.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Cincinnati,39.1031,-84.512,10.67,11.4,9.3,7.0,11.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Cleveland,41.4993,-81.6944,9.04,11.1,8.5,6.4,9.7,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Pittsburgh,40.4406,-79.9959,10.19,13.4,10.6,7.8,12.0,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Providence,41.824,-71.4128,13.92,16.9,12.3,10.0,14.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Hartford,41.7658,-72.6851,12.51,15.3,11.3,8.7,13.9,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Bridgeport,41.1865,-73.1952,13.79,15.1,12.2,10.0,14.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Springfield MA,42.1015,-72.5898,10.82,13.5,10.7,8.0,11.3,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Worcester,42.2626,-71.8023,13.43,15.3,13.3,9.9,15.2,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Syracuse,43.0481,-76.1474,10.24,11.5,9.3,7.5,11.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Rochester,43.1566,-77.6088,10.63,12.4,10.1,7.5,10.9,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Albany,42.6526,-73.7562,11.07,12.9,10.1,7.8,11.5,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Buffalo,42.8864,-78.8784,10.04,12.7,9.4,7.7,11.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Yonkers,40.9312,-73.8988,15.7,18.8,14.6,11.6,16.4,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Newark,40.7357,-74.1724,15.03,17.9,13.4,10.1,15.1,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Paterson,40.9168,-74.1719,13.33,16.3,12.1,10.2,14.7,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Anchorage,61.2181,-149.9003,12.53,15.2,12.0,8.7,14.0,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Honolulu,21.3069,-157.8583,19.5,21.9,16.9,12.6,19.5,Compressing,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Wichita Falls,33.9137,-98.4934,8.76,10.4,8.4,6.4,9.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Midland,31.9973,-102.0779,10.23,13.3,9.7,7.4,12.2,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Odessa,31.8457,-102.3676,10.03,11.9,9.7,7.0,10.6,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Tyler,32.3513,-95.3011,8.7,11.5,8.5,6.7,9.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Waco,31.5493,-97.1467,9.36,10.8,9.1,6.4,10.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Beaumont,30.086,-94.1018,8.83,11.2,8.2,6.3,9.8,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
Abilene,32.4487,-99.7331,8.0,10.5,8.5,6.2,9.4,Expanding,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
