city,lat,lng,renter_occupied_pct,owner_occupied_pct,household_formation_annual,avg_household_size,median_age_renters,renter_household_income,data_source,as_of_date,source_url
Las Vegas,36.1699,-115.1398,47.98,52.6,5658,2.43,37.19,42841.44,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Memphis,35.1495,-90.049,51.73,46.1,640,2.7,32.93,38333.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Louisville,38.2527,-85.7585,44.47,51.5,2165,2.57,33.17,45240.25,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Portland,45.5051,-122.675,54.31,46.4,2506,2.53,32.72,57575.23,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Baltimore,39.2904,-76.6122,51.98,47.2,357,2.38,33.02,55387.51,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Milwaukee,43.0389,-87.9065,50.91,51.3,353,2.4,32.39,39382.68,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Albuquerque,35.0844,-106.6504,44.53,53.2,1770,2.71,34.0,35563.21,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tucson,32.2226,-110.9747,45.34,55.1,2614,2.35,33.21,35029.46,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Central Valley,36.7783,-119.4179,49.0,49.1,2848,2.62,34.24,38517.9,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sacramento,38.5816,-121.4944,49.51,50.0,3142,2.53,31.83,52416.54,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kansas City,39.0997,-94.5786,47.24,51.0,2727,2.7,33.13,48292.13,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Atlanta,33.749,-84.388,56.15,46.5,5196,2.46,34.94,49407.27,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Omaha,41.2565,-95.9345,48.31,51.3,2581,2.45,34.95,43648.63,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Colorado Springs,38.8339,-104.8214,42.18,57.8,5603,2.37,32.37,52680.24,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Raleigh-Durham,35.7796,-78.6382,46.75,49.8,7544,2.43,32.03,58931.82,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hampton Roads,36.8529,-75.978,45.16,52.4,1578,2.59,36.44,46216.68,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Minneapolis,44.9778,-93.265,44.86,51.5,1671,2.56,35.7,52220.16,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tampa Bay,27.9506,-82.4572,55.3,47.9,4676,2.65,35.24,43959.62,US Census ACS 5-Year Estimates,2023,https://data.census.gov
New Orleans,29.9511,-90.0715,51.63,47.3,657,2.46,36.61,36549.22,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Richmond,37.5407,-77.436,52.09,50.2,4157,2.45,33.26,48645.68,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Spokane,47.6588,-117.426,42.9,55.0,3683,2.66,36.83,42650.78,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Des Moines,41.5868,-93.625,44.34,56.1,2715,2.59,34.19,46888.43,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Montgomery,32.3668,-86.3,46.15,52.9,1647,2.6,32.93,38945.99,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Inland Empire,33.9806,-117.3755,48.69,51.1,3716,2.53,34.81,47228.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Ventura,34.2805,-119.2945,41.13,55.7,1758,2.42,33.45,58190.77,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tallahassee,30.4518,-84.2807,52.54,45.6,2476,2.38,33.62,38679.38,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Huntsville,34.7304,-86.5861,40.72,58.6,7157,2.49,33.5,48078.2,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Knoxville,35.9606,-83.9207,43.67,56.0,3704,2.53,36.77,41077.45,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Chattanooga,35.0456,-85.3097,43.99,57.2,4285,2.57,33.28,44416.72,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fort Collins,40.5853,-105.0844,45.07,51.9,4755,2.54,32.22,50809.84,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Eugene,44.0521,-123.0868,53.44,48.3,2728,2.36,36.02,43256.23,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Boise,43.615,-116.2023,41.75,59.9,7956,2.44,36.21,49252.85,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sarasota,27.3364,-82.5307,37.29,60.5,5839,2.46,36.52,47246.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Savannah,32.0835,-81.0998,50.83,46.8,4777,2.64,34.84,39342.11,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Charleston,32.7765,-79.9311,44.36,56.4,6831,2.48,35.0,51608.37,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Salt Lake City,40.7608,-111.891,48.45,52.7,4690,2.38,36.96,48343.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Greenville,34.8526,-82.394,44.46,53.5,5111,2.68,34.31,47112.7,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Asheville,35.5951,-82.5515,47.72,49.2,4505,2.53,34.7,43775.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Wilmington,34.2257,-77.9447,48.03,52.6,6359,2.57,34.33,43472.22,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fayetteville,35.0527,-78.8784,44.9,51.2,2805,2.47,35.98,37900.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fayetteville AR,36.0626,-94.1574,47.59,55.0,7388,2.72,36.37,42089.0,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Reno,39.5296,-119.8138,47.51,54.1,5186,2.4,35.18,48448.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Baton Rouge,30.4515,-91.1871,50.62,51.6,1461,2.49,33.7,41469.12,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lafayette,30.2241,-92.0198,45.74,54.2,1692,2.49,34.03,38296.63,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lake Charles,30.2266,-93.2174,45.09,54.0,656,2.44,34.93,38360.72,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Shreveport,32.5252,-93.7502,48.56,50.7,564,2.65,34.18,38199.58,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Corpus Christi,27.8006,-97.3964,46.2,54.4,2623,2.59,33.12,42261.75,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lubbock,33.5779,-101.8552,47.14,55.5,2539,2.53,33.04,35124.71,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Wichita,37.6872,-97.3301,44.71,53.4,1537,2.64,32.43,39282.57,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tulsa,36.154,-95.9928,48.11,55.5,1446,2.4,34.57,39863.58,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sioux Falls,43.5446,-96.7311,44.46,56.8,3593,2.51,35.29,47680.52,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fargo,46.8772,-96.7898,42.6,55.5,3998,2.44,34.6,43623.64,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Billings,45.7833,-108.5007,44.24,59.6,3229,2.67,32.42,40208.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bozeman,45.677,-111.0429,48.43,54.4,12416,2.58,32.87,48591.91,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cheyenne,41.14,-104.8202,41.24,56.6,2520,2.5,36.23,42373.72,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Idaho Falls,43.4917,-112.0408,38.06,60.7,4466,2.53,32.65,38818.47,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Provo,40.2338,-111.6585,41.72,58.9,6384,2.42,36.11,48607.49,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Ogden,41.223,-111.9738,42.86,56.1,4338,2.48,32.78,44814.18,US Census ACS 5-Year Estimates,2023,https://data.census.gov
St. George,37.0965,-113.5684,38.78,60.6,10302,2.45,36.67,46341.73,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Carson City,39.1638,-119.7674,44.18,53.9,3608,2.37,36.49,49569.81,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Santa Fe,35.687,-105.9378,48.29,53.4,2556,2.51,35.33,47626.68,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Las Cruces,32.3199,-106.7637,48.44,51.5,2726,2.65,34.91,34982.02,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Yuma,32.6927,-114.6277,46.41,55.2,1637,2.66,35.2,37009.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Flagstaff,35.1983,-111.6513,46.9,52.4,4545,2.62,35.28,42056.59,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Prescott,34.54,-112.4685,40.19,60.2,7047,2.61,32.18,43664.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Medford,42.3265,-122.8756,48.57,52.0,2850,2.64,34.54,39042.43,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bend,44.0582,-121.3153,42.4,55.4,8702,2.49,36.18,50676.3,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Corvallis,44.5646,-123.262,51.69,45.1,2313,2.38,36.91,43640.78,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Salem,44.9429,-123.0351,45.62,54.6,2671,2.46,34.04,43865.45,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bellingham,48.7519,-122.4787,48.51,52.5,4886,2.59,35.79,49498.49,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Yakima,46.6021,-120.5059,46.54,54.3,1579,2.64,32.89,36618.72,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Olympia,47.0379,-122.9007,46.39,55.7,3838,2.49,32.71,54846.72,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tri-Cities,46.2396,-119.1006,44.08,55.6,4278,2.61,35.96,49087.58,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Vancouver,45.6387,-122.6615,47.47,55.2,4620,2.47,32.87,53195.3,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Everett,47.979,-122.2021,50.8,50.8,3769,2.35,35.97,58810.45,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tacoma,47.2529,-122.4443,46.38,51.1,4110,2.49,35.55,53623.3,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bellevue,47.6101,-122.2015,51.27,46.8,5230,2.52,31.82,78005.55,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bradenton,27.4989,-82.5748,39.24,61.0,8538,2.46,33.68,43144.36,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lakeland,28.0395,-81.9498,39.62,60.2,7476,2.69,35.77,38573.94,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fort Myers,26.6406,-81.8723,38.83,58.8,7415,2.57,34.96,46350.6,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Naples,26.142,-81.7948,34.51,66.3,7520,2.39,33.56,63300.33,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Ocala,29.1872,-82.1401,40.8,60.1,5774,2.43,36.42,35498.51,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Palm Beach,26.7056,-80.0364,43.68,57.6,6395,2.43,35.71,56649.12,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Miami,25.7617,-80.1918,64.13,37.2,3682,2.47,34.69,41909.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Daytona,29.2108,-81.0228,46.32,54.6,4284,2.39,35.35,39843.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Melbourne,28.0836,-80.6081,44.57,57.9,6276,2.57,35.95,42025.88,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Gainesville,29.6516,-82.3248,51.36,50.0,3658,2.37,36.8,37531.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Port St. Lucie,27.273,-80.3582,40.02,59.7,8105,2.35,36.72,41890.18,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pensacola,30.4213,-87.2169,44.35,55.4,5346,2.66,33.2,39306.01,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Macon,32.8407,-83.6324,51.01,51.1,1472,2.51,34.32,34521.63,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Augusta,33.4735,-82.0105,50.87,51.9,2446,2.46,32.77,39527.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Columbus GA,32.461,-84.9877,46.62,51.8,1766,2.5,37.24,39541.43,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Athens,33.9519,-83.3576,52.47,48.4,3589,2.45,31.88,38449.98,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Valdosta,30.8327,-83.2785,47.1,53.4,1571,2.62,34.37,32757.75,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Birmingham,33.5186,-86.8104,45.23,54.0,1712,2.71,36.17,37084.17,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Mobile,30.6954,-88.0399,45.05,54.8,1554,2.4,36.16,33263.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tuscaloosa,33.2098,-87.5692,49.32,52.0,4249,2.37,35.42,36545.03,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Dothan,31.2232,-85.3905,43.94,57.4,1477,2.37,36.66,35589.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Auburn,32.6099,-85.4808,49.78,53.6,5308,2.54,32.16,41619.28,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Jackson,32.2988,-90.1848,48.49,51.4,653,2.42,36.7,35487.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Gulfport,30.3674,-89.0928,45.4,54.0,1617,2.63,36.3,37546.54,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hattiesburg,31.3271,-89.2903,50.34,49.7,1591,2.64,35.53,34196.46,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Starkville,33.4504,-88.8184,48.27,51.2,2431,2.58,32.93,35367.53,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Little Rock,34.7465,-92.2896,48.41,55.3,1483,2.39,33.01,38232.69,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fort Smith,35.3859,-94.3985,43.67,54.3,1521,2.38,34.44,34892.62,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Jonesboro,35.8423,-90.7043,43.02,53.3,2626,2.39,34.91,37664.43,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Springdale,36.1867,-94.1288,46.59,52.3,6686,2.68,35.12,45082.55,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Rogers,36.332,-94.1185,43.93,53.7,7374,2.53,36.74,49242.59,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bentonville,36.3729,-94.2088,41.66,58.8,10339,2.7,35.64,51111.75,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Clarksville,36.5298,-87.3595,42.85,54.1,3739,2.69,33.71,40609.32,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Johnson City,36.3134,-82.3535,45.46,55.9,3085,2.67,36.25,37440.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kingsport,36.5484,-82.5618,41.79,58.8,2431,2.49,32.23,36687.61,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Jackson TN,35.6145,-88.8139,43.61,55.1,1524,2.33,32.11,34512.49,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Franklin,35.9251,-86.8689,39.67,61.4,7961,2.39,32.33,69125.59,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Brentwood,36.0331,-86.7828,33.77,68.7,6254,2.61,32.12,82509.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Murfreesboro,35.8456,-86.3903,44.23,53.6,7416,2.45,37.01,48371.7,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Smyrna,35.9829,-86.5186,45.93,54.3,5637,2.62,32.07,50972.45,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Spring Hill,35.7512,-86.93,37.73,62.6,9145,2.63,34.02,58262.63,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bowling Green,36.9685,-86.4808,43.95,57.0,3429,2.41,36.34,39900.96,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lexington,38.0406,-84.5037,48.45,54.6,2295,2.57,35.46,44056.47,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Evansville,37.9716,-87.5711,44.27,56.1,1613,2.54,36.63,38267.27,US Census ACS 5-Year Estimates,2023,https://data.census.gov
South Bend,41.6764,-86.252,44.24,54.8,1685,2.43,32.92,38683.01,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Fort Wayne,41.1306,-85.1289,43.02,55.8,2400,2.59,34.55,38295.42,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Grand Rapids,42.9634,-85.6681,44.91,55.1,4073,2.42,36.63,41412.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Ann Arbor,42.2808,-83.743,53.27,49.8,2256,2.37,34.58,59913.79,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lansing,42.7325,-84.5555,45.24,53.3,1705,2.55,34.21,34607.14,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kalamazoo,42.2917,-85.5872,48.92,52.2,1542,2.4,36.32,35383.5,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Flint,43.0125,-83.6875,53.45,48.6,1,2.37,33.67,30010.18,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Detroit,42.3314,-83.0458,53.53,47.0,1,2.33,37.18,37280.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Toledo,41.6639,-83.5552,48.86,52.9,619,2.44,34.55,34231.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Akron,41.0814,-81.519,49.55,51.0,572,2.38,32.7,35977.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Dayton,39.7589,-84.1916,50.46,49.8,582,2.41,32.76,33928.27,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cincinnati,39.1031,-84.512,48.56,49.8,1505,2.67,35.47,45545.66,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cleveland,41.4993,-81.6944,52.64,48.4,337,2.5,33.14,36991.32,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Pittsburgh,40.4406,-79.9959,48.58,52.3,578,2.47,33.17,44775.71,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Providence,41.824,-71.4128,50.2,49.4,1439,2.35,31.85,55356.83,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Hartford,41.7658,-72.6851,48.47,51.5,572,2.44,33.46,51188.06,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bridgeport,41.1865,-73.1952,53.52,47.8,655,2.38,34.77,46637.34,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Springfield MA,42.1015,-72.5898,51.0,48.7,658,2.44,31.96,38994.91,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Worcester,42.2626,-71.8023,54.48,45.6,1546,2.63,33.05,50906.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Syracuse,43.0481,-76.1474,49.22,52.0,569,2.59,37.05,37356.42,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Rochester,43.1566,-77.6088,49.44,47.5,674,2.52,36.1,42483.51,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Albany,42.6526,-73.7562,50.58,50.1,1660,2.39,34.15,43449.12,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Buffalo,42.8864,-78.8784,54.53,45.7,641,2.64,33.14,36558.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Yonkers,40.9312,-73.8988,60.61,35.3,1574,2.49,36.93,61326.03,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Newark,40.7357,-74.1724,65.61,29.0,1609,2.59,35.45,38094.57,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Paterson,40.9168,-74.1719,65.51,31.9,1654,2.36,35.57,38047.43,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Anchorage,61.2181,-149.9003,42.65,59.1,1777,2.42,33.51,56429.96,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Honolulu,21.3069,-157.8583,53.45,42.1,1502,2.68,32.31,55845.23,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Wichita Falls,33.9137,-98.4934,46.41,57.6,674,2.46,36.7,33389.11,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Midland,31.9973,-102.0779,38.5,61.0,4750,2.57,36.41,53571.04,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Odessa,31.8457,-102.3676,39.0,58.7,4233,2.56,36.26,48751.37,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Tyler,32.3513,-95.3011,45.05,56.6,2429,2.34,34.28,41899.97,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Waco,31.5493,-97.1467,45.23,54.7,2789,2.54,33.3,35454.78,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Beaumont,30.086,-94.1018,48.58,52.7,592,2.46,33.91,39116.56,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Abilene,32.4487,-99.7331,45.85,56.4,1717,2.68,34.73,34875.86,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Laredo,27.5306,-99.4803,46.22,50.3,2616,2.4,31.75,34162.38,US Census ACS 5-Year Estimates,2023,https://data.census.gov
McAllen,26.2034,-98.23,47.2,49.5,4123,2.32,33.17,32499.07,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Brownsville,25.9017,-97.4975,50.75,48.3,2342,2.69,32.86,33185.38,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Killeen,31.1171,-97.7278,47.18,52.1,2331,2.49,32.73,40261.48,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Bryan-College Station,30.628,-96.3344,54.72,46.2,4782,2.45,35.94,42520.9,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Victoria,28.8053,-97.0036,43.1,56.3,1681,2.33,36.64,40256.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Longview,32.5007,-94.7405,45.11,57.7,1748,2.47,34.34,36636.65,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Nacogdoches,31.6035,-94.6552,48.14,54.0,1703,2.71,31.97,33268.42,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Lufkin,31.3382,-94.7291,43.11,54.9,627,2.6,33.75,32437.05,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Huntsville TX,30.7235,-95.5508,44.96,55.6,2418,2.47,32.99,39382.09,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Texarkana,33.4251,-94.0477,45.97,51.4,569,2.61,34.9,34299.82,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Paris TX,33.6609,-95.5555,44.03,56.5,599,2.68,33.54,36665.44,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Amarillo,35.222,-101.8313,44.52,55.1,2494,2.63,33.06,39577.19,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Deltona,28.9005,-81.2637,42.51,57.9,5954,2.38,34.36,44783.33,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Daytona Beach,29.2108,-81.0228,45.97,53.7,4945,2.66,36.49,35749.51,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Kissimmee,28.2919,-81.4076,52.09,49.2,8311,2.72,35.83,44359.44,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Sanford,28.8005,-81.2731,45.29,54.0,7266,2.7,34.76,39823.95,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Clearwater,27.9659,-82.8001,46.55,52.3,4875,2.44,35.79,45022.35,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Cape Coral,26.5629,-81.9495,39.92,60.7,9145,2.44,36.97,47439.11,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Homestead,25.4687,-80.4776,60.52,39.1,4561,2.56,36.66,38314.0,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Doral,25.8195,-80.3556,62.56,34.8,7120,2.69,33.08,53538.69,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Aventura,25.9565,-80.1392,63.74,36.2,4703,2.49,36.99,62752.44,US Census ACS 5-Year Estimates,2023,https://data.census.gov
Boca Raton,26.3683,-80.1289,47.11,50.8,5450,2.59,33.21,67018.87,US Census ACS 5-Year Estimates,2023,https://data.census.gov
West Palm Beach,26.7153,-80.0534,52.54,48.7,5760,2.47,36.6,50240.84,US Census ACS 5-Year Estimates,2023,https://data.census.gov
