city,lat,lng,effective_rent_per_unit,effective_rent_per_sf,asking_rent_per_unit,avg_unit_sf,studio_rent,one_br_rent,two_br_rent,three_br_rent,data_source,as_of_date,source_url
Montgomery,32.3668,-86.3,1005.15,1.07,1025.25,941.0,724.0,925.0,1186.0,1457.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Inland Empire,33.9806,-117.3755,2184.31,2.66,2228.0,821.0,1573.0,2010.0,2577.0,3167.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Ventura,34.2805,-119.2945,2460.44,3.16,2509.65,779.0,1772.0,2264.0,2903.0,3568.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tallahassee,30.4518,-84.2807,1282.84,1.37,1308.5,934.0,924.0,1180.0,1514.0,1860.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Huntsville,34.7304,-86.5861,1229.29,1.24,1253.88,993.0,885.0,1131.0,1451.0,1782.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Knoxville,35.9606,-83.9207,1295.74,1.68,1321.65,770.0,933.0,1192.0,1529.0,1879.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Chattanooga,35.0456,-85.3097,1215.12,1.18,1239.42,1031.0,875.0,1118.0,1434.0,1762.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fort Collins,40.5853,-105.0844,1677.74,2.17,1711.29,773.0,1208.0,1544.0,1980.0,2433.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Eugene,44.0521,-123.0868,1550.02,1.65,1581.02,937.0,1116.0,1426.0,1829.0,2248.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Boise,43.615,-116.2023,1438.78,1.53,1467.56,938.0,1036.0,1324.0,1698.0,2086.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sarasota,27.3364,-82.5307,1810.24,2.04,1846.44,888.0,1303.0,1665.0,2136.0,2625.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Savannah,32.0835,-81.0998,1394.87,1.38,1422.77,1011.0,1004.0,1283.0,1646.0,2023.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Charleston,32.7765,-79.9311,1838.24,2.39,1875.0,769.0,1324.0,1691.0,2169.0,2665.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Salt Lake City,40.7608,-111.891,1524.02,1.62,1554.5,942.0,1097.0,1402.0,1798.0,2210.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Greenville,34.8526,-82.394,1414.54,1.56,1442.83,904.0,1018.0,1301.0,1669.0,2051.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Asheville,35.5951,-82.5515,1587.8,1.68,1619.56,942.0,1143.0,1461.0,1874.0,2302.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Wilmington,34.2257,-77.9447,1525.54,1.86,1556.05,821.0,1098.0,1403.0,1800.0,2212.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fayetteville,35.0527,-78.8784,1200.23,1.35,1224.23,887.0,864.0,1104.0,1416.0,1740.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fayetteville AR,36.0626,-94.1574,1321.93,1.68,1348.37,789.0,952.0,1216.0,1560.0,1917.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Reno,39.5296,-119.8138,1698.5,1.68,1732.47,1012.0,1223.0,1563.0,2004.0,2463.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Baton Rouge,30.4515,-91.1871,1121.96,1.47,1144.4,766.0,808.0,1032.0,1324.0,1627.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lafayette,30.2241,-92.0198,1126.22,1.27,1148.74,890.0,811.0,1036.0,1329.0,1633.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lake Charles,30.2266,-93.2174,1100.33,1.14,1122.34,968.0,792.0,1012.0,1298.0,1595.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Shreveport,32.5252,-93.7502,1048.41,1.12,1069.38,938.0,755.0,965.0,1237.0,1520.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Corpus Christi,27.8006,-97.3964,1167.79,1.19,1191.15,980.0,841.0,1074.0,1378.0,1693.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lubbock,33.5779,-101.8552,1024.19,1.1,1044.67,933.0,737.0,942.0,1209.0,1485.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Wichita,37.6872,-97.3301,1054.98,1.32,1076.08,798.0,760.0,971.0,1245.0,1530.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tulsa,36.154,-95.9928,1027.66,1.08,1048.21,947.0,740.0,945.0,1213.0,1490.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Sioux Falls,43.5446,-96.7311,1186.35,1.31,1210.08,902.0,854.0,1091.0,1400.0,1720.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fargo,46.8772,-96.7898,1135.18,1.37,1157.88,826.0,817.0,1044.0,1340.0,1646.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Billings,45.7833,-108.5007,1156.79,1.24,1179.93,931.0,833.0,1064.0,1365.0,1677.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bozeman,45.677,-111.0429,1926.66,2.4,1965.19,803.0,1387.0,1773.0,2273.0,2794.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Cheyenne,41.14,-104.8202,1136.08,1.3,1158.8,873.0,818.0,1045.0,1341.0,1647.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Idaho Falls,43.4917,-112.0408,1294.3,1.45,1320.19,895.0,932.0,1191.0,1527.0,1877.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Provo,40.2338,-111.6585,1350.72,1.52,1377.73,889.0,973.0,1243.0,1594.0,1959.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Ogden,41.223,-111.9738,1254.64,1.29,1279.73,976.0,903.0,1154.0,1480.0,1819.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
St. George,37.0965,-113.5684,1551.16,1.86,1582.18,833.0,1117.0,1427.0,1830.0,2249.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Carson City,39.1638,-119.7674,1451.98,1.89,1481.02,767.0,1045.0,1336.0,1713.0,2105.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Santa Fe,35.687,-105.9378,1693.39,2.08,1727.26,812.0,1219.0,1558.0,1998.0,2455.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Las Cruces,32.3199,-106.7637,1094.31,1.18,1116.2,930.0,788.0,1007.0,1291.0,1587.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Yuma,32.6927,-114.6277,1104.17,1.14,1126.25,966.0,795.0,1016.0,1303.0,1601.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Flagstaff,35.1983,-111.6513,1662.46,1.93,1695.71,863.0,1197.0,1529.0,1962.0,2411.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Prescott,34.54,-112.4685,1456.42,1.6,1485.55,910.0,1049.0,1340.0,1719.0,2112.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Medford,42.3265,-122.8756,1459.69,1.5,1488.88,972.0,1051.0,1343.0,1722.0,2117.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bend,44.0582,-121.3153,1797.53,1.8,1833.48,998.0,1294.0,1654.0,2121.0,2606.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Corvallis,44.5646,-123.262,1522.15,1.79,1552.59,852.0,1096.0,1400.0,1796.0,2207.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Salem,44.9429,-123.0351,1366.5,1.6,1393.83,854.0,984.0,1257.0,1612.0,1981.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bellingham,48.7519,-122.4787,1792.95,1.89,1828.81,948.0,1291.0,1650.0,2116.0,2600.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Yakima,46.6021,-120.5059,1109.43,1.22,1131.62,908.0,799.0,1021.0,1309.0,1609.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Olympia,47.0379,-122.9007,1588.64,1.7,1620.41,933.0,1144.0,1462.0,1875.0,2304.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tri-Cities,46.2396,-119.1006,1254.31,1.49,1279.4,843.0,903.0,1154.0,1480.0,1819.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Vancouver,45.6387,-122.6615,1925.87,2.24,1964.39,861.0,1387.0,1772.0,2273.0,2793.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Everett,47.979,-122.2021,2170.6,2.17,2214.01,998.0,1563.0,1997.0,2561.0,3147.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tacoma,47.2529,-122.4443,1894.97,2.36,1932.87,803.0,1364.0,1743.0,2236.0,2748.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bellevue,47.6101,-122.2015,2722.41,2.88,2776.86,945.0,1960.0,2505.0,3212.0,3947.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bradenton,27.4989,-82.5748,1625.23,2.05,1657.73,793.0,1170.0,1495.0,1918.0,2357.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lakeland,28.0395,-81.9498,1377.27,1.48,1404.82,933.0,992.0,1267.0,1625.0,1997.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fort Myers,26.6406,-81.8723,1912.6,2.01,1950.85,951.0,1377.0,1760.0,2257.0,2773.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Naples,26.142,-81.7948,2494.61,2.81,2544.5,888.0,1796.0,2295.0,2944.0,3617.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Ocala,29.1872,-82.1401,1299.64,1.66,1325.63,783.0,936.0,1196.0,1534.0,1884.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Palm Beach,26.7056,-80.0364,2268.02,2.91,2313.38,779.0,1633.0,2087.0,2676.0,3289.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Miami,25.7617,-80.1918,2469.5,2.63,2518.89,939.0,1778.0,2272.0,2914.0,3581.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Daytona,29.2108,-81.0228,1370.42,1.59,1397.83,862.0,987.0,1261.0,1617.0,1987.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Melbourne,28.0836,-80.6081,1424.97,1.79,1453.47,797.0,1026.0,1311.0,1681.0,2066.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Gainesville,29.6516,-82.3248,1308.98,1.67,1335.16,782.0,942.0,1204.0,1545.0,1898.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Port St. Lucie,27.273,-80.3582,1646.79,1.67,1679.73,983.0,1186.0,1515.0,1943.0,2388.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Pensacola,30.4213,-87.2169,1382.1,1.36,1409.74,1015.0,995.0,1272.0,1631.0,2004.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Macon,32.8407,-83.6324,1101.67,1.27,1123.7,866.0,793.0,1014.0,1300.0,1597.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Augusta,33.4735,-82.0105,1150.41,1.13,1173.42,1017.0,828.0,1058.0,1357.0,1668.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Columbus GA,32.461,-84.9877,1178.85,1.16,1202.43,1015.0,849.0,1085.0,1391.0,1709.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Athens,33.9519,-83.3576,1323.58,1.54,1350.05,859.0,953.0,1218.0,1562.0,1919.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Valdosta,30.8327,-83.2785,1054.23,1.1,1075.31,959.0,759.0,970.0,1244.0,1529.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Birmingham,33.5186,-86.8104,1123.11,1.14,1145.57,985.0,809.0,1033.0,1325.0,1629.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Mobile,30.6954,-88.0399,1026.23,1.05,1046.75,973.0,739.0,944.0,1211.0,1488.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Tuscaloosa,33.2098,-87.5692,1179.53,1.27,1203.12,930.0,849.0,1085.0,1392.0,1710.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Dothan,31.2232,-85.3905,1038.91,1.34,1059.69,773.0,748.0,956.0,1226.0,1506.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Auburn,32.6099,-85.4808,1331.6,1.38,1358.23,963.0,959.0,1225.0,1571.0,1931.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Jackson,32.2988,-90.1848,1028.8,1.09,1049.38,945.0,741.0,946.0,1214.0,1492.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Gulfport,30.3674,-89.0928,1161.11,1.17,1184.33,989.0,836.0,1068.0,1370.0,1684.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Hattiesburg,31.3271,-89.2903,1092.14,1.32,1113.98,830.0,786.0,1005.0,1289.0,1584.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Starkville,33.4504,-88.8184,1020.12,1.04,1040.52,982.0,734.0,939.0,1204.0,1479.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Little Rock,34.7465,-92.2896,1167.16,1.31,1190.5,893.0,840.0,1074.0,1377.0,1692.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fort Smith,35.3859,-94.3985,1013.03,1.14,1033.29,886.0,729.0,932.0,1195.0,1469.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Jonesboro,35.8423,-90.7043,1051.84,1.35,1072.88,776.0,757.0,968.0,1241.0,1525.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Springdale,36.1867,-94.1288,1321.23,1.48,1347.65,891.0,951.0,1216.0,1559.0,1916.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Rogers,36.332,-94.1185,1358.35,1.52,1385.52,891.0,978.0,1250.0,1603.0,1970.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bentonville,36.3729,-94.2088,1429.12,1.71,1457.7,835.0,1029.0,1315.0,1686.0,2072.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Clarksville,36.5298,-87.3595,1196.6,1.42,1220.53,842.0,862.0,1101.0,1412.0,1735.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Johnson City,36.3134,-82.3535,1153.05,1.21,1176.11,952.0,830.0,1061.0,1361.0,1672.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Kingsport,36.5484,-82.5618,1196.84,1.32,1220.78,909.0,862.0,1101.0,1412.0,1735.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Jackson TN,35.6145,-88.8139,1156.64,1.34,1179.77,863.0,833.0,1064.0,1365.0,1677.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Franklin,35.9251,-86.8689,2090.44,2.41,2132.25,868.0,1505.0,1923.0,2467.0,3031.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Brentwood,36.0331,-86.7828,2393.77,2.33,2441.65,1027.0,1724.0,2202.0,2825.0,3471.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Murfreesboro,35.8456,-86.3903,1458.16,1.49,1487.32,980.0,1050.0,1342.0,1721.0,2114.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Smyrna,35.9829,-86.5186,1550.48,1.7,1581.49,910.0,1116.0,1426.0,1830.0,2248.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Spring Hill,35.7512,-86.93,1705.22,1.74,1739.32,982.0,1228.0,1569.0,2012.0,2473.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bowling Green,36.9685,-86.4808,1191.03,1.24,1214.85,964.0,858.0,1096.0,1405.0,1727.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lexington,38.0406,-84.5037,1252.44,1.23,1277.49,1014.0,902.0,1152.0,1478.0,1816.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Evansville,37.9716,-87.5711,1025.88,1.22,1046.4,844.0,739.0,944.0,1211.0,1488.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
South Bend,41.6764,-86.252,1046.62,1.34,1067.55,781.0,754.0,963.0,1235.0,1518.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Fort Wayne,41.1306,-85.1289,1017.93,1.21,1038.29,840.0,733.0,936.0,1201.0,1476.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Grand Rapids,42.9634,-85.6681,1255.33,1.23,1280.44,1020.0,904.0,1155.0,1481.0,1820.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Ann Arbor,42.2808,-83.743,1898.9,2.14,1936.88,886.0,1367.0,1747.0,2241.0,2753.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Lansing,42.7325,-84.5555,1148.51,1.43,1171.48,801.0,827.0,1057.0,1355.0,1665.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Kalamazoo,42.2917,-85.5872,1195.83,1.29,1219.75,926.0,861.0,1100.0,1411.0,1734.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Flint,43.0125,-83.6875,908.87,1.01,927.05,903.0,654.0,836.0,1072.0,1318.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Detroit,42.3314,-83.0458,1173.17,1.44,1196.63,815.0,845.0,1079.0,1384.0,1701.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Toledo,41.6639,-83.5552,1067.85,1.04,1089.21,1026.0,769.0,982.0,1260.0,1548.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Akron,41.0814,-81.519,1097.48,1.39,1119.43,791.0,790.0,1010.0,1295.0,1591.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Dayton,39.7589,-84.1916,1063.47,1.28,1084.74,833.0,766.0,978.0,1255.0,1542.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Cincinnati,39.1031,-84.512,1225.45,1.28,1249.96,954.0,882.0,1127.0,1446.0,1777.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Cleveland,41.4993,-81.6944,1175.39,1.44,1198.9,815.0,846.0,1081.0,1387.0,1704.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Pittsburgh,40.4406,-79.9959,1398.04,1.75,1426.0,797.0,1007.0,1286.0,1650.0,2027.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Providence,41.824,-71.4128,1893.53,1.84,1931.4,1031.0,1363.0,1742.0,2234.0,2746.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Hartford,41.7658,-72.6851,1630.32,2.03,1662.93,804.0,1174.0,1500.0,1924.0,2364.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Bridgeport,41.1865,-73.1952,1938.65,2.23,1977.42,870.0,1396.0,1784.0,2288.0,2811.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Springfield MA,42.1015,-72.5898,1414.85,1.54,1443.15,918.0,1019.0,1302.0,1670.0,2052.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
Worcester,42.2626,-71.8023,1902.52,2.16,1940.57,881.0,1370.0,1750.0,2245.0,2759.0,CoStar/RealPage,2025-Q4,https://www.realpage.com/analytics
