city,lat,lng,population_growth_yoy_pct,population_growth_5yr_pct,net_migration_annual,domestic_migration_annual,international_migration_annual,population_2024_est,data_source,as_of_date,source_url
Colorado Springs,38.8339,-104.8214,1.83,8.07,4137,3121,1244,896063,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Raleigh-Durham,35.7796,-78.6382,2.27,10.98,6224,4536,1771,913933,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Hampton Roads,36.8529,-75.978,0.57,2.48,1279,995,349,847898,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Minneapolis,44.9778,-93.265,0.45,2.38,1293,962,318,849510,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tampa Bay,27.9506,-82.4572,1.28,6.37,3381,2664,1042,933395,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
New Orleans,29.9511,-90.0715,0.22,1.08,504,358,149,867217,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Richmond,37.5407,-77.436,1.1,5.68,2673,2044,903,872256,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Spokane,47.6588,-117.426,1.13,5.68,2967,2403,785,859832,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Des Moines,41.5868,-93.625,0.74,3.59,2197,1391,536,799754,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Montgomery,32.3668,-86.3,0.58,2.15,1287,958,365,937067,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Inland Empire,33.9806,-117.3755,1.08,5.3,3187,1973,920,781150,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Ventura,34.2805,-119.2945,0.52,2.66,1159,810,381,805120,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tallahassee,30.4518,-84.2807,0.74,4.28,1839,1352,514,926255,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Huntsville,34.7304,-86.5861,2.3,10.4,5564,3559,1623,766033,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Knoxville,35.9606,-83.9207,1.19,6.01,2749,2046,904,761300,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Chattanooga,35.0456,-85.3097,1.4,5.44,3140,2129,786,870685,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fort Collins,40.5853,-105.0844,1.42,7.44,3393,2687,1162,787922,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Eugene,44.0521,-123.0868,0.86,3.3,1829,1363,581,863158,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Boise,43.615,-116.2023,3.06,11.86,7029,4746,1839,882334,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sarasota,27.3364,-82.5307,1.9,8.36,4974,3251,1243,910628,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Savannah,32.0835,-81.0998,1.45,6.18,4147,2450,1169,752488,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Charleston,32.7765,-79.9311,2.12,11.96,6678,4410,1738,770011,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Salt Lake City,40.7608,-111.891,1.72,7.46,3623,2768,987,875296,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Greenville,34.8526,-82.394,1.74,9.43,4839,3229,1379,816564,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Asheville,35.5951,-82.5515,1.44,6.56,3823,2439,1080,808628,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Wilmington,34.2257,-77.9447,1.67,9.87,4342,3067,1165,765748,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fayetteville,35.0527,-78.8784,0.75,3.92,2126,1406,602,890596,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fayetteville AR,36.0626,-94.1574,2.5,10.58,6077,3883,1461,886720,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Reno,39.5296,-119.8138,1.45,6.37,3513,2713,954,880640,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Baton Rouge,30.4515,-91.1871,0.49,2.24,1206,814,385,878539,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lafayette,30.2241,-92.0198,0.55,2.3,1149,910,346,763544,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lake Charles,30.2266,-93.2174,0.23,1.08,475,350,143,860077,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Shreveport,32.5252,-93.7502,0.2,0.93,496,360,145,894288,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Corpus Christi,27.8006,-97.3964,0.69,4.03,2102,1419,566,863974,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lubbock,33.5779,-101.8552,0.92,3.49,2206,1471,531,787208,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Wichita,37.6872,-97.3301,0.42,2.44,1183,793,334,769052,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tulsa,36.154,-95.9928,0.49,2.43,1116,878,328,947450,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Sioux Falls,43.5446,-96.7311,1.39,5.07,2855,2265,830,779783,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fargo,46.8772,-96.7898,1.27,5.11,2848,1974,805,913056,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Billings,45.7833,-108.5007,0.8,4.66,2556,1798,715,875132,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bozeman,45.677,-111.0429,3.85,14.7,8068,6242,2742,780782,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Cheyenne,41.14,-104.8202,0.93,3.68,2136,1403,599,807874,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Idaho Falls,43.4917,-112.0408,1.28,8.23,3834,2487,990,789126,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Provo,40.2338,-111.6585,2.32,10.38,5893,4122,1370,752528,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Ogden,41.223,-111.9738,1.55,8.13,3416,2671,1104,818053,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
St. George,37.0965,-113.5684,2.9,14.69,9051,5877,2389,781864,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Carson City,39.1638,-119.7674,0.98,5.01,3223,2305,884,881987,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Santa Fe,35.687,-105.9378,0.79,3.58,2183,1482,617,840473,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Las Cruces,32.3199,-106.7637,0.81,3.76,1867,1441,611,762422,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Yuma,32.6927,-114.6277,0.47,2.59,1342,793,323,905120,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Flagstaff,35.1983,-111.6513,1.75,7.61,3610,2445,1070,804181,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Prescott,34.54,-112.4685,2.22,9.46,5579,3572,1569,759097,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Medford,42.3265,-122.8756,0.69,4.23,1910,1457,499,898531,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bend,44.0582,-121.3153,2.35,12.83,5821,4369,1570,892452,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Corvallis,44.5646,-123.262,0.72,3.8,2048,1338,579,824255,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Salem,44.9429,-123.0351,0.65,3.67,1969,1268,522,840350,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bellingham,48.7519,-122.4787,1.32,7.85,3680,2600,1172,761933,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Yakima,46.6021,-120.5059,0.45,2.15,1138,865,391,796103,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Olympia,47.0379,-122.9007,1.13,5.81,3069,1944,830,816115,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tri-Cities,46.2396,-119.1006,1.12,4.9,2814,2198,797,811933,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Vancouver,45.6387,-122.6615,1.31,7.38,3492,2714,1038,749468,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Everett,47.979,-122.2021,1.3,6.07,3263,1915,742,810648,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tacoma,47.2529,-122.4443,1.07,5.02,3324,2127,790,886760,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bellevue,47.6101,-122.2015,1.3,6.17,3507,2565,1171,828620,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bradenton,27.4989,-82.5748,2.47,11.74,6961,4283,1594,934374,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lakeland,28.0395,-81.9498,2.01,10.01,5613,4129,1588,886332,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fort Myers,26.6406,-81.8723,2.1,13.54,6855,4240,1750,762647,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Naples,26.142,-81.7948,2.5,11.56,5041,3571,1598,918666,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Ocala,29.1872,-82.1401,1.68,8.85,5447,3698,1287,914178,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Palm Beach,26.7056,-80.0364,1.89,10.77,5135,3598,1381,853733,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Miami,25.7617,-80.1918,1.1,5.71,3324,1963,853,907997,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Daytona,29.2108,-81.0228,1.77,8.24,3733,2912,927,951959,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Melbourne,28.0836,-80.6081,1.73,9.29,4580,3130,1253,787780,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Gainesville,29.6516,-82.3248,1.26,6.56,3303,2188,790,916810,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Port St. Lucie,27.273,-80.3582,2.04,11.1,6168,4805,1814,897409,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Pensacola,30.4213,-87.2169,1.35,7.47,3934,2826,1166,841840,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Macon,32.8407,-83.6324,0.44,2.69,1170,975,354,912342,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Augusta,33.4735,-82.0105,0.85,3.81,2223,1561,514,920624,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Columbus GA,32.461,-84.9877,0.44,2.34,1361,795,389,906446,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Athens,33.9519,-83.3576,0.98,5.01,3221,2408,897,889535,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Valdosta,30.8327,-83.2785,0.51,2.47,1103,833,356,805976,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Birmingham,33.5186,-86.8104,0.51,2.24,1265,882,349,880620,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Mobile,30.6954,-88.0399,0.57,2.47,1232,917,315,804773,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Tuscaloosa,33.2098,-87.5692,1.18,5.71,2860,2308,811,887495,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Dothan,31.2232,-85.3905,0.59,2.73,1223,798,390,848184,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Auburn,32.6099,-85.4808,1.23,7.79,3567,2986,1004,770338,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Jackson,32.2988,-90.1848,0.2,0.93,544,334,153,889249,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Gulfport,30.3674,-89.0928,0.44,2.58,1367,947,317,931110,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Hattiesburg,31.3271,-89.2903,0.54,2.48,1223,860,352,774091,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Starkville,33.4504,-88.8184,0.76,4.26,2091,1414,553,777641,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Little Rock,34.7465,-92.2896,0.53,2.72,1312,832,370,921216,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fort Smith,35.3859,-94.3985,0.51,2.65,1329,920,374,929519,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Jonesboro,35.8423,-90.7043,0.9,3.34,1899,1583,517,895063,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Springdale,36.1867,-94.1288,2.1,11.65,6038,3870,1416,805426,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Rogers,36.332,-94.1185,2.66,11.02,6742,4852,1859,782904,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bentonville,36.3729,-94.2088,3.35,14.59,7590,5876,2086,832292,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Clarksville,36.5298,-87.3595,1.27,5.42,2850,2124,849,789881,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Johnson City,36.3134,-82.3535,0.97,5.52,2464,1704,699,887230,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Kingsport,36.5484,-82.5618,0.7,3.53,1988,1428,532,819073,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Jackson TN,35.6145,-88.8139,0.48,2.24,1278,934,325,803365,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Franklin,35.9251,-86.8689,2.13,12.45,6023,4526,1889,808241,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Brentwood,36.0331,-86.7828,1.9,11.44,5702,4010,1386,844288,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Murfreesboro,35.8456,-86.3903,2.59,9.28,6020,4128,1514,773867,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Smyrna,35.9829,-86.5186,2.07,8.36,5023,3226,1541,767686,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Spring Hill,35.7512,-86.93,2.66,12.41,7052,5700,2042,852692,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bowling Green,36.9685,-86.4808,1.34,5.24,2917,2351,820,816095,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lexington,38.0406,-84.5037,0.75,3.63,2035,1368,529,804997,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Evansville,37.9716,-87.5711,0.45,2.22,1250,981,355,821909,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
South Bend,41.6764,-86.252,0.6,2.06,1297,803,376,775988,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Fort Wayne,41.1306,-85.1289,0.73,3.82,1981,1387,588,908813,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Grand Rapids,42.9634,-85.6681,1.05,5.04,2652,2026,823,816890,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Ann Arbor,42.2808,-83.743,0.9,4.02,1981,1306,622,836964,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Lansing,42.7325,-84.5555,0.58,2.41,1239,830,348,764809,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Kalamazoo,42.2917,-85.5872,0.41,2.58,1350,970,379,781680,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Flint,43.0125,-83.6875,-0.59,-2.28,1,1,1,884639,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Detroit,42.3314,-83.0458,-0.17,-0.86,1,1,1,758383,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Toledo,41.6639,-83.5552,0.23,0.87,448,350,123,950531,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Akron,41.0814,-81.519,0.19,1.05,550,375,146,883986,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Dayton,39.7589,-84.1916,0.2,1.09,474,390,131,867013,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Cincinnati,39.1031,-84.512,0.42,2.63,1395,825,322,938658,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Cleveland,41.4993,-81.6944,0.09,0.45,235,193,68,787290,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Pittsburgh,40.4406,-79.9959,0.23,1.03,491,389,127,767788,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Providence,41.824,-71.4128,0.58,2.16,1138,995,376,853427,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Hartford,41.7658,-72.6851,0.19,1.1,464,355,143,827090,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Bridgeport,41.1865,-73.1952,0.17,1.02,454,340,152,890106,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Springfield MA,42.1015,-72.5898,0.17,0.82,482,341,151,904488,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Worcester,42.2626,-71.8023,0.52,2.4,1239,946,324,755650,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
Syracuse,43.0481,-76.1474,0.2,0.84,454,342,129,894941,US Census Bureau / ESRI,2025,https://www.census.gov/data/tables/time-series/demo/popest/2020s-metro.html
