city,lat,lng,hard_cost_per_sf,soft_cost_per_sf,land_cost_per_unit,total_dev_cost_per_unit,construction_cost_yoy_chg_pct,labor_availability,data_source,as_of_date,source_url
Seattle,47.6062,-122.3321,185.49,47.7,71947.91,419575.63,4.78,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Denver,39.7392,-104.9903,140.88,43.2,53816.26,292925.05,4.07,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Nashville,36.1627,-86.7816,147.29,39.71,37065.19,234719.1,4.72,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Oklahoma City,35.4676,-97.5164,136.45,39.33,21504.84,127996.11,3.42,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
El Paso,31.7619,-106.485,136.91,39.05,22010.31,120628.28,2.67,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
DC Metro,38.9072,-77.0369,174.51,46.04,69268.0,405141.41,3.49,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Boston,42.3601,-71.0589,171.72,57.38,90853.65,499458.96,4.12,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Las Vegas,36.1699,-115.1398,153.49,46.88,34182.84,213205.36,3.01,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Memphis,35.1495,-90.049,139.02,32.49,20004.47,116103.22,3.83,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Louisville,38.2527,-85.7585,124.72,35.21,25893.71,138489.62,4.67,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Portland,45.5051,-122.675,162.91,48.2,44020.53,311847.23,2.13,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Baltimore,39.2904,-76.6122,156.48,43.17,35639.14,190089.9,2.18,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Milwaukee,43.0389,-87.9065,134.09,33.6,24234.39,148495.03,2.23,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Albuquerque,35.0844,-106.6504,132.23,38.95,24055.3,147466.47,3.14,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tucson,32.2226,-110.9747,142.11,38.73,24692.17,143923.75,2.68,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Central Valley,36.7783,-119.4179,140.67,34.9,33361.12,185341.46,2.99,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sacramento,38.5816,-121.4944,148.13,42.37,39854.64,234519.1,3.05,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Kansas City,39.0997,-94.5786,130.63,34.03,26067.11,161857.58,4.77,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Atlanta,33.749,-84.388,154.03,39.87,29980.31,209912.98,2.54,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Omaha,41.2565,-95.9345,137.43,33.78,23403.35,148301.24,2.43,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Colorado Springs,38.8339,-104.8214,158.18,47.05,35620.68,194983.49,2.86,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Raleigh-Durham,35.7796,-78.6382,153.56,44.45,48158.97,255017.11,3.21,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Hampton Roads,36.8529,-75.978,140.06,35.08,27476.67,169118.21,3.03,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Minneapolis,44.9778,-93.265,140.7,43.48,35529.62,213670.55,4.43,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tampa Bay,27.9506,-82.4572,169.77,47.87,36218.94,212689.01,2.48,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
New Orleans,29.9511,-90.0715,120.17,33.36,26442.78,162114.62,2.33,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Richmond,37.5407,-77.436,138.91,37.41,35649.31,193909.5,3.35,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Spokane,47.6588,-117.426,138.28,37.25,31631.35,159276.26,4.36,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Des Moines,41.5868,-93.625,119.43,37.15,28036.16,154920.12,4.06,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Montgomery,32.3668,-86.3,130.32,35.68,20381.69,127507.97,3.94,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Inland Empire,33.9806,-117.3755,152.7,45.73,52617.32,312579.88,2.95,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Ventura,34.2805,-119.2945,193.24,51.34,75506.08,372078.67,3.57,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tallahassee,30.4518,-84.2807,128.02,35.9,23232.21,149295.89,4.86,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Huntsville,34.7304,-86.5861,130.64,36.74,25015.7,169960.48,4.19,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Knoxville,35.9606,-83.9207,137.89,32.11,24588.83,159101.8,4.05,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Chattanooga,35.0456,-85.3097,127.1,37.05,24651.6,159008.05,4.54,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fort Collins,40.5853,-105.0844,168.53,45.3,37637.15,261896.96,3.34,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Eugene,44.0521,-123.0868,150.46,44.95,44613.99,245148.12,3.76,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Boise,43.615,-116.2023,167.47,45.01,35871.8,240367.76,2.63,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sarasota,27.3364,-82.5307,151.74,46.17,44290.47,265212.19,4.41,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Savannah,32.0835,-81.0998,151.31,44.91,37910.39,192938.42,4.64,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Charleston,32.7765,-79.9311,168.89,47.64,41625.99,266914.37,4.3,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Salt Lake City,40.7608,-111.891,162.76,47.36,46099.93,228346.02,3.34,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Greenville,34.8526,-82.394,131.73,36.04,31624.56,169640.86,4.75,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Asheville,35.5951,-82.5515,144.75,38.65,40914.22,240222.11,4.45,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Wilmington,34.2257,-77.9447,150.18,40.06,35754.54,223665.88,2.83,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fayetteville,35.0527,-78.8784,133.56,32.54,24931.66,134186.67,4.0,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fayetteville AR,36.0626,-94.1574,131.61,40.16,27331.72,185651.93,4.19,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Reno,39.5296,-119.8138,151.68,39.19,40510.7,265901.83,3.74,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Baton Rouge,30.4515,-91.1871,135.27,32.51,27631.52,134648.04,3.31,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lafayette,30.2241,-92.0198,118.85,36.93,22464.13,129909.23,2.66,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lake Charles,30.2266,-93.2174,136.9,34.25,20317.97,131345.89,3.42,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Shreveport,32.5252,-93.7502,137.89,38.32,20384.24,123523.34,2.88,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Corpus Christi,27.8006,-97.3964,119.58,38.86,23959.17,148586.26,4.2,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lubbock,33.5779,-101.8552,129.5,39.95,20163.13,120607.23,2.91,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Wichita,37.6872,-97.3301,134.69,35.38,24094.66,130675.84,3.52,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tulsa,36.154,-95.9928,130.18,39.62,23725.72,132255.82,3.23,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Sioux Falls,43.5446,-96.7311,133.78,39.04,23502.79,145962.68,3.95,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fargo,46.8772,-96.7898,117.08,37.58,23326.61,152615.4,4.29,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Billings,45.7833,-108.5007,121.58,36.79,25034.34,149940.67,2.56,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bozeman,45.677,-111.0429,152.46,44.83,53545.4,290004.37,3.64,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Cheyenne,41.14,-104.8202,121.12,40.48,23091.55,158321.52,4.65,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Idaho Falls,43.4917,-112.0408,129.6,34.44,27720.04,151995.48,4.84,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Provo,40.2338,-111.6585,168.11,39.87,31425.03,208933.45,4.02,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Ogden,41.223,-111.9738,131.58,34.44,27114.26,176117.76,3.22,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
St. George,37.0965,-113.5684,147.22,45.45,45053.82,244668.06,3.32,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Carson City,39.1638,-119.7674,143.67,44.47,37527.39,231420.84,2.69,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Santa Fe,35.687,-105.9378,143.87,39.24,43076.0,277517.18,3.51,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Las Cruces,32.3199,-106.7637,137.54,33.62,22388.87,129177.15,3.69,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Yuma,32.6927,-114.6277,139.8,32.47,26849.06,143875.27,2.82,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Flagstaff,35.1983,-111.6513,142.07,43.57,50106.42,253545.6,2.88,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Prescott,34.54,-112.4685,140.95,47.46,38143.88,228516.79,3.88,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Medford,42.3265,-122.8756,140.27,44.89,36438.37,231796.49,4.69,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bend,44.0582,-121.3153,140.96,41.32,52798.99,293504.4,3.51,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Corvallis,44.5646,-123.262,152.54,45.66,42013.49,209311.79,4.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Salem,44.9429,-123.0351,161.64,39.07,31816.75,209408.47,4.84,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bellingham,48.7519,-122.4787,154.37,47.08,48523.64,304018.85,4.38,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Yakima,46.6021,-120.5059,140.17,33.08,27275.31,144765.53,3.84,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Olympia,47.0379,-122.9007,149.24,41.2,43031.02,253385.08,3.57,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tri-Cities,46.2396,-119.1006,141.59,35.5,32454.97,166314.46,4.81,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Vancouver,45.6387,-122.6615,163.15,42.28,52135.68,285450.98,4.71,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Everett,47.979,-122.2021,169.59,57.38,53006.85,322380.24,4.8,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tacoma,47.2529,-122.4443,160.0,39.79,58387.1,318761.1,4.9,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bellevue,47.6101,-122.2015,179.77,48.04,74886.12,447068.16,4.03,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bradenton,27.4989,-82.5748,156.71,46.01,30612.62,208069.65,3.49,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lakeland,28.0395,-81.9498,135.55,39.46,27878.56,183297.95,4.58,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fort Myers,26.6406,-81.8723,168.7,43.07,37932.71,220287.06,2.95,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Naples,26.142,-81.7948,180.67,45.8,55425.24,336068.46,2.47,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Ocala,29.1872,-82.1401,137.72,34.89,26688.02,166283.63,4.2,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Palm Beach,26.7056,-80.0364,186.75,47.53,66302.73,323734.32,3.76,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Miami,25.7617,-80.1918,198.07,54.48,77108.72,424785.9,2.61,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Daytona,29.2108,-81.0228,124.36,38.94,28064.12,162320.0,4.5,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Melbourne,28.0836,-80.6081,166.44,40.24,36066.23,192683.57,3.95,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Gainesville,29.6516,-82.3248,136.01,34.86,31678.22,167004.94,3.33,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Port St. Lucie,27.273,-80.3582,156.57,40.34,39484.84,207769.46,3.78,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Pensacola,30.4213,-87.2169,129.92,38.36,33402.1,185915.27,3.52,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Macon,32.8407,-83.6324,134.24,34.83,21483.41,128049.16,4.8,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Augusta,33.4735,-82.0105,142.76,38.31,25778.95,136590.85,3.62,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Columbus GA,32.461,-84.9877,117.55,37.26,20829.68,134415.39,4.89,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Athens,33.9519,-83.3576,139.02,38.39,28532.77,160880.33,2.73,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Valdosta,30.8327,-83.2785,141.32,35.41,20930.96,117627.69,3.62,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Birmingham,33.5186,-86.8104,120.59,32.55,24772.89,138524.6,3.07,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Mobile,30.6954,-88.0399,132.08,40.32,24399.24,130198.08,4.15,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Tuscaloosa,33.2098,-87.5692,136.29,40.59,26713.13,128017.61,4.03,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Dothan,31.2232,-85.3905,119.45,40.35,20224.94,119479.25,4.52,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Auburn,32.6099,-85.4808,124.45,38.38,30630.29,158078.42,3.33,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Jackson,32.2988,-90.1848,137.57,33.27,21251.06,117652.68,2.89,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Gulfport,30.3674,-89.0928,135.37,38.27,25237.32,131641.04,3.25,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Hattiesburg,31.3271,-89.2903,128.92,32.24,20661.42,119939.16,4.19,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Starkville,33.4504,-88.8184,121.15,35.44,23231.89,127301.8,4.61,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Little Rock,34.7465,-92.2896,138.94,37.96,20215.25,144188.35,3.12,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fort Smith,35.3859,-94.3985,122.42,34.17,21701.33,119677.49,3.77,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Jonesboro,35.8423,-90.7043,142.22,38.3,19307.37,128330.66,4.17,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Springdale,36.1867,-94.1288,132.08,33.31,30878.79,168066.36,3.7,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Rogers,36.332,-94.1185,144.3,45.62,36797.5,180096.17,3.58,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bentonville,36.3729,-94.2088,158.26,48.11,37909.36,210839.66,4.68,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Clarksville,36.5298,-87.3595,133.21,34.74,25280.2,142157.65,2.2,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Johnson City,36.3134,-82.3535,119.49,38.16,23523.93,157270.6,3.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Kingsport,36.5484,-82.5618,130.77,39.35,21930.74,155314.25,2.49,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Jackson TN,35.6145,-88.8139,128.03,32.17,25683.85,129062.1,3.56,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Franklin,35.9251,-86.8689,176.12,53.95,59014.22,362871.6,4.64,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Brentwood,36.0331,-86.7828,178.14,57.42,72264.65,409256.23,3.19,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Murfreesboro,35.8456,-86.3903,165.07,45.17,36346.65,233472.46,3.93,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Smyrna,35.9829,-86.5186,165.99,46.98,35211.19,238038.02,3.68,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Spring Hill,35.7512,-86.93,146.02,43.29,42135.35,246597.79,3.04,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Bowling Green,36.9685,-86.4808,142.61,33.16,23654.39,155738.52,4.55,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lexington,38.0406,-84.5037,131.23,40.06,26353.4,170123.18,4.16,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Evansville,37.9716,-87.5711,138.34,39.53,22762.27,118664.48,2.68,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
South Bend,41.6764,-86.252,138.2,33.36,23874.82,127147.17,3.37,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Fort Wayne,41.1306,-85.1289,128.23,34.44,22076.64,116810.94,2.37,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Grand Rapids,42.9634,-85.6681,139.45,37.78,33713.96,166053.89,3.41,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Ann Arbor,42.2808,-83.743,140.36,47.58,58230.12,282640.43,4.44,Tight,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Lansing,42.7325,-84.5555,132.97,38.44,26562.02,133903.12,2.94,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Kalamazoo,42.2917,-85.5872,118.73,34.93,20656.47,140008.18,3.38,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Flint,43.0125,-83.6875,141.94,37.41,17083.58,98517.89,2.3,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Detroit,42.3314,-83.0458,129.97,39.6,25176.33,144873.59,4.74,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Toledo,41.6639,-83.5552,129.62,34.76,22069.96,119669.76,2.83,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Akron,41.0814,-81.519,122.17,34.13,18625.62,111652.26,3.27,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Dayton,39.7589,-84.1916,124.79,36.29,18563.93,108833.63,2.37,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Cincinnati,39.1031,-84.512,139.05,32.08,26767.54,165541.49,2.93,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Cleveland,41.4993,-81.6944,138.66,34.55,25488.54,137318.23,4.83,Available,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Pittsburgh,40.4406,-79.9959,120.52,36.85,25398.25,172836.97,2.25,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
Providence,41.824,-71.4128,144.2,46.7,44983.94,320743.33,4.64,Moderate,Turner Construction Cost Index / RSMeans,2025-Q4,https://www.turnerconstruction.com/cost-index
