city,lat,lng,mf_permits_12mo,mf_permits_prior_12mo,permit_growth_yoy_pct,single_family_permits_12mo,total_permits_12mo,data_source,as_of_date,source_url
Oklahoma City,35.4676,-97.5164,2002,2208,-4.69,1535,3861,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
El Paso,31.7619,-106.485,1138,1228,-5.8,1047,2130,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
DC Metro,38.9072,-77.0369,7175,7913,-6.52,6197,12105,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Boston,42.3601,-71.0589,4719,5703,-8.08,3992,7858,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Las Vegas,36.1699,-115.1398,4924,5492,-4.27,4512,8038,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Memphis,35.1495,-90.049,1794,1796,-8.87,1365,3332,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Louisville,38.2527,-85.7585,1716,1967,-4.52,1436,3136,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Portland,45.5051,-122.675,3153,3677,-4.68,2525,5603,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Baltimore,39.2904,-76.6122,2774,3309,-4.42,2163,4777,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Milwaukee,43.0389,-87.9065,1426,1712,-6.43,1247,2581,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Albuquerque,35.0844,-106.6504,1343,1344,-5.95,1090,2653,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tucson,32.2226,-110.9747,1453,1552,-8.68,1317,2977,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Central Valley,36.7783,-119.4179,1154,1311,-6.73,961,2148,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sacramento,38.5816,-121.4944,2715,2767,-5.52,2249,5333,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Kansas City,39.0997,-94.5786,2441,2913,-3.98,2215,4626,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Atlanta,33.749,-84.388,9579,10778,-6.15,8349,15900,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Omaha,41.2565,-95.9345,1704,1767,-6.53,1579,2907,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Colorado Springs,38.8339,-104.8214,1915,2013,-8.98,1598,3562,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Raleigh-Durham,35.7796,-78.6382,5715,6185,-4.6,4583,11418,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Hampton Roads,36.8529,-75.978,2239,2625,-6.62,2118,4257,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Minneapolis,44.9778,-93.265,3551,3543,-5.24,2716,5905,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tampa Bay,27.9506,-82.4572,7394,8625,-5.07,6436,13847,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
New Orleans,29.9511,-90.0715,1917,2025,-6.97,1638,3411,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Richmond,37.5407,-77.436,2128,2312,-6.4,1980,3835,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Spokane,47.6588,-117.426,1312,1314,-6.78,1168,2622,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Des Moines,41.5868,-93.625,1615,1936,-4.81,1496,3083,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Montgomery,32.3668,-86.3,948,1006,-6.58,866,1870,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Inland Empire,33.9806,-117.3755,4661,5440,-8.23,4359,8675,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Ventura,34.2805,-119.2945,2024,2268,-4.43,1655,3854,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tallahassee,30.4518,-84.2807,1139,1160,-5.71,1048,2243,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Huntsville,34.7304,-86.5861,1872,2055,-8.25,1696,3093,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Knoxville,35.9606,-83.9207,1937,2125,-4.65,1475,3693,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Chattanooga,35.0456,-85.3097,1490,1691,-7.08,1134,2885,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fort Collins,40.5853,-105.0844,1578,1639,-6.19,1199,2904,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Eugene,44.0521,-123.0868,1195,1380,-4.08,1054,2366,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Boise,43.615,-116.2023,1401,1514,-8.22,1105,2719,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sarasota,27.3364,-82.5307,1837,2027,-3.91,1641,3116,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Savannah,32.0835,-81.0998,1114,1136,-6.05,879,1817,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Charleston,32.7765,-79.9311,3027,3474,-8.31,2538,5591,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Salt Lake City,40.7608,-111.891,3462,3496,-4.68,2707,6491,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Greenville,34.8526,-82.394,1713,1982,-5.96,1528,2850,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Asheville,35.5951,-82.5515,1262,1448,-6.14,1151,2172,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Wilmington,34.2257,-77.9447,1364,1506,-5.26,1106,2541,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fayetteville,35.0527,-78.8784,1347,1549,-7.53,1056,2463,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fayetteville AR,36.0626,-94.1574,1695,2005,-4.88,1488,3097,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Reno,39.5296,-119.8138,1929,2314,-6.62,1726,3388,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Baton Rouge,30.4515,-91.1871,1622,1883,-8.58,1308,3138,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lafayette,30.2241,-92.0198,1186,1418,-8.0,940,2436,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lake Charles,30.2266,-93.2174,951,1130,-6.58,786,1951,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Shreveport,32.5252,-93.7502,1065,1217,-6.55,890,1827,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Corpus Christi,27.8006,-97.3964,1099,1144,-7.28,1023,1843,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lubbock,33.5779,-101.8552,1088,1278,-7.16,840,1996,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Wichita,37.6872,-97.3301,1133,1099,-7.27,1025,2144,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tulsa,36.154,-95.9928,1306,1429,-8.96,1154,2639,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Sioux Falls,43.5446,-96.7311,1073,1296,-7.0,934,2034,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fargo,46.8772,-96.7898,1215,1422,-4.89,1069,2364,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Billings,45.7833,-108.5007,992,1110,-4.11,744,1946,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bozeman,45.677,-111.0429,1331,1483,-5.24,1242,2231,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Cheyenne,41.14,-104.8202,903,889,-8.48,772,1849,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Idaho Falls,43.4917,-112.0408,1030,1065,-7.08,798,1854,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Provo,40.2338,-111.6585,2067,2122,-4.79,1601,3508,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Ogden,41.223,-111.9738,1419,1663,-5.75,1195,2460,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
St. George,37.0965,-113.5684,1544,1804,-4.01,1422,2602,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Carson City,39.1638,-119.7674,1016,1009,-5.7,820,1707,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Santa Fe,35.687,-105.9378,1017,1148,-6.87,898,1750,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Las Cruces,32.3199,-106.7637,829,837,-5.67,633,1369,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Yuma,32.6927,-114.6277,787,894,-7.89,649,1342,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Flagstaff,35.1983,-111.6513,1337,1435,-6.46,1231,2283,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Prescott,34.54,-112.4685,1190,1201,-6.43,968,2046,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Medford,42.3265,-122.8756,894,1050,-7.87,716,1701,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bend,44.0582,-121.3153,1327,1509,-5.2,1026,2349,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Corvallis,44.5646,-123.262,932,1109,-4.77,703,1522,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Salem,44.9429,-123.0351,1160,1195,-5.64,875,2071,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bellingham,48.7519,-122.4787,1217,1216,-8.51,1062,2513,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Yakima,46.6021,-120.5059,776,898,-4.33,730,1289,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Olympia,47.0379,-122.9007,1087,1151,-4.55,966,2043,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tri-Cities,46.2396,-119.1006,1300,1450,-7.24,1057,2119,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Vancouver,45.6387,-122.6615,1865,2184,-8.32,1669,3052,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Everett,47.979,-122.2021,2108,2125,-6.34,1871,3835,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tacoma,47.2529,-122.4443,2556,3050,-4.83,2226,4194,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bellevue,47.6101,-122.2015,3137,3303,-5.33,2371,5792,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bradenton,27.4989,-82.5748,1173,1143,-4.06,961,2036,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lakeland,28.0395,-81.9498,997,1126,-9.02,810,1848,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fort Myers,26.6406,-81.8723,2055,2358,-7.29,1798,3876,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Naples,26.142,-81.7948,1361,1516,-5.23,1169,2574,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Ocala,29.1872,-82.1401,872,850,-5.41,802,1616,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Palm Beach,26.7056,-80.0364,3309,3975,-4.41,2654,6062,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Miami,25.7617,-80.1918,9283,9910,-7.96,8528,17869,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Daytona,29.2108,-81.0228,1078,1182,-7.62,823,1927,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Melbourne,28.0836,-80.6081,1297,1328,-6.51,1035,2386,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Gainesville,29.6516,-82.3248,1146,1204,-7.71,974,1990,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Port St. Lucie,27.273,-80.3582,2102,2046,-6.28,1690,4162,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Pensacola,30.4213,-87.2169,1170,1382,-6.08,1059,2317,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Macon,32.8407,-83.6324,825,938,-6.28,722,1405,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Augusta,33.4735,-82.0105,1255,1326,-8.81,1063,2412,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Columbus GA,32.461,-84.9877,970,1143,-6.22,789,1814,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Athens,33.9519,-83.3576,1074,1041,-7.95,843,1799,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Valdosta,30.8327,-83.2785,884,918,-5.22,751,1773,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Birmingham,33.5186,-86.8104,1298,1355,-6.96,1087,2249,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Mobile,30.6954,-88.0399,1081,1191,-7.36,825,1842,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tuscaloosa,33.2098,-87.5692,1271,1301,-8.4,1204,2379,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Dothan,31.2232,-85.3905,848,827,-4.33,682,1606,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Auburn,32.6099,-85.4808,1290,1249,-4.79,968,2591,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Jackson,32.2988,-90.1848,915,909,-8.93,708,1678,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Gulfport,30.3674,-89.0928,889,962,-4.66,815,1491,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Hattiesburg,31.3271,-89.2903,918,1011,-6.82,859,1688,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Starkville,33.4504,-88.8184,913,1019,-5.75,842,1558,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Little Rock,34.7465,-92.2896,1193,1414,-8.87,964,2190,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fort Smith,35.3859,-94.3985,849,893,-5.18,645,1420,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Jonesboro,35.8423,-90.7043,855,970,-7.46,811,1608,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Springdale,36.1867,-94.1288,1367,1408,-6.3,1167,2809,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Rogers,36.332,-94.1185,1942,1945,-5.64,1693,3303,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bentonville,36.3729,-94.2088,2125,2156,-8.88,1863,3743,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Clarksville,36.5298,-87.3595,1339,1539,-8.46,1170,2760,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Johnson City,36.3134,-82.3535,1013,1188,-5.43,830,2002,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Kingsport,36.5484,-82.5618,1053,1027,-7.04,854,2129,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Jackson TN,35.6145,-88.8139,1092,1212,-4.92,969,2239,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Franklin,35.9251,-86.8689,1701,1630,-6.4,1608,3436,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Brentwood,36.0331,-86.7828,1271,1271,-8.41,976,2548,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Murfreesboro,35.8456,-86.3903,1992,2005,-7.37,1855,4042,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Smyrna,35.9829,-86.5186,1378,1353,-5.69,1211,2716,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Spring Hill,35.7512,-86.93,2081,2084,-6.72,1882,4126,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bowling Green,36.9685,-86.4808,1279,1318,-4.94,1069,2122,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lexington,38.0406,-84.5037,1758,2065,-4.8,1635,2924,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Evansville,37.9716,-87.5711,1032,998,-4.82,870,1901,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
South Bend,41.6764,-86.252,977,1165,-7.26,850,1921,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Fort Wayne,41.1306,-85.1289,1302,1539,-4.13,1138,2389,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Grand Rapids,42.9634,-85.6681,1858,2215,-8.43,1596,3116,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Ann Arbor,42.2808,-83.743,1355,1580,-9.02,1173,2492,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lansing,42.7325,-84.5555,1215,1246,-7.61,978,2445,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Kalamazoo,42.2917,-85.5872,1146,1146,-6.22,1090,1960,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Flint,43.0125,-83.6875,594,686,-5.99,534,1091,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Detroit,42.3314,-83.0458,2457,2695,-6.75,2063,4315,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Toledo,41.6639,-83.5552,881,922,-8.76,709,1619,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Akron,41.0814,-81.519,994,1189,-5.63,823,2056,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Dayton,39.7589,-84.1916,990,943,-5.08,829,1620,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Cincinnati,39.1031,-84.512,2744,3268,-6.22,2087,4486,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Cleveland,41.4993,-81.6944,2037,2380,-8.06,1886,3372,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Pittsburgh,40.4406,-79.9959,2216,2618,-9.05,1988,3931,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Providence,41.824,-71.4128,2080,2246,-4.24,1957,4303,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Hartford,41.7658,-72.6851,1531,1680,-6.81,1303,2507,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bridgeport,41.1865,-73.1952,1268,1323,-5.99,1053,2079,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Springfield MA,42.1015,-72.5898,1137,1294,-8.34,871,2037,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Worcester,42.2626,-71.8023,1730,2030,-5.83,1376,3261,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Syracuse,43.0481,-76.1474,1248,1303,-6.94,1186,2333,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Rochester,43.1566,-77.6088,1305,1573,-6.27,1242,2522,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Albany,42.6526,-73.7562,1522,1487,-8.93,1330,2633,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Buffalo,42.8864,-78.8784,1259,1233,-8.03,1122,2324,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Yonkers,40.9312,-73.8988,2023,1935,-5.74,1869,3599,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Newark,40.7357,-74.1724,2322,2508,-8.87,1973,4109,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Paterson,40.9168,-74.1719,1524,1538,-6.77,1214,2891,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Anchorage,61.2181,-149.9003,1251,1222,-7.84,1183,2277,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Honolulu,21.3069,-157.8583,1703,1846,-4.58,1312,3248,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Wichita Falls,33.9137,-98.4934,799,811,-8.62,618,1487,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Midland,31.9973,-102.0779,1278,1363,-9.1,1183,2481,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Odessa,31.8457,-102.3676,914,926,-5.5,759,1856,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Tyler,32.3513,-95.3011,900,891,-5.53,684,1653,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Waco,31.5493,-97.1467,1334,1384,-7.83,1111,2188,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Beaumont,30.086,-94.1018,990,1007,-4.34,832,1898,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Abilene,32.4487,-99.7331,749,720,-5.66,630,1467,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Laredo,27.5306,-99.4803,822,828,-5.42,730,1634,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
McAllen,26.2034,-98.23,1094,1310,-9.05,849,2107,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Brownsville,25.9017,-97.4975,908,997,-8.56,813,1608,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Killeen,31.1171,-97.7278,1184,1314,-8.04,932,2020,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Bryan-College Station,30.628,-96.3344,1257,1291,-7.67,996,2551,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Victoria,28.8053,-97.0036,775,903,-9.05,698,1345,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Longview,32.5007,-94.7405,950,949,-7.09,778,1936,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Nacogdoches,31.6035,-94.6552,869,851,-7.97,661,1603,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Lufkin,31.3382,-94.7291,920,1030,-7.27,830,1875,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Huntsville TX,30.7235,-95.5508,944,1121,-7.47,735,1866,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Texarkana,33.4251,-94.0477,887,920,-7.01,728,1465,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Paris TX,33.6609,-95.5555,865,832,-8.68,787,1533,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Amarillo,35.222,-101.8313,1094,1210,-4.48,929,2050,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
Deltona,28.9005,-81.2637,1382,1627,-8.56,1049,2621,US Census Bureau Building Permits Survey,2025-Q4,https://www.census.gov/construction/bps/
