city,lat,lng,insurance_cost_pct_of_ebi,avg_annual_premium_per_unit,premium_yoy_chg_pct,premium_3yr_chg_pct,carrier_availability,wind_hail_deductible_pct,data_source,as_of_date,source_url
Charlotte,35.2271,-80.8431,0.45,566.0,11.64,60.53,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Indianapolis,39.7684,-86.1581,0.43,528.0,20.85,46.52,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Seattle,47.6062,-122.3321,0.47,624.0,14.29,53.56,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Denver,39.7392,-104.9903,0.53,622.0,24.34,46.17,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Nashville,36.1627,-86.7816,0.5,596.0,13.06,66.02,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Oklahoma City,35.4676,-97.5164,0.57,626.0,16.12,57.62,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
El Paso,31.7619,-106.485,0.38,442.0,23.81,44.0,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
DC Metro,38.9072,-77.0369,0.5,651.0,16.53,37.78,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Boston,42.3601,-71.0589,0.58,666.0,22.76,43.9,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Las Vegas,36.1699,-115.1398,0.29,327.0,21.35,38.07,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Memphis,35.1495,-90.049,0.45,573.0,11.76,48.75,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Louisville,38.2527,-85.7585,0.4,484.0,15.17,64.04,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Portland,45.5051,-122.675,0.56,573.0,25.33,55.13,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Baltimore,39.2904,-76.6122,0.47,660.0,11.43,46.2,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Milwaukee,43.0389,-87.9065,0.4,550.0,14.99,56.79,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Albuquerque,35.0844,-106.6504,0.36,458.0,24.01,51.49,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tucson,32.2226,-110.9747,0.32,461.0,17.97,59.59,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Central Valley,36.7783,-119.4179,0.43,582.0,20.16,67.83,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Sacramento,38.5816,-121.4944,0.6,853.0,16.81,58.23,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Kansas City,39.0997,-94.5786,0.46,583.0,12.22,48.72,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Atlanta,33.749,-84.388,0.42,463.0,19.09,45.56,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Omaha,41.2565,-95.9345,0.4,549.0,13.84,38.85,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Colorado Springs,38.8339,-104.8214,0.51,538.0,18.68,67.96,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Raleigh-Durham,35.7796,-78.6382,0.44,584.0,17.64,61.25,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Hampton Roads,36.8529,-75.978,0.54,645.0,12.76,40.22,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Minneapolis,44.9778,-93.265,0.4,464.0,21.44,59.13,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tampa Bay,27.9506,-82.4572,1.6,1992.0,25.17,40.34,Limited,2.44,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
New Orleans,29.9511,-90.0715,0.92,1090.0,13.68,55.34,Moderate,3.11,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Richmond,37.5407,-77.436,0.39,466.0,13.52,52.31,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Spokane,47.6588,-117.426,0.39,494.0,11.18,61.12,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Des Moines,41.5868,-93.625,0.41,493.0,22.34,53.37,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Montgomery,32.3668,-86.3,0.48,505.0,21.13,46.03,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Inland Empire,33.9806,-117.3755,0.46,574.0,24.23,65.92,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Ventura,34.2805,-119.2945,0.52,656.0,16.76,49.44,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tallahassee,30.4518,-84.2807,1.22,1461.0,13.0,43.96,Moderate,3.11,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Huntsville,34.7304,-86.5861,0.42,475.0,21.39,43.55,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Knoxville,35.9606,-83.9207,0.47,559.0,15.78,51.9,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Chattanooga,35.0456,-85.3097,0.44,504.0,15.24,42.05,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fort Collins,40.5853,-105.0844,0.45,565.0,22.62,51.51,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Eugene,44.0521,-123.0868,0.54,624.0,14.26,45.61,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Boise,43.615,-116.2023,0.35,375.0,15.97,40.11,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Sarasota,27.3364,-82.5307,1.97,2192.0,17.71,47.92,Limited,1.81,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Savannah,32.0835,-81.0998,1.03,1196.0,22.98,53.03,Moderate,1.94,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Charleston,32.7765,-79.9311,0.87,1112.0,21.79,45.71,Moderate,1.9,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Salt Lake City,40.7608,-111.891,0.33,431.0,24.49,46.72,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Greenville,34.8526,-82.394,0.46,556.0,23.14,47.31,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Asheville,35.5951,-82.5515,0.44,528.0,24.95,61.04,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Wilmington,34.2257,-77.9447,0.82,955.0,15.11,66.24,Moderate,2.78,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fayetteville,35.0527,-78.8784,0.52,676.0,11.52,55.86,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fayetteville AR,36.0626,-94.1574,0.45,484.0,18.84,58.34,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Reno,39.5296,-119.8138,0.37,402.0,23.09,65.15,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Baton Rouge,30.4515,-91.1871,0.74,901.0,17.35,50.57,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Lafayette,30.2241,-92.0198,0.79,886.0,12.98,55.97,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Lake Charles,30.2266,-93.2174,0.86,966.0,14.33,45.94,Moderate,2.11,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Shreveport,32.5252,-93.7502,0.81,985.0,21.45,37.65,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Corpus Christi,27.8006,-97.3964,0.6,717.0,18.46,42.76,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Lubbock,33.5779,-101.8552,0.57,635.0,21.6,48.5,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Wichita,37.6872,-97.3301,0.48,575.0,22.79,39.09,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tulsa,36.154,-95.9928,0.54,573.0,22.91,54.73,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Sioux Falls,43.5446,-96.7311,0.37,431.0,16.29,57.62,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fargo,46.8772,-96.7898,0.37,412.0,14.21,56.66,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Billings,45.7833,-108.5007,0.41,481.0,16.0,37.07,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bozeman,45.677,-111.0429,0.44,511.0,23.99,45.03,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Cheyenne,41.14,-104.8202,0.35,493.0,15.78,51.56,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Idaho Falls,43.4917,-112.0408,0.33,407.0,20.83,66.96,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Provo,40.2338,-111.6585,0.34,399.0,16.19,40.0,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Ogden,41.223,-111.9738,0.32,394.0,23.71,48.64,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
St. George,37.0965,-113.5684,0.34,440.0,13.42,63.13,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Carson City,39.1638,-119.7674,0.35,414.0,15.43,44.77,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Santa Fe,35.687,-105.9378,0.36,457.0,23.15,40.39,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Las Cruces,32.3199,-106.7637,0.42,453.0,18.3,40.67,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Yuma,32.6927,-114.6277,0.33,438.0,15.62,64.0,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Flagstaff,35.1983,-111.6513,0.44,537.0,19.7,48.72,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Prescott,34.54,-112.4685,0.38,530.0,20.55,66.57,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Medford,42.3265,-122.8756,0.55,609.0,22.68,66.51,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bend,44.0582,-121.3153,0.51,612.0,17.18,62.39,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Corvallis,44.5646,-123.262,0.52,574.0,12.63,39.06,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Salem,44.9429,-123.0351,0.51,615.0,15.82,48.09,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bellingham,48.7519,-122.4787,0.51,545.0,15.14,60.8,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Yakima,46.6021,-120.5059,0.49,545.0,17.09,63.77,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Olympia,47.0379,-122.9007,0.49,594.0,21.65,51.82,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tri-Cities,46.2396,-119.1006,0.5,586.0,21.99,46.33,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Vancouver,45.6387,-122.6615,0.57,655.0,25.73,65.57,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Everett,47.979,-122.2021,0.44,616.0,19.6,42.92,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tacoma,47.2529,-122.4443,0.46,587.0,24.71,66.9,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bellevue,47.6101,-122.2015,0.49,554.0,22.39,66.16,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bradenton,27.4989,-82.5748,1.67,2143.0,16.99,55.16,Limited,2.55,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Lakeland,28.0395,-81.9498,1.7,2108.0,24.47,41.18,Limited,1.91,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fort Myers,26.6406,-81.8723,1.91,2236.0,25.0,61.58,Limited,3.11,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Naples,26.142,-81.7948,1.89,2513.0,19.77,58.13,Limited,2.59,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Ocala,29.1872,-82.1401,1.4,1777.0,22.19,67.69,Limited,1.91,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Palm Beach,26.7056,-80.0364,1.67,2121.0,17.37,61.96,Limited,2.21,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Miami,25.7617,-80.1918,1.77,2368.0,11.67,46.15,Limited,2.12,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Daytona,29.2108,-81.0228,1.54,1885.0,11.63,44.8,Moderate,2.35,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Melbourne,28.0836,-80.6081,1.45,1821.0,22.46,37.49,Moderate,2.73,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Gainesville,29.6516,-82.3248,1.17,1369.0,16.39,37.34,Moderate,2.9,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Port St. Lucie,27.273,-80.3582,1.88,2210.0,23.08,59.42,Limited,2.4,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Pensacola,30.4213,-87.2169,1.19,1490.0,23.32,37.55,Moderate,1.8,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Macon,32.8407,-83.6324,0.43,541.0,16.59,49.74,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Augusta,33.4735,-82.0105,0.42,518.0,16.35,53.61,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Columbus GA,32.461,-84.9877,0.46,564.0,23.16,59.71,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Athens,33.9519,-83.3576,0.43,551.0,19.01,45.46,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Valdosta,30.8327,-83.2785,0.43,535.0,21.87,44.19,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Birmingham,33.5186,-86.8104,0.41,556.0,22.45,57.35,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Mobile,30.6954,-88.0399,0.49,675.0,11.82,43.02,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tuscaloosa,33.2098,-87.5692,0.41,533.0,16.33,37.79,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Dothan,31.2232,-85.3905,0.46,591.0,13.77,61.97,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Auburn,32.6099,-85.4808,0.48,588.0,22.92,60.3,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Jackson,32.2988,-90.1848,0.55,650.0,22.11,56.51,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Gulfport,30.3674,-89.0928,0.85,1093.0,25.84,62.38,Moderate,2.35,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Hattiesburg,31.3271,-89.2903,0.56,607.0,21.45,63.2,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Starkville,33.4504,-88.8184,0.57,641.0,15.16,59.57,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Little Rock,34.7465,-92.2896,0.55,681.0,18.08,58.05,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fort Smith,35.3859,-94.3985,0.42,594.0,15.84,38.4,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Jonesboro,35.8423,-90.7043,0.47,539.0,21.8,51.52,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Springdale,36.1867,-94.1288,0.43,473.0,15.01,61.35,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Rogers,36.332,-94.1185,0.43,522.0,13.38,46.37,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bentonville,36.3729,-94.2088,0.46,548.0,18.22,46.34,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Clarksville,36.5298,-87.3595,0.46,493.0,23.21,51.58,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Johnson City,36.3134,-82.3535,0.45,524.0,24.57,59.57,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Kingsport,36.5484,-82.5618,0.48,503.0,17.1,66.95,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Jackson TN,35.6145,-88.8139,0.49,558.0,12.13,39.08,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Franklin,35.9251,-86.8689,0.48,604.0,18.07,42.38,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Brentwood,36.0331,-86.7828,0.45,597.0,20.61,37.36,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Murfreesboro,35.8456,-86.3903,0.45,536.0,15.49,58.58,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Smyrna,35.9829,-86.5186,0.43,602.0,13.83,43.75,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Spring Hill,35.7512,-86.93,0.47,609.0,18.18,67.89,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bowling Green,36.9685,-86.4808,0.44,548.0,13.81,53.38,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Lexington,38.0406,-84.5037,0.43,474.0,13.04,51.34,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Evansville,37.9716,-87.5711,0.45,475.0,11.41,63.38,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
South Bend,41.6764,-86.252,0.42,466.0,17.58,57.68,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Fort Wayne,41.1306,-85.1289,0.41,466.0,21.74,68.18,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Grand Rapids,42.9634,-85.6681,0.44,499.0,16.95,54.87,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Ann Arbor,42.2808,-83.743,0.4,458.0,13.69,46.4,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Lansing,42.7325,-84.5555,0.39,502.0,21.11,49.9,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Kalamazoo,42.2917,-85.5872,0.45,510.0,23.36,49.89,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Flint,43.0125,-83.6875,0.43,495.0,25.81,45.68,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Detroit,42.3314,-83.0458,0.45,565.0,18.7,50.75,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Toledo,41.6639,-83.5552,0.41,468.0,14.62,38.38,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Akron,41.0814,-81.519,0.42,482.0,12.3,40.44,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Dayton,39.7589,-84.1916,0.44,521.0,14.19,52.23,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Cincinnati,39.1031,-84.512,0.4,458.0,22.96,40.0,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Cleveland,41.4993,-81.6944,0.41,515.0,18.92,65.05,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Pittsburgh,40.4406,-79.9959,0.53,637.0,23.87,58.77,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Providence,41.824,-71.4128,0.64,650.0,16.68,57.73,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Hartford,41.7658,-72.6851,0.52,742.0,13.77,62.88,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Bridgeport,41.1865,-73.1952,0.59,643.0,17.17,67.99,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Springfield MA,42.1015,-72.5898,0.6,755.0,22.25,52.23,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Worcester,42.2626,-71.8023,0.56,747.0,20.03,50.64,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Syracuse,43.0481,-76.1474,0.48,665.0,25.31,62.86,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Rochester,43.1566,-77.6088,0.48,616.0,16.48,37.22,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Albany,42.6526,-73.7562,0.5,564.0,21.97,48.38,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Buffalo,42.8864,-78.8784,0.49,585.0,19.54,43.9,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Yonkers,40.9312,-73.8988,1.0,1207.0,22.92,49.27,Moderate,2.85,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Newark,40.7357,-74.1724,0.96,1248.0,24.57,61.33,Moderate,2.79,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Paterson,40.9168,-74.1719,1.02,1248.0,11.91,42.57,Moderate,2.67,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Anchorage,61.2181,-149.9003,0.54,686.0,12.91,59.67,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Honolulu,21.3069,-157.8583,0.56,675.0,19.91,65.64,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Wichita Falls,33.9137,-98.4934,0.49,649.0,11.73,48.65,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Midland,31.9973,-102.0779,0.54,656.0,22.25,65.12,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Odessa,31.8457,-102.3676,0.51,609.0,14.33,44.84,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Tyler,32.3513,-95.3011,0.54,625.0,13.84,60.13,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Waco,31.5493,-97.1467,0.52,660.0,16.56,40.63,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Beaumont,30.086,-94.1018,0.75,835.0,19.24,46.31,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Abilene,32.4487,-99.7331,0.48,628.0,14.04,43.26,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Laredo,27.5306,-99.4803,0.53,612.0,12.05,38.44,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
McAllen,26.2034,-98.23,0.54,637.0,17.54,58.81,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
Brownsville,25.9017,-97.4975,0.55,644.0,21.7,45.29,Ample,1.0,NMHC Insurance Survey / Marsh McLennan,2025,https://www.nmhc.org
