Region,MSA,City,State,Project_Name,Address,Developer,Units,Status,Issue_Date,Estimated_Cost_USD,Cost_Display,Permit_Type,Permit_Number,Building_Class,Class_A_Likely,Net_Absorption_Units_Annual,Absorption_Rate_Pct,Occupancy_Rate_Pct,Vacancy_Rate_Pct,Avg_Effective_Rent_USD,YoY_Rent_Growth_Pct,Total_Units_Under_Construction,Units_Delivered_2024,Units_Delivered_2025,Market_Trend,Concession_Prevalence,Market_Commentary,Description,Latitude,Longitude,Data_Source,Absorption_Data_Source,Retrieved_Date,CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
Midwest,"Chicago, IL",Chicago,IL,606 Wrightwood Apartments,606 WRIGHTWOOD AVE,Direct Developer Services,48.0,Permitted,2026-01-15T00:00:00.000,20000000.0,$20M,PERMIT - NEW CONSTRUCTION,101074019,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","Proposed 5-story residential building with 34 standard units and 14 efficiency units, including interior parking.",41.92966405818418,-87.64334591242984,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,The Lawrence,2923 LAWRENCE AVE,BKB Development,41.0,Permitted,2025-12-22T00:00:00.000,18000000.0,$18M,PERMIT - NEW CONSTRUCTION,101074570,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",5-story residential building with 41 total units after revision.,41.96839668460953,-87.70206022331229,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,The Carpenter,465 CARPENTER ST,Direct Developer Services,72.0,Permitted,2025-02-19T00:00:00.000,17000000.0,$17M,PERMIT - NEW CONSTRUCTION,101060458,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",5-story mixed-use building with retail and parking; occupancy R-2 and A-2; Type III A construction.,41.890871119890974,-87.65330827889791,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,The Neva,1619 NEVA AVE,Direct Developer Services,125.0,COMPLETE,2024-10-29T00:00:00.000,17000000.0,$17M,PERMIT - NEW CONSTRUCTION,101043306,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",New construction of a 4-story residential apartment building with 125 dwelling units at 1619 Neva Ave.,41.90949959303013,-87.8038129606676,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,63rd Street Affordable Housing,2355 63RD ST,Preservation of Affordable Housing (POAH),44.0,Permitted,2025-10-07T00:00:00.000,16000000.0,$16M,PERMIT - NEW CONSTRUCTION,101067018,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",5-story mixed-use building with ground floor commercial and 44 affordable residential units.,41.7790769751132,-87.68341698428699,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Washington Boulevard Affordable Housing,4531 WASHINGTON BLVD,Preservation of Affordable Housing (POAH),44.0,Permitted,2025-11-13T00:00:00.000,15000000.0,$15M,PERMIT - NEW CONSTRUCTION,101045789,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","New 3-story walkup with 44 affordable units and parking for 23 cars, includes passive play area.",41.88177512592127,-87.73925222920562,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,,4624 ELLIS AVE,,105.0,Permitted,2026-02-10T00:00:00.000,14012215.0,$14M,PERMIT - RENOVATION/ALTERATION,101077832,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Existing 11-story residential apartment building undergoing interior and exterior alterations including enclosure of ground floor open-air areas.,41.81063738991923,-87.60186884782422,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Grace Street Apartments,1805 GRACE ST,Direct Developer Services,62.0,Permitted,2025-02-14T00:00:00.000,12200000.0,$12M,PERMIT - NEW CONSTRUCTION,101058570,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",5-story residential building with 31 ground floor parking spaces; consultant reviewer V3 Companies of IL,41.95046036824567,-87.67436602255907,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,1100 Grand Avenue Apartments,1100 GRAND AVE,Related Midwest,99.0,Permitted,2024-10-11T00:00:00.000,12000000.0,$12M,PERMIT - NEW CONSTRUCTION,101003878,A,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",7-story mixed-use building with commercial space on the first floor and 99 residential units above; caissons only permit issued.,41.89121804242344,-87.65468947740182,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Sheridan Shores Apartments Renovation,4910 SHERIDAN RD,Related Midwest,119.0,Permitted,2026-03-03T00:00:00.000,10471088.0,$10M,PERMIT - RENOVATION/ALTERATION,101077152,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Renovation and accessibility upgrades to existing 6 and 14 level apartment building with 119 units.,41.971943267580514,-87.6550408313939,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,2305 State Street Apartments,2305 STATE ST,Related Midwest,80.0,Permitted,2025-11-26T00:00:00.000,10000000.0,$10M,PERMIT - NEW CONSTRUCTION,101072150,A,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","13-story residential building with 80 total units including 60 dwelling units and 20 efficiency units, plus ground floor retail.",41.85086360170558,-87.6268921669274,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,940 Leland Avenue Apartments,940 LELAND AVE,Draper and Kramer,32.0,Permitted,2025-11-12T00:00:00.000,9500000.0,$10M,PERMIT - NEW CONSTRUCTION,101068820,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","5-story residential building with 32 units including 6 efficiency units, 6 parking spaces, and 40 bicycle parking spaces.",41.967398120930994,-87.65420162585758,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,State and 45th Residential,4520 STATE ST,Preservation of Affordable Housing (POAH),40.0,Permitted,2025-02-10T00:00:00.000,8000000.0,$8M,PERMIT - NEW CONSTRUCTION,101053169,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",New 4-story residential building with community amenities at State and 45th,41.81239333008187,-87.62631088846553,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,919 Belmont Mixed-Use,919 BELMONT AVE,Unknown Developer,46.0,Permitted,2025-08-05T00:00:00.000,8000000.0,$8M,PERMIT - NEW CONSTRUCTION,101067186,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",5-story mixed-use building with ground floor retail and 6 parking spaces.,41.93982841360136,-87.65231569879556,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,The Iron Foundry Lofts,1604 LAFLIN ST,The Habitat Company,84.0,Permitted,2024-12-10T00:00:00.000,8000000.0,$8M,PERMIT - RENOVATION/ALTERATION,101046464,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Conversion of 1902 historic iron foundry to 84 apartment units with 42 parking spaces.,41.85947379857507,-87.66394904689585,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,,2324 IRVING PARK RD,,,Permitted,2026-01-08T00:00:00.000,7300000.0,$7M,PERMIT - RENOVATION/ALTERATION,101070838,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",DDS / 2019 CBRC: INTERIOR ALTERATIONS TO EXISTING 5-STORY RESIDENTIAL BUILDING (104 DWELLING UNITS) TO INCLUDE EXTERIOR ADA UPGRADES & NEW PERGOLA AS PER PLANS.(OCCUPANCY GROUP: R-2 / TYPE 1A CONSTRUC,41.954144666322605,-87.6869750498606,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,,1313 RITCHIE CT,,,Permitted,2025-02-06T00:00:00.000,7200000.0,$7M,PERMIT - RENOVATION/ALTERATION,101063383,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.","SPR 2019 CBRC: REPLACEMENT OF EXISTING DOMESTIC WATER RISERS PER PLANS. REPLACEMENT ONLY. (OCCUPANCY R-2 (143 RESIDENTIAL UNITS AND 2 RETAIL UNITS, TYPE IIB CONSTRUCTION).   WORK IS ON FLOORS BASEMENT",41.90629354865983,-87.62645967895207,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Chicago, IL",Chicago,IL,Clinton Street Lofts,118 CLINTON ST,Clinton Street Development LLC,74.0,Permitted,2025-05-20T00:00:00.000,5000000.0,$5M,PERMIT - RENOVATION/ALTERATION,101053223,B,maybe,5200.0,80.0,93.8,6.2,1900.0,3.8,4500.0,3500.0,4000.0,Improving,Low,"Chicago's multifamily market benefits from strong urban demand and ongoing development, supporting solid rent growth and absorption.",Conversion of existing 7-story office building to mixed-use with 74 residential units and commercial space.,41.87995707099538,-87.64128000375057,https://data.cityofchicago.org/resource/ydr8-5enu,CBRE,2026-03-06,5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,190000.0
Midwest,"Cincinnati, OH",Cincinnati,OH,The Banks Residences,"100 Joe Nuxhall Way, Cincinnati, OH 45202",The NRP Group,220.0,Under Construction,2024,85000000.0,$85M,New Construction - Multifamily Class A,2024-04567,A,yes,1100.0,82.0,94.0,6.0,1250.0,3.0,700.0,450.0,500.0,Improving,Low,Cincinnati's market is improving with strong absorption and controlled new supply supporting rent growth.,"12 stories, luxury amenities including rooftop pool and fitness center, located in Downtown Cincinnati submarket",,,https://www.nrpgroup.com/projects/the-banks-residences,JLL,2026-03-06,5.75,5.5,5.50% - 5.75%,5.5,5.0,5.00% - 5.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong secondary market with consistent investor demand and stable cap rates.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,,,140000.0
