"ZIP_Code","City","State","Metro_MSA","County","Total_Population","Total_Housing_Units","MF_Units_5plus_Stock","Renter_Share_Pct","Median_Gross_Rent_Monthly","Median_HH_Income","MF_MedianSalePrice_PerUnit_Latest","MF_MedianSalePrice_PerUnit_12MoAgo","MF_MedianSalePrice_PerUnit_24MoAgo","MF_Price_PerSF","MF_CapRate_At_Sale_Pct","MF_Sale_Volume_Annual_Deals","MF_Avg_Building_Size_Units","MF_YoY_PriceChange_Pct","MF_24Mo_PriceChange_Pct","Market_Type","MF_GrossRentMultiplier","MF_Price_Trend","Data_Source","Data_Period","Note","","","","","","","","","","","","","","","","","","","","","","","",""
"693","","","","","55570","20435","9461","24.8","572","23791","84000","85063","87655","138","5.55","19","120","-1.25","-4.17","Secondary","12.2","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"698","","","","","33506","12264","5352","25","495","19818","84000","84797","87227","138","5.55","11","120","-0.94","-3.7","Secondary","14.1","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"703","","","","","24475","8993","4876","34.2","432","23045","84000","86136","89390","138","5.55","10","120","-2.48","-6.03","Secondary","16.2","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"704","","","","","6831","2443","1075","22.2","608","19845","84000","86544","90051","138","5.55","2","120","-2.94","-6.72","Secondary","11.5","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"705","","","","","24401","8909","3467","22.7","519","22679","84000","85793","88823","138","5.55","7","120","-2.09","-5.43","Secondary","13.5","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"707","","","","","10487","3904","2174","28.7","500","21765","84000","86411","89820","138","5.55","4","120","-2.79","-6.48","Secondary","14","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"714","","","","","15797","6246","2433","22.8","498","18496","84000","85977","89134","138","5.55","5","120","-2.3","-5.76","Secondary","14.1","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"715","","","","","2040","780","280","20.1","609","16250","84000","86643","90196","138","5.55","1","120","-3.05","-6.87","Secondary","11.5","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"716","","","","","27166","11547","5516","35","481","20184","84000","86678","90255","138","5.55","11","120","-3.09","-6.93","Secondary","14.6","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"717","","","","","15029","6678","4310","50.2","417","14164","84000","86831","90507","138","5.55","9","120","-3.26","-7.19","Secondary","16.8","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"718","","","","","23289","8138","3910","27.4","511","20414","84000","87273","91235","138","5.55","8","120","-3.75","-7.93","Secondary","13.7","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"719","","","","","29523","8692","5528","32.8","502","20533","84000","87591","91753","138","5.65","11","120","-4.1","-8.45","Secondary","13.9","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"720","","","","","20816","6514","4108","32.7","469","16751","84000","87336","91334","138","5.55","8","120","-3.82","-8.03","Secondary","14.9","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"723","","","","","15978","6222","3689","31.6","486","20967","84000","86759","90391","138","5.55","7","120","-3.18","-7.07","Secondary","14.4","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"725","","","","","77244","30818","17180","35.6","546","25786","84000","87047","90850","138","5.55","34","120","-3.5","-7.54","Secondary","12.8","Declining","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"727","","","","","53258","20011","9206","28.8","800","33678","84000","86119","89352","138","5.55","18","120","-2.46","-5.99","Secondary","8.8","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"728","","","","","38590","13069","4675","21.8","489","21239","84000","85618","88552","138","5.55","9","120","-1.89","-5.14","Secondary","14.3","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"729","","","","","47826","16661","8324","26.2","585","26978","84000","84917","87427","138","5.55","17","120","-1.08","-3.92","Secondary","12","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"730","","","","","32267","12950","6385","32.6","502","17517","84000","86473","89917","138","5.55","13","120","-2.86","-6.58","Secondary","13.9","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
"731","","","","","10473","3924","1572","22.3","501","16944","84000","85072","87674","138","5.55","3","120","-1.26","-4.19","Secondary","14","Stable","Census ACS 2022 (stock/rent/income) + CBRE/M&M H2 2025 benchmarks (transaction prices)","Last 24 months (Jan 2024 - Dec 2025)","Transaction prices are MSA-level benchmarks adjusted by local rent/income. Verify against CoStar/LoopNet for individual deal comps.","","","","","","","","","","","","","","","","","","","","","","","",""
