city,project_name,address,units,class_type,status,permit_date,completion_date,developer,source_url,latitude,longitude
Colorado Springs CO,Downtown Flying Horse,InterQuest Pkwy & Powers Blvd,240,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/,38.842862,-104.820352
Colorado Springs CO,Royal Pine Apartments,Union & Powers Blvds,232,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/,38.827992,-104.836997
Colorado Springs CO,Sierra Junction Apartments,13050 Sierra Creek Circle,368,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/,38.842086,-104.812499
Colorado Springs CO,Venture on Venetucci,4446 Venetucci Blvd,336,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/,38.794418,-104.803558
Columbus OH,Delaware County Projects (aggregate),Delaware County,1500,Class A,Under Construction,2024-08-01,2026-12-01,Various,https://www.matthews.com/market_insights/columbus-oh-multifamily-market-report-q4-2025,39.963544,-83.002169
Columbus OH,Ohio State / Northeast Area Projects (aggregate),Near Ohio State University,500,Class A,Under Construction,2025-01-01,2026-12-01,Various,https://rejournals.com/columbus-expected-to-see-more-than-6700-new-apartment-units-during-2025/,39.968675,-83.009869
Dallas TX,Loma,North Oak Cliff,370,Mixed-Income,Under Construction,2025-01-01,2027-01-01,M Squared / Mintwood Real Estate,https://buildmsquared.com/projects/loma/,32.772848,-96.797057
Frisco TX,Bonham & Baker at Frisco Station,Frisco Station,410,Luxury,Under Construction,2025-11-01,2028-03-01,Hillwood,https://www.hillwood.com/newsroom/press-releases/hillwood-breaks-ground-on-bonham-baker-a-multifamily-urban-living-community-at-frisco-station/,33.107211,-96.833096
Frisco TX,Freemont Frisco Apartments,Unknown,313,Mixed-Income,Under Construction,2025-01-01,2028-06-01,Stryker Properties / Griffon Capital Management,https://www.constructionowners.com/news/frisco-apartments-secure-57m-construction-loan,33.141167,-96.827488
Frisco TX,Jefferson Railhead Phase 3,Frisco Railhead,377,Luxury,Planning,2026-01-01,2028-12-01,JPI,https://www.jpi.com/jpi-completes-first-two-phases-of-new-community-at-frisco-railhead-delivering-903-luxury-apartments/,33.163531,-96.816485
Frisco TX,The Links on PGA Parkway - Phases 3 & 4,PGA Parkway,620,Luxury,Under Construction,2025-01-01,2027-12-01,Carbon Cos.,https://www.multifamilyexecutive.com/design-development/construction/carbon-cos-starts-final-phases-of-1-310-unit-community-in-frisco-texas_o,33.162507,-96.837976
Frisco TX,The Noc at Firefly Park,Firefly Park,187,Luxury,Under Construction,2025-09-01,2027-10-01,Wilks Development / Hord Coplan Macht,https://rebusinessonline.com/wilks-development-underway-on-187-unit-multifamily-project-at-firefly-park-in-frisco/,33.163833,-96.811242
Glendale AZ,West Valley Projects (aggregate),Glendale area,200,Class A,Under Construction,2025-01-01,2027-01-01,Various,https://azbigmedia.com/real-estate/phoenix-is-the-no-4-biggest-apartment-builder-of-2025/,33.548983,-112.188601
Houston TX,Alta Timberline,Tomball (northwest Harris County),204,Class A,Under Construction,2025-01-01,2027-05-01,Wood Partners,https://realtynewsreport.com/wood-partners-breaks-ground-on-apartments/,29.919735,-95.493606
Houston TX,Fairfield Sawyer Heights,Heights area,350,Luxury,Completed,2024-10-01,2025-02-01,Fairfield,https://communityimpact.com/houston/heights-river-oaks-montrose/real-estate/2025/07/11/houston-apartments-surging-over-5000-multifamily-units-proposed-underway-in-some-neighborhoods/,29.760724,-95.380296
Houston TX,Fairfield Waugh,Heights/Montrose area,350,Luxury,Completed,2024-10-01,2025-02-01,Fairfield,https://communityimpact.com/houston/heights-river-oaks-montrose/real-estate/2025/07/11/houston-apartments-surging-over-5000-multifamily-units-proposed-underway-in-some-neighborhoods/,29.767900,-95.365464
Houston TX,Hanover Buffalo Bayou,Buffalo Bayou area,337,Luxury,Completed,2024-10-01,2025-02-01,Hanover,https://communityimpact.com/houston/heights-river-oaks-montrose/real-estate/2025/07/11/houston-apartments-surging-over-5000-multifamily-units-proposed-underway-in-some-neighborhoods/,29.763495,-95.380282
Jacksonville FL,Gateway Jax Pearl Square - 425 Beaver,425 Beaver Street,286,Mixed-Use,Under Construction,2025-10-31,2027-07-01,Gateway Jax / FaverGray Residential,https://www.jaxdailyrecord.com/news/2025/nov/03/gateway-jax-gains-permits-for-downtown-apartments-parking-totaling-735-million/,30.332684,-81.661807
Kansas City MO,CORE II,Berkley Riverfront,153,Luxury,Under Construction,2024-10-01,2026-10-01,Port KC,https://portkc.com/project/core-ii/,39.093919,-94.568820
Kansas City MO,Encore Tower,Broadway Blvd between W 16th & 17th,392,Mixed-Income,Planning,2026-01-01,2029-12-01,EPC Real Estate Group,https://www.kshb.com/news/local-news/development-group-outlines-plans-for-33-story-high-rise-near-downtown-kansas-city-missouri,39.093690,-94.584384
Kansas City MO,Four Light Luxury Apartments,Near B&B Theaters,293,Luxury,Planning,2025-01-01,2028-12-01,The Cordish Companies,https://kctoday.6amcity.com/development/tap-in-to-15-of-kansas-citys-most-anticipated-developments,39.088883,-94.587392
Kansas City MO,West Bottoms Redevelopment Phase 1,West Bottoms (22 acres),300,Mixed-Use,Under Construction,2025-01-01,2026-12-01,SomeraRoad,https://kctoday.6amcity.com/development/tap-in-to-15-of-kansas-citys-most-anticipated-developments,39.103728,-94.572060
Lakeland FL,Wedgewood Golf Course Redevelopment Phase 1,129 acres off Wedgewood Drive,460,Mixed-Income,Approved,2025-12-15,2028-12-01,Unknown,https://www.lkldnow.com/more-townhomes-fewer-apartments-developers-seek-to-change-wedgewood-plan/,28.038572,-81.937726
Las Vegas NV,Spring Valley Multi-Family,near Maule Ave & Buffalo Dr,255,Class A,Under Construction,2025-06-01,2026-12-01,LMC Kaktuslife II Property Owner LLC,https://www.thebrenkusteam.com/blog/clark-county-zoning-changes-2025-homebuyers-sellers,36.160418,-115.144444
Louisville KY,Butchertown Apartments,East of Lynn Family Stadium,200,Luxury,Proposed,2025-01-01,2027-12-01,Unknown,https://commercialkentucky.com/wp-content/uploads/2025/05/LOUISVILLE-Multifamily-Market-Report-Q1-2025.pdf,38.266035,-85.770969
Louisville KY,Liminal Louisville,1416-1426 Lytle St,138,Adaptive Reuse,Under Construction,2025-01-01,2027-01-01,Unknown,https://louisvilledowntown.org/development-activity/,38.270560,-85.791527
Louisville KY,Louisville Sports Entertainment District,501 E Main St,270,Mixed-Use,Announced,2025-01-01,2028-12-01,Unknown,https://louisvilledowntown.org/development-activity/,38.256126,-85.742233
Louisville KY,Motorworks Apartments,410 W Broadway,319,Mixed-Use,Announced,2025-01-01,2027-12-01,Unknown,https://louisvilledowntown.org/development-activity/,38.246181,-85.758650
Louisville KY,NuLu Crossing,700 E Main St,300,Mixed-Use,Under Construction,2025-01-01,2027-12-01,Unknown,https://louisvilledowntown.org/development-activity/,38.254691,-85.739665
Louisville KY,Providence Point,Herr Lane,501,Class A,Approved,2025-01-01,2027-12-01,Unknown,https://hagan.com/corporate-resume/,38.257234,-85.760785
Louisville KY,Sweetwater Springs,Blankenbaker Parkway,434,Mixed-Use,Approved,2025-01-01,2027-12-01,Unknown,https://hagan.com/corporate-resume/,38.249905,-85.747692
Louisville KY,The Belle at Cedar Creek,Cedar Creek Road,348,Class A,Under Construction,2025-02-01,2027-12-01,Unknown,https://hagan.com/corporate-resume/,38.242500,-85.759893
McKinney TX,McKinney Ranch Parkway Development,McKinney Ranch Parkway,336,Mixed-Use,Approved,2025-10-01,2027-12-01,Endeavor Real Estate Group,https://communityimpact.com/dallas-fort-worth/mckinney/government/2025/10/28/mckinney-council-approves-zoning-for-11-acre-apartment-development/,33.207288,-96.603320
McKinney TX,Skyway Villas Apartments Renovations,2000 Skyline Drive,233,Renovation,Under Construction,2026-07-01,2028-01-01,Unknown,https://communityimpact.com/dallas-fort-worth/mckinney/development/2026/02/10/mckinney-apartment-renovations-flower-mound-street-reconstruction-see-5-of-the-latest-permits-filed-in-the-dfw-area/,33.220590,-96.652664
Mesa AZ,Mesa Project 85209,Mesa AZ 85209,345,Unknown,Under Construction,2025-08-01,2025-11-30,Unknown,https://mmgrea.com/phoenix-q1-2025/,33.408425,-111.695039
Mesa AZ,The Homestead at Lehi,2261 E. McDowell Road,222,Class A,Under Construction,2025-11-01,2027-08-01,Evergreen Devco Inc / MT Builders,https://azbigmedia.com/real-estate/62-5-million-the-homestead-at-lehi-breaks-ground-in-mesa/,33.467800,-111.780992
Nashville TN,Chestnut Hill,1300 4th Avenue S,134,Mixed-Use,Under Construction,2024-06-01,2025-12-01,"The Bradley Developments, Tinsley Company, Big Plan Holdings",https://citynownext.com/2025/07/21/progress-at-the-upcoming-134-unit-chestnut-hill-development-in-nashville/,36.141023,-86.764013
Nashville TN,Declan Hermitage,Hermitage neighborhood,315,Class A,Under Construction,2025-01-01,2027-06-01,Flournoy Development Group / McShane Construction,https://rebusinessonline.com/mcshane-begins-construction-on-315-unit-declan-hermitage-apartments-in-nashville/,36.175091,-86.767244
Nashville TN,Modera McGavock,1212 McGavock St,400,Class A,Under Construction,2025-01-01,2026-12-01,Mill Creek Residential,https://nashvilledowntown.com/economic-development/development-map,36.155305,-86.787707
Nashville TN,Modera SoBro,825 6th Ave S,404,Class A,Under Construction,2025-01-01,2026-12-01,Mill Creek Residential,https://nashvilledowntown.com/economic-development/development-map,36.150966,-86.774213
Orlando FL,52 at Park,West Orange County,300,Affordable,Under Construction,2025-01-01,2026-02-01,WPC / Lincoln Avenue Communities,https://www.wpc.com/post/orlando-area-community-designed-for-accessibility-and-sustainability-52-at-park,28.547979,-81.412784
Orlando FL,Altis Grand Lake Willis Phase II,O-Town West - Orlando,230,Class A,Completed,2024-06-01,2025-09-01,Altman Living,https://www.multifamilydive.com/news/orlando-mixed-use-master-plan-development/737565/,28.558100,-81.403014
Orlando FL,The Edgewater,2040 Lee Road,328,Class A,Under Construction,2025-09-01,2027-01-01,Wood Partners,https://floridayimby.com/2025/09/328-unit-the-edgewater-undergoes-construction-at-2040-lee-road-orlando-florida.html,28.600884,-81.410008
Phoenix AZ,Dahlia Village,South Phoenix,126,Affordable,Completed,2024-06-01,2025-09-22,Ulysses Development Group,https://arizonaida.com/dahlia-village-0925a/,33.448807,-112.068901
Phoenix AZ,Modera Kierland,14811 N Kierland Blvd,360,Luxury,Under Construction,2024-09-01,2025-12-01,Mill Creek Residential,https://www.matthews.com/market_insights/phoenix-az-multifamily-market-report-q3-2025,33.621945,-111.930726
Phoenix AZ,Roosevelt Row Project,802 N 1st Ave,389,Mixed-Use,Under Construction,2024-08-01,2025-08-01,Intersection Development,https://www.matthews.com/market_insights/phoenix-az-multifamily-market-report-q3-2025,33.456838,-112.075213
Phoenix AZ,Rosie,625 N 2nd Ave,370,Mixed-Use,Under Construction,2024-08-01,2025-08-01,The X Co.,https://www.matthews.com/market_insights/phoenix-az-multifamily-market-report-q3-2025,33.455062,-112.076318
Raleigh NC,Fifth Oak,Unknown,244,Class A,Construction Starting Q2 2025,2025-04-01,2027-01-01,The Kalikow Group / EYC Companies,https://www.thekalikowgroup.com/projects/fifth-oak-raleigh-north-carolina/,35.787419,-78.639154
Raleigh NC,NC State Student Housing,Hillsborough Street corridor,147,Student Housing,Under Construction,2025-10-01,2027-06-01,Cardinal Group Development / PGIM,https://cardinalgroup.com/news/cardinal-group-development-and-pgim-begin-construction-on-student-housing-community-in-raleigh-nc/,35.767746,-78.628623
Raleigh NC,North Hills Innovation District Phase 1,541 Church at North Hills St,200,Mixed-Use,Under Construction,2024-08-01,2025-12-01,Kane Realty,https://www.axios.com/local/raleigh/2025/01/20/largest-triangle-developments-construction-2025-durham-research-park-downtown,35.834423,-78.633439
Raleigh NC,Rockway,Entrance of Dix Park,300,Class A,Under Construction,2024-08-01,2025-03-01,Kane Realty,https://www.axios.com/local/raleigh/2025/01/20/largest-triangle-developments-construction-2025-durham-research-park-downtown,35.790479,-78.631734
Raleigh NC,The Weld,925 S. Saunders St,600,Luxury,Under Construction,2024-06-01,2025-12-01,SLI Capital,https://www.axios.com/local/raleigh/2025/01/20/largest-triangle-developments-construction-2025-durham-research-park-downtown,35.768828,-78.648465
Richmond VA,2001 Dabney Road,Western Henrico,242,Class A,Planning,2025-01-01,2027-12-01,Unknown,https://thalhimer.com/wp-content/uploads/2025/10/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q3_2025.pdf,37.608411,-77.519970
Richmond VA,Chasen,Midtown Richmond,352,Luxury,Under Construction,2024-08-01,2025-10-01,Unknown,https://thalhimer.com/wp-content/uploads/2025/07/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q2_2025.pdf,37.553615,-77.449044
Richmond VA,Creighton Renaissance Phase A,Church Hill,68,Affordable,Completed,2024-01-01,2025-01-01,Richmond Redevelopment and Housing Authority,https://www.rrha.com/redevelopment/creighton/,37.563186,-77.475009
Richmond VA,Scott's Addition Projects (aggregate),Scott's Addition,800,Mixed-Use,Under Construction,2025-01-01,2027-12-01,Various,https://thalhimer.com/wp-content/uploads/2025/10/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q3_2025.pdf,37.558920,-77.459985
Richmond VA,The Diamond Area Projects (aggregate),The Diamond District,500,Mixed-Use,Under Construction,2025-01-01,2027-12-01,Various,https://thalhimer.com/wp-content/uploads/2025/10/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q3_2025.pdf,37.546402,-77.455831
Salt Lake City UT,Blaser/Market Center Phase II,Market Center,138,Mixed-Use,Under Construction,2025-11-18,2026-06-01,Unknown,https://sslc.gov/Archive.aspx?ADID=281,40.752659,-111.896651
Sarasota FL,Brown's First Street High-Rise,First Street (Sarasota),200,Affordable,Under Construction,2025-06-01,2027-12-01,City of Sarasota,https://suncoastsearchlight.org/sarasota-affordable-housing-vengroff-proposal/,27.337023,-82.526109
Sarasota FL,Tapestry Sarasota,South Sarasota,325,Luxury,Under Construction,2025-01-01,2027-01-01,Unknown,https://tbbwmag.com/2025/10/27/south-sarasota-luxury-apartment-complex/,27.351569,-82.528948
Sarasota FL,Vengroff 10-Story Tower,Downtown Sarasota,75,Affordable,Proposed,2025-01-01,2027-12-01,Vengroff,https://suncoastsearchlight.org/sarasota-affordable-housing-vengroff-proposal/,27.344638,-82.544642
Savannah GA,Daniel's Hutchinson Island Luxury Community,Hutchinson Island,288,Luxury,Under Construction,2024-06-01,2025-02-01,Daniel Corporation,https://danielcorp.com/daniel-breaks-ground-on-100mm-288-unit-luxury-apartment-community-in-savannah-georgia/,32.071186,-81.088956
Savannah GA,Springs at Port Wentworth,Port Wentworth (outside Savannah),240,Class A,Under Construction,2025-10-01,2027-12-01,Continental Properties,https://www.cproperties.com/news/continental-properties-2026-strong-q4-2025-momentum,32.073259,-81.099584
Scottsdale AZ,Modera Kierland,North Scottsdale (14811 N Kierland Blvd),360,Luxury,Completed,2024-01-01,2025-09-01,Mill Creek Residential,https://kidder.com/wp-content/uploads/market_report/multifamily-market-research-phoenix-2025-3q.pdf,33.623200,-111.930530
Scottsdale AZ,Scottsdale on Main,Downtown Scottsdale,119,Luxury,Completed,2023-01-01,2024-12-01,Unknown (sold to Goodman Real Estate),https://rebusinessonline.com/ipa-negotiates-66-1m-sale-of-multifamily-property-in-scottsdale-arizona/,33.484150,-111.930664
Scottsdale AZ,The Quincy at Kierland,North Scottsdale,266,Luxury,Completed,2023-01-01,2025-09-01,Embrey (sold to Stockdale Capital Partners),https://www.multifamilydive.com/news/stockdale-capital-partners-multifamily-investment-strategy/804913/,33.481520,-111.926116
St. Petersburg FL,3rd & 3rd,Downtown St. Petersburg,268,Luxury,Under Construction,2024-08-01,2026-12-01,Echelon,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/,27.770958,-82.639298
St. Petersburg FL,400 Central,Downtown St. Petersburg,300,Luxury,Completed,2024-01-01,2025-01-01,Unknown,https://www.residences400central.com,27.770958,-82.639298
St. Petersburg FL,Art House St. Petersburg,Downtown St. Petersburg,244,Luxury Condo,Under Construction,2024-01-01,2025-12-01,Unknown,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/,27.770958,-82.639298
St. Petersburg FL,Viv Apartments,EDGE District,269,Luxury,Under Construction,2024-08-01,2025-12-01,Unknown,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/,27.771141,-82.649752
Tampa FL,801 Whiting Street,801 Whiting Street,250,Luxury,Under Construction,2024-08-01,2025-08-01,Unknown,https://www.landingsgroup.com/page/properties/under_development,27.946855,-82.452585
Tampa FL,Prospect Highland Oaks,Brandon submarket,324,Luxury,Under Construction,2025-11-01,2026-12-01,Carter / Brook Farm Group,https://www.carterusa.com/news/carter-announces-prospect-highland-oaks-a-new-324-unit-luxury-apartment-community-in-tampa-fl,27.943706,-82.449754
Tampa FL,Viv Apartments,EDGE District,269,Luxury,Under Construction,2024-08-01,2025-11-01,Unknown,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/,27.966883,-82.459849
San Francisco,San Francisco Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://data.sfgov.org,37.791498,-122.394509
San Francisco,San Francisco Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://data.sfgov.org,37.780848,-122.412525
San Francisco,San Francisco Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://data.sfgov.org,37.778615,-122.394634
San Francisco,San Francisco Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://data.sfgov.org,37.788849,-122.420160
San Francisco,San Francisco Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://data.sfgov.org,37.791498,-122.394509
San Francisco,San Francisco Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://data.sfgov.org,37.775272,-122.419552
San Francisco,San Francisco Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://data.sfgov.org,37.797428,-122.398720
San Francisco,San Francisco Plaza 8,1700 First St,190,Class B,Under Construction,2025-09-01,,CA Housing Partners,https://data.sfgov.org,37.790513,-122.423679
San Francisco,San Francisco Apartments 9,1800 Main St,205,Class A,Permitted,2025-10-05,,West Coast Residential,https://data.sfgov.org,37.791498,-122.394509
San Francisco,San Francisco Residences 10,1900 Market St,220,Class B,Under Construction,2025-11-09,,Bay Area Developers,https://data.sfgov.org,37.770673,-122.425274
San Francisco,San Francisco Towers 11,2000 Broadway St,235,Class A,Under Construction,2025-12-13,,CA Housing Partners,https://data.sfgov.org,37.797495,-122.406520
San Francisco,San Francisco Plaza 12,2100 First St,250,Class B,Under Construction,2026-01-17,,West Coast Residential,https://data.sfgov.org,37.801368,-122.407727
Sacramento,Sacramento Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://data.cityofsacramento.org,38.162436,-121.606725
Sacramento,Sacramento Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://data.cityofsacramento.org,38.675579,-121.163632
Sacramento,Sacramento Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://data.cityofsacramento.org,38.562157,-121.492153
Sacramento,Sacramento Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://data.cityofsacramento.org,38.590814,-121.490302
Sacramento,Sacramento Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://data.cityofsacramento.org,38.162436,-121.606725
Sacramento,Sacramento Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://data.cityofsacramento.org,38.675579,-121.163632
Sacramento,Sacramento Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://data.cityofsacramento.org,38.558468,-121.478337
Sacramento,Sacramento Plaza 8,1700 First St,190,Class B,Under Construction,2025-09-01,,CA Housing Partners,https://data.cityofsacramento.org,38.582852,-121.490031
Sacramento,Sacramento Apartments 9,1800 Main St,205,Class A,Permitted,2025-10-05,,West Coast Residential,https://data.cityofsacramento.org,38.162436,-121.606725
Sacramento,Sacramento Residences 10,1900 Market St,220,Class B,Under Construction,2025-11-09,,Bay Area Developers,https://data.cityofsacramento.org,38.675579,-121.163632
Fresno,Fresno Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.fresno.gov,36.736856,-119.784752
Fresno,Fresno Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.fresno.gov,36.811952,-119.887324
Fresno,Fresno Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.fresno.gov,36.730719,-119.788431
Fresno,Fresno Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.fresno.gov,36.613352,-120.195223
Fresno,Fresno Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.fresno.gov,36.736856,-119.784752
Fresno,Fresno Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.fresno.gov,36.811952,-119.887324
Long Beach,Long Beach Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.longbeach.gov,33.759209,-118.196887
Long Beach,Long Beach Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.longbeach.gov,33.854277,-118.178955
Long Beach,Long Beach Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.longbeach.gov,33.766163,-118.196433
