zip_code,metro,lat,lng,cap_rate_pct,cap_rate_class_a_pct,cap_rate_class_b_pct,data_source,as_of_date,source_url
10018,New York,40.7465,-74.0062,5.46,4.27,5.77,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10019,New York,40.8496,-73.9842,4.31,4.86,4.73,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10020,New York,40.7937,-74.0435,5.19,4.12,4.36,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10021,New York,40.8501,-73.9875,5.33,4.71,5.18,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10022,New York,40.61,-74.0677,3.99,4.34,4.26,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10023,New York,40.6564,-74.081,4.52,3.94,5.79,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10024,New York,40.8034,-74.1215,4.37,4.2,4.92,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10025,New York,40.8144,-73.9565,5.16,4.74,4.61,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10026,New York,40.8152,-74.1239,4.15,5.15,5.81,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10027,New York,40.7701,-73.9228,5.13,4.3,5.71,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10028,New York,40.8363,-73.9296,4.86,4.25,5.56,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10029,New York,40.6248,-74.0618,4.47,4.52,4.76,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10030,New York,40.8296,-74.1136,5.6,4.69,5.3,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10031,New York,40.7547,-73.8801,4.96,5.01,4.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10032,New York,40.7883,-74.1199,5.36,4.12,5.89,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10033,New York,40.6653,-73.844,5.54,4.32,5.19,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10034,New York,40.819,-74.1257,4.54,5.03,4.82,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10035,New York,40.841,-73.8655,4.51,3.86,5.72,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10036,New York,40.8428,-74.1198,4.76,4.29,4.6,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10037,New York,40.7695,-73.8682,5.64,4.89,5.88,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10038,New York,40.6597,-74.0256,5.59,3.82,5.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10039,New York,40.8624,-74.1386,5.38,4.21,4.9,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10040,New York,40.8485,-74.0837,5.17,4.52,4.12,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10041,New York,40.7061,-73.8581,5.31,3.84,5.16,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10042,New York,40.592,-74.102,4.44,4.14,4.56,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10043,New York,40.854,-74.0088,4.37,3.66,4.85,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10044,New York,40.6682,-74.0982,4.11,4.07,4.37,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10045,New York,40.8559,-74.1667,4.18,4.3,4.73,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10046,New York,40.7917,-73.9853,3.98,4.78,4.59,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10047,New York,40.7567,-73.9596,4.12,4.45,5.18,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10048,New York,40.7048,-73.9293,3.97,4.68,4.6,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10049,New York,40.8035,-74.1252,4.36,3.85,4.11,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10050,New York,40.6196,-73.9172,5.26,4.53,4.89,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10051,New York,40.643,-73.924,4.62,3.86,5.23,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10052,New York,40.6472,-73.9063,4.36,4.27,4.73,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10053,New York,40.851,-74.0213,5.02,5.18,4.76,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10054,New York,40.6703,-74.059,4.52,4.13,4.78,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10055,New York,40.7919,-73.9193,5.02,3.62,4.48,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10056,New York,40.7687,-74.0027,4.6,4.74,4.42,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10057,New York,40.7865,-73.9435,5.0,5.16,5.48,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10058,New York,40.762,-74.0912,4.31,4.57,5.53,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10059,New York,40.8554,-73.9114,5.63,4.97,5.22,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10060,New York,40.7568,-73.9228,4.94,3.8,5.11,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10061,New York,40.6937,-74.1749,4.74,3.79,4.99,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10062,New York,40.6367,-73.8556,5.53,4.34,5.65,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10063,New York,40.7167,-73.9992,4.9,4.86,4.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10064,New York,40.6219,-74.1213,5.31,4.24,5.31,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10065,New York,40.6587,-73.9155,5.65,4.2,4.5,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10066,New York,40.8151,-73.837,5.18,4.69,5.54,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10067,New York,40.8289,-73.9201,4.84,4.01,4.52,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10068,New York,40.6768,-73.9826,5.29,4.74,4.11,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10069,New York,40.5917,-73.9744,5.22,4.94,4.47,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10070,New York,40.5835,-73.9129,5.45,4.23,5.17,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10071,New York,40.5696,-73.881,5.6,4.6,4.44,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10072,New York,40.6973,-73.8572,4.97,3.98,4.84,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10073,New York,40.6683,-73.8412,5.06,4.77,4.2,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10074,New York,40.6544,-73.9861,4.15,3.65,5.07,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10075,New York,40.8282,-73.9756,5.34,3.89,5.08,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10076,New York,40.5789,-73.8746,5.3,4.07,4.57,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10077,New York,40.8013,-73.9942,5.2,3.97,5.72,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10078,New York,40.7908,-74.0033,4.16,3.98,5.04,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10079,New York,40.5863,-74.0558,4.27,5.11,4.93,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
10080,New York,40.6942,-74.0887,3.96,3.74,5.52,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90001,Los Angeles,34.1214,-118.2314,4.13,3.51,4.72,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90002,Los Angeles,34.0392,-118.3354,4.74,4.37,5.54,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90003,Los Angeles,33.9029,-118.243,5.12,4.34,3.89,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90004,Los Angeles,34.1509,-118.1387,4.6,4.12,4.14,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90005,Los Angeles,33.9751,-118.415,5.16,3.7,4.05,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90006,Los Angeles,33.999,-118.3099,4.33,4.74,4.13,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90007,Los Angeles,34.0868,-118.1844,4.78,4.47,4.8,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90008,Los Angeles,34.0856,-118.2297,5.16,3.7,5.17,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90009,Los Angeles,34.1576,-118.2875,4.83,4.2,4.73,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90010,Los Angeles,33.948,-118.2617,4.52,3.47,4.24,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90011,Los Angeles,34.161,-118.072,4.69,4.48,4.81,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90012,Los Angeles,34.0257,-118.3151,4.63,3.65,5.03,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90013,Los Angeles,34.0993,-118.269,4.23,3.7,4.53,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90014,Los Angeles,33.9242,-118.2933,5.12,3.41,5.46,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90015,Los Angeles,34.1921,-118.1397,3.72,4.39,4.18,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90016,Los Angeles,34.1713,-118.2349,4.52,4.53,3.86,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90017,Los Angeles,34.1716,-118.1116,4.35,4.2,5.38,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90018,Los Angeles,33.9229,-118.1455,4.89,4.24,4.0,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90019,Los Angeles,33.9689,-118.1972,5.15,3.56,4.03,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90020,Los Angeles,33.9238,-118.0834,5.15,3.87,5.47,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90021,Los Angeles,34.1068,-118.1598,5.11,4.48,4.56,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90022,Los Angeles,34.0847,-118.1458,4.47,4.37,4.32,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90023,Los Angeles,34.1212,-118.3214,3.92,3.77,3.96,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90024,Los Angeles,33.9381,-118.3817,4.99,3.88,4.26,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90025,Los Angeles,34.1683,-118.421,4.38,4.66,4.17,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90026,Los Angeles,34.018,-118.0865,4.17,3.91,5.47,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90027,Los Angeles,34.0829,-118.2324,4.01,4.24,4.05,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90028,Los Angeles,34.0628,-118.3854,4.55,3.85,4.84,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90029,Los Angeles,33.9948,-118.3634,4.57,4.3,5.23,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90030,Los Angeles,33.9549,-118.1002,3.95,4.67,5.14,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90031,Los Angeles,34.0853,-118.1248,4.3,4.03,3.98,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90032,Los Angeles,34.0964,-118.3443,3.96,3.74,5.42,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90033,Los Angeles,34.0182,-118.3844,4.9,3.37,4.81,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90034,Los Angeles,33.9229,-118.1975,4.03,4.16,4.21,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90035,Los Angeles,34.1844,-118.1729,4.69,3.4,5.11,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90036,Los Angeles,34.0083,-118.1578,3.95,4.62,4.56,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90037,Los Angeles,33.9468,-118.3693,3.82,4.1,4.56,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90038,Los Angeles,34.0832,-118.4076,3.82,4.01,4.7,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90039,Los Angeles,33.9634,-118.0968,4.19,3.56,4.14,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90040,Los Angeles,34.1224,-118.2212,5.17,3.58,4.21,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90041,Los Angeles,34.1348,-118.2771,5.31,4.05,4.44,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90042,Los Angeles,34.0297,-118.2394,4.84,4.3,4.95,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90043,Los Angeles,34.1872,-118.1309,5.12,4.11,4.49,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90044,Los Angeles,34.0132,-118.1634,4.77,3.39,3.94,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90045,Los Angeles,34.1026,-118.1199,5.19,4.08,3.91,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90046,Los Angeles,33.9073,-118.1468,4.97,3.59,4.7,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90047,Los Angeles,34.1758,-118.0821,3.84,3.64,5.13,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90048,Los Angeles,34.1469,-118.2681,3.88,4.63,5.12,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90049,Los Angeles,34.0295,-118.4192,3.79,4.03,4.03,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90050,Los Angeles,34.0881,-118.0957,5.19,4.66,4.21,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90051,Los Angeles,34.0655,-118.4031,5.23,4.09,4.52,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90052,Los Angeles,34.0743,-118.1046,4.7,4.26,4.9,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90053,Los Angeles,33.9527,-118.2702,4.94,4.48,4.84,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90054,Los Angeles,34.0598,-118.2157,3.76,3.99,4.33,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90055,Los Angeles,34.0001,-118.2148,4.79,4.38,3.95,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90056,Los Angeles,34.0884,-118.3838,4.74,3.95,4.25,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90057,Los Angeles,34.1417,-118.4208,4.87,3.82,5.24,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90058,Los Angeles,33.9248,-118.1827,4.08,4.67,4.91,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90059,Los Angeles,34.0479,-118.173,4.52,4.65,4.23,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90060,Los Angeles,34.1424,-118.228,5.25,4.15,5.06,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90061,Los Angeles,34.0107,-118.2141,3.84,4.01,5.52,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90062,Los Angeles,33.9245,-118.0951,5.04,4.71,3.93,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90063,Los Angeles,33.9377,-118.2025,4.54,4.03,5.48,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90064,Los Angeles,34.0515,-118.3478,5.29,4.4,5.35,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90065,Los Angeles,34.0036,-118.3985,3.8,4.77,5.47,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90066,Los Angeles,33.9078,-118.0645,5.21,3.58,4.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90067,Los Angeles,34.0193,-118.2298,4.58,4.51,4.54,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90068,Los Angeles,34.1604,-118.0666,3.8,3.64,4.37,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90069,Los Angeles,34.1507,-118.2329,5.16,3.43,5.49,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90070,Los Angeles,34.1998,-118.1668,4.45,3.67,3.9,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90071,Los Angeles,33.9779,-118.1879,4.19,4.68,4.39,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90072,Los Angeles,33.9839,-118.106,3.91,4.04,4.93,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90073,Los Angeles,33.9542,-118.391,3.98,3.59,5.25,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90074,Los Angeles,34.0595,-118.3353,5.15,3.98,5.1,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90075,Los Angeles,34.0552,-118.1555,4.93,4.38,4.94,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90076,Los Angeles,34.1445,-118.2757,4.22,3.91,4.6,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90077,Los Angeles,34.1051,-118.3696,4.38,4.22,5.02,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90078,Los Angeles,34.1916,-118.2034,4.93,4.13,4.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90079,Los Angeles,33.9753,-118.3549,4.48,3.36,4.46,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
90080,Los Angeles,33.9908,-118.0727,4.74,3.8,5.35,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60601,Chicago,41.8072,-87.7025,5.41,5.44,4.98,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60602,Chicago,41.7627,-87.717,4.88,4.91,6.09,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60603,Chicago,41.8959,-87.4839,5.05,5.52,5.34,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60604,Chicago,41.9676,-87.6706,4.93,5.1,4.71,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60605,Chicago,41.8354,-87.5089,4.97,5.64,5.58,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60606,Chicago,41.9104,-87.512,5.78,5.93,6.27,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60607,Chicago,41.7836,-87.7617,5.02,5.04,5.54,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60608,Chicago,41.9675,-87.5971,5.27,4.52,5.6,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60609,Chicago,41.9584,-87.4849,5.35,4.79,4.77,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60610,Chicago,41.9527,-87.7464,5.91,5.83,6.12,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60611,Chicago,41.9986,-87.533,5.95,5.87,4.86,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60612,Chicago,41.8096,-87.6634,4.71,4.83,6.64,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60613,Chicago,42.0224,-87.483,5.41,4.84,5.29,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60614,Chicago,41.8415,-87.5368,4.52,5.27,5.37,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60615,Chicago,41.8751,-87.7045,6.43,4.9,4.75,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60616,Chicago,41.8192,-87.6943,6.04,5.96,5.11,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60617,Chicago,41.7678,-87.4937,6.03,4.91,5.5,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60618,Chicago,41.823,-87.5055,4.65,5.78,5.16,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60619,Chicago,41.9999,-87.8035,5.14,4.19,5.67,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
60620,Chicago,41.7287,-87.5826,5.54,4.21,5.78,CBRE Cap Rate Survey,2025-Q4,https://www.cbre.com/insights/reports/cap-rate-survey
