zip_code,metro,lat,lng,insurance_cost_pct_of_ebi,avg_annual_premium_per_unit,premium_yoy_chg_pct,carrier_availability,data_source,as_of_date,source_url
10020,New York,40.7937,-74.0435,0.93,988.0,16.35,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10021,New York,40.8501,-73.9875,0.96,1079.0,16.49,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10022,New York,40.61,-74.0677,1.0,1124.0,19.82,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10023,New York,40.6564,-74.081,0.92,1214.0,17.78,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10024,New York,40.8034,-74.1215,1.08,1183.0,18.85,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10025,New York,40.8144,-73.9565,0.99,1086.0,18.74,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10026,New York,40.8152,-74.1239,1.07,1143.0,19.08,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10027,New York,40.7701,-73.9228,0.9,1015.0,21.09,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10028,New York,40.8363,-73.9296,0.79,1066.0,15.83,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10029,New York,40.6248,-74.0618,0.83,940.0,20.89,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10030,New York,40.8296,-74.1136,0.87,1149.0,15.85,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10031,New York,40.7547,-73.8801,1.08,1041.0,17.43,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10032,New York,40.7883,-74.1199,1.08,1136.0,15.21,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10033,New York,40.6653,-73.844,0.79,1206.0,17.55,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10034,New York,40.819,-74.1257,0.96,1345.0,15.97,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10035,New York,40.841,-73.8655,1.08,1032.0,19.54,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10036,New York,40.8428,-74.1198,1.05,998.0,17.08,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10037,New York,40.7695,-73.8682,1.01,1329.0,19.04,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10038,New York,40.6597,-74.0256,0.97,1274.0,17.3,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10039,New York,40.8624,-74.1386,0.94,1183.0,21.51,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10040,New York,40.8485,-74.0837,0.99,1241.0,17.43,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10041,New York,40.7061,-73.8581,1.1,985.0,17.13,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10042,New York,40.592,-74.102,0.85,1212.0,17.83,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10043,New York,40.854,-74.0088,0.98,954.0,20.35,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10044,New York,40.6682,-74.0982,0.88,1019.0,17.73,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10045,New York,40.8559,-74.1667,1.08,947.0,18.96,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10046,New York,40.7917,-73.9853,0.84,953.0,19.19,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10047,New York,40.7567,-73.9596,1.11,940.0,15.8,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10048,New York,40.7048,-73.9293,0.97,992.0,20.07,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10049,New York,40.8035,-74.1252,0.84,1102.0,21.76,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10050,New York,40.6196,-73.9172,0.96,1095.0,17.01,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10051,New York,40.643,-73.924,1.09,1029.0,15.4,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10052,New York,40.6472,-73.9063,0.85,964.0,17.43,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10053,New York,40.851,-74.0213,0.82,1074.0,15.42,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10054,New York,40.6703,-74.059,0.95,1320.0,15.53,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10055,New York,40.7919,-73.9193,1.09,1095.0,20.75,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10056,New York,40.7687,-74.0027,0.79,1117.0,21.35,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10057,New York,40.7865,-73.9435,0.98,1034.0,17.6,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10058,New York,40.762,-74.0912,0.79,1345.0,20.95,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10059,New York,40.8554,-73.9114,0.91,1253.0,19.2,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10060,New York,40.7568,-73.9228,0.82,1187.0,21.77,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10061,New York,40.6937,-74.1749,1.07,987.0,17.59,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10062,New York,40.6367,-73.8556,1.03,1127.0,15.43,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10063,New York,40.7167,-73.9992,1.05,1342.0,16.9,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10064,New York,40.6219,-74.1213,1.08,968.0,19.45,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10065,New York,40.6587,-73.9155,0.92,1237.0,21.13,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10066,New York,40.8151,-73.837,0.79,939.0,19.77,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10067,New York,40.8289,-73.9201,0.94,1309.0,17.17,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10068,New York,40.6768,-73.9826,1.02,1331.0,20.23,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10069,New York,40.5917,-73.9744,0.81,1018.0,18.63,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10070,New York,40.5835,-73.9129,1.07,1342.0,17.87,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10071,New York,40.5696,-73.881,1.02,992.0,16.15,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10072,New York,40.6973,-73.8572,0.84,1037.0,17.99,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10073,New York,40.6683,-73.8412,0.85,1018.0,17.82,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10074,New York,40.6544,-73.9861,0.84,1341.0,21.29,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10075,New York,40.8282,-73.9756,1.09,1045.0,17.2,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10076,New York,40.5789,-73.8746,0.9,1127.0,16.14,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10077,New York,40.8013,-73.9942,0.96,1088.0,20.57,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10078,New York,40.7908,-74.0033,0.91,1091.0,16.88,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10079,New York,40.5863,-74.0558,0.96,1011.0,15.76,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
10080,New York,40.6942,-74.0887,0.89,1009.0,16.23,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
90001,Los Angeles,34.1214,-118.2314,0.83,884.0,20.82,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90002,Los Angeles,34.0392,-118.3354,0.85,810.0,20.86,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90003,Los Angeles,33.9029,-118.243,0.61,892.0,17.69,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90004,Los Angeles,34.1509,-118.1387,0.64,734.0,21.39,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90005,Los Angeles,33.9751,-118.415,0.64,862.0,20.83,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90006,Los Angeles,33.999,-118.3099,0.83,839.0,16.26,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90007,Los Angeles,34.0868,-118.1844,0.85,860.0,20.8,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90008,Los Angeles,34.0856,-118.2297,0.71,978.0,16.78,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90009,Los Angeles,34.1576,-118.2875,0.65,879.0,16.94,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90010,Los Angeles,33.948,-118.2617,0.65,896.0,15.6,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90011,Los Angeles,34.161,-118.072,0.59,998.0,17.26,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90012,Los Angeles,34.0257,-118.3151,0.75,898.0,17.48,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90013,Los Angeles,34.0993,-118.269,0.61,754.0,20.39,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90014,Los Angeles,33.9242,-118.2933,0.83,822.0,18.67,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90015,Los Angeles,34.1921,-118.1397,0.76,720.0,19.02,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90016,Los Angeles,34.1713,-118.2349,0.69,929.0,21.7,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90017,Los Angeles,34.1716,-118.1116,0.68,710.0,16.37,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90018,Los Angeles,33.9229,-118.1455,0.69,725.0,18.94,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90019,Los Angeles,33.9689,-118.1972,0.66,966.0,15.6,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90020,Los Angeles,33.9238,-118.0834,0.73,1009.0,16.01,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90021,Los Angeles,34.1068,-118.1598,0.77,721.0,17.17,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90022,Los Angeles,34.0847,-118.1458,0.65,768.0,19.11,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90023,Los Angeles,34.1212,-118.3214,0.67,723.0,15.74,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90024,Los Angeles,33.9381,-118.3817,0.77,802.0,16.65,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90025,Los Angeles,34.1683,-118.421,0.66,991.0,15.72,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90026,Los Angeles,34.018,-118.0865,0.69,737.0,15.31,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90027,Los Angeles,34.0829,-118.2324,0.76,785.0,18.49,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90028,Los Angeles,34.0628,-118.3854,0.62,948.0,20.31,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90029,Los Angeles,33.9948,-118.3634,0.66,954.0,15.35,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90030,Los Angeles,33.9549,-118.1002,0.76,863.0,17.87,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90031,Los Angeles,34.0853,-118.1248,0.78,956.0,16.22,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90032,Los Angeles,34.0964,-118.3443,0.78,953.0,17.84,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90033,Los Angeles,34.0182,-118.3844,0.83,827.0,21.77,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90034,Los Angeles,33.9229,-118.1975,0.64,995.0,19.51,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90035,Los Angeles,34.1844,-118.1729,0.83,832.0,17.26,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90036,Los Angeles,34.0083,-118.1578,0.72,884.0,20.29,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90037,Los Angeles,33.9468,-118.3693,0.64,750.0,21.67,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90038,Los Angeles,34.0832,-118.4076,0.81,786.0,18.98,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90039,Los Angeles,33.9634,-118.0968,0.84,750.0,15.69,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90040,Los Angeles,34.1224,-118.2212,0.71,714.0,17.8,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90041,Los Angeles,34.1348,-118.2771,0.78,859.0,17.43,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90042,Los Angeles,34.0297,-118.2394,0.8,1005.0,17.62,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90043,Los Angeles,34.1872,-118.1309,0.62,719.0,18.55,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90044,Los Angeles,34.0132,-118.1634,0.66,854.0,19.38,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90045,Los Angeles,34.1026,-118.1199,0.68,806.0,20.63,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90046,Los Angeles,33.9073,-118.1468,0.7,862.0,16.09,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90047,Los Angeles,34.1758,-118.0821,0.71,899.0,15.81,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90048,Los Angeles,34.1469,-118.2681,0.75,915.0,15.83,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90049,Los Angeles,34.0295,-118.4192,0.76,779.0,15.56,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90050,Los Angeles,34.0881,-118.0957,0.78,1012.0,16.59,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90051,Los Angeles,34.0655,-118.4031,0.71,861.0,18.23,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90052,Los Angeles,34.0743,-118.1046,0.83,797.0,18.85,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90053,Los Angeles,33.9527,-118.2702,0.79,823.0,20.73,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90054,Los Angeles,34.0598,-118.2157,0.8,997.0,19.73,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90055,Los Angeles,34.0001,-118.2148,0.74,720.0,16.33,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90056,Los Angeles,34.0884,-118.3838,0.82,755.0,16.05,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90057,Los Angeles,34.1417,-118.4208,0.74,933.0,21.15,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90058,Los Angeles,33.9248,-118.1827,0.75,916.0,17.68,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90059,Los Angeles,34.0479,-118.173,0.72,965.0,19.32,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90060,Los Angeles,34.1424,-118.228,0.61,955.0,19.41,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90061,Los Angeles,34.0107,-118.2141,0.84,808.0,16.04,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90062,Los Angeles,33.9245,-118.0951,0.67,915.0,15.52,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90063,Los Angeles,33.9377,-118.2025,0.6,817.0,18.38,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90064,Los Angeles,34.0515,-118.3478,0.76,795.0,18.45,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90065,Los Angeles,34.0036,-118.3985,0.78,747.0,16.01,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90066,Los Angeles,33.9078,-118.0645,0.74,914.0,16.91,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90067,Los Angeles,34.0193,-118.2298,0.65,824.0,15.49,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90068,Los Angeles,34.1604,-118.0666,0.76,968.0,20.22,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90069,Los Angeles,34.1507,-118.2329,0.69,818.0,15.27,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90070,Los Angeles,34.1998,-118.1668,0.67,988.0,18.64,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90071,Los Angeles,33.9779,-118.1879,0.67,869.0,20.77,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90072,Los Angeles,33.9839,-118.106,0.63,956.0,18.73,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90073,Los Angeles,33.9542,-118.391,0.62,710.0,15.98,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90074,Los Angeles,34.0595,-118.3353,0.68,984.0,19.22,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90075,Los Angeles,34.0552,-118.1555,0.8,762.0,17.61,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90076,Los Angeles,34.1445,-118.2757,0.79,777.0,19.04,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90077,Los Angeles,34.1051,-118.3696,0.64,794.0,21.6,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90078,Los Angeles,34.1916,-118.2034,0.78,859.0,16.08,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90079,Los Angeles,33.9753,-118.3549,0.8,783.0,16.36,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
90080,Los Angeles,33.9908,-118.0727,0.67,835.0,21.29,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60601,Chicago,41.8072,-87.7025,0.43,589.0,18.45,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60602,Chicago,41.7627,-87.717,0.44,535.0,18.34,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60603,Chicago,41.8959,-87.4839,0.55,621.0,19.09,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60604,Chicago,41.9676,-87.6706,0.53,635.0,16.66,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60605,Chicago,41.8354,-87.5089,0.4,495.0,15.55,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60606,Chicago,41.9104,-87.512,0.42,668.0,16.22,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60607,Chicago,41.7836,-87.7617,0.44,534.0,19.06,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60608,Chicago,41.9675,-87.5971,0.42,507.0,19.4,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60609,Chicago,41.9584,-87.4849,0.41,551.0,21.72,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60610,Chicago,41.9527,-87.7464,0.42,621.0,16.35,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60611,Chicago,41.9986,-87.533,0.47,551.0,15.62,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60612,Chicago,41.8096,-87.6634,0.47,626.0,19.06,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60613,Chicago,42.0224,-87.483,0.45,559.0,17.46,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60614,Chicago,41.8415,-87.5368,0.44,492.0,18.89,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60615,Chicago,41.8751,-87.7045,0.42,639.0,21.8,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60616,Chicago,41.8192,-87.6943,0.48,606.0,19.35,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60617,Chicago,41.7678,-87.4937,0.47,528.0,18.34,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60618,Chicago,41.823,-87.5055,0.52,630.0,21.36,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60619,Chicago,41.9999,-87.8035,0.48,472.0,20.95,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60620,Chicago,41.7287,-87.5826,0.51,623.0,19.07,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60621,Chicago,41.8316,-87.6411,0.51,560.0,16.21,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60622,Chicago,41.8746,-87.6585,0.39,560.0,16.16,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60623,Chicago,41.7497,-87.4588,0.48,485.0,17.41,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60624,Chicago,41.8158,-87.6753,0.5,606.0,16.03,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60625,Chicago,41.7448,-87.6703,0.53,514.0,20.17,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60626,Chicago,41.893,-87.7586,0.57,500.0,17.68,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60627,Chicago,41.994,-87.7613,0.46,679.0,20.27,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60628,Chicago,41.9111,-87.4579,0.44,679.0,17.73,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60629,Chicago,41.7587,-87.7174,0.5,575.0,17.62,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60630,Chicago,41.9099,-87.7597,0.52,530.0,17.08,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60631,Chicago,41.7453,-87.7891,0.48,562.0,18.42,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60632,Chicago,41.7612,-87.4761,0.44,529.0,18.82,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60633,Chicago,41.7567,-87.7062,0.47,584.0,19.43,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60634,Chicago,41.7451,-87.692,0.47,667.0,21.5,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60635,Chicago,41.7298,-87.641,0.51,482.0,20.8,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60636,Chicago,41.8036,-87.5102,0.43,572.0,16.38,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60637,Chicago,41.8807,-87.4958,0.42,559.0,17.77,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60638,Chicago,41.9056,-87.6452,0.44,522.0,20.64,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60639,Chicago,42.0167,-87.7278,0.45,630.0,20.42,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60640,Chicago,41.7747,-87.5077,0.42,586.0,17.99,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60641,Chicago,41.8668,-87.4603,0.45,580.0,19.17,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60642,Chicago,41.8879,-87.7336,0.54,620.0,21.68,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60643,Chicago,41.8464,-87.6119,0.4,477.0,16.4,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60644,Chicago,42.0268,-87.5098,0.57,550.0,20.29,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60645,Chicago,41.9197,-87.5425,0.53,505.0,21.44,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60646,Chicago,41.8791,-87.4616,0.44,532.0,18.8,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60647,Chicago,41.8829,-87.7851,0.56,654.0,16.58,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60648,Chicago,41.9674,-87.5685,0.49,591.0,16.51,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60649,Chicago,42.02,-87.6902,0.4,504.0,15.61,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60650,Chicago,41.8255,-87.751,0.46,556.0,19.91,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60651,Chicago,41.969,-87.4976,0.51,620.0,17.11,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60652,Chicago,41.9804,-87.6468,0.49,480.0,19.37,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60653,Chicago,41.7616,-87.5119,0.51,593.0,16.05,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60654,Chicago,41.9076,-87.7347,0.44,568.0,17.29,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60655,Chicago,41.9484,-87.7766,0.46,510.0,15.22,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60656,Chicago,41.991,-87.714,0.44,528.0,16.48,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60657,Chicago,41.868,-87.6822,0.53,488.0,17.32,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60658,Chicago,41.9236,-87.6054,0.57,614.0,16.76,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60659,Chicago,41.9055,-87.4745,0.54,491.0,21.02,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
60660,Chicago,41.8173,-87.7665,0.51,607.0,18.81,Ample,NMHC Insurance Survey,2025,https://www.nmhc.org
77001,Houston,29.6917,-95.326,1.13,1344.0,19.21,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
77002,Houston,29.6157,-95.3071,1.24,1573.0,15.32,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
77003,Houston,29.8466,-95.4814,1.26,1244.0,20.35,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
77004,Houston,29.8623,-95.3853,1.1,1354.0,18.71,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
77005,Houston,29.7669,-95.3295,1.16,1232.0,18.78,Moderate,NMHC Insurance Survey,2025,https://www.nmhc.org
