zip_code,metro,lat,lng,job_growth_yoy_pct,unemployment_rate_pct,top_growth_sector,data_source,as_of_date,source_url
10078,New York,40.7908,-74.0033,1.12,5.03,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10079,New York,40.5863,-74.0558,1.38,5.19,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
10080,New York,40.6942,-74.0887,1.29,3.92,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90001,Los Angeles,34.1214,-118.2314,1.62,5.06,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90002,Los Angeles,34.0392,-118.3354,1.29,5.15,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90003,Los Angeles,33.9029,-118.243,1.26,6.44,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90004,Los Angeles,34.1509,-118.1387,1.25,6.07,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90005,Los Angeles,33.9751,-118.415,1.35,4.82,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90006,Los Angeles,33.999,-118.3099,1.24,5.95,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90007,Los Angeles,34.0868,-118.1844,1.34,6.79,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90008,Los Angeles,34.0856,-118.2297,1.35,6.28,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90009,Los Angeles,34.1576,-118.2875,1.23,4.84,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90010,Los Angeles,33.948,-118.2617,1.33,6.75,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90011,Los Angeles,34.161,-118.072,1.21,5.59,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90012,Los Angeles,34.0257,-118.3151,1.16,4.84,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90013,Los Angeles,34.0993,-118.269,1.23,5.5,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90014,Los Angeles,33.9242,-118.2933,1.5,5.39,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90015,Los Angeles,34.1921,-118.1397,1.15,6.31,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90016,Los Angeles,34.1713,-118.2349,1.4,6.55,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90017,Los Angeles,34.1716,-118.1116,1.24,6.14,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90018,Los Angeles,33.9229,-118.1455,1.16,5.0,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90019,Los Angeles,33.9689,-118.1972,1.48,6.17,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90020,Los Angeles,33.9238,-118.0834,1.4,6.42,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90021,Los Angeles,34.1068,-118.1598,1.63,5.0,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90022,Los Angeles,34.0847,-118.1458,1.48,5.62,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90023,Los Angeles,34.1212,-118.3214,1.37,6.38,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90024,Los Angeles,33.9381,-118.3817,1.56,6.39,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90025,Los Angeles,34.1683,-118.421,1.37,6.32,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90026,Los Angeles,34.018,-118.0865,1.3,4.98,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90027,Los Angeles,34.0829,-118.2324,1.48,5.71,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90028,Los Angeles,34.0628,-118.3854,1.33,5.05,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90029,Los Angeles,33.9948,-118.3634,1.41,5.12,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90030,Los Angeles,33.9549,-118.1002,1.37,5.18,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90031,Los Angeles,34.0853,-118.1248,1.61,5.56,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90032,Los Angeles,34.0964,-118.3443,1.39,6.38,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90033,Los Angeles,34.0182,-118.3844,1.18,5.42,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90034,Los Angeles,33.9229,-118.1975,1.17,4.86,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90035,Los Angeles,34.1844,-118.1729,1.54,6.78,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90036,Los Angeles,34.0083,-118.1578,1.39,6.71,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90037,Los Angeles,33.9468,-118.3693,1.5,5.13,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90038,Los Angeles,34.0832,-118.4076,1.59,6.57,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90039,Los Angeles,33.9634,-118.0968,1.32,5.7,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90040,Los Angeles,34.1224,-118.2212,1.63,6.0,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90041,Los Angeles,34.1348,-118.2771,1.2,5.25,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90042,Los Angeles,34.0297,-118.2394,1.43,6.84,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90043,Los Angeles,34.1872,-118.1309,1.43,6.49,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90044,Los Angeles,34.0132,-118.1634,1.3,5.42,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90045,Los Angeles,34.1026,-118.1199,1.5,5.79,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90046,Los Angeles,33.9073,-118.1468,1.56,5.14,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90047,Los Angeles,34.1758,-118.0821,1.18,5.05,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90048,Los Angeles,34.1469,-118.2681,1.2,5.52,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90049,Los Angeles,34.0295,-118.4192,1.45,5.1,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90050,Los Angeles,34.0881,-118.0957,1.45,5.23,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90051,Los Angeles,34.0655,-118.4031,1.49,6.01,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90052,Los Angeles,34.0743,-118.1046,1.39,6.3,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90053,Los Angeles,33.9527,-118.2702,1.6,5.1,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90054,Los Angeles,34.0598,-118.2157,1.25,6.51,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90055,Los Angeles,34.0001,-118.2148,1.32,6.57,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90056,Los Angeles,34.0884,-118.3838,1.23,5.97,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90057,Los Angeles,34.1417,-118.4208,1.27,6.16,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90058,Los Angeles,33.9248,-118.1827,1.45,6.81,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90059,Los Angeles,34.0479,-118.173,1.41,5.79,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90060,Los Angeles,34.1424,-118.228,1.3,5.17,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90061,Los Angeles,34.0107,-118.2141,1.42,6.42,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90062,Los Angeles,33.9245,-118.0951,1.25,5.29,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90063,Los Angeles,33.9377,-118.2025,1.29,5.35,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90064,Los Angeles,34.0515,-118.3478,1.56,5.55,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90065,Los Angeles,34.0036,-118.3985,1.37,6.18,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90066,Los Angeles,33.9078,-118.0645,1.65,5.16,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90067,Los Angeles,34.0193,-118.2298,1.17,5.44,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90068,Los Angeles,34.1604,-118.0666,1.52,5.13,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90069,Los Angeles,34.1507,-118.2329,1.5,5.1,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90070,Los Angeles,34.1998,-118.1668,1.34,5.31,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90071,Los Angeles,33.9779,-118.1879,1.22,6.18,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90072,Los Angeles,33.9839,-118.106,1.19,5.33,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90073,Los Angeles,33.9542,-118.391,1.51,6.24,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90074,Los Angeles,34.0595,-118.3353,1.27,5.18,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90075,Los Angeles,34.0552,-118.1555,1.36,4.96,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90076,Los Angeles,34.1445,-118.2757,1.59,6.41,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90077,Los Angeles,34.1051,-118.3696,1.47,6.01,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90078,Los Angeles,34.1916,-118.2034,1.61,6.2,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90079,Los Angeles,33.9753,-118.3549,1.42,5.29,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
90080,Los Angeles,33.9908,-118.0727,1.16,6.05,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60601,Chicago,41.8072,-87.7025,1.57,4.12,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60602,Chicago,41.7627,-87.717,1.87,4.9,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60603,Chicago,41.8959,-87.4839,2.03,5.18,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60604,Chicago,41.9676,-87.6706,2.02,5.44,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60605,Chicago,41.8354,-87.5089,1.52,4.58,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60606,Chicago,41.9104,-87.512,1.71,5.21,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60607,Chicago,41.7836,-87.7617,1.53,5.45,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60608,Chicago,41.9675,-87.5971,1.59,5.3,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60609,Chicago,41.9584,-87.4849,1.57,5.05,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60610,Chicago,41.9527,-87.7464,2.08,5.56,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60611,Chicago,41.9986,-87.533,1.63,4.99,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60612,Chicago,41.8096,-87.6634,1.96,4.27,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60613,Chicago,42.0224,-87.483,1.95,4.76,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60614,Chicago,41.8415,-87.5368,2.08,4.96,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60615,Chicago,41.8751,-87.7045,1.51,5.11,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60616,Chicago,41.8192,-87.6943,1.96,5.26,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60617,Chicago,41.7678,-87.4937,1.71,4.44,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60618,Chicago,41.823,-87.5055,1.97,5.35,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60619,Chicago,41.9999,-87.8035,2.0,4.96,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60620,Chicago,41.7287,-87.5826,1.56,5.44,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60621,Chicago,41.8316,-87.6411,1.49,4.63,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60622,Chicago,41.8746,-87.6585,1.7,4.13,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60623,Chicago,41.7497,-87.4588,1.79,4.86,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60624,Chicago,41.8158,-87.6753,1.65,4.49,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60625,Chicago,41.7448,-87.6703,1.58,4.43,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60626,Chicago,41.893,-87.7586,1.58,5.53,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60627,Chicago,41.994,-87.7613,1.83,4.24,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60628,Chicago,41.9111,-87.4579,2.0,5.33,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60629,Chicago,41.7587,-87.7174,1.92,5.54,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60630,Chicago,41.9099,-87.7597,1.62,5.22,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60631,Chicago,41.7453,-87.7891,1.82,3.98,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60632,Chicago,41.7612,-87.4761,1.82,5.0,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60633,Chicago,41.7567,-87.7062,1.97,5.26,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60634,Chicago,41.7451,-87.692,1.69,3.98,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60635,Chicago,41.7298,-87.641,1.48,4.46,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60636,Chicago,41.8036,-87.5102,1.48,5.11,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60637,Chicago,41.8807,-87.4958,1.89,4.1,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
60638,Chicago,41.9056,-87.6452,1.63,4.41,Logistics/Gov,BLS Current Employment Statistics,2025-Q4,https://www.bls.gov/ces/
