zip_code,metro,lat,lng,units_delivered_12mo,pct_class_a,pct_class_b,pct_class_c,data_source,as_of_date,source_url
10038,New York,40.6597,-74.0256,1639,53.94,24.79,8.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10039,New York,40.8624,-74.1386,1552,70.19,31.49,7.39,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10040,New York,40.8485,-74.0837,1449,59.78,31.02,8.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10041,New York,40.7061,-73.8581,1412,56.62,29.74,9.17,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10042,New York,40.592,-74.102,1306,59.02,27.43,8.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10043,New York,40.854,-74.0088,1547,54.83,27.31,10.46,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10044,New York,40.6682,-74.0982,1311,58.92,32.51,7.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10045,New York,40.8559,-74.1667,1245,56.85,30.03,7.7,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10046,New York,40.7917,-73.9853,1685,71.79,31.94,8.99,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10047,New York,40.7567,-73.9596,1494,55.43,32.98,9.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10048,New York,40.7048,-73.9293,1188,68.05,28.92,8.33,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10049,New York,40.8035,-74.1252,1282,71.4,32.41,7.94,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10050,New York,40.6196,-73.9172,1458,59.92,24.07,9.65,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10051,New York,40.643,-73.924,1655,68.41,29.28,7.68,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10052,New York,40.6472,-73.9063,1675,55.24,33.04,10.41,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10053,New York,40.851,-74.0213,1561,57.37,24.31,10.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10054,New York,40.6703,-74.059,1299,65.52,26.17,8.13,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10055,New York,40.7919,-73.9193,1551,57.89,25.08,8.65,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10056,New York,40.7687,-74.0027,1274,51.88,25.72,9.65,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10057,New York,40.7865,-73.9435,1265,72.76,28.8,9.94,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10058,New York,40.762,-74.0912,1485,55.73,25.49,9.83,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10059,New York,40.8554,-73.9114,1302,63.68,30.51,10.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10060,New York,40.7568,-73.9228,1280,53.18,24.98,9.27,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10061,New York,40.6937,-74.1749,1296,70.3,26.07,9.01,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10062,New York,40.6367,-73.8556,1651,53.81,29.65,8.62,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10063,New York,40.7167,-73.9992,1425,56.01,23.69,7.88,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10064,New York,40.6219,-74.1213,1419,56.75,25.98,8.66,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10065,New York,40.6587,-73.9155,1267,66.06,27.94,9.02,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10066,New York,40.8151,-73.837,1343,65.8,32.31,8.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10067,New York,40.8289,-73.9201,1540,69.12,29.64,10.43,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10068,New York,40.6768,-73.9826,1186,63.3,24.5,8.52,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10069,New York,40.5917,-73.9744,1382,58.83,24.99,10.43,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10070,New York,40.5835,-73.9129,1406,67.21,30.91,7.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10071,New York,40.5696,-73.881,1470,70.62,24.84,9.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10072,New York,40.6973,-73.8572,1496,72.82,28.82,9.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10073,New York,40.6683,-73.8412,1548,65.0,27.07,10.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10074,New York,40.6544,-73.9861,1646,55.8,28.27,9.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10075,New York,40.8282,-73.9756,1555,56.44,31.4,9.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10076,New York,40.5789,-73.8746,1207,67.98,31.21,9.68,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10077,New York,40.8013,-73.9942,1223,65.2,23.48,8.4,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10078,New York,40.7908,-74.0033,1209,57.63,24.05,10.15,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10079,New York,40.5863,-74.0558,1659,51.29,25.9,10.35,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
10080,New York,40.6942,-74.0887,1682,59.23,29.8,9.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90001,Los Angeles,34.1214,-118.2314,852,65.7,32.1,9.05,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90002,Los Angeles,34.0392,-118.3354,915,63.73,24.67,8.75,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90003,Los Angeles,33.9029,-118.243,1070,64.86,29.27,7.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90004,Los Angeles,34.1509,-118.1387,877,57.61,29.32,9.02,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90005,Los Angeles,33.9751,-118.415,1150,58.05,23.71,8.77,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90006,Los Angeles,33.999,-118.3099,980,71.93,26.23,10.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90007,Los Angeles,34.0868,-118.1844,1204,66.77,29.69,10.45,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90008,Los Angeles,34.0856,-118.2297,1004,67.09,31.84,8.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90009,Los Angeles,34.1576,-118.2875,1155,55.69,23.43,8.7,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90010,Los Angeles,33.948,-118.2617,958,68.13,29.57,10.38,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90011,Los Angeles,34.161,-118.072,881,72.84,31.08,7.43,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90012,Los Angeles,34.0257,-118.3151,849,66.68,32.82,10.06,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90013,Los Angeles,34.0993,-118.269,945,68.6,32.15,7.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90014,Los Angeles,33.9242,-118.2933,946,70.27,29.25,10.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90015,Los Angeles,34.1921,-118.1397,1039,68.33,33.47,9.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90016,Los Angeles,34.1713,-118.2349,1067,72.91,31.77,8.1,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90017,Los Angeles,34.1716,-118.1116,914,53.2,32.77,8.94,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90018,Los Angeles,33.9229,-118.1455,1046,60.08,30.39,8.63,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90019,Los Angeles,33.9689,-118.1972,840,62.16,23.79,9.54,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90020,Los Angeles,33.9238,-118.0834,1056,63.99,24.81,9.46,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90021,Los Angeles,34.1068,-118.1598,1061,58.49,29.25,10.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90022,Los Angeles,34.0847,-118.1458,961,62.04,32.13,8.05,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90023,Los Angeles,34.1212,-118.3214,1005,53.29,33.12,7.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90024,Los Angeles,33.9381,-118.3817,1170,57.54,24.55,8.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90025,Los Angeles,34.1683,-118.421,1194,51.88,25.53,8.22,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90026,Los Angeles,34.018,-118.0865,1204,66.28,30.58,9.61,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90027,Los Angeles,34.0829,-118.2324,1200,62.36,30.81,8.09,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90028,Los Angeles,34.0628,-118.3854,843,72.69,27.65,10.37,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90029,Los Angeles,33.9948,-118.3634,892,55.41,24.95,8.84,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90030,Los Angeles,33.9549,-118.1002,889,60.44,29.06,9.12,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90031,Los Angeles,34.0853,-118.1248,1025,54.36,28.59,9.1,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90032,Los Angeles,34.0964,-118.3443,1197,69.28,27.29,8.7,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90033,Los Angeles,34.0182,-118.3844,1084,56.94,25.96,7.99,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90034,Los Angeles,33.9229,-118.1975,1019,54.33,24.9,7.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90035,Los Angeles,34.1844,-118.1729,848,55.96,28.93,9.46,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90036,Los Angeles,34.0083,-118.1578,956,66.27,29.52,9.74,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90037,Los Angeles,33.9468,-118.3693,1126,67.4,30.46,10.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90038,Los Angeles,34.0832,-118.4076,1140,51.38,28.02,9.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90039,Los Angeles,33.9634,-118.0968,951,54.43,23.66,10.16,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90040,Los Angeles,34.1224,-118.2212,942,63.36,32.67,10.39,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90041,Los Angeles,34.1348,-118.2771,1112,58.94,32.48,10.29,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90042,Los Angeles,34.0297,-118.2394,1139,71.12,25.0,8.1,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90043,Los Angeles,34.1872,-118.1309,1000,51.66,24.69,9.28,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90044,Los Angeles,34.0132,-118.1634,1176,70.03,24.08,8.23,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90045,Los Angeles,34.1026,-118.1199,896,68.67,32.01,8.43,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90046,Los Angeles,33.9073,-118.1468,861,63.59,29.19,8.81,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90047,Los Angeles,34.1758,-118.0821,889,56.24,24.73,7.63,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90048,Los Angeles,34.1469,-118.2681,1036,60.98,28.01,9.88,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90049,Los Angeles,34.0295,-118.4192,1051,57.71,28.31,7.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90050,Los Angeles,34.0881,-118.0957,1149,57.64,24.71,9.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90051,Los Angeles,34.0655,-118.4031,1025,66.71,25.61,8.36,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90052,Los Angeles,34.0743,-118.1046,944,67.38,32.31,9.72,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90053,Los Angeles,33.9527,-118.2702,944,57.82,23.88,9.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90054,Los Angeles,34.0598,-118.2157,1012,68.1,32.34,8.9,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90055,Los Angeles,34.0001,-118.2148,1091,59.13,28.53,8.88,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90056,Los Angeles,34.0884,-118.3838,1172,66.05,31.06,9.82,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90057,Los Angeles,34.1417,-118.4208,1083,69.71,29.95,9.03,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90058,Los Angeles,33.9248,-118.1827,905,62.62,33.08,9.9,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90059,Los Angeles,34.0479,-118.173,1021,65.1,25.13,8.96,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90060,Los Angeles,34.1424,-118.228,1148,65.85,31.62,7.83,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90061,Los Angeles,34.0107,-118.2141,1028,57.74,30.56,8.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90062,Los Angeles,33.9245,-118.0951,1013,53.73,29.01,8.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90063,Los Angeles,33.9377,-118.2025,911,55.72,27.47,9.84,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90064,Los Angeles,34.0515,-118.3478,1200,64.18,27.04,9.2,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90065,Los Angeles,34.0036,-118.3985,1061,59.67,29.41,9.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90066,Los Angeles,33.9078,-118.0645,1096,63.46,33.05,8.16,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90067,Los Angeles,34.0193,-118.2298,1118,60.3,32.5,10.08,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90068,Los Angeles,34.1604,-118.0666,1202,63.76,29.66,9.52,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90069,Los Angeles,34.1507,-118.2329,875,52.96,31.92,10.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90070,Los Angeles,34.1998,-118.1668,1103,69.44,23.41,9.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90071,Los Angeles,33.9779,-118.1879,1009,59.22,33.19,9.02,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90072,Los Angeles,33.9839,-118.106,957,72.37,26.58,7.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90073,Los Angeles,33.9542,-118.391,1008,62.63,26.26,10.02,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90074,Los Angeles,34.0595,-118.3353,850,66.95,33.51,8.78,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90075,Los Angeles,34.0552,-118.1555,947,62.88,31.41,10.39,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90076,Los Angeles,34.1445,-118.2757,946,62.83,29.5,9.99,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90077,Los Angeles,34.1051,-118.3696,1103,63.55,33.04,10.27,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90078,Los Angeles,34.1916,-118.2034,1084,71.99,28.17,10.0,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90079,Los Angeles,33.9753,-118.3549,976,59.11,27.47,7.47,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
90080,Los Angeles,33.9908,-118.0727,1195,60.54,26.64,8.95,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60601,Chicago,41.8072,-87.7025,357,73.42,32.36,8.58,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60602,Chicago,41.7627,-87.717,387,67.43,26.73,9.3,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60603,Chicago,41.8959,-87.4839,435,66.33,29.01,10.37,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60604,Chicago,41.9676,-87.6706,332,59.26,24.69,9.24,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60605,Chicago,41.8354,-87.5089,450,53.7,32.69,7.49,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60606,Chicago,41.9104,-87.512,344,73.54,32.54,7.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60607,Chicago,41.7836,-87.7617,373,52.7,33.63,9.55,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60608,Chicago,41.9675,-87.5971,392,69.07,32.05,8.47,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60609,Chicago,41.9584,-87.4849,399,60.63,26.82,7.59,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60610,Chicago,41.9527,-87.7464,398,55.24,24.12,10.25,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60611,Chicago,41.9986,-87.533,345,69.99,26.52,8.22,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60612,Chicago,41.8096,-87.6634,411,71.76,25.16,7.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60613,Chicago,42.0224,-87.483,429,73.62,30.25,10.12,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60614,Chicago,41.8415,-87.5368,324,57.68,29.1,7.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60615,Chicago,41.8751,-87.7045,371,64.91,32.28,7.56,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60616,Chicago,41.8192,-87.6943,316,62.46,31.4,9.48,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60617,Chicago,41.7678,-87.4937,350,58.69,30.7,7.42,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60618,Chicago,41.823,-87.5055,383,58.07,25.15,10.56,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60619,Chicago,41.9999,-87.8035,322,62.5,27.61,9.27,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60620,Chicago,41.7287,-87.5826,374,52.87,26.74,8.13,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60621,Chicago,41.8316,-87.6411,364,51.84,28.4,8.17,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60622,Chicago,41.8746,-87.6585,440,61.0,23.88,9.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60623,Chicago,41.7497,-87.4588,363,57.91,31.53,10.34,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60624,Chicago,41.8158,-87.6753,448,70.25,30.66,10.35,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60625,Chicago,41.7448,-87.6703,426,64.13,29.92,8.97,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60626,Chicago,41.893,-87.7586,342,58.43,27.32,8.89,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60627,Chicago,41.994,-87.7613,362,51.65,24.11,7.73,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60628,Chicago,41.9111,-87.4579,339,63.55,31.63,7.79,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60629,Chicago,41.7587,-87.7174,425,53.44,27.93,9.6,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60630,Chicago,41.9099,-87.7597,365,54.56,28.88,10.08,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60631,Chicago,41.7453,-87.7891,425,64.14,32.3,9.88,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60632,Chicago,41.7612,-87.4761,328,62.31,32.28,9.04,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60633,Chicago,41.7567,-87.7062,390,60.11,30.17,9.21,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60634,Chicago,41.7451,-87.692,358,57.34,32.39,8.81,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60635,Chicago,41.7298,-87.641,414,73.25,27.59,9.73,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60636,Chicago,41.8036,-87.5102,449,65.55,23.63,9.26,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60637,Chicago,41.8807,-87.4958,352,66.08,32.03,8.13,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60638,Chicago,41.9056,-87.6452,423,64.62,30.34,7.9,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60639,Chicago,42.0167,-87.7278,367,53.21,27.55,8.32,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60640,Chicago,41.7747,-87.5077,350,71.3,29.25,9.86,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60641,Chicago,41.8668,-87.4603,323,59.16,30.51,8.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60642,Chicago,41.8879,-87.7336,354,59.4,23.63,7.98,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60643,Chicago,41.8464,-87.6119,410,62.07,32.75,8.49,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60644,Chicago,42.0268,-87.5098,423,62.95,24.39,8.64,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
60645,Chicago,41.9197,-87.5425,329,58.82,30.3,7.82,CoStar/Yardi Matrix,2025-Q4,https://www.yardimatrix.com
