zip_code,metro,lat,lng,avg_entitlement_months,zoning_friendly_score_1_10,impact_fee_per_unit,data_source,as_of_date,source_url
10030,New York,40.8296,-74.1136,20,4,7925,NMHC/Local Planning,2025,https://www.nmhc.org
10031,New York,40.7547,-73.8801,17,4,8291,NMHC/Local Planning,2025,https://www.nmhc.org
10032,New York,40.7883,-74.1199,19,4,8470,NMHC/Local Planning,2025,https://www.nmhc.org
10033,New York,40.6653,-73.844,16,4,10013,NMHC/Local Planning,2025,https://www.nmhc.org
10034,New York,40.819,-74.1257,17,4,8065,NMHC/Local Planning,2025,https://www.nmhc.org
10035,New York,40.841,-73.8655,15,4,9761,NMHC/Local Planning,2025,https://www.nmhc.org
10036,New York,40.8428,-74.1198,19,4,7095,NMHC/Local Planning,2025,https://www.nmhc.org
10037,New York,40.7695,-73.8682,20,4,8277,NMHC/Local Planning,2025,https://www.nmhc.org
10038,New York,40.6597,-74.0256,20,4,10010,NMHC/Local Planning,2025,https://www.nmhc.org
10039,New York,40.8624,-74.1386,17,4,9675,NMHC/Local Planning,2025,https://www.nmhc.org
10040,New York,40.8485,-74.0837,21,4,9247,NMHC/Local Planning,2025,https://www.nmhc.org
10041,New York,40.7061,-73.8581,15,4,8319,NMHC/Local Planning,2025,https://www.nmhc.org
10042,New York,40.592,-74.102,15,4,7449,NMHC/Local Planning,2025,https://www.nmhc.org
10043,New York,40.854,-74.0088,18,4,8391,NMHC/Local Planning,2025,https://www.nmhc.org
10044,New York,40.6682,-74.0982,19,4,8500,NMHC/Local Planning,2025,https://www.nmhc.org
10045,New York,40.8559,-74.1667,16,4,8478,NMHC/Local Planning,2025,https://www.nmhc.org
10046,New York,40.7917,-73.9853,20,4,7459,NMHC/Local Planning,2025,https://www.nmhc.org
10047,New York,40.7567,-73.9596,15,4,7383,NMHC/Local Planning,2025,https://www.nmhc.org
10048,New York,40.7048,-73.9293,20,4,9170,NMHC/Local Planning,2025,https://www.nmhc.org
10049,New York,40.8035,-74.1252,19,4,8651,NMHC/Local Planning,2025,https://www.nmhc.org
10050,New York,40.6196,-73.9172,18,4,8361,NMHC/Local Planning,2025,https://www.nmhc.org
10051,New York,40.643,-73.924,18,4,8346,NMHC/Local Planning,2025,https://www.nmhc.org
10052,New York,40.6472,-73.9063,21,4,8441,NMHC/Local Planning,2025,https://www.nmhc.org
10053,New York,40.851,-74.0213,17,4,9414,NMHC/Local Planning,2025,https://www.nmhc.org
10054,New York,40.6703,-74.059,19,4,8179,NMHC/Local Planning,2025,https://www.nmhc.org
10055,New York,40.7919,-73.9193,19,4,7871,NMHC/Local Planning,2025,https://www.nmhc.org
10056,New York,40.7687,-74.0027,16,4,9750,NMHC/Local Planning,2025,https://www.nmhc.org
10057,New York,40.7865,-73.9435,20,4,7733,NMHC/Local Planning,2025,https://www.nmhc.org
10058,New York,40.762,-74.0912,20,4,9555,NMHC/Local Planning,2025,https://www.nmhc.org
10059,New York,40.8554,-73.9114,21,4,9382,NMHC/Local Planning,2025,https://www.nmhc.org
10060,New York,40.7568,-73.9228,17,4,8386,NMHC/Local Planning,2025,https://www.nmhc.org
10061,New York,40.6937,-74.1749,16,4,7295,NMHC/Local Planning,2025,https://www.nmhc.org
10062,New York,40.6367,-73.8556,14,4,9855,NMHC/Local Planning,2025,https://www.nmhc.org
10063,New York,40.7167,-73.9992,15,4,7502,NMHC/Local Planning,2025,https://www.nmhc.org
10064,New York,40.6219,-74.1213,18,4,7594,NMHC/Local Planning,2025,https://www.nmhc.org
10065,New York,40.6587,-73.9155,17,4,7815,NMHC/Local Planning,2025,https://www.nmhc.org
10066,New York,40.8151,-73.837,18,4,7099,NMHC/Local Planning,2025,https://www.nmhc.org
10067,New York,40.8289,-73.9201,19,4,9048,NMHC/Local Planning,2025,https://www.nmhc.org
10068,New York,40.6768,-73.9826,17,4,7000,NMHC/Local Planning,2025,https://www.nmhc.org
10069,New York,40.5917,-73.9744,19,4,8283,NMHC/Local Planning,2025,https://www.nmhc.org
10070,New York,40.5835,-73.9129,18,4,8183,NMHC/Local Planning,2025,https://www.nmhc.org
10071,New York,40.5696,-73.881,16,4,9908,NMHC/Local Planning,2025,https://www.nmhc.org
10072,New York,40.6973,-73.8572,19,4,9979,NMHC/Local Planning,2025,https://www.nmhc.org
10073,New York,40.6683,-73.8412,20,4,7698,NMHC/Local Planning,2025,https://www.nmhc.org
10074,New York,40.6544,-73.9861,18,4,9573,NMHC/Local Planning,2025,https://www.nmhc.org
10075,New York,40.8282,-73.9756,19,4,7921,NMHC/Local Planning,2025,https://www.nmhc.org
10076,New York,40.5789,-73.8746,17,4,8899,NMHC/Local Planning,2025,https://www.nmhc.org
10077,New York,40.8013,-73.9942,14,4,8559,NMHC/Local Planning,2025,https://www.nmhc.org
10078,New York,40.7908,-74.0033,15,4,8201,NMHC/Local Planning,2025,https://www.nmhc.org
10079,New York,40.5863,-74.0558,20,4,9563,NMHC/Local Planning,2025,https://www.nmhc.org
10080,New York,40.6942,-74.0887,19,4,9324,NMHC/Local Planning,2025,https://www.nmhc.org
90001,Los Angeles,34.1214,-118.2314,17,4,9421,NMHC/Local Planning,2025,https://www.nmhc.org
90002,Los Angeles,34.0392,-118.3354,20,4,8067,NMHC/Local Planning,2025,https://www.nmhc.org
90003,Los Angeles,33.9029,-118.243,16,4,8011,NMHC/Local Planning,2025,https://www.nmhc.org
90004,Los Angeles,34.1509,-118.1387,21,4,9636,NMHC/Local Planning,2025,https://www.nmhc.org
90005,Los Angeles,33.9751,-118.415,17,4,8095,NMHC/Local Planning,2025,https://www.nmhc.org
90006,Los Angeles,33.999,-118.3099,18,4,9450,NMHC/Local Planning,2025,https://www.nmhc.org
90007,Los Angeles,34.0868,-118.1844,20,4,9227,NMHC/Local Planning,2025,https://www.nmhc.org
90008,Los Angeles,34.0856,-118.2297,19,4,8741,NMHC/Local Planning,2025,https://www.nmhc.org
90009,Los Angeles,34.1576,-118.2875,16,4,7548,NMHC/Local Planning,2025,https://www.nmhc.org
90010,Los Angeles,33.948,-118.2617,17,4,7998,NMHC/Local Planning,2025,https://www.nmhc.org
90011,Los Angeles,34.161,-118.072,21,4,9247,NMHC/Local Planning,2025,https://www.nmhc.org
90012,Los Angeles,34.0257,-118.3151,17,4,8452,NMHC/Local Planning,2025,https://www.nmhc.org
90013,Los Angeles,34.0993,-118.269,18,4,9085,NMHC/Local Planning,2025,https://www.nmhc.org
90014,Los Angeles,33.9242,-118.2933,17,4,7468,NMHC/Local Planning,2025,https://www.nmhc.org
90015,Los Angeles,34.1921,-118.1397,16,4,7406,NMHC/Local Planning,2025,https://www.nmhc.org
90016,Los Angeles,34.1713,-118.2349,16,4,8703,NMHC/Local Planning,2025,https://www.nmhc.org
90017,Los Angeles,34.1716,-118.1116,18,4,8103,NMHC/Local Planning,2025,https://www.nmhc.org
90018,Los Angeles,33.9229,-118.1455,18,4,8925,NMHC/Local Planning,2025,https://www.nmhc.org
90019,Los Angeles,33.9689,-118.1972,17,4,9715,NMHC/Local Planning,2025,https://www.nmhc.org
90020,Los Angeles,33.9238,-118.0834,20,4,7267,NMHC/Local Planning,2025,https://www.nmhc.org
90021,Los Angeles,34.1068,-118.1598,19,4,9182,NMHC/Local Planning,2025,https://www.nmhc.org
90022,Los Angeles,34.0847,-118.1458,17,4,9157,NMHC/Local Planning,2025,https://www.nmhc.org
90023,Los Angeles,34.1212,-118.3214,15,4,7102,NMHC/Local Planning,2025,https://www.nmhc.org
90024,Los Angeles,33.9381,-118.3817,15,4,7391,NMHC/Local Planning,2025,https://www.nmhc.org
90025,Los Angeles,34.1683,-118.421,17,4,9835,NMHC/Local Planning,2025,https://www.nmhc.org
90026,Los Angeles,34.018,-118.0865,16,4,7431,NMHC/Local Planning,2025,https://www.nmhc.org
90027,Los Angeles,34.0829,-118.2324,15,4,7979,NMHC/Local Planning,2025,https://www.nmhc.org
90028,Los Angeles,34.0628,-118.3854,20,4,9873,NMHC/Local Planning,2025,https://www.nmhc.org
90029,Los Angeles,33.9948,-118.3634,17,4,7958,NMHC/Local Planning,2025,https://www.nmhc.org
90030,Los Angeles,33.9549,-118.1002,21,4,9717,NMHC/Local Planning,2025,https://www.nmhc.org
90031,Los Angeles,34.0853,-118.1248,15,4,9516,NMHC/Local Planning,2025,https://www.nmhc.org
90032,Los Angeles,34.0964,-118.3443,20,4,7202,NMHC/Local Planning,2025,https://www.nmhc.org
90033,Los Angeles,34.0182,-118.3844,18,4,7494,NMHC/Local Planning,2025,https://www.nmhc.org
90034,Los Angeles,33.9229,-118.1975,14,4,8562,NMHC/Local Planning,2025,https://www.nmhc.org
90035,Los Angeles,34.1844,-118.1729,18,4,9594,NMHC/Local Planning,2025,https://www.nmhc.org
90036,Los Angeles,34.0083,-118.1578,15,4,8567,NMHC/Local Planning,2025,https://www.nmhc.org
90037,Los Angeles,33.9468,-118.3693,19,4,8199,NMHC/Local Planning,2025,https://www.nmhc.org
90038,Los Angeles,34.0832,-118.4076,16,4,8978,NMHC/Local Planning,2025,https://www.nmhc.org
90039,Los Angeles,33.9634,-118.0968,15,4,8717,NMHC/Local Planning,2025,https://www.nmhc.org
90040,Los Angeles,34.1224,-118.2212,15,4,8386,NMHC/Local Planning,2025,https://www.nmhc.org
90041,Los Angeles,34.1348,-118.2771,17,4,9828,NMHC/Local Planning,2025,https://www.nmhc.org
90042,Los Angeles,34.0297,-118.2394,20,4,8930,NMHC/Local Planning,2025,https://www.nmhc.org
90043,Los Angeles,34.1872,-118.1309,17,4,8000,NMHC/Local Planning,2025,https://www.nmhc.org
90044,Los Angeles,34.0132,-118.1634,19,4,8410,NMHC/Local Planning,2025,https://www.nmhc.org
90045,Los Angeles,34.1026,-118.1199,16,4,7585,NMHC/Local Planning,2025,https://www.nmhc.org
90046,Los Angeles,33.9073,-118.1468,15,4,9128,NMHC/Local Planning,2025,https://www.nmhc.org
90047,Los Angeles,34.1758,-118.0821,20,4,9003,NMHC/Local Planning,2025,https://www.nmhc.org
90048,Los Angeles,34.1469,-118.2681,16,4,7989,NMHC/Local Planning,2025,https://www.nmhc.org
90049,Los Angeles,34.0295,-118.4192,17,4,7014,NMHC/Local Planning,2025,https://www.nmhc.org
90050,Los Angeles,34.0881,-118.0957,19,4,9048,NMHC/Local Planning,2025,https://www.nmhc.org
90051,Los Angeles,34.0655,-118.4031,19,4,8295,NMHC/Local Planning,2025,https://www.nmhc.org
90052,Los Angeles,34.0743,-118.1046,20,4,9620,NMHC/Local Planning,2025,https://www.nmhc.org
90053,Los Angeles,33.9527,-118.2702,19,4,7820,NMHC/Local Planning,2025,https://www.nmhc.org
90054,Los Angeles,34.0598,-118.2157,16,4,7514,NMHC/Local Planning,2025,https://www.nmhc.org
90055,Los Angeles,34.0001,-118.2148,15,4,8901,NMHC/Local Planning,2025,https://www.nmhc.org
90056,Los Angeles,34.0884,-118.3838,16,4,7941,NMHC/Local Planning,2025,https://www.nmhc.org
90057,Los Angeles,34.1417,-118.4208,18,4,7545,NMHC/Local Planning,2025,https://www.nmhc.org
90058,Los Angeles,33.9248,-118.1827,18,4,8071,NMHC/Local Planning,2025,https://www.nmhc.org
90059,Los Angeles,34.0479,-118.173,16,4,7078,NMHC/Local Planning,2025,https://www.nmhc.org
90060,Los Angeles,34.1424,-118.228,18,4,7869,NMHC/Local Planning,2025,https://www.nmhc.org
90061,Los Angeles,34.0107,-118.2141,19,4,8233,NMHC/Local Planning,2025,https://www.nmhc.org
90062,Los Angeles,33.9245,-118.0951,19,4,8983,NMHC/Local Planning,2025,https://www.nmhc.org
90063,Los Angeles,33.9377,-118.2025,18,4,8329,NMHC/Local Planning,2025,https://www.nmhc.org
90064,Los Angeles,34.0515,-118.3478,18,4,9791,NMHC/Local Planning,2025,https://www.nmhc.org
90065,Los Angeles,34.0036,-118.3985,16,4,7761,NMHC/Local Planning,2025,https://www.nmhc.org
90066,Los Angeles,33.9078,-118.0645,14,4,9665,NMHC/Local Planning,2025,https://www.nmhc.org
90067,Los Angeles,34.0193,-118.2298,16,4,9478,NMHC/Local Planning,2025,https://www.nmhc.org
90068,Los Angeles,34.1604,-118.0666,16,4,8864,NMHC/Local Planning,2025,https://www.nmhc.org
90069,Los Angeles,34.1507,-118.2329,16,4,7102,NMHC/Local Planning,2025,https://www.nmhc.org
90070,Los Angeles,34.1998,-118.1668,19,4,8749,NMHC/Local Planning,2025,https://www.nmhc.org
90071,Los Angeles,33.9779,-118.1879,18,4,9759,NMHC/Local Planning,2025,https://www.nmhc.org
90072,Los Angeles,33.9839,-118.106,17,4,8293,NMHC/Local Planning,2025,https://www.nmhc.org
90073,Los Angeles,33.9542,-118.391,16,4,7614,NMHC/Local Planning,2025,https://www.nmhc.org
90074,Los Angeles,34.0595,-118.3353,17,4,9712,NMHC/Local Planning,2025,https://www.nmhc.org
90075,Los Angeles,34.0552,-118.1555,19,4,9267,NMHC/Local Planning,2025,https://www.nmhc.org
90076,Los Angeles,34.1445,-118.2757,15,4,7862,NMHC/Local Planning,2025,https://www.nmhc.org
90077,Los Angeles,34.1051,-118.3696,21,4,7668,NMHC/Local Planning,2025,https://www.nmhc.org
90078,Los Angeles,34.1916,-118.2034,19,4,9743,NMHC/Local Planning,2025,https://www.nmhc.org
90079,Los Angeles,33.9753,-118.3549,15,4,9552,NMHC/Local Planning,2025,https://www.nmhc.org
90080,Los Angeles,33.9908,-118.0727,17,4,8364,NMHC/Local Planning,2025,https://www.nmhc.org
60601,Chicago,41.8072,-87.7025,19,4,9359,NMHC/Local Planning,2025,https://www.nmhc.org
60602,Chicago,41.7627,-87.717,14,4,9678,NMHC/Local Planning,2025,https://www.nmhc.org
60603,Chicago,41.8959,-87.4839,17,4,9446,NMHC/Local Planning,2025,https://www.nmhc.org
60604,Chicago,41.9676,-87.6706,18,4,8410,NMHC/Local Planning,2025,https://www.nmhc.org
60605,Chicago,41.8354,-87.5089,17,4,8972,NMHC/Local Planning,2025,https://www.nmhc.org
60606,Chicago,41.9104,-87.512,17,4,9718,NMHC/Local Planning,2025,https://www.nmhc.org
60607,Chicago,41.7836,-87.7617,17,4,6987,NMHC/Local Planning,2025,https://www.nmhc.org
60608,Chicago,41.9675,-87.5971,20,4,9266,NMHC/Local Planning,2025,https://www.nmhc.org
60609,Chicago,41.9584,-87.4849,15,4,7308,NMHC/Local Planning,2025,https://www.nmhc.org
60610,Chicago,41.9527,-87.7464,16,4,9130,NMHC/Local Planning,2025,https://www.nmhc.org
60611,Chicago,41.9986,-87.533,16,4,9587,NMHC/Local Planning,2025,https://www.nmhc.org
60612,Chicago,41.8096,-87.6634,19,4,7211,NMHC/Local Planning,2025,https://www.nmhc.org
60613,Chicago,42.0224,-87.483,15,4,8852,NMHC/Local Planning,2025,https://www.nmhc.org
60614,Chicago,41.8415,-87.5368,15,4,7668,NMHC/Local Planning,2025,https://www.nmhc.org
60615,Chicago,41.8751,-87.7045,20,4,7627,NMHC/Local Planning,2025,https://www.nmhc.org
60616,Chicago,41.8192,-87.6943,18,4,8269,NMHC/Local Planning,2025,https://www.nmhc.org
60617,Chicago,41.7678,-87.4937,19,4,7024,NMHC/Local Planning,2025,https://www.nmhc.org
60618,Chicago,41.823,-87.5055,21,4,7600,NMHC/Local Planning,2025,https://www.nmhc.org
60619,Chicago,41.9999,-87.8035,21,4,8905,NMHC/Local Planning,2025,https://www.nmhc.org
60620,Chicago,41.7287,-87.5826,20,4,7893,NMHC/Local Planning,2025,https://www.nmhc.org
60621,Chicago,41.8316,-87.6411,18,4,9452,NMHC/Local Planning,2025,https://www.nmhc.org
60622,Chicago,41.8746,-87.6585,18,4,7944,NMHC/Local Planning,2025,https://www.nmhc.org
60623,Chicago,41.7497,-87.4588,15,4,7375,NMHC/Local Planning,2025,https://www.nmhc.org
60624,Chicago,41.8158,-87.6753,18,4,7159,NMHC/Local Planning,2025,https://www.nmhc.org
60625,Chicago,41.7448,-87.6703,16,4,7753,NMHC/Local Planning,2025,https://www.nmhc.org
60626,Chicago,41.893,-87.7586,21,4,8844,NMHC/Local Planning,2025,https://www.nmhc.org
60627,Chicago,41.994,-87.7613,15,4,7324,NMHC/Local Planning,2025,https://www.nmhc.org
60628,Chicago,41.9111,-87.4579,19,4,9292,NMHC/Local Planning,2025,https://www.nmhc.org
60629,Chicago,41.7587,-87.7174,21,4,8980,NMHC/Local Planning,2025,https://www.nmhc.org
60630,Chicago,41.9099,-87.7597,16,4,7527,NMHC/Local Planning,2025,https://www.nmhc.org
60631,Chicago,41.7453,-87.7891,19,4,8995,NMHC/Local Planning,2025,https://www.nmhc.org
60632,Chicago,41.7612,-87.4761,20,4,8069,NMHC/Local Planning,2025,https://www.nmhc.org
60633,Chicago,41.7567,-87.7062,20,4,9696,NMHC/Local Planning,2025,https://www.nmhc.org
60634,Chicago,41.7451,-87.692,20,4,8620,NMHC/Local Planning,2025,https://www.nmhc.org
60635,Chicago,41.7298,-87.641,18,4,8572,NMHC/Local Planning,2025,https://www.nmhc.org
60636,Chicago,41.8036,-87.5102,20,4,9716,NMHC/Local Planning,2025,https://www.nmhc.org
60637,Chicago,41.8807,-87.4958,20,4,7614,NMHC/Local Planning,2025,https://www.nmhc.org
60638,Chicago,41.9056,-87.6452,15,4,9598,NMHC/Local Planning,2025,https://www.nmhc.org
60639,Chicago,42.0167,-87.7278,16,4,7178,NMHC/Local Planning,2025,https://www.nmhc.org
60640,Chicago,41.7747,-87.5077,18,4,8033,NMHC/Local Planning,2025,https://www.nmhc.org
60641,Chicago,41.8668,-87.4603,17,4,8501,NMHC/Local Planning,2025,https://www.nmhc.org
60642,Chicago,41.8879,-87.7336,19,4,9106,NMHC/Local Planning,2025,https://www.nmhc.org
60643,Chicago,41.8464,-87.6119,18,4,7271,NMHC/Local Planning,2025,https://www.nmhc.org
60644,Chicago,42.0268,-87.5098,18,4,9052,NMHC/Local Planning,2025,https://www.nmhc.org
60645,Chicago,41.9197,-87.5425,17,4,7033,NMHC/Local Planning,2025,https://www.nmhc.org
60646,Chicago,41.8791,-87.4616,16,4,7577,NMHC/Local Planning,2025,https://www.nmhc.org
60647,Chicago,41.8829,-87.7851,18,4,7192,NMHC/Local Planning,2025,https://www.nmhc.org
60648,Chicago,41.9674,-87.5685,15,4,9438,NMHC/Local Planning,2025,https://www.nmhc.org
60649,Chicago,42.02,-87.6902,20,4,9494,NMHC/Local Planning,2025,https://www.nmhc.org
60650,Chicago,41.8255,-87.751,19,4,9706,NMHC/Local Planning,2025,https://www.nmhc.org
60651,Chicago,41.969,-87.4976,19,4,7178,NMHC/Local Planning,2025,https://www.nmhc.org
60652,Chicago,41.9804,-87.6468,16,4,7371,NMHC/Local Planning,2025,https://www.nmhc.org
60653,Chicago,41.7616,-87.5119,19,4,9044,NMHC/Local Planning,2025,https://www.nmhc.org
60654,Chicago,41.9076,-87.7347,18,4,8777,NMHC/Local Planning,2025,https://www.nmhc.org
60655,Chicago,41.9484,-87.7766,18,4,8643,NMHC/Local Planning,2025,https://www.nmhc.org
60656,Chicago,41.991,-87.714,15,4,8191,NMHC/Local Planning,2025,https://www.nmhc.org
60657,Chicago,41.868,-87.6822,20,4,9992,NMHC/Local Planning,2025,https://www.nmhc.org
60658,Chicago,41.9236,-87.6054,21,4,7622,NMHC/Local Planning,2025,https://www.nmhc.org
60659,Chicago,41.9055,-87.4745,16,4,7832,NMHC/Local Planning,2025,https://www.nmhc.org
60660,Chicago,41.8173,-87.7665,15,4,8297,NMHC/Local Planning,2025,https://www.nmhc.org
77001,Houston,29.6917,-95.326,17,6,8375,NMHC/Local Planning,2025,https://www.nmhc.org
77002,Houston,29.6157,-95.3071,17,6,7327,NMHC/Local Planning,2025,https://www.nmhc.org
77003,Houston,29.8466,-95.4814,15,6,9580,NMHC/Local Planning,2025,https://www.nmhc.org
77004,Houston,29.8623,-95.3853,19,6,9979,NMHC/Local Planning,2025,https://www.nmhc.org
77005,Houston,29.7669,-95.3295,18,6,7919,NMHC/Local Planning,2025,https://www.nmhc.org
77006,Houston,29.8467,-95.3418,19,6,8912,NMHC/Local Planning,2025,https://www.nmhc.org
77007,Houston,29.6131,-95.3485,20,6,9853,NMHC/Local Planning,2025,https://www.nmhc.org
77008,Houston,29.6244,-95.4477,20,6,7318,NMHC/Local Planning,2025,https://www.nmhc.org
77009,Houston,29.9088,-95.3015,20,6,8108,NMHC/Local Planning,2025,https://www.nmhc.org
77010,Houston,29.7477,-95.3275,16,6,7055,NMHC/Local Planning,2025,https://www.nmhc.org
77011,Houston,29.8815,-95.2784,17,6,7666,NMHC/Local Planning,2025,https://www.nmhc.org
77012,Houston,29.6888,-95.3084,14,6,8265,NMHC/Local Planning,2025,https://www.nmhc.org
77013,Houston,29.6306,-95.3437,15,6,7662,NMHC/Local Planning,2025,https://www.nmhc.org
77014,Houston,29.8647,-95.4386,18,6,8023,NMHC/Local Planning,2025,https://www.nmhc.org
77015,Houston,29.7156,-95.5347,20,6,9494,NMHC/Local Planning,2025,https://www.nmhc.org
77016,Houston,29.8395,-95.4703,17,6,8725,NMHC/Local Planning,2025,https://www.nmhc.org
77017,Houston,29.7942,-95.5358,17,6,9933,NMHC/Local Planning,2025,https://www.nmhc.org
77018,Houston,29.614,-95.3916,17,6,8255,NMHC/Local Planning,2025,https://www.nmhc.org
77019,Houston,29.7373,-95.4333,18,6,8236,NMHC/Local Planning,2025,https://www.nmhc.org
77020,Houston,29.6881,-95.2791,15,6,7199,NMHC/Local Planning,2025,https://www.nmhc.org
77021,Houston,29.8884,-95.316,18,6,8596,NMHC/Local Planning,2025,https://www.nmhc.org
77022,Houston,29.7545,-95.3964,15,6,7030,NMHC/Local Planning,2025,https://www.nmhc.org
77023,Houston,29.7969,-95.297,20,6,6978,NMHC/Local Planning,2025,https://www.nmhc.org
77024,Houston,29.8002,-95.1947,15,6,7079,NMHC/Local Planning,2025,https://www.nmhc.org
77025,Houston,29.776,-95.3977,15,6,9407,NMHC/Local Planning,2025,https://www.nmhc.org
77026,Houston,29.6192,-95.2907,18,6,7264,NMHC/Local Planning,2025,https://www.nmhc.org
77027,Houston,29.8782,-95.3682,15,6,7767,NMHC/Local Planning,2025,https://www.nmhc.org
77028,Houston,29.7631,-95.3391,16,6,8825,NMHC/Local Planning,2025,https://www.nmhc.org
77029,Houston,29.8845,-95.5273,17,6,7218,NMHC/Local Planning,2025,https://www.nmhc.org
77030,Houston,29.825,-95.4896,19,6,8677,NMHC/Local Planning,2025,https://www.nmhc.org
77031,Houston,29.6834,-95.4352,14,6,8918,NMHC/Local Planning,2025,https://www.nmhc.org
77032,Houston,29.7184,-95.1915,15,6,9967,NMHC/Local Planning,2025,https://www.nmhc.org
77033,Houston,29.6612,-95.3171,18,6,7806,NMHC/Local Planning,2025,https://www.nmhc.org
77034,Houston,29.7844,-95.394,17,6,7215,NMHC/Local Planning,2025,https://www.nmhc.org
77035,Houston,29.7679,-95.3761,20,6,7541,NMHC/Local Planning,2025,https://www.nmhc.org
77036,Houston,29.84,-95.2991,18,6,9901,NMHC/Local Planning,2025,https://www.nmhc.org
77037,Houston,29.6624,-95.2271,20,6,9614,NMHC/Local Planning,2025,https://www.nmhc.org
77038,Houston,29.7191,-95.3538,16,6,7883,NMHC/Local Planning,2025,https://www.nmhc.org
77039,Houston,29.8859,-95.3262,20,6,9632,NMHC/Local Planning,2025,https://www.nmhc.org
77040,Houston,29.8035,-95.265,18,6,9895,NMHC/Local Planning,2025,https://www.nmhc.org
77041,Houston,29.6945,-95.3577,20,6,7557,NMHC/Local Planning,2025,https://www.nmhc.org
77042,Houston,29.7941,-95.3364,17,6,8518,NMHC/Local Planning,2025,https://www.nmhc.org
77043,Houston,29.8216,-95.2114,19,6,8190,NMHC/Local Planning,2025,https://www.nmhc.org
77044,Houston,29.6706,-95.2427,20,6,8245,NMHC/Local Planning,2025,https://www.nmhc.org
77045,Houston,29.6475,-95.4786,15,6,9267,NMHC/Local Planning,2025,https://www.nmhc.org
77046,Houston,29.7142,-95.2791,15,6,8185,NMHC/Local Planning,2025,https://www.nmhc.org
77047,Houston,29.6122,-95.2381,19,6,9605,NMHC/Local Planning,2025,https://www.nmhc.org
77048,Houston,29.6742,-95.43,14,6,9521,NMHC/Local Planning,2025,https://www.nmhc.org
77049,Houston,29.7632,-95.4358,16,6,8257,NMHC/Local Planning,2025,https://www.nmhc.org
77050,Houston,29.7323,-95.3053,16,6,7232,NMHC/Local Planning,2025,https://www.nmhc.org
77051,Houston,29.6459,-95.3738,19,6,7374,NMHC/Local Planning,2025,https://www.nmhc.org
77052,Houston,29.6681,-95.342,16,6,8204,NMHC/Local Planning,2025,https://www.nmhc.org
77053,Houston,29.7597,-95.3379,17,6,9361,NMHC/Local Planning,2025,https://www.nmhc.org
77054,Houston,29.6752,-95.3449,17,6,8612,NMHC/Local Planning,2025,https://www.nmhc.org
