zip_code,metro,lat,lng,units_under_construction,units_delivering_12mo,pct_affordable,data_source,as_of_date,source_url
10026,New York,40.8152,-74.1239,2874,1867,11.51,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10027,New York,40.7701,-73.9228,3188,2013,11.96,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10028,New York,40.8363,-73.9296,3350,1821,13.83,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10029,New York,40.6248,-74.0618,3370,1892,13.33,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10030,New York,40.8296,-74.1136,2670,1720,11.66,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10031,New York,40.7547,-73.8801,3094,1974,13.13,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10032,New York,40.7883,-74.1199,3430,2372,10.52,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10033,New York,40.6653,-73.844,3270,1858,13.1,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10034,New York,40.819,-74.1257,3151,2396,10.46,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10035,New York,40.841,-73.8655,3424,2018,10.87,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10036,New York,40.8428,-74.1198,2812,1849,13.63,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10037,New York,40.7695,-73.8682,3279,2299,12.71,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10038,New York,40.6597,-74.0256,3333,1980,13.84,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10039,New York,40.8624,-74.1386,2712,1797,11.05,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10040,New York,40.8485,-74.0837,2870,2125,10.37,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10041,New York,40.7061,-73.8581,2488,2184,13.3,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10042,New York,40.592,-74.102,2863,2034,14.31,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10043,New York,40.854,-74.0088,2649,2304,14.57,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10044,New York,40.6682,-74.0982,2573,2307,10.34,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10045,New York,40.8559,-74.1667,3339,1950,11.09,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10046,New York,40.7917,-73.9853,2510,1702,11.34,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10047,New York,40.7567,-73.9596,2751,2196,12.13,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10048,New York,40.7048,-73.9293,3121,1843,13.96,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10049,New York,40.8035,-74.1252,2497,2394,10.36,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10050,New York,40.6196,-73.9172,2687,1758,11.72,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10051,New York,40.643,-73.924,3450,1847,12.67,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10052,New York,40.6472,-73.9063,2991,1964,11.3,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10053,New York,40.851,-74.0213,3023,2348,14.18,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10054,New York,40.6703,-74.059,3284,2135,10.66,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10055,New York,40.7919,-73.9193,2535,2266,13.93,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10056,New York,40.7687,-74.0027,3028,2376,10.56,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10057,New York,40.7865,-73.9435,2579,2273,13.0,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10058,New York,40.762,-74.0912,2462,1955,12.51,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10059,New York,40.8554,-73.9114,2561,2194,11.63,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10060,New York,40.7568,-73.9228,3498,1861,10.94,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10061,New York,40.6937,-74.1749,2973,2291,13.59,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10062,New York,40.6367,-73.8556,3034,1780,12.31,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10063,New York,40.7167,-73.9992,3266,1981,14.45,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10064,New York,40.6219,-74.1213,3331,2088,14.37,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10065,New York,40.6587,-73.9155,3106,1905,13.89,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10066,New York,40.8151,-73.837,3368,2044,13.39,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10067,New York,40.8289,-73.9201,3358,2119,10.81,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10068,New York,40.6768,-73.9826,3500,2163,11.85,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10069,New York,40.5917,-73.9744,2476,1933,12.82,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10070,New York,40.5835,-73.9129,2696,2144,13.6,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10071,New York,40.5696,-73.881,3514,1687,12.85,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10072,New York,40.6973,-73.8572,3426,2205,11.29,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10073,New York,40.6683,-73.8412,3084,1771,14.23,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10074,New York,40.6544,-73.9861,3444,2261,14.09,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10075,New York,40.8282,-73.9756,3021,2119,13.98,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10076,New York,40.5789,-73.8746,2572,1927,11.42,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10077,New York,40.8013,-73.9942,3247,2003,13.61,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10078,New York,40.7908,-74.0033,3134,1978,10.91,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10079,New York,40.5863,-74.0558,3357,1945,13.39,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
10080,New York,40.6942,-74.0887,3338,2046,13.5,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90001,Los Angeles,34.1214,-118.2314,1844,1365,10.86,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90002,Los Angeles,34.0392,-118.3354,2290,1304,13.1,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90003,Los Angeles,33.9029,-118.243,1958,1409,12.21,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90004,Los Angeles,34.1509,-118.1387,2471,1415,13.58,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90005,Los Angeles,33.9751,-118.415,1845,1444,11.91,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90006,Los Angeles,33.999,-118.3099,1907,1296,14.11,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90007,Los Angeles,34.0868,-118.1844,2091,1423,13.34,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90008,Los Angeles,34.0856,-118.2297,2004,1598,13.47,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90009,Los Angeles,34.1576,-118.2875,1779,1635,14.49,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90010,Los Angeles,33.948,-118.2617,1833,1324,14.06,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90011,Los Angeles,34.161,-118.072,2295,1391,13.8,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90012,Los Angeles,34.0257,-118.3151,2116,1612,10.82,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90013,Los Angeles,34.0993,-118.269,1796,1579,14.24,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90014,Los Angeles,33.9242,-118.2933,2227,1368,11.92,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90015,Los Angeles,34.1921,-118.1397,2285,1378,14.68,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90016,Los Angeles,34.1713,-118.2349,2377,1533,13.38,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90017,Los Angeles,34.1716,-118.1116,2220,1709,13.42,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90018,Los Angeles,33.9229,-118.1455,2133,1357,12.29,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90019,Los Angeles,33.9689,-118.1972,2195,1598,10.57,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90020,Los Angeles,33.9238,-118.0834,2505,1487,12.45,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90021,Los Angeles,34.1068,-118.1598,2452,1613,12.05,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90022,Los Angeles,34.0847,-118.1458,2181,1560,12.73,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90023,Los Angeles,34.1212,-118.3214,2122,1491,11.88,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90024,Los Angeles,33.9381,-118.3817,1841,1523,10.84,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90025,Los Angeles,34.1683,-118.421,2499,1352,13.32,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90026,Los Angeles,34.018,-118.0865,1832,1311,13.46,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90027,Los Angeles,34.0829,-118.2324,2364,1228,12.98,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90028,Los Angeles,34.0628,-118.3854,2169,1545,14.09,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90029,Los Angeles,33.9948,-118.3634,1933,1352,13.97,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90030,Los Angeles,33.9549,-118.1002,2049,1373,10.87,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90031,Los Angeles,34.0853,-118.1248,2059,1634,11.05,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90032,Los Angeles,34.0964,-118.3443,1982,1537,14.68,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90033,Los Angeles,34.0182,-118.3844,2225,1244,11.87,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90034,Los Angeles,33.9229,-118.1975,2038,1484,12.94,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90035,Los Angeles,34.1844,-118.1729,2408,1302,12.5,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90036,Los Angeles,34.0083,-118.1578,2112,1291,14.52,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90037,Los Angeles,33.9468,-118.3693,2089,1634,10.37,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90038,Los Angeles,34.0832,-118.4076,1925,1630,14.64,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90039,Los Angeles,33.9634,-118.0968,1812,1691,14.55,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90040,Los Angeles,34.1224,-118.2212,2255,1403,13.44,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90041,Los Angeles,34.1348,-118.2771,1873,1457,10.8,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90042,Los Angeles,34.0297,-118.2394,1782,1622,10.45,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90043,Los Angeles,34.1872,-118.1309,1788,1249,12.14,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90044,Los Angeles,34.0132,-118.1634,1820,1507,13.36,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90045,Los Angeles,34.1026,-118.1199,2231,1415,14.43,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90046,Los Angeles,33.9073,-118.1468,1889,1354,14.73,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90047,Los Angeles,34.1758,-118.0821,2209,1236,14.45,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90048,Los Angeles,34.1469,-118.2681,2008,1610,13.59,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90049,Los Angeles,34.0295,-118.4192,2404,1379,10.8,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90050,Los Angeles,34.0881,-118.0957,2465,1704,14.25,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90051,Los Angeles,34.0655,-118.4031,2132,1508,13.07,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90052,Los Angeles,34.0743,-118.1046,2037,1567,14.08,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90053,Los Angeles,33.9527,-118.2702,2374,1484,14.51,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90054,Los Angeles,34.0598,-118.2157,2282,1418,11.15,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90055,Los Angeles,34.0001,-118.2148,2275,1570,13.91,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90056,Los Angeles,34.0884,-118.3838,2448,1589,11.71,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90057,Los Angeles,34.1417,-118.4208,2449,1399,12.84,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90058,Los Angeles,33.9248,-118.1827,2096,1331,13.73,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90059,Los Angeles,34.0479,-118.173,2097,1327,12.82,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90060,Los Angeles,34.1424,-118.228,2166,1523,13.74,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90061,Los Angeles,34.0107,-118.2141,1950,1227,10.74,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90062,Los Angeles,33.9245,-118.0951,1953,1204,14.41,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90063,Los Angeles,33.9377,-118.2025,1797,1586,13.64,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90064,Los Angeles,34.0515,-118.3478,2184,1458,14.75,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90065,Los Angeles,34.0036,-118.3985,1926,1200,11.86,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90066,Los Angeles,33.9078,-118.0645,2003,1664,10.64,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90067,Los Angeles,34.0193,-118.2298,1783,1266,12.14,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90068,Los Angeles,34.1604,-118.0666,1976,1682,12.17,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90069,Los Angeles,34.1507,-118.2329,2252,1269,13.14,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90070,Los Angeles,34.1998,-118.1668,1853,1296,14.13,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90071,Los Angeles,33.9779,-118.1879,1894,1617,10.62,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90072,Los Angeles,33.9839,-118.106,2426,1707,12.62,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90073,Los Angeles,33.9542,-118.391,1985,1255,12.71,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90074,Los Angeles,34.0595,-118.3353,1906,1555,11.7,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90075,Los Angeles,34.0552,-118.1555,1861,1635,11.18,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90076,Los Angeles,34.1445,-118.2757,2437,1319,11.84,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90077,Los Angeles,34.1051,-118.3696,2465,1522,10.31,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90078,Los Angeles,34.1916,-118.2034,2445,1253,14.24,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90079,Los Angeles,33.9753,-118.3549,2098,1664,14.2,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
90080,Los Angeles,33.9908,-118.0727,2326,1421,11.55,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60601,Chicago,41.8072,-87.7025,865,591,12.39,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60602,Chicago,41.7627,-87.717,772,498,13.14,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60603,Chicago,41.8959,-87.4839,728,491,11.35,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60604,Chicago,41.9676,-87.6706,885,459,12.02,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60605,Chicago,41.8354,-87.5089,691,481,10.62,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60606,Chicago,41.9104,-87.512,734,635,14.46,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60607,Chicago,41.7836,-87.7617,774,455,14.61,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60608,Chicago,41.9675,-87.5971,882,555,14.26,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60609,Chicago,41.9584,-87.4849,720,615,13.65,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60610,Chicago,41.9527,-87.7464,894,552,10.63,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60611,Chicago,41.9986,-87.533,881,486,12.93,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60612,Chicago,41.8096,-87.6634,681,460,14.64,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60613,Chicago,42.0224,-87.483,870,486,12.51,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60614,Chicago,41.8415,-87.5368,751,518,11.7,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60615,Chicago,41.8751,-87.7045,681,461,10.42,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60616,Chicago,41.8192,-87.6943,787,619,14.57,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60617,Chicago,41.7678,-87.4937,779,452,10.7,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60618,Chicago,41.823,-87.5055,713,461,14.25,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60619,Chicago,41.9999,-87.8035,713,542,11.25,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60620,Chicago,41.7287,-87.5826,718,617,11.71,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60621,Chicago,41.8316,-87.6411,812,503,13.18,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60622,Chicago,41.8746,-87.6585,721,475,12.29,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60623,Chicago,41.7497,-87.4588,678,530,12.42,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60624,Chicago,41.8158,-87.6753,862,613,12.56,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60625,Chicago,41.7448,-87.6703,775,633,10.71,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60626,Chicago,41.893,-87.7586,736,582,10.65,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60627,Chicago,41.994,-87.7613,758,528,13.31,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60628,Chicago,41.9111,-87.4579,921,606,11.06,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60629,Chicago,41.7587,-87.7174,849,563,10.75,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60630,Chicago,41.9099,-87.7597,892,533,13.9,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60631,Chicago,41.7453,-87.7891,842,625,10.87,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60632,Chicago,41.7612,-87.4761,858,505,13.92,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60633,Chicago,41.7567,-87.7062,695,558,14.33,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60634,Chicago,41.7451,-87.692,769,548,12.22,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60635,Chicago,41.7298,-87.641,710,558,10.86,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60636,Chicago,41.8036,-87.5102,842,596,14.69,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60637,Chicago,41.8807,-87.4958,942,516,14.6,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60638,Chicago,41.9056,-87.6452,757,509,11.42,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60639,Chicago,42.0167,-87.7278,746,578,10.53,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60640,Chicago,41.7747,-87.5077,668,633,10.45,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60641,Chicago,41.8668,-87.4603,737,471,10.51,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60642,Chicago,41.8879,-87.7336,882,541,14.29,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60643,Chicago,41.8464,-87.6119,893,634,10.38,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60644,Chicago,42.0268,-87.5098,740,542,12.97,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60645,Chicago,41.9197,-87.5425,730,632,14.07,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60646,Chicago,41.8791,-87.4616,758,469,10.79,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60647,Chicago,41.8829,-87.7851,840,564,13.17,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60648,Chicago,41.9674,-87.5685,797,566,14.18,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60649,Chicago,42.02,-87.6902,844,571,12.13,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60650,Chicago,41.8255,-87.751,813,519,10.75,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60651,Chicago,41.969,-87.4976,765,570,13.94,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60652,Chicago,41.9804,-87.6468,794,490,13.19,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60653,Chicago,41.7616,-87.5119,833,610,12.54,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60654,Chicago,41.9076,-87.7347,789,479,12.77,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60655,Chicago,41.9484,-87.7766,747,579,11.41,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60656,Chicago,41.991,-87.714,788,591,12.18,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60657,Chicago,41.868,-87.6822,856,504,11.85,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60658,Chicago,41.9236,-87.6054,843,458,12.05,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60659,Chicago,41.9055,-87.4745,860,454,11.63,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
60660,Chicago,41.8173,-87.7665,934,629,13.98,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77001,Houston,29.6917,-95.326,1317,1099,14.48,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77002,Houston,29.6157,-95.3071,1656,920,12.92,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77003,Houston,29.8466,-95.4814,1666,1138,11.95,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77004,Houston,29.8623,-95.3853,1681,1037,12.37,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77005,Houston,29.7669,-95.3295,1354,1062,10.89,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77006,Houston,29.8467,-95.3418,1696,859,14.02,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77007,Houston,29.6131,-95.3485,1582,869,11.82,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77008,Houston,29.6244,-95.4477,1205,885,12.35,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77009,Houston,29.9088,-95.3015,1314,1031,12.92,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77010,Houston,29.7477,-95.3275,1637,969,10.33,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77011,Houston,29.8815,-95.2784,1274,1080,13.43,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77012,Houston,29.6888,-95.3084,1282,1093,13.15,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77013,Houston,29.6306,-95.3437,1366,951,12.32,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
77014,Houston,29.8647,-95.4386,1369,992,11.87,CoStar/CBRE,2025-Q4,https://www.costar.com/multifamily
