zip_code,metro,lat,lng,price_per_unit,price_per_unit_class_a,price_per_unit_class_b,price_per_unit_yoy_chg_pct,data_source,as_of_date,source_url
10015,New York,40.7876,-73.9791,553353.6,760884.0,460514.0,-5.16,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10016,New York,40.8492,-73.9492,543296.64,584734.0,394062.0,-4.24,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10017,New York,40.7315,-74.0492,475576.32,691413.0,380207.0,-5.11,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10018,New York,40.7465,-74.0062,469632.0,652876.0,465965.0,-4.03,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10019,New York,40.8496,-73.9842,502913.28,736740.0,429209.0,-4.67,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10020,New York,40.7937,-74.0435,452524.8,694749.0,477111.0,-3.8,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10021,New York,40.8501,-73.9875,446079.36,648607.0,420673.0,-4.95,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10022,New York,40.61,-74.0677,501375.36,632160.0,378599.0,-3.77,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10023,New York,40.6564,-74.081,523476.48,662043.0,386527.0,-4.66,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10024,New York,40.8034,-74.1215,453838.08,597985.0,530578.0,-4.51,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10025,New York,40.8144,-73.9565,450330.24,642331.0,469609.0,-4.11,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10026,New York,40.8152,-74.1239,414802.56,648607.0,519743.0,-5.17,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10027,New York,40.7701,-73.9228,537179.52,551959.0,380864.0,-4.36,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10028,New York,40.8363,-73.9296,431391.36,690060.0,413647.0,-4.7,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10029,New York,40.6248,-74.0618,429628.8,755659.0,476504.0,-3.84,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10030,New York,40.8296,-74.1136,494843.52,626095.0,428175.0,-4.69,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10031,New York,40.7547,-73.8801,551159.04,581119.0,375726.0,-4.66,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10032,New York,40.7883,-74.1199,484786.56,741895.0,404716.0,-4.12,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10033,New York,40.6653,-73.844,510015.36,700278.0,436022.0,-4.45,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10034,New York,40.819,-74.1257,522197.76,633140.0,413400.0,-3.83,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10035,New York,40.841,-73.8655,529973.76,701864.0,520072.0,-3.7,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10036,New York,40.8428,-74.1198,480414.72,583032.0,432558.0,-3.88,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10037,New York,40.7695,-73.8682,557829.12,625768.0,524816.0,-4.91,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10038,New York,40.6597,-74.0256,545940.48,740146.0,476947.0,-4.34,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10039,New York,40.8624,-74.1386,394429.44,614128.0,485007.0,-4.89,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10040,New York,40.8485,-74.0837,501358.08,727478.0,527869.0,-4.41,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10041,New York,40.7061,-73.8581,408702.72,762167.0,439863.0,-4.7,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10042,New York,40.592,-74.102,440860.8,557464.0,490703.0,-4.89,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10043,New York,40.854,-74.0088,512209.92,681872.0,525850.0,-5.24,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10044,New York,40.6682,-74.0982,525671.04,763194.0,420410.0,-3.94,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10045,New York,40.8559,-74.1667,397211.52,717051.0,419146.0,-5.03,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10046,New York,40.7917,-73.9853,464499.84,546453.0,471973.0,-4.06,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10047,New York,40.7567,-73.9596,540704.64,705060.0,493724.0,-3.7,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10048,New York,40.7048,-73.9293,527036.16,600784.0,473368.0,-4.78,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10049,New York,40.8035,-74.1252,465571.2,758971.0,415682.0,-4.42,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10050,New York,40.6196,-73.9172,441828.48,552425.0,493790.0,-4.05,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10051,New York,40.643,-73.924,494221.44,620800.0,457018.0,-4.44,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10052,New York,40.6472,-73.9063,554787.84,616927.0,406982.0,-5.08,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10053,New York,40.851,-74.0213,446252.16,726032.0,530660.0,-5.06,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10054,New York,40.6703,-74.059,520158.72,594416.0,445051.0,-4.65,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10055,New York,40.7919,-73.9193,532704.0,746561.0,536323.0,-4.15,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10056,New York,40.7687,-74.0027,436920.96,555388.0,447414.0,-3.85,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10057,New York,40.7865,-73.9435,412936.32,620100.0,476192.0,-4.95,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10058,New York,40.762,-74.0912,442174.08,706343.0,479836.0,-4.98,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10059,New York,40.8554,-73.9114,538838.4,584478.0,455442.0,-3.8,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10060,New York,40.7568,-73.9228,492389.76,683808.0,471136.0,-4.08,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10061,New York,40.6937,-74.1749,548428.8,742245.0,457822.0,-4.5,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10062,New York,40.6367,-73.8556,414940.8,572581.0,517675.0,-4.65,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10063,New York,40.7167,-73.9992,466832.64,595115.0,474796.0,-3.96,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10064,New York,40.6219,-74.1213,449224.32,639509.0,528066.0,-4.08,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10065,New York,40.6587,-73.9155,413109.12,612635.0,447037.0,-3.69,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10066,New York,40.8151,-73.837,548342.4,760418.0,459891.0,-5.13,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10067,New York,40.8289,-73.9201,429058.56,680659.0,497335.0,-3.99,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10068,New York,40.6768,-73.9826,431443.2,741545.0,403206.0,-4.4,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10069,New York,40.5917,-73.9744,491404.8,550209.0,469543.0,-5.23,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10070,New York,40.5835,-73.9129,416478.72,614081.0,533648.0,-4.3,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10071,New York,40.5696,-73.881,532410.24,598265.0,385066.0,-4.69,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10072,New York,40.6973,-73.8572,505591.68,582868.0,472038.0,-4.72,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10073,New York,40.6683,-73.8412,525118.08,633747.0,414714.0,-5.29,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10074,New York,40.6544,-73.9861,521143.68,688591.0,418079.0,-5.23,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10075,New York,40.8282,-73.9756,542138.88,554898.0,388957.0,-4.56,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10076,New York,40.5789,-73.8746,447323.52,689174.0,446922.0,-5.17,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10077,New York,40.8013,-73.9942,440048.64,612938.0,384049.0,-4.37,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10078,New York,40.7908,-74.0033,406145.28,746141.0,520384.0,-3.94,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10079,New York,40.5863,-74.0558,399457.92,617627.0,474714.0,-3.95,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
10080,New York,40.6942,-74.0887,535537.92,573957.0,408098.0,-4.86,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90001,Los Angeles,34.1214,-118.2314,401340.8,433421.0,382093.0,-5.17,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90002,Los Angeles,34.0392,-118.3354,430369.76,442508.0,365146.0,-4.84,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90003,Los Angeles,33.9029,-118.243,360191.36,479296.0,310303.0,-4.46,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90004,Los Angeles,34.1509,-118.1387,357263.84,527257.0,360493.0,-4.87,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90005,Los Angeles,33.9751,-118.415,425882.72,566871.0,402171.0,-5.07,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90006,Los Angeles,33.999,-118.3099,398098.64,550601.0,417870.0,-4.13,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90007,Los Angeles,34.0868,-118.1844,443680.4,578488.0,347068.0,-4.59,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90008,Los Angeles,34.0856,-118.2297,356785.04,477818.0,419248.0,-3.97,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90009,Los Angeles,34.1576,-118.2875,404063.12,574886.0,406408.0,-3.88,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90010,Los Angeles,33.948,-118.2617,356388.32,595681.0,357205.0,-4.45,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90011,Los Angeles,34.161,-118.072,417141.2,536971.0,377089.0,-5.29,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90012,Los Angeles,34.0257,-118.3151,329821.76,472943.0,317931.0,-4.66,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90013,Los Angeles,34.0993,-118.269,357619.52,444391.0,381599.0,-4.13,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90014,Los Angeles,33.9242,-118.2933,389206.64,475307.0,335580.0,-4.92,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90015,Los Angeles,34.1921,-118.1397,369028.64,426348.0,420691.0,-5.14,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90016,Los Angeles,34.1713,-118.2349,331217.12,459646.0,370890.0,-3.71,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90017,Los Angeles,34.1716,-118.1116,396935.84,477504.0,406070.0,-5.17,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90018,Los Angeles,33.9229,-118.1455,422325.92,475824.0,409033.0,-4.28,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90019,Los Angeles,33.9689,-118.1972,321189.68,586669.0,356088.0,-4.18,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90020,Los Angeles,33.9238,-118.0834,371942.48,463690.0,342078.0,-5.22,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90021,Los Angeles,34.1068,-118.1598,344432.0,603216.0,336269.0,-4.65,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90022,Los Angeles,34.0847,-118.1458,378577.28,471170.0,336217.0,-5.05,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90023,Los Angeles,34.1212,-118.3214,321203.36,593557.0,408435.0,-4.05,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90024,Los Angeles,33.9381,-118.3817,430041.44,602551.0,329667.0,-3.93,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90025,Los Angeles,34.1683,-118.421,360793.28,542715.0,409917.0,-4.98,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90026,Los Angeles,34.018,-118.0865,322051.52,508309.0,310991.0,-3.7,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90027,Los Angeles,34.0829,-118.2324,389753.84,466387.0,419729.0,-4.59,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90028,Los Angeles,34.0628,-118.3854,372489.68,529326.0,385562.0,-4.56,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90029,Los Angeles,33.9948,-118.3634,439863.68,594666.0,411126.0,-5.09,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90030,Los Angeles,33.9549,-118.1002,316866.8,598581.0,356399.0,-4.8,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90031,Los Angeles,34.0853,-118.1248,323802.56,488936.0,378480.0,-3.82,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90032,Los Angeles,34.0964,-118.3443,388946.72,482694.0,296423.0,-4.18,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90033,Los Angeles,34.0182,-118.3844,386785.28,454844.0,352267.0,-4.74,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90034,Los Angeles,33.9229,-118.1975,330396.32,587149.0,381651.0,-3.84,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90035,Los Angeles,34.1844,-118.1729,402968.72,584914.0,394972.0,-4.1,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90036,Los Angeles,34.0083,-118.1578,369452.72,567407.0,409761.0,-3.87,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90037,Los Angeles,33.9468,-118.3693,384788.0,475861.0,411372.0,-3.9,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90038,Los Angeles,34.0832,-118.4076,357824.72,463063.0,361273.0,-5.16,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90039,Los Angeles,33.9634,-118.0968,336634.4,535494.0,343286.0,-4.61,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90040,Los Angeles,34.1224,-118.2212,422791.04,568164.0,411035.0,-4.74,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90041,Los Angeles,34.1348,-118.2771,354815.12,532244.0,313357.0,-4.56,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90042,Los Angeles,34.0297,-118.2394,420889.52,601166.0,415167.0,-3.85,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90043,Los Angeles,34.1872,-118.1309,399097.28,534238.0,412815.0,-5.21,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90044,Los Angeles,34.0132,-118.1634,379521.2,474494.0,330394.0,-4.2,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90045,Los Angeles,34.1026,-118.1199,372106.64,486184.0,338907.0,-5.16,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90046,Los Angeles,33.9073,-118.1468,353488.16,486295.0,422445.0,-4.73,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90047,Los Angeles,34.1758,-118.0821,339055.76,478391.0,326444.0,-3.74,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90048,Los Angeles,34.1469,-118.2681,422449.04,431833.0,311134.0,-4.41,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90049,Los Angeles,34.0295,-118.4192,418700.72,555015.0,396453.0,-4.96,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90050,Los Angeles,34.0881,-118.0957,342886.16,516324.0,425395.0,-3.81,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90051,Los Angeles,34.0655,-118.4031,348700.16,510193.0,308678.0,-4.34,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90052,Los Angeles,34.0743,-118.1046,403433.84,521772.0,421990.0,-4.18,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90053,Los Angeles,33.9527,-118.2702,355772.72,447568.0,317074.0,-4.0,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90054,Los Angeles,34.0598,-118.2157,446033.36,523767.0,334670.0,-4.72,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90055,Los Angeles,34.0001,-118.2148,412517.36,479148.0,319907.0,-3.76,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90056,Los Angeles,34.0884,-118.3838,421956.56,450209.0,400547.0,-3.99,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90057,Los Angeles,34.1417,-118.4208,335033.84,505373.0,388071.0,-4.27,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90058,Los Angeles,33.9248,-118.1827,406361.36,421805.0,384445.0,-4.66,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90059,Los Angeles,34.0479,-118.173,312188.24,480866.0,420002.0,-4.9,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90060,Los Angeles,34.1424,-118.228,368823.44,550305.0,369304.0,-4.94,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90061,Los Angeles,34.0107,-118.2141,419589.92,523841.0,316255.0,-4.51,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90062,Los Angeles,33.9245,-118.0951,387264.08,420734.0,350746.0,-4.95,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90063,Los Angeles,33.9377,-118.2025,352024.4,518023.0,392346.0,-4.17,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90064,Los Angeles,34.0515,-118.3478,316401.68,483045.0,414206.0,-4.89,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90065,Los Angeles,34.0036,-118.3985,421436.72,546926.0,336061.0,-5.3,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90066,Los Angeles,33.9078,-118.0645,403598.0,447199.0,369265.0,-5.09,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90067,Los Angeles,34.0193,-118.2298,408468.08,487570.0,351461.0,-4.82,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90068,Los Angeles,34.1604,-118.0666,343830.08,487219.0,333929.0,-4.29,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90069,Los Angeles,34.1507,-118.2329,429234.32,543177.0,357686.0,-4.3,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90070,Los Angeles,34.1998,-118.1668,370424.0,424520.0,353046.0,-4.45,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90071,Los Angeles,33.9779,-118.1879,437770.64,521957.0,385238.0,-4.29,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90072,Los Angeles,33.9839,-118.106,393310.64,526519.0,396245.0,-4.48,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90073,Los Angeles,33.9542,-118.391,442175.6,457836.0,374295.0,-4.57,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90074,Los Angeles,34.0595,-118.3353,325115.84,438001.0,296969.0,-3.85,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90075,Los Angeles,34.0552,-118.1555,439015.52,591046.0,382404.0,-3.83,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90076,Los Angeles,34.1445,-118.2757,396566.48,481106.0,342013.0,-4.25,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90077,Los Angeles,34.1051,-118.3696,365704.4,588386.0,363040.0,-4.68,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90078,Los Angeles,34.1916,-118.2034,383502.08,544377.0,355100.0,-5.27,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90079,Los Angeles,33.9753,-118.3549,342065.36,466368.0,325560.0,-3.93,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
90080,Los Angeles,33.9908,-118.0727,352653.68,571765.0,322805.0,-5.12,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60601,Chicago,41.8072,-87.7025,196979.64,260587.0,183289.0,-4.19,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60602,Chicago,41.7627,-87.717,195582.66,295093.0,155673.0,-4.13,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60603,Chicago,41.8959,-87.4839,184666.56,307233.0,190092.0,-4.75,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60604,Chicago,41.9676,-87.6706,224231.28,264340.0,203023.0,-4.04,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60605,Chicago,41.8354,-87.5089,213617.04,306276.0,172979.0,-5.16,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60606,Chicago,41.9104,-87.512,211440.84,246561.0,202629.0,-5.26,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60607,Chicago,41.7836,-87.7617,178868.04,295102.0,211172.0,-4.21,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60608,Chicago,41.9675,-87.5971,225719.52,287710.0,179768.0,-4.4,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60609,Chicago,41.9584,-87.4849,162595.68,288108.0,197047.0,-4.31,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60610,Chicago,41.9527,-87.7464,185684.46,231028.0,190512.0,-4.62,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60611,Chicago,41.9986,-87.533,162700.98,231758.0,170451.0,-4.92,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60612,Chicago,41.8096,-87.6634,204715.68,295614.0,190365.0,-5.03,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60613,Chicago,42.0224,-87.483,210977.52,247215.0,181149.0,-5.02,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60614,Chicago,41.8415,-87.5368,212128.8,253479.0,181795.0,-4.52,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60615,Chicago,41.8751,-87.7045,183051.96,277276.0,203490.0,-4.34,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60616,Chicago,41.8192,-87.6943,169615.68,300116.0,161882.0,-4.67,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60617,Chicago,41.7678,-87.4937,183522.3,305802.0,166557.0,-5.08,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60618,Chicago,41.823,-87.5055,193799.58,258976.0,191172.0,-4.44,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60619,Chicago,41.9999,-87.8035,163550.4,222205.0,208892.0,-4.96,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60620,Chicago,41.7287,-87.5826,165333.48,286658.0,216741.0,-4.43,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60621,Chicago,41.8316,-87.6411,198875.04,261734.0,199088.0,-4.31,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60622,Chicago,41.8746,-87.6585,162904.56,268150.0,161235.0,-4.35,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60623,Chicago,41.7497,-87.4588,228843.42,257479.0,202436.0,-5.02,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60624,Chicago,41.8158,-87.6753,200749.38,260663.0,152285.0,-4.75,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60625,Chicago,41.7448,-87.6703,201795.36,257270.0,196194.0,-4.56,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60626,Chicago,41.893,-87.7586,223739.88,265799.0,202323.0,-4.41,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
60627,Chicago,41.994,-87.7613,193624.08,262842.0,160301.0,-5.11,CoStar/Real Capital Analytics,2025-Q4,https://www.rcanalytics.com
