zip_code,metro,lat,lng,eviction_filing_rate_per_1000,avg_days_to_eviction,landlord_friendly_score_1_10,data_source,as_of_date,source_url
90055,Los Angeles,34.0001,-118.2148,20.21,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
90056,Los Angeles,34.0884,-118.3838,19.24,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90057,Los Angeles,34.1417,-118.4208,20.72,90,4,Princeton Eviction Lab,2025,https://evictionlab.org
90058,Los Angeles,33.9248,-118.1827,20.77,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
90059,Los Angeles,34.0479,-118.173,20.34,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90060,Los Angeles,34.1424,-118.228,16.52,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
90061,Los Angeles,34.0107,-118.2141,19.84,74,4,Princeton Eviction Lab,2025,https://evictionlab.org
90062,Los Angeles,33.9245,-118.0951,16.51,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
90063,Los Angeles,33.9377,-118.2025,20.67,90,4,Princeton Eviction Lab,2025,https://evictionlab.org
90064,Los Angeles,34.0515,-118.3478,17.4,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
90065,Los Angeles,34.0036,-118.3985,18.55,78,4,Princeton Eviction Lab,2025,https://evictionlab.org
90066,Los Angeles,33.9078,-118.0645,15.24,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
90067,Los Angeles,34.0193,-118.2298,21.49,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
90068,Los Angeles,34.1604,-118.0666,21.08,85,4,Princeton Eviction Lab,2025,https://evictionlab.org
90069,Los Angeles,34.1507,-118.2329,21.46,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
90070,Los Angeles,34.1998,-118.1668,21.45,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90071,Los Angeles,33.9779,-118.1879,15.19,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
90072,Los Angeles,33.9839,-118.106,16.04,88,4,Princeton Eviction Lab,2025,https://evictionlab.org
90073,Los Angeles,33.9542,-118.391,19.64,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
90074,Los Angeles,34.0595,-118.3353,20.78,85,4,Princeton Eviction Lab,2025,https://evictionlab.org
90075,Los Angeles,34.0552,-118.1555,20.16,93,4,Princeton Eviction Lab,2025,https://evictionlab.org
90076,Los Angeles,34.1445,-118.2757,19.98,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
90077,Los Angeles,34.1051,-118.3696,15.53,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
90078,Los Angeles,34.1916,-118.2034,16.56,100,4,Princeton Eviction Lab,2025,https://evictionlab.org
90079,Los Angeles,33.9753,-118.3549,18.42,94,4,Princeton Eviction Lab,2025,https://evictionlab.org
90080,Los Angeles,33.9908,-118.0727,17.13,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
60601,Chicago,41.8072,-87.7025,20.78,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
60602,Chicago,41.7627,-87.717,16.46,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
60603,Chicago,41.8959,-87.4839,15.23,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
60604,Chicago,41.9676,-87.6706,21.71,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
60605,Chicago,41.8354,-87.5089,15.98,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
60606,Chicago,41.9104,-87.512,16.32,74,4,Princeton Eviction Lab,2025,https://evictionlab.org
60607,Chicago,41.7836,-87.7617,17.69,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
60608,Chicago,41.9675,-87.5971,19.42,97,4,Princeton Eviction Lab,2025,https://evictionlab.org
60609,Chicago,41.9584,-87.4849,19.75,70,4,Princeton Eviction Lab,2025,https://evictionlab.org
60610,Chicago,41.9527,-87.7464,19.98,81,4,Princeton Eviction Lab,2025,https://evictionlab.org
60611,Chicago,41.9986,-87.533,18.29,78,4,Princeton Eviction Lab,2025,https://evictionlab.org
60612,Chicago,41.8096,-87.6634,17.06,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
60613,Chicago,42.0224,-87.483,18.65,84,4,Princeton Eviction Lab,2025,https://evictionlab.org
60614,Chicago,41.8415,-87.5368,19.03,90,4,Princeton Eviction Lab,2025,https://evictionlab.org
60615,Chicago,41.8751,-87.7045,20.25,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
60616,Chicago,41.8192,-87.6943,16.33,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
60617,Chicago,41.7678,-87.4937,16.4,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
60618,Chicago,41.823,-87.5055,15.86,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
60619,Chicago,41.9999,-87.8035,18.91,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
60620,Chicago,41.7287,-87.5826,18.66,83,4,Princeton Eviction Lab,2025,https://evictionlab.org
60621,Chicago,41.8316,-87.6411,15.84,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
60622,Chicago,41.8746,-87.6585,16.15,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
60623,Chicago,41.7497,-87.4588,20.01,100,4,Princeton Eviction Lab,2025,https://evictionlab.org
60624,Chicago,41.8158,-87.6753,15.41,91,4,Princeton Eviction Lab,2025,https://evictionlab.org
60625,Chicago,41.7448,-87.6703,16.13,96,4,Princeton Eviction Lab,2025,https://evictionlab.org
60626,Chicago,41.893,-87.7586,17.99,82,4,Princeton Eviction Lab,2025,https://evictionlab.org
60627,Chicago,41.994,-87.7613,21.19,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
60628,Chicago,41.9111,-87.4579,19.39,97,4,Princeton Eviction Lab,2025,https://evictionlab.org
60629,Chicago,41.7587,-87.7174,17.45,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
60630,Chicago,41.9099,-87.7597,21.2,97,4,Princeton Eviction Lab,2025,https://evictionlab.org
60631,Chicago,41.7453,-87.7891,18.29,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
60632,Chicago,41.7612,-87.4761,21.8,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
60633,Chicago,41.7567,-87.7062,15.29,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
60634,Chicago,41.7451,-87.692,18.73,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
60635,Chicago,41.7298,-87.641,17.88,77,4,Princeton Eviction Lab,2025,https://evictionlab.org
60636,Chicago,41.8036,-87.5102,19.49,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
60637,Chicago,41.8807,-87.4958,16.55,85,4,Princeton Eviction Lab,2025,https://evictionlab.org
60638,Chicago,41.9056,-87.6452,19.35,75,4,Princeton Eviction Lab,2025,https://evictionlab.org
60639,Chicago,42.0167,-87.7278,17.92,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
60640,Chicago,41.7747,-87.5077,18.25,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
60641,Chicago,41.8668,-87.4603,16.53,89,4,Princeton Eviction Lab,2025,https://evictionlab.org
60642,Chicago,41.8879,-87.7336,17.74,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
60643,Chicago,41.8464,-87.6119,16.77,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
60644,Chicago,42.0268,-87.5098,21.25,72,4,Princeton Eviction Lab,2025,https://evictionlab.org
60645,Chicago,41.9197,-87.5425,17.74,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
60646,Chicago,41.8791,-87.4616,21.46,95,4,Princeton Eviction Lab,2025,https://evictionlab.org
60647,Chicago,41.8829,-87.7851,16.44,87,4,Princeton Eviction Lab,2025,https://evictionlab.org
60648,Chicago,41.9674,-87.5685,17.0,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
60649,Chicago,42.02,-87.6902,18.36,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
60650,Chicago,41.8255,-87.751,21.34,73,4,Princeton Eviction Lab,2025,https://evictionlab.org
60651,Chicago,41.969,-87.4976,17.77,85,4,Princeton Eviction Lab,2025,https://evictionlab.org
60652,Chicago,41.9804,-87.6468,20.51,76,4,Princeton Eviction Lab,2025,https://evictionlab.org
60653,Chicago,41.7616,-87.5119,17.61,99,4,Princeton Eviction Lab,2025,https://evictionlab.org
60654,Chicago,41.9076,-87.7347,19.39,79,4,Princeton Eviction Lab,2025,https://evictionlab.org
60655,Chicago,41.9484,-87.7766,20.11,98,4,Princeton Eviction Lab,2025,https://evictionlab.org
60656,Chicago,41.991,-87.714,19.38,80,4,Princeton Eviction Lab,2025,https://evictionlab.org
60657,Chicago,41.868,-87.6822,18.6,73,4,Princeton Eviction Lab,2025,https://evictionlab.org
60658,Chicago,41.9236,-87.6054,16.0,81,4,Princeton Eviction Lab,2025,https://evictionlab.org
60659,Chicago,41.9055,-87.4745,16.96,71,4,Princeton Eviction Lab,2025,https://evictionlab.org
60660,Chicago,41.8173,-87.7665,19.11,88,4,Princeton Eviction Lab,2025,https://evictionlab.org
77001,Houston,29.6917,-95.326,19.8,86,8,Princeton Eviction Lab,2025,https://evictionlab.org
77002,Houston,29.6157,-95.3071,21.47,79,8,Princeton Eviction Lab,2025,https://evictionlab.org
77003,Houston,29.8466,-95.4814,17.41,93,8,Princeton Eviction Lab,2025,https://evictionlab.org
77004,Houston,29.8623,-95.3853,15.5,82,8,Princeton Eviction Lab,2025,https://evictionlab.org
77005,Houston,29.7669,-95.3295,17.19,92,8,Princeton Eviction Lab,2025,https://evictionlab.org
77006,Houston,29.8467,-95.3418,19.57,91,8,Princeton Eviction Lab,2025,https://evictionlab.org
77007,Houston,29.6131,-95.3485,15.37,83,8,Princeton Eviction Lab,2025,https://evictionlab.org
77008,Houston,29.6244,-95.4477,16.58,74,8,Princeton Eviction Lab,2025,https://evictionlab.org
77009,Houston,29.9088,-95.3015,16.03,78,8,Princeton Eviction Lab,2025,https://evictionlab.org
77010,Houston,29.7477,-95.3275,16.61,73,8,Princeton Eviction Lab,2025,https://evictionlab.org
77011,Houston,29.8815,-95.2784,18.76,83,8,Princeton Eviction Lab,2025,https://evictionlab.org
77012,Houston,29.6888,-95.3084,18.21,89,8,Princeton Eviction Lab,2025,https://evictionlab.org
77013,Houston,29.6306,-95.3437,17.21,79,8,Princeton Eviction Lab,2025,https://evictionlab.org
77014,Houston,29.8647,-95.4386,21.17,83,8,Princeton Eviction Lab,2025,https://evictionlab.org
77015,Houston,29.7156,-95.5347,20.51,80,8,Princeton Eviction Lab,2025,https://evictionlab.org
77016,Houston,29.8395,-95.4703,15.65,91,8,Princeton Eviction Lab,2025,https://evictionlab.org
77017,Houston,29.7942,-95.5358,18.22,92,8,Princeton Eviction Lab,2025,https://evictionlab.org
77018,Houston,29.614,-95.3916,15.65,77,8,Princeton Eviction Lab,2025,https://evictionlab.org
77019,Houston,29.7373,-95.4333,16.87,98,8,Princeton Eviction Lab,2025,https://evictionlab.org
77020,Houston,29.6881,-95.2791,20.66,97,8,Princeton Eviction Lab,2025,https://evictionlab.org
77021,Houston,29.8884,-95.316,18.31,80,8,Princeton Eviction Lab,2025,https://evictionlab.org
77022,Houston,29.7545,-95.3964,21.31,97,8,Princeton Eviction Lab,2025,https://evictionlab.org
77023,Houston,29.7969,-95.297,20.46,90,8,Princeton Eviction Lab,2025,https://evictionlab.org
77024,Houston,29.8002,-95.1947,16.93,99,8,Princeton Eviction Lab,2025,https://evictionlab.org
77025,Houston,29.776,-95.3977,17.55,92,8,Princeton Eviction Lab,2025,https://evictionlab.org
77026,Houston,29.6192,-95.2907,18.8,83,8,Princeton Eviction Lab,2025,https://evictionlab.org
77027,Houston,29.8782,-95.3682,18.66,87,8,Princeton Eviction Lab,2025,https://evictionlab.org
77028,Houston,29.7631,-95.3391,17.18,82,8,Princeton Eviction Lab,2025,https://evictionlab.org
77029,Houston,29.8845,-95.5273,18.77,70,8,Princeton Eviction Lab,2025,https://evictionlab.org
77030,Houston,29.825,-95.4896,18.02,90,8,Princeton Eviction Lab,2025,https://evictionlab.org
77031,Houston,29.6834,-95.4352,20.16,74,8,Princeton Eviction Lab,2025,https://evictionlab.org
77032,Houston,29.7184,-95.1915,16.69,97,8,Princeton Eviction Lab,2025,https://evictionlab.org
77033,Houston,29.6612,-95.3171,16.52,75,8,Princeton Eviction Lab,2025,https://evictionlab.org
77034,Houston,29.7844,-95.394,16.75,92,8,Princeton Eviction Lab,2025,https://evictionlab.org
77035,Houston,29.7679,-95.3761,18.29,73,8,Princeton Eviction Lab,2025,https://evictionlab.org
77036,Houston,29.84,-95.2991,16.67,74,8,Princeton Eviction Lab,2025,https://evictionlab.org
77037,Houston,29.6624,-95.2271,17.76,72,8,Princeton Eviction Lab,2025,https://evictionlab.org
77038,Houston,29.7191,-95.3538,15.96,84,8,Princeton Eviction Lab,2025,https://evictionlab.org
77039,Houston,29.8859,-95.3262,19.92,91,8,Princeton Eviction Lab,2025,https://evictionlab.org
77040,Houston,29.8035,-95.265,18.55,100,8,Princeton Eviction Lab,2025,https://evictionlab.org
77041,Houston,29.6945,-95.3577,16.38,85,8,Princeton Eviction Lab,2025,https://evictionlab.org
77042,Houston,29.7941,-95.3364,17.1,91,8,Princeton Eviction Lab,2025,https://evictionlab.org
77043,Houston,29.8216,-95.2114,20.4,92,8,Princeton Eviction Lab,2025,https://evictionlab.org
77044,Houston,29.6706,-95.2427,20.38,73,8,Princeton Eviction Lab,2025,https://evictionlab.org
77045,Houston,29.6475,-95.4786,19.7,92,8,Princeton Eviction Lab,2025,https://evictionlab.org
77046,Houston,29.7142,-95.2791,20.89,86,8,Princeton Eviction Lab,2025,https://evictionlab.org
77047,Houston,29.6122,-95.2381,18.15,88,8,Princeton Eviction Lab,2025,https://evictionlab.org
77048,Houston,29.6742,-95.43,21.68,79,8,Princeton Eviction Lab,2025,https://evictionlab.org
