zip_code,metro,lat,lng,renter_occupied_pct,owner_occupied_pct,avg_household_size,data_source,as_of_date,source_url
10043,New York,40.854,-74.0088,55.16,42.9,2.85,US Census ACS,2023,https://data.census.gov
10044,New York,40.6682,-74.0982,75.58,45.3,2.52,US Census ACS,2023,https://data.census.gov
10045,New York,40.8559,-74.1667,62.57,31.6,2.78,US Census ACS,2023,https://data.census.gov
10046,New York,40.7917,-73.9853,64.55,35.0,2.5,US Census ACS,2023,https://data.census.gov
10047,New York,40.7567,-73.9596,57.07,44.6,2.52,US Census ACS,2023,https://data.census.gov
10048,New York,40.7048,-73.9293,58.92,40.4,2.77,US Census ACS,2023,https://data.census.gov
10049,New York,40.8035,-74.1252,60.53,38.3,2.56,US Census ACS,2023,https://data.census.gov
10050,New York,40.6196,-73.9172,71.48,45.9,2.92,US Census ACS,2023,https://data.census.gov
10051,New York,40.643,-73.924,56.56,37.8,2.15,US Census ACS,2023,https://data.census.gov
10052,New York,40.6472,-73.9063,57.01,37.9,2.61,US Census ACS,2023,https://data.census.gov
10053,New York,40.851,-74.0213,60.14,25.8,2.19,US Census ACS,2023,https://data.census.gov
10054,New York,40.6703,-74.059,75.22,31.4,2.72,US Census ACS,2023,https://data.census.gov
10055,New York,40.7919,-73.9193,63.81,30.9,2.09,US Census ACS,2023,https://data.census.gov
10056,New York,40.7687,-74.0027,59.04,35.9,2.07,US Census ACS,2023,https://data.census.gov
10057,New York,40.7865,-73.9435,64.27,43.7,2.77,US Census ACS,2023,https://data.census.gov
10058,New York,40.762,-74.0912,70.66,45.8,2.3,US Census ACS,2023,https://data.census.gov
10059,New York,40.8554,-73.9114,62.49,42.5,2.89,US Census ACS,2023,https://data.census.gov
10060,New York,40.7568,-73.9228,66.05,27.3,2.59,US Census ACS,2023,https://data.census.gov
10061,New York,40.6937,-74.1749,70.44,39.8,2.68,US Census ACS,2023,https://data.census.gov
10062,New York,40.6367,-73.8556,55.62,41.1,2.94,US Census ACS,2023,https://data.census.gov
10063,New York,40.7167,-73.9992,66.33,36.4,2.75,US Census ACS,2023,https://data.census.gov
10064,New York,40.6219,-74.1213,55.4,33.5,2.64,US Census ACS,2023,https://data.census.gov
10065,New York,40.6587,-73.9155,69.99,38.5,2.6,US Census ACS,2023,https://data.census.gov
10066,New York,40.8151,-73.837,55.69,45.3,2.23,US Census ACS,2023,https://data.census.gov
10067,New York,40.8289,-73.9201,59.84,34.3,2.08,US Census ACS,2023,https://data.census.gov
10068,New York,40.6768,-73.9826,64.66,32.1,2.69,US Census ACS,2023,https://data.census.gov
10069,New York,40.5917,-73.9744,63.51,46.1,2.77,US Census ACS,2023,https://data.census.gov
10070,New York,40.5835,-73.9129,69.04,32.8,2.55,US Census ACS,2023,https://data.census.gov
10071,New York,40.5696,-73.881,62.0,37.0,2.67,US Census ACS,2023,https://data.census.gov
10072,New York,40.6973,-73.8572,60.41,42.1,2.76,US Census ACS,2023,https://data.census.gov
10073,New York,40.6683,-73.8412,55.46,33.2,2.5,US Census ACS,2023,https://data.census.gov
10074,New York,40.6544,-73.9861,61.35,28.8,2.7,US Census ACS,2023,https://data.census.gov
10075,New York,40.8282,-73.9756,55.52,26.5,2.28,US Census ACS,2023,https://data.census.gov
10076,New York,40.5789,-73.8746,54.02,26.6,2.47,US Census ACS,2023,https://data.census.gov
10077,New York,40.8013,-73.9942,73.11,27.8,2.15,US Census ACS,2023,https://data.census.gov
10078,New York,40.7908,-74.0033,74.46,31.2,2.59,US Census ACS,2023,https://data.census.gov
10079,New York,40.5863,-74.0558,66.89,32.4,2.68,US Census ACS,2023,https://data.census.gov
10080,New York,40.6942,-74.0887,56.82,30.4,2.68,US Census ACS,2023,https://data.census.gov
90001,Los Angeles,34.1214,-118.2314,57.06,37.1,2.62,US Census ACS,2023,https://data.census.gov
90002,Los Angeles,34.0392,-118.3354,55.51,34.5,2.16,US Census ACS,2023,https://data.census.gov
90003,Los Angeles,33.9029,-118.243,67.56,28.9,2.47,US Census ACS,2023,https://data.census.gov
90004,Los Angeles,34.1509,-118.1387,70.41,33.3,2.15,US Census ACS,2023,https://data.census.gov
90005,Los Angeles,33.9751,-118.415,70.04,45.5,2.65,US Census ACS,2023,https://data.census.gov
90006,Los Angeles,33.999,-118.3099,70.96,49.2,2.63,US Census ACS,2023,https://data.census.gov
90007,Los Angeles,34.0868,-118.1844,57.54,47.2,2.91,US Census ACS,2023,https://data.census.gov
90008,Los Angeles,34.0856,-118.2297,58.59,44.9,2.91,US Census ACS,2023,https://data.census.gov
90009,Los Angeles,34.1576,-118.2875,61.07,46.2,2.7,US Census ACS,2023,https://data.census.gov
90010,Los Angeles,33.948,-118.2617,64.26,31.8,2.25,US Census ACS,2023,https://data.census.gov
90011,Los Angeles,34.161,-118.072,71.71,35.9,2.73,US Census ACS,2023,https://data.census.gov
90012,Los Angeles,34.0257,-118.3151,62.02,35.1,2.43,US Census ACS,2023,https://data.census.gov
90013,Los Angeles,34.0993,-118.269,55.66,40.9,2.63,US Census ACS,2023,https://data.census.gov
90014,Los Angeles,33.9242,-118.2933,58.39,47.4,2.35,US Census ACS,2023,https://data.census.gov
90015,Los Angeles,34.1921,-118.1397,62.88,48.8,2.44,US Census ACS,2023,https://data.census.gov
90016,Los Angeles,34.1713,-118.2349,56.83,34.3,2.23,US Census ACS,2023,https://data.census.gov
90017,Los Angeles,34.1716,-118.1116,64.87,43.5,2.61,US Census ACS,2023,https://data.census.gov
90018,Los Angeles,33.9229,-118.1455,60.84,42.3,2.51,US Census ACS,2023,https://data.census.gov
90019,Los Angeles,33.9689,-118.1972,51.88,35.5,2.13,US Census ACS,2023,https://data.census.gov
90020,Los Angeles,33.9238,-118.0834,68.29,43.8,2.62,US Census ACS,2023,https://data.census.gov
90021,Los Angeles,34.1068,-118.1598,61.26,30.9,2.52,US Census ACS,2023,https://data.census.gov
90022,Los Angeles,34.0847,-118.1458,57.94,41.7,2.22,US Census ACS,2023,https://data.census.gov
90023,Los Angeles,34.1212,-118.3214,62.48,44.1,2.13,US Census ACS,2023,https://data.census.gov
90024,Los Angeles,33.9381,-118.3817,52.32,34.3,2.33,US Census ACS,2023,https://data.census.gov
90025,Los Angeles,34.1683,-118.421,72.35,31.7,2.81,US Census ACS,2023,https://data.census.gov
90026,Los Angeles,34.018,-118.0865,68.47,36.4,2.29,US Census ACS,2023,https://data.census.gov
90027,Los Angeles,34.0829,-118.2324,61.05,29.3,2.89,US Census ACS,2023,https://data.census.gov
90028,Los Angeles,34.0628,-118.3854,63.72,27.7,2.74,US Census ACS,2023,https://data.census.gov
90029,Los Angeles,33.9948,-118.3634,51.96,36.6,2.08,US Census ACS,2023,https://data.census.gov
90030,Los Angeles,33.9549,-118.1002,70.77,37.5,2.89,US Census ACS,2023,https://data.census.gov
90031,Los Angeles,34.0853,-118.1248,60.12,29.6,2.77,US Census ACS,2023,https://data.census.gov
90032,Los Angeles,34.0964,-118.3443,64.2,29.8,2.86,US Census ACS,2023,https://data.census.gov
90033,Los Angeles,34.0182,-118.3844,63.73,37.2,2.07,US Census ACS,2023,https://data.census.gov
90034,Los Angeles,33.9229,-118.1975,69.77,41.9,2.17,US Census ACS,2023,https://data.census.gov
90035,Los Angeles,34.1844,-118.1729,54.34,35.4,2.22,US Census ACS,2023,https://data.census.gov
90036,Los Angeles,34.0083,-118.1578,61.43,42.0,2.18,US Census ACS,2023,https://data.census.gov
90037,Los Angeles,33.9468,-118.3693,67.71,37.3,2.08,US Census ACS,2023,https://data.census.gov
90038,Los Angeles,34.0832,-118.4076,50.44,28.5,2.92,US Census ACS,2023,https://data.census.gov
90039,Los Angeles,33.9634,-118.0968,71.97,38.5,2.27,US Census ACS,2023,https://data.census.gov
90040,Los Angeles,34.1224,-118.2212,61.42,31.0,2.44,US Census ACS,2023,https://data.census.gov
90041,Los Angeles,34.1348,-118.2771,68.62,31.3,2.8,US Census ACS,2023,https://data.census.gov
90042,Los Angeles,34.0297,-118.2394,52.41,36.3,2.61,US Census ACS,2023,https://data.census.gov
90043,Los Angeles,34.1872,-118.1309,50.84,31.0,2.59,US Census ACS,2023,https://data.census.gov
90044,Los Angeles,34.0132,-118.1634,69.12,31.8,2.52,US Census ACS,2023,https://data.census.gov
90045,Los Angeles,34.1026,-118.1199,69.86,48.7,2.1,US Census ACS,2023,https://data.census.gov
90046,Los Angeles,33.9073,-118.1468,57.17,47.1,2.46,US Census ACS,2023,https://data.census.gov
90047,Los Angeles,34.1758,-118.0821,68.01,44.3,2.15,US Census ACS,2023,https://data.census.gov
90048,Los Angeles,34.1469,-118.2681,56.03,44.1,2.2,US Census ACS,2023,https://data.census.gov
90049,Los Angeles,34.0295,-118.4192,54.77,45.6,2.81,US Census ACS,2023,https://data.census.gov
90050,Los Angeles,34.0881,-118.0957,70.22,45.5,2.1,US Census ACS,2023,https://data.census.gov
90051,Los Angeles,34.0655,-118.4031,56.55,48.1,2.78,US Census ACS,2023,https://data.census.gov
90052,Los Angeles,34.0743,-118.1046,59.57,30.3,2.39,US Census ACS,2023,https://data.census.gov
90053,Los Angeles,33.9527,-118.2702,57.97,35.8,2.63,US Census ACS,2023,https://data.census.gov
90054,Los Angeles,34.0598,-118.2157,64.9,28.6,2.3,US Census ACS,2023,https://data.census.gov
90055,Los Angeles,34.0001,-118.2148,68.19,35.1,2.83,US Census ACS,2023,https://data.census.gov
90056,Los Angeles,34.0884,-118.3838,53.37,29.5,2.38,US Census ACS,2023,https://data.census.gov
90057,Los Angeles,34.1417,-118.4208,60.49,35.8,2.5,US Census ACS,2023,https://data.census.gov
90058,Los Angeles,33.9248,-118.1827,71.15,43.4,2.65,US Census ACS,2023,https://data.census.gov
90059,Los Angeles,34.0479,-118.173,69.11,36.4,2.47,US Census ACS,2023,https://data.census.gov
90060,Los Angeles,34.1424,-118.228,56.25,29.6,2.29,US Census ACS,2023,https://data.census.gov
90061,Los Angeles,34.0107,-118.2141,58.42,32.4,2.17,US Census ACS,2023,https://data.census.gov
90062,Los Angeles,33.9245,-118.0951,64.28,36.1,2.63,US Census ACS,2023,https://data.census.gov
90063,Los Angeles,33.9377,-118.2025,60.82,33.4,2.32,US Census ACS,2023,https://data.census.gov
90064,Los Angeles,34.0515,-118.3478,51.46,36.3,2.29,US Census ACS,2023,https://data.census.gov
90065,Los Angeles,34.0036,-118.3985,63.63,37.8,2.97,US Census ACS,2023,https://data.census.gov
90066,Los Angeles,33.9078,-118.0645,55.54,28.5,2.8,US Census ACS,2023,https://data.census.gov
90067,Los Angeles,34.0193,-118.2298,68.61,43.6,2.12,US Census ACS,2023,https://data.census.gov
90068,Los Angeles,34.1604,-118.0666,51.63,45.2,2.17,US Census ACS,2023,https://data.census.gov
90069,Los Angeles,34.1507,-118.2329,65.93,35.4,2.3,US Census ACS,2023,https://data.census.gov
90070,Los Angeles,34.1998,-118.1668,63.33,33.8,2.29,US Census ACS,2023,https://data.census.gov
90071,Los Angeles,33.9779,-118.1879,72.13,43.7,2.21,US Census ACS,2023,https://data.census.gov
90072,Los Angeles,33.9839,-118.106,51.93,47.4,2.92,US Census ACS,2023,https://data.census.gov
90073,Los Angeles,33.9542,-118.391,54.29,33.0,2.31,US Census ACS,2023,https://data.census.gov
90074,Los Angeles,34.0595,-118.3353,71.78,43.1,2.48,US Census ACS,2023,https://data.census.gov
90075,Los Angeles,34.0552,-118.1555,69.23,47.0,2.59,US Census ACS,2023,https://data.census.gov
90076,Los Angeles,34.1445,-118.2757,66.8,41.6,2.44,US Census ACS,2023,https://data.census.gov
90077,Los Angeles,34.1051,-118.3696,71.64,30.5,2.09,US Census ACS,2023,https://data.census.gov
90078,Los Angeles,34.1916,-118.2034,59.6,36.0,2.27,US Census ACS,2023,https://data.census.gov
90079,Los Angeles,33.9753,-118.3549,60.24,45.3,2.94,US Census ACS,2023,https://data.census.gov
90080,Los Angeles,33.9908,-118.0727,62.24,38.9,2.7,US Census ACS,2023,https://data.census.gov
60601,Chicago,41.8072,-87.7025,58.04,50.1,2.15,US Census ACS,2023,https://data.census.gov
60602,Chicago,41.7627,-87.717,48.16,37.0,2.21,US Census ACS,2023,https://data.census.gov
60603,Chicago,41.8959,-87.4839,56.45,42.8,2.82,US Census ACS,2023,https://data.census.gov
60604,Chicago,41.9676,-87.6706,45.88,51.4,2.57,US Census ACS,2023,https://data.census.gov
60605,Chicago,41.8354,-87.5089,65.11,37.5,2.42,US Census ACS,2023,https://data.census.gov
60606,Chicago,41.9104,-87.512,47.38,47.1,2.46,US Census ACS,2023,https://data.census.gov
60607,Chicago,41.7836,-87.7617,49.81,43.3,2.43,US Census ACS,2023,https://data.census.gov
60608,Chicago,41.9675,-87.5971,60.56,52.5,2.87,US Census ACS,2023,https://data.census.gov
60609,Chicago,41.9584,-87.4849,57.52,47.9,2.95,US Census ACS,2023,https://data.census.gov
60610,Chicago,41.9527,-87.7464,55.48,37.4,2.89,US Census ACS,2023,https://data.census.gov
60611,Chicago,41.9986,-87.533,56.33,48.9,2.14,US Census ACS,2023,https://data.census.gov
60612,Chicago,41.8096,-87.6634,62.0,44.8,2.32,US Census ACS,2023,https://data.census.gov
60613,Chicago,42.0224,-87.483,58.43,44.1,2.42,US Census ACS,2023,https://data.census.gov
60614,Chicago,41.8415,-87.5368,48.51,45.1,2.09,US Census ACS,2023,https://data.census.gov
60615,Chicago,41.8751,-87.7045,45.97,49.1,2.28,US Census ACS,2023,https://data.census.gov
60616,Chicago,41.8192,-87.6943,46.49,54.5,2.3,US Census ACS,2023,https://data.census.gov
60617,Chicago,41.7678,-87.4937,59.48,35.8,2.74,US Census ACS,2023,https://data.census.gov
60618,Chicago,41.823,-87.5055,45.79,47.4,2.62,US Census ACS,2023,https://data.census.gov
60619,Chicago,41.9999,-87.8035,53.17,47.4,2.24,US Census ACS,2023,https://data.census.gov
60620,Chicago,41.7287,-87.5826,45.86,46.1,2.27,US Census ACS,2023,https://data.census.gov
60621,Chicago,41.8316,-87.6411,45.92,35.2,2.77,US Census ACS,2023,https://data.census.gov
60622,Chicago,41.8746,-87.6585,56.2,38.2,2.58,US Census ACS,2023,https://data.census.gov
60623,Chicago,41.7497,-87.4588,49.99,53.3,2.24,US Census ACS,2023,https://data.census.gov
60624,Chicago,41.8158,-87.6753,49.31,40.3,2.55,US Census ACS,2023,https://data.census.gov
60625,Chicago,41.7448,-87.6703,48.96,35.5,2.66,US Census ACS,2023,https://data.census.gov
60626,Chicago,41.893,-87.7586,64.76,45.0,2.56,US Census ACS,2023,https://data.census.gov
60627,Chicago,41.994,-87.7613,53.56,47.2,2.17,US Census ACS,2023,https://data.census.gov
60628,Chicago,41.9111,-87.4579,59.68,53.0,2.4,US Census ACS,2023,https://data.census.gov
60629,Chicago,41.7587,-87.7174,54.04,54.6,2.75,US Census ACS,2023,https://data.census.gov
60630,Chicago,41.9099,-87.7597,59.58,37.8,2.64,US Census ACS,2023,https://data.census.gov
60631,Chicago,41.7453,-87.7891,46.48,39.2,2.41,US Census ACS,2023,https://data.census.gov
60632,Chicago,41.7612,-87.4761,47.43,47.4,2.54,US Census ACS,2023,https://data.census.gov
60633,Chicago,41.7567,-87.7062,55.75,45.9,2.35,US Census ACS,2023,https://data.census.gov
60634,Chicago,41.7451,-87.692,60.88,46.3,2.51,US Census ACS,2023,https://data.census.gov
60635,Chicago,41.7298,-87.641,62.59,41.3,2.63,US Census ACS,2023,https://data.census.gov
60636,Chicago,41.8036,-87.5102,48.87,48.4,2.55,US Census ACS,2023,https://data.census.gov
60637,Chicago,41.8807,-87.4958,48.21,44.6,2.14,US Census ACS,2023,https://data.census.gov
60638,Chicago,41.9056,-87.6452,56.66,52.0,2.87,US Census ACS,2023,https://data.census.gov
60639,Chicago,42.0167,-87.7278,46.12,51.8,2.61,US Census ACS,2023,https://data.census.gov
60640,Chicago,41.7747,-87.5077,50.15,43.5,2.4,US Census ACS,2023,https://data.census.gov
60641,Chicago,41.8668,-87.4603,65.04,39.9,2.88,US Census ACS,2023,https://data.census.gov
60642,Chicago,41.8879,-87.7336,52.38,54.5,2.8,US Census ACS,2023,https://data.census.gov
60643,Chicago,41.8464,-87.6119,50.8,42.2,2.52,US Census ACS,2023,https://data.census.gov
60644,Chicago,42.0268,-87.5098,45.52,39.6,2.76,US Census ACS,2023,https://data.census.gov
60645,Chicago,41.9197,-87.5425,64.92,49.9,2.37,US Census ACS,2023,https://data.census.gov
60646,Chicago,41.8791,-87.4616,60.47,35.7,2.9,US Census ACS,2023,https://data.census.gov
60647,Chicago,41.8829,-87.7851,52.09,53.3,2.41,US Census ACS,2023,https://data.census.gov
60648,Chicago,41.9674,-87.5685,58.1,40.3,2.81,US Census ACS,2023,https://data.census.gov
60649,Chicago,42.02,-87.6902,65.01,47.0,2.93,US Census ACS,2023,https://data.census.gov
60650,Chicago,41.8255,-87.751,62.05,44.4,2.79,US Census ACS,2023,https://data.census.gov
60651,Chicago,41.969,-87.4976,63.72,49.6,2.67,US Census ACS,2023,https://data.census.gov
60652,Chicago,41.9804,-87.6468,50.14,45.8,2.6,US Census ACS,2023,https://data.census.gov
60653,Chicago,41.7616,-87.5119,56.94,36.7,2.85,US Census ACS,2023,https://data.census.gov
60654,Chicago,41.9076,-87.7347,52.01,48.3,2.08,US Census ACS,2023,https://data.census.gov
60655,Chicago,41.9484,-87.7766,57.22,53.3,2.86,US Census ACS,2023,https://data.census.gov
60656,Chicago,41.991,-87.714,55.55,36.3,2.12,US Census ACS,2023,https://data.census.gov
60657,Chicago,41.868,-87.6822,64.79,44.4,2.7,US Census ACS,2023,https://data.census.gov
60658,Chicago,41.9236,-87.6054,54.52,42.0,2.44,US Census ACS,2023,https://data.census.gov
60659,Chicago,41.9055,-87.4745,63.24,35.6,2.57,US Census ACS,2023,https://data.census.gov
60660,Chicago,41.8173,-87.7665,62.56,51.1,2.87,US Census ACS,2023,https://data.census.gov
77001,Houston,29.6917,-95.326,49.65,49.9,2.2,US Census ACS,2023,https://data.census.gov
77002,Houston,29.6157,-95.3071,55.36,53.1,2.16,US Census ACS,2023,https://data.census.gov
77003,Houston,29.8466,-95.4814,63.3,40.7,2.92,US Census ACS,2023,https://data.census.gov
77004,Houston,29.8623,-95.3853,64.37,39.9,2.9,US Census ACS,2023,https://data.census.gov
77005,Houston,29.7669,-95.3295,46.86,51.5,2.65,US Census ACS,2023,https://data.census.gov
77006,Houston,29.8467,-95.3418,56.33,35.7,2.13,US Census ACS,2023,https://data.census.gov
77007,Houston,29.6131,-95.3485,54.34,35.7,2.91,US Census ACS,2023,https://data.census.gov
77008,Houston,29.6244,-95.4477,56.2,53.7,2.49,US Census ACS,2023,https://data.census.gov
77009,Houston,29.9088,-95.3015,63.01,43.3,2.19,US Census ACS,2023,https://data.census.gov
77010,Houston,29.7477,-95.3275,46.48,51.0,2.51,US Census ACS,2023,https://data.census.gov
77011,Houston,29.8815,-95.2784,54.56,49.2,2.31,US Census ACS,2023,https://data.census.gov
77012,Houston,29.6888,-95.3084,61.12,37.4,2.35,US Census ACS,2023,https://data.census.gov
77013,Houston,29.6306,-95.3437,65.07,53.5,2.38,US Census ACS,2023,https://data.census.gov
77014,Houston,29.8647,-95.4386,51.74,42.5,2.51,US Census ACS,2023,https://data.census.gov
77015,Houston,29.7156,-95.5347,54.44,34.3,2.76,US Census ACS,2023,https://data.census.gov
77016,Houston,29.8395,-95.4703,65.12,38.7,2.89,US Census ACS,2023,https://data.census.gov
77017,Houston,29.7942,-95.5358,59.82,45.9,2.09,US Census ACS,2023,https://data.census.gov
77018,Houston,29.614,-95.3916,62.0,49.6,2.88,US Census ACS,2023,https://data.census.gov
77019,Houston,29.7373,-95.4333,50.81,48.8,2.65,US Census ACS,2023,https://data.census.gov
77020,Houston,29.6881,-95.2791,63.27,43.0,2.61,US Census ACS,2023,https://data.census.gov
77021,Houston,29.8884,-95.316,63.25,52.3,2.28,US Census ACS,2023,https://data.census.gov
77022,Houston,29.7545,-95.3964,51.84,46.7,2.59,US Census ACS,2023,https://data.census.gov
77023,Houston,29.7969,-95.297,54.61,39.0,2.27,US Census ACS,2023,https://data.census.gov
77024,Houston,29.8002,-95.1947,64.1,44.6,2.34,US Census ACS,2023,https://data.census.gov
77025,Houston,29.776,-95.3977,52.62,37.9,2.18,US Census ACS,2023,https://data.census.gov
77026,Houston,29.6192,-95.2907,49.98,35.3,2.81,US Census ACS,2023,https://data.census.gov
77027,Houston,29.8782,-95.3682,49.21,51.1,2.89,US Census ACS,2023,https://data.census.gov
77028,Houston,29.7631,-95.3391,64.09,36.0,2.94,US Census ACS,2023,https://data.census.gov
77029,Houston,29.8845,-95.5273,50.62,45.5,2.34,US Census ACS,2023,https://data.census.gov
77030,Houston,29.825,-95.4896,53.37,51.4,2.78,US Census ACS,2023,https://data.census.gov
77031,Houston,29.6834,-95.4352,63.74,52.2,2.75,US Census ACS,2023,https://data.census.gov
77032,Houston,29.7184,-95.1915,50.77,53.1,2.11,US Census ACS,2023,https://data.census.gov
77033,Houston,29.6612,-95.3171,56.12,42.6,2.54,US Census ACS,2023,https://data.census.gov
77034,Houston,29.7844,-95.394,53.4,52.2,2.6,US Census ACS,2023,https://data.census.gov
77035,Houston,29.7679,-95.3761,48.02,36.4,2.13,US Census ACS,2023,https://data.census.gov
77036,Houston,29.84,-95.2991,55.61,43.6,2.5,US Census ACS,2023,https://data.census.gov
77037,Houston,29.6624,-95.2271,54.34,47.5,2.1,US Census ACS,2023,https://data.census.gov
77038,Houston,29.7191,-95.3538,63.75,47.9,2.89,US Census ACS,2023,https://data.census.gov
77039,Houston,29.8859,-95.3262,51.75,54.1,2.18,US Census ACS,2023,https://data.census.gov
77040,Houston,29.8035,-95.265,52.32,50.0,2.52,US Census ACS,2023,https://data.census.gov
77041,Houston,29.6945,-95.3577,60.83,38.8,2.3,US Census ACS,2023,https://data.census.gov
77042,Houston,29.7941,-95.3364,63.77,38.2,2.71,US Census ACS,2023,https://data.census.gov
77043,Houston,29.8216,-95.2114,52.84,53.8,2.38,US Census ACS,2023,https://data.census.gov
77044,Houston,29.6706,-95.2427,57.97,51.6,2.75,US Census ACS,2023,https://data.census.gov
77045,Houston,29.6475,-95.4786,64.71,53.3,2.67,US Census ACS,2023,https://data.census.gov
77046,Houston,29.7142,-95.2791,64.98,45.8,2.12,US Census ACS,2023,https://data.census.gov
77047,Houston,29.6122,-95.2381,51.74,53.6,2.91,US Census ACS,2023,https://data.census.gov
77048,Houston,29.6742,-95.43,56.35,44.7,2.49,US Census ACS,2023,https://data.census.gov
77049,Houston,29.7632,-95.4358,52.06,52.4,2.86,US Census ACS,2023,https://data.census.gov
77050,Houston,29.7323,-95.3053,52.11,37.5,2.68,US Census ACS,2023,https://data.census.gov
77051,Houston,29.6459,-95.3738,52.82,47.9,2.3,US Census ACS,2023,https://data.census.gov
77052,Houston,29.6681,-95.342,53.75,38.1,2.79,US Census ACS,2023,https://data.census.gov
77053,Houston,29.7597,-95.3379,54.23,44.2,2.41,US Census ACS,2023,https://data.census.gov
77054,Houston,29.6752,-95.3449,50.89,53.6,2.87,US Census ACS,2023,https://data.census.gov
77055,Houston,29.8998,-95.1999,55.25,49.3,2.75,US Census ACS,2023,https://data.census.gov
85001,Phoenix,33.4865,-112.0511,49.76,51.6,2.52,US Census ACS,2023,https://data.census.gov
85002,Phoenix,33.5169,-112.2465,46.0,54.1,2.29,US Census ACS,2023,https://data.census.gov
85003,Phoenix,33.4488,-112.2494,38.51,56.7,2.48,US Census ACS,2023,https://data.census.gov
85004,Phoenix,33.4699,-112.0968,51.52,50.5,2.58,US Census ACS,2023,https://data.census.gov
