zip_code,metro,lat,lng,gross_rent_multiplier,grm_class_a,grm_class_b,data_source,as_of_date,source_url
10022,New York,40.61,-74.0677,20.53,23.8,14.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10023,New York,40.6564,-74.081,19.64,20.0,17.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10024,New York,40.8034,-74.1215,21.31,22.5,17.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10025,New York,40.8144,-73.9565,17.66,22.0,14.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10026,New York,40.8152,-74.1239,20.68,20.0,16.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10027,New York,40.7701,-73.9228,15.47,25.1,19.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10028,New York,40.8363,-73.9296,15.34,24.6,20.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10029,New York,40.6248,-74.0618,19.3,20.9,19.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10030,New York,40.8296,-74.1136,15.33,25.5,15.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10031,New York,40.7547,-73.8801,17.63,20.9,19.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10032,New York,40.7883,-74.1199,16.28,24.0,17.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10033,New York,40.6653,-73.844,20.01,18.1,16.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10034,New York,40.819,-74.1257,17.37,20.7,17.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10035,New York,40.841,-73.8655,18.48,19.3,16.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10036,New York,40.8428,-74.1198,20.05,18.5,16.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10037,New York,40.7695,-73.8682,21.52,23.1,14.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10038,New York,40.6597,-74.0256,18.26,24.9,20.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10039,New York,40.8624,-74.1386,20.35,18.4,17.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10040,New York,40.8485,-74.0837,21.19,18.9,17.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10041,New York,40.7061,-73.8581,21.77,22.9,15.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10042,New York,40.592,-74.102,19.42,18.1,19.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10043,New York,40.854,-74.0088,17.68,20.3,20.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10044,New York,40.6682,-74.0982,18.75,23.4,14.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10045,New York,40.8559,-74.1667,21.22,19.0,19.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10046,New York,40.7917,-73.9853,18.76,25.4,18.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10047,New York,40.7567,-73.9596,21.41,23.6,19.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10048,New York,40.7048,-73.9293,20.86,19.8,17.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10049,New York,40.8035,-74.1252,18.91,24.1,18.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10050,New York,40.6196,-73.9172,18.62,20.8,14.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10051,New York,40.643,-73.924,16.85,25.0,17.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10052,New York,40.6472,-73.9063,21.04,21.7,16.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10053,New York,40.851,-74.0213,18.68,23.7,19.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10054,New York,40.6703,-74.059,17.28,19.2,16.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10055,New York,40.7919,-73.9193,17.17,21.0,16.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10056,New York,40.7687,-74.0027,20.83,18.8,20.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10057,New York,40.7865,-73.9435,17.11,19.5,15.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10058,New York,40.762,-74.0912,20.12,18.9,20.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10059,New York,40.8554,-73.9114,16.97,22.9,19.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10060,New York,40.7568,-73.9228,17.52,24.3,17.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10061,New York,40.6937,-74.1749,20.91,21.5,15.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10062,New York,40.6367,-73.8556,17.87,23.1,18.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10063,New York,40.7167,-73.9992,20.64,23.8,16.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10064,New York,40.6219,-74.1213,16.31,24.4,20.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10065,New York,40.6587,-73.9155,21.36,18.5,20.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10066,New York,40.8151,-73.837,16.22,25.4,17.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10067,New York,40.8289,-73.9201,17.1,24.2,16.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10068,New York,40.6768,-73.9826,17.18,21.6,14.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10069,New York,40.5917,-73.9744,17.96,25.5,18.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10070,New York,40.5835,-73.9129,15.74,18.2,15.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10071,New York,40.5696,-73.881,20.44,25.0,16.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10072,New York,40.6973,-73.8572,18.73,21.8,18.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10073,New York,40.6683,-73.8412,17.73,25.3,16.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10074,New York,40.6544,-73.9861,15.69,18.2,16.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10075,New York,40.8282,-73.9756,21.38,23.5,19.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10076,New York,40.5789,-73.8746,19.77,20.9,18.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10077,New York,40.8013,-73.9942,17.31,24.6,17.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10078,New York,40.7908,-74.0033,19.65,22.9,20.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10079,New York,40.5863,-74.0558,18.24,24.9,19.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
10080,New York,40.6942,-74.0887,21.01,23.5,14.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90001,Los Angeles,34.1214,-118.2314,13.55,20.6,15.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90002,Los Angeles,34.0392,-118.3354,13.52,22.5,15.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90003,Los Angeles,33.9029,-118.243,15.25,16.4,16.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90004,Los Angeles,34.1509,-118.1387,15.83,22.1,17.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90005,Los Angeles,33.9751,-118.415,18.81,16.6,13.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90006,Los Angeles,33.999,-118.3099,16.89,15.9,15.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90007,Los Angeles,34.0868,-118.1844,19.02,21.9,15.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90008,Los Angeles,34.0856,-118.2297,15.9,19.6,17.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90009,Los Angeles,34.1576,-118.2875,16.74,19.1,12.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90010,Los Angeles,33.948,-118.2617,17.91,19.5,16.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90011,Los Angeles,34.161,-118.072,17.7,17.4,15.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90012,Los Angeles,34.0257,-118.3151,16.62,19.9,12.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90013,Los Angeles,34.0993,-118.269,15.66,20.0,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90014,Los Angeles,33.9242,-118.2933,15.66,16.5,16.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90015,Los Angeles,34.1921,-118.1397,15.88,16.6,17.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90016,Los Angeles,34.1713,-118.2349,15.79,17.6,14.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90017,Los Angeles,34.1716,-118.1116,14.34,20.9,18.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90018,Los Angeles,33.9229,-118.1455,14.58,22.2,14.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90019,Los Angeles,33.9689,-118.1972,15.9,22.2,18.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90020,Los Angeles,33.9238,-118.0834,13.4,22.1,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90021,Los Angeles,34.1068,-118.1598,17.53,20.9,12.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90022,Los Angeles,34.0847,-118.1458,17.49,18.0,18.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90023,Los Angeles,34.1212,-118.3214,14.81,17.8,14.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90024,Los Angeles,33.9381,-118.3817,14.19,16.8,13.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90025,Los Angeles,34.1683,-118.421,16.47,16.2,13.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90026,Los Angeles,34.018,-118.0865,18.57,22.3,14.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90027,Los Angeles,34.0829,-118.2324,15.8,19.5,14.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90028,Los Angeles,34.0628,-118.3854,13.61,17.1,18.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90029,Los Angeles,33.9948,-118.3634,17.05,21.1,12.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90030,Los Angeles,33.9549,-118.1002,15.65,16.3,18.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90031,Los Angeles,34.0853,-118.1248,14.74,17.8,16.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90032,Los Angeles,34.0964,-118.3443,13.9,21.9,13.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90033,Los Angeles,34.0182,-118.3844,17.64,21.3,17.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90034,Los Angeles,33.9229,-118.1975,15.64,17.3,13.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90035,Los Angeles,34.1844,-118.1729,13.83,18.9,14.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90036,Los Angeles,34.0083,-118.1578,15.73,18.1,15.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90037,Los Angeles,33.9468,-118.3693,13.58,16.1,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90038,Los Angeles,34.0832,-118.4076,14.25,18.4,14.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90039,Los Angeles,33.9634,-118.0968,15.64,21.5,17.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90040,Los Angeles,34.1224,-118.2212,14.98,19.7,17.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90041,Los Angeles,34.1348,-118.2771,14.81,18.7,17.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90042,Los Angeles,34.0297,-118.2394,16.49,18.6,16.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90043,Los Angeles,34.1872,-118.1309,14.82,18.5,12.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90044,Los Angeles,34.0132,-118.1634,14.85,17.9,14.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90045,Los Angeles,34.1026,-118.1199,15.08,21.6,14.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90046,Los Angeles,33.9073,-118.1468,18.92,22.2,16.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90047,Los Angeles,34.1758,-118.0821,17.94,17.4,14.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90048,Los Angeles,34.1469,-118.2681,15.96,18.2,15.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90049,Los Angeles,34.0295,-118.4192,18.98,17.5,12.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90050,Los Angeles,34.0881,-118.0957,14.43,16.8,12.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90051,Los Angeles,34.0655,-118.4031,14.68,19.9,16.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90052,Los Angeles,34.0743,-118.1046,18.91,17.9,13.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90053,Los Angeles,33.9527,-118.2702,16.47,20.1,16.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90054,Los Angeles,34.0598,-118.2157,13.99,19.2,13.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90055,Los Angeles,34.0001,-118.2148,16.79,16.0,15.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90056,Los Angeles,34.0884,-118.3838,15.93,18.1,13.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90057,Los Angeles,34.1417,-118.4208,17.07,21.4,14.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90058,Los Angeles,33.9248,-118.1827,15.52,22.1,16.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90059,Los Angeles,34.0479,-118.173,17.99,21.5,16.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90060,Los Angeles,34.1424,-118.228,18.05,22.0,16.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90061,Los Angeles,34.0107,-118.2141,14.4,16.6,14.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90062,Los Angeles,33.9245,-118.0951,18.26,20.6,13.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90063,Los Angeles,33.9377,-118.2025,18.75,21.1,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90064,Los Angeles,34.0515,-118.3478,16.9,21.9,16.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90065,Los Angeles,34.0036,-118.3985,15.53,19.8,17.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90066,Los Angeles,33.9078,-118.0645,15.84,17.2,14.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90067,Los Angeles,34.0193,-118.2298,14.09,18.1,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90068,Los Angeles,34.1604,-118.0666,15.7,18.9,15.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90069,Los Angeles,34.1507,-118.2329,13.34,17.6,14.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90070,Los Angeles,34.1998,-118.1668,14.02,18.5,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90071,Los Angeles,33.9779,-118.1879,18.81,21.0,16.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90072,Los Angeles,33.9839,-118.106,17.71,18.9,17.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90073,Los Angeles,33.9542,-118.391,15.52,16.0,15.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90074,Los Angeles,34.0595,-118.3353,14.95,17.4,13.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90075,Los Angeles,34.0552,-118.1555,17.06,16.2,13.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90076,Los Angeles,34.1445,-118.2757,17.9,20.1,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90077,Los Angeles,34.1051,-118.3696,18.86,17.0,17.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90078,Los Angeles,34.1916,-118.2034,14.92,20.9,17.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90079,Los Angeles,33.9753,-118.3549,13.99,16.5,16.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
90080,Los Angeles,33.9908,-118.0727,15.9,21.7,17.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60601,Chicago,41.8072,-87.7025,11.65,14.1,11.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60602,Chicago,41.7627,-87.717,11.81,10.8,8.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60603,Chicago,41.8959,-87.4839,9.36,14.3,9.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60604,Chicago,41.9676,-87.6706,9.81,10.6,10.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60605,Chicago,41.8354,-87.5089,11.87,14.6,11.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60606,Chicago,41.9104,-87.512,12.31,10.7,10.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60607,Chicago,41.7836,-87.7617,11.58,13.0,11.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60608,Chicago,41.9675,-87.5971,10.62,12.1,9.1,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60609,Chicago,41.9584,-87.4849,10.52,10.9,10.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60610,Chicago,41.9527,-87.7464,12.34,12.0,9.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60611,Chicago,41.9986,-87.533,9.53,10.5,11.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60612,Chicago,41.8096,-87.6634,10.72,12.1,9.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60613,Chicago,42.0224,-87.483,12.34,13.1,11.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60614,Chicago,41.8415,-87.5368,9.48,12.2,11.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60615,Chicago,41.8751,-87.7045,12.13,12.1,10.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60616,Chicago,41.8192,-87.6943,11.03,12.5,9.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60617,Chicago,41.7678,-87.4937,9.99,10.6,9.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60618,Chicago,41.823,-87.5055,11.27,14.4,8.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60619,Chicago,41.9999,-87.8035,10.6,12.7,10.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60620,Chicago,41.7287,-87.5826,9.87,14.5,10.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60621,Chicago,41.8316,-87.6411,10.68,13.4,11.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60622,Chicago,41.8746,-87.6585,11.58,13.2,11.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60623,Chicago,41.7497,-87.4588,9.55,11.2,11.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60624,Chicago,41.8158,-87.6753,11.78,13.8,8.8,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60625,Chicago,41.7448,-87.6703,11.97,10.7,10.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60626,Chicago,41.893,-87.7586,11.88,11.2,9.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60627,Chicago,41.994,-87.7613,10.14,12.1,10.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60628,Chicago,41.9111,-87.4579,10.07,11.1,11.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60629,Chicago,41.7587,-87.7174,11.73,11.1,11.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60630,Chicago,41.9099,-87.7597,10.83,13.4,10.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60631,Chicago,41.7453,-87.7891,12.32,13.4,10.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60632,Chicago,41.7612,-87.4761,10.79,11.4,10.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60633,Chicago,41.7567,-87.7062,10.71,13.6,10.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60634,Chicago,41.7451,-87.692,11.68,13.6,12.0,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60635,Chicago,41.7298,-87.641,11.27,14.8,11.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60636,Chicago,41.8036,-87.5102,10.83,13.3,11.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60637,Chicago,41.8807,-87.4958,11.92,14.0,9.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60638,Chicago,41.9056,-87.6452,10.29,10.7,11.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60639,Chicago,42.0167,-87.7278,10.24,14.1,11.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60640,Chicago,41.7747,-87.5077,9.75,11.3,11.4,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60641,Chicago,41.8668,-87.4603,10.2,10.9,10.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60642,Chicago,41.8879,-87.7336,12.28,11.0,8.6,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60643,Chicago,41.8464,-87.6119,12.51,11.0,8.5,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60644,Chicago,42.0268,-87.5098,12.68,12.9,10.3,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60645,Chicago,41.9197,-87.5425,10.38,12.7,10.9,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60646,Chicago,41.8791,-87.4616,12.38,10.8,11.2,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
60647,Chicago,41.8829,-87.7851,12.58,13.1,8.7,CoStar/Real Capital Analytics,2025-Q4,https://www.costar.com/multifamily
