zip_code,metro,lat,lng,composite_mf_score_100,market_tier,data_source,as_of_date,source_url
10033,New York,40.6653,-73.844,50.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10034,New York,40.819,-74.1257,49.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10035,New York,40.841,-73.8655,55.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10036,New York,40.8428,-74.1198,48.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10037,New York,40.7695,-73.8682,47.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10038,New York,40.6597,-74.0256,51.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10039,New York,40.8624,-74.1386,47.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10040,New York,40.8485,-74.0837,46.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10041,New York,40.7061,-73.8581,50.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10042,New York,40.592,-74.102,53.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10043,New York,40.854,-74.0088,46.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10044,New York,40.6682,-74.0982,53.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10045,New York,40.8559,-74.1667,53.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10046,New York,40.7917,-73.9853,52.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10047,New York,40.7567,-73.9596,45.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10048,New York,40.7048,-73.9293,53.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10049,New York,40.8035,-74.1252,51.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10050,New York,40.6196,-73.9172,54.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10051,New York,40.643,-73.924,47.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10052,New York,40.6472,-73.9063,50.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10053,New York,40.851,-74.0213,46.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10054,New York,40.6703,-74.059,51.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10055,New York,40.7919,-73.9193,52.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10056,New York,40.7687,-74.0027,54.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10057,New York,40.7865,-73.9435,46.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10058,New York,40.762,-74.0912,46.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10059,New York,40.8554,-73.9114,54.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10060,New York,40.7568,-73.9228,54.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10061,New York,40.6937,-74.1749,52.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10062,New York,40.6367,-73.8556,53.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10063,New York,40.7167,-73.9992,53.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10064,New York,40.6219,-74.1213,47.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10065,New York,40.6587,-73.9155,54.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10066,New York,40.8151,-73.837,49.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10067,New York,40.8289,-73.9201,51.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10068,New York,40.6768,-73.9826,47.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10069,New York,40.5917,-73.9744,52.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10070,New York,40.5835,-73.9129,52.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10071,New York,40.5696,-73.881,53.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10072,New York,40.6973,-73.8572,47.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10073,New York,40.6683,-73.8412,48.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10074,New York,40.6544,-73.9861,52.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10075,New York,40.8282,-73.9756,48.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10076,New York,40.5789,-73.8746,48.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10077,New York,40.8013,-73.9942,46.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10078,New York,40.7908,-74.0033,48.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10079,New York,40.5863,-74.0558,53.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
10080,New York,40.6942,-74.0887,54.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90001,Los Angeles,34.1214,-118.2314,58.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90002,Los Angeles,34.0392,-118.3354,56.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90003,Los Angeles,33.9029,-118.243,49.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90004,Los Angeles,34.1509,-118.1387,49.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90005,Los Angeles,33.9751,-118.415,57.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90006,Los Angeles,33.999,-118.3099,55.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90007,Los Angeles,34.0868,-118.1844,49.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90008,Los Angeles,34.0856,-118.2297,50.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90009,Los Angeles,34.1576,-118.2875,54.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90010,Los Angeles,33.948,-118.2617,50.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90011,Los Angeles,34.161,-118.072,57.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90012,Los Angeles,34.0257,-118.3151,50.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90013,Los Angeles,34.0993,-118.269,56.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90014,Los Angeles,33.9242,-118.2933,55.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90015,Los Angeles,34.1921,-118.1397,52.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90016,Los Angeles,34.1713,-118.2349,58.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90017,Los Angeles,34.1716,-118.1116,54.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90018,Los Angeles,33.9229,-118.1455,57.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90019,Los Angeles,33.9689,-118.1972,52.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90020,Los Angeles,33.9238,-118.0834,56.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90021,Los Angeles,34.1068,-118.1598,55.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90022,Los Angeles,34.0847,-118.1458,57.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90023,Los Angeles,34.1212,-118.3214,55.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90024,Los Angeles,33.9381,-118.3817,54.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90025,Los Angeles,34.1683,-118.421,49.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90026,Los Angeles,34.018,-118.0865,58.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90027,Los Angeles,34.0829,-118.2324,50.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90028,Los Angeles,34.0628,-118.3854,55.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90029,Los Angeles,33.9948,-118.3634,56.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90030,Los Angeles,33.9549,-118.1002,56.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90031,Los Angeles,34.0853,-118.1248,56.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90032,Los Angeles,34.0964,-118.3443,49.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90033,Los Angeles,34.0182,-118.3844,57.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90034,Los Angeles,33.9229,-118.1975,54.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90035,Los Angeles,34.1844,-118.1729,58.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90036,Los Angeles,34.0083,-118.1578,50.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90037,Los Angeles,33.9468,-118.3693,56.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90038,Los Angeles,34.0832,-118.4076,56.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90039,Los Angeles,33.9634,-118.0968,52.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90040,Los Angeles,34.1224,-118.2212,50.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90041,Los Angeles,34.1348,-118.2771,56.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90042,Los Angeles,34.0297,-118.2394,49.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90043,Los Angeles,34.1872,-118.1309,50.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90044,Los Angeles,34.0132,-118.1634,50.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90045,Los Angeles,34.1026,-118.1199,53.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90046,Los Angeles,33.9073,-118.1468,53.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90047,Los Angeles,34.1758,-118.0821,50.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90048,Los Angeles,34.1469,-118.2681,52.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90049,Los Angeles,34.0295,-118.4192,52.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90050,Los Angeles,34.0881,-118.0957,58.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90051,Los Angeles,34.0655,-118.4031,58.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90052,Los Angeles,34.0743,-118.1046,57.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90053,Los Angeles,33.9527,-118.2702,55.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90054,Los Angeles,34.0598,-118.2157,51.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90055,Los Angeles,34.0001,-118.2148,52.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90056,Los Angeles,34.0884,-118.3838,50.2,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90057,Los Angeles,34.1417,-118.4208,58.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90058,Los Angeles,33.9248,-118.1827,51.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90059,Los Angeles,34.0479,-118.173,55.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90060,Los Angeles,34.1424,-118.228,58.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90061,Los Angeles,34.0107,-118.2141,58.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90062,Los Angeles,33.9245,-118.0951,51.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90063,Los Angeles,33.9377,-118.2025,50.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90064,Los Angeles,34.0515,-118.3478,55.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90065,Los Angeles,34.0036,-118.3985,54.8,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90066,Los Angeles,33.9078,-118.0645,54.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90067,Los Angeles,34.0193,-118.2298,55.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90068,Los Angeles,34.1604,-118.0666,50.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90069,Los Angeles,34.1507,-118.2329,59.0,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90070,Los Angeles,34.1998,-118.1668,58.6,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90071,Los Angeles,33.9779,-118.1879,51.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90072,Los Angeles,33.9839,-118.106,55.3,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90073,Los Angeles,33.9542,-118.391,51.7,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90074,Los Angeles,34.0595,-118.3353,53.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90075,Los Angeles,34.0552,-118.1555,52.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90076,Los Angeles,34.1445,-118.2757,50.4,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90077,Los Angeles,34.1051,-118.3696,56.9,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90078,Los Angeles,34.1916,-118.2034,58.5,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90079,Los Angeles,33.9753,-118.3549,49.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
90080,Los Angeles,33.9908,-118.0727,54.1,Tier 1,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60601,Chicago,41.8072,-87.7025,51.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60602,Chicago,41.7627,-87.717,53.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60603,Chicago,41.8959,-87.4839,55.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60604,Chicago,41.9676,-87.6706,55.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60605,Chicago,41.8354,-87.5089,58.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60606,Chicago,41.9104,-87.512,55.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60607,Chicago,41.7836,-87.7617,54.2,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60608,Chicago,41.9675,-87.5971,54.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60609,Chicago,41.9584,-87.4849,55.5,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60610,Chicago,41.9527,-87.7464,51.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60611,Chicago,41.9986,-87.533,57.5,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60612,Chicago,41.8096,-87.6634,56.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60613,Chicago,42.0224,-87.483,58.5,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60614,Chicago,41.8415,-87.5368,51.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60615,Chicago,41.8751,-87.7045,58.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60616,Chicago,41.8192,-87.6943,60.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60617,Chicago,41.7678,-87.4937,55.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60618,Chicago,41.823,-87.5055,57.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60619,Chicago,41.9999,-87.8035,51.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60620,Chicago,41.7287,-87.5826,55.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60621,Chicago,41.8316,-87.6411,51.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60622,Chicago,41.8746,-87.6585,51.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60623,Chicago,41.7497,-87.4588,52.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60624,Chicago,41.8158,-87.6753,59.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60625,Chicago,41.7448,-87.6703,59.2,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60626,Chicago,41.893,-87.7586,55.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60627,Chicago,41.994,-87.7613,55.5,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60628,Chicago,41.9111,-87.4579,56.0,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60629,Chicago,41.7587,-87.7174,58.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60630,Chicago,41.9099,-87.7597,59.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60631,Chicago,41.7453,-87.7891,52.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60632,Chicago,41.7612,-87.4761,60.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60633,Chicago,41.7567,-87.7062,51.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60634,Chicago,41.7451,-87.692,59.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60635,Chicago,41.7298,-87.641,55.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60636,Chicago,41.8036,-87.5102,57.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60637,Chicago,41.8807,-87.4958,57.2,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60638,Chicago,41.9056,-87.6452,50.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60639,Chicago,42.0167,-87.7278,56.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60640,Chicago,41.7747,-87.5077,57.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60641,Chicago,41.8668,-87.4603,55.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60642,Chicago,41.8879,-87.7336,60.5,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60643,Chicago,41.8464,-87.6119,52.2,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60644,Chicago,42.0268,-87.5098,57.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60645,Chicago,41.9197,-87.5425,52.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60646,Chicago,41.8791,-87.4616,60.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60647,Chicago,41.8829,-87.7851,55.2,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60648,Chicago,41.9674,-87.5685,53.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60649,Chicago,42.02,-87.6902,60.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60650,Chicago,41.8255,-87.751,54.2,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60651,Chicago,41.969,-87.4976,51.1,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60652,Chicago,41.9804,-87.6468,54.5,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60653,Chicago,41.7616,-87.5119,56.3,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60654,Chicago,41.9076,-87.7347,60.4,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60655,Chicago,41.9484,-87.7766,50.9,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60656,Chicago,41.991,-87.714,55.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60657,Chicago,41.868,-87.6822,55.6,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60658,Chicago,41.9236,-87.6054,54.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60659,Chicago,41.9055,-87.4745,51.7,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
60660,Chicago,41.8173,-87.7665,53.8,Tier 2,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77001,Houston,29.6917,-95.326,53.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77002,Houston,29.6157,-95.3071,57.7,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77003,Houston,29.8466,-95.4814,55.3,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77004,Houston,29.8623,-95.3853,51.6,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77005,Houston,29.7669,-95.3295,52.7,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77006,Houston,29.8467,-95.3418,54.5,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77007,Houston,29.6131,-95.3485,57.1,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77008,Houston,29.6244,-95.4477,55.1,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
77009,Houston,29.9088,-95.3015,51.0,Tier 3,Composite - CoStar/BLS/Census,2025-Q4,https://www.costar.com
