zip_code,metro,lat,lng,hard_cost_per_sf,total_dev_cost_per_unit,construction_cost_yoy_chg_pct,data_source,as_of_date,source_url
10047,New York,40.7567,-73.9596,217.57,511166.88,3.33,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10048,New York,40.7048,-73.9293,186.9,557415.94,3.36,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10049,New York,40.8035,-74.1252,169.06,435996.29,3.52,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10050,New York,40.6196,-73.9172,217.03,530707.97,3.88,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10051,New York,40.643,-73.924,185.35,465915.74,3.84,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10052,New York,40.6472,-73.9063,174.02,460635.84,3.18,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10053,New York,40.851,-74.0213,183.45,435324.96,4.07,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10054,New York,40.6703,-74.059,181.75,582509.09,3.51,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10055,New York,40.7919,-73.9193,202.92,449803.87,2.9,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10056,New York,40.7687,-74.0027,201.83,463538.88,3.54,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10057,New York,40.7865,-73.9435,173.6,537312.38,2.89,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10058,New York,40.762,-74.0912,190.12,451255.39,3.98,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10059,New York,40.8554,-73.9114,213.48,458839.58,3.25,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10060,New York,40.7568,-73.9228,210.49,546057.79,3.91,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10061,New York,40.6937,-74.1749,182.44,543572.06,3.97,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10062,New York,40.6367,-73.8556,194.11,517608.0,3.19,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10063,New York,40.7167,-73.9992,186.57,589984.42,3.65,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10064,New York,40.6219,-74.1213,184.41,532014.34,4.08,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10065,New York,40.6587,-73.9155,212.79,427214.59,3.73,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10066,New York,40.8151,-73.837,217.19,473463.65,3.34,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10067,New York,40.8289,-73.9201,175.62,576140.54,3.57,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10068,New York,40.6768,-73.9826,182.93,560554.85,3.29,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10069,New York,40.5917,-73.9744,215.92,506050.27,3.88,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10070,New York,40.5835,-73.9129,191.03,580585.82,3.61,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10071,New York,40.5696,-73.881,181.58,553750.85,3.42,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10072,New York,40.6973,-73.8572,167.55,519621.98,4.01,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10073,New York,40.6683,-73.8412,177.99,434599.2,3.77,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10074,New York,40.6544,-73.9861,163.26,456934.46,3.18,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10075,New York,40.8282,-73.9756,167.16,470923.49,3.27,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10076,New York,40.5789,-73.8746,203.59,432294.91,3.53,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10077,New York,40.8013,-73.9942,188.43,591272.64,3.29,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10078,New York,40.7908,-74.0033,155.61,571931.14,4.08,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10079,New York,40.5863,-74.0558,175.8,422624.16,3.31,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
10080,New York,40.6942,-74.0887,151.79,418487.33,3.23,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90001,Los Angeles,34.1214,-118.2314,162.48,470561.45,3.7,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90002,Los Angeles,34.0392,-118.3354,187.26,411051.4,3.73,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90003,Los Angeles,33.9029,-118.243,200.74,413435.82,3.12,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90004,Los Angeles,34.1509,-118.1387,162.99,446056.46,3.93,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90005,Los Angeles,33.9751,-118.415,201.5,342635.66,3.55,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90006,Los Angeles,33.999,-118.3099,158.75,448914.9,3.72,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90007,Los Angeles,34.0868,-118.1844,181.66,393153.85,3.32,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90008,Los Angeles,34.0856,-118.2297,212.5,386101.13,3.79,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90009,Los Angeles,34.1576,-118.2875,153.02,361854.7,2.92,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90010,Los Angeles,33.948,-118.2617,170.02,337033.7,4.02,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90011,Los Angeles,34.161,-118.072,199.93,470288.53,3.81,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90012,Los Angeles,34.0257,-118.3151,176.23,348927.1,3.01,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90013,Los Angeles,34.0993,-118.269,205.86,369855.44,3.37,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90014,Los Angeles,33.9242,-118.2933,189.14,407460.4,3.86,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90015,Los Angeles,34.1921,-118.1397,218.29,353767.76,3.85,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90016,Los Angeles,34.1713,-118.2349,214.52,413004.9,3.71,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90017,Los Angeles,34.1716,-118.1116,213.92,448555.8,2.89,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90018,Los Angeles,33.9229,-118.1455,153.66,424065.18,3.71,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90019,Los Angeles,33.9689,-118.1972,157.06,353322.48,3.22,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90020,Los Angeles,33.9238,-118.0834,195.88,369553.8,4.04,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90021,Los Angeles,34.1068,-118.1598,216.38,350607.68,3.45,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90022,Los Angeles,34.0847,-118.1458,205.56,433085.77,2.96,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90023,Los Angeles,34.1212,-118.3214,203.66,454430.68,3.17,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90024,Los Angeles,33.9381,-118.3817,208.44,327481.64,3.72,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90025,Los Angeles,34.1683,-118.421,191.04,456269.27,3.99,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90026,Los Angeles,34.018,-118.0865,210.7,340236.88,4.12,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90027,Los Angeles,34.0829,-118.2324,185.33,393556.04,3.75,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90028,Los Angeles,34.0628,-118.3854,183.18,338427.01,3.17,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90029,Los Angeles,33.9948,-118.3634,159.11,404544.5,3.44,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90030,Los Angeles,33.9549,-118.1002,175.63,433401.78,3.21,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90031,Los Angeles,34.0853,-118.1248,171.33,380398.62,3.97,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90032,Los Angeles,34.0964,-118.3443,202.68,437883.35,4.12,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90033,Los Angeles,34.0182,-118.3844,199.91,436806.05,3.65,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90034,Los Angeles,33.9229,-118.1975,194.41,422470.78,3.95,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90035,Los Angeles,34.1844,-118.1729,167.78,443298.58,3.92,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90036,Los Angeles,34.0083,-118.1578,214.24,394561.52,3.43,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90037,Los Angeles,33.9468,-118.3693,173.07,433258.14,4.08,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90038,Los Angeles,34.0832,-118.4076,187.56,367413.56,3.91,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90039,Los Angeles,33.9634,-118.0968,182.89,364813.68,3.98,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90040,Los Angeles,34.1224,-118.2212,152.75,440109.77,3.26,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90041,Los Angeles,34.1348,-118.2771,211.13,453382.1,2.9,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90042,Los Angeles,34.0297,-118.2394,208.47,404860.51,3.59,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90043,Los Angeles,34.1872,-118.1309,163.0,436174.03,3.02,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90044,Los Angeles,34.0132,-118.1634,173.75,374811.02,2.98,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90045,Los Angeles,34.1026,-118.1199,210.29,384923.28,4.03,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90046,Los Angeles,33.9073,-118.1468,194.02,387796.08,3.89,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90047,Los Angeles,34.1758,-118.0821,175.08,399675.11,2.93,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90048,Los Angeles,34.1469,-118.2681,202.14,465778.24,4.03,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90049,Los Angeles,34.0295,-118.4192,197.41,371694.04,3.54,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90050,Los Angeles,34.0881,-118.0957,196.73,407733.31,4.08,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90051,Los Angeles,34.0655,-118.4031,200.08,342018.01,3.52,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90052,Los Angeles,34.0743,-118.1046,160.96,347921.62,3.73,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90053,Los Angeles,33.9527,-118.2702,209.54,431951.02,3.22,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90054,Los Angeles,34.0598,-118.2157,159.87,443514.04,3.07,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90055,Los Angeles,34.0001,-118.2148,157.93,409327.72,3.82,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90056,Los Angeles,34.0884,-118.3838,218.02,335683.49,3.56,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90057,Los Angeles,34.1417,-118.4208,170.73,395035.54,3.58,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90058,Los Angeles,33.9248,-118.1827,206.7,461540.86,4.13,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90059,Los Angeles,34.0479,-118.173,180.74,347045.41,2.89,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90060,Los Angeles,34.1424,-118.228,184.39,434924.36,2.97,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90061,Los Angeles,34.0107,-118.2141,214.84,355405.26,3.26,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90062,Los Angeles,33.9245,-118.0951,214.91,406196.36,3.32,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90063,Los Angeles,33.9377,-118.2025,200.19,353523.58,3.87,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90064,Los Angeles,34.0515,-118.3478,178.24,373546.99,3.8,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90065,Los Angeles,34.0036,-118.3985,162.03,338312.1,3.46,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90066,Los Angeles,33.9078,-118.0645,211.73,347347.06,3.53,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90067,Los Angeles,34.0193,-118.2298,170.23,376764.53,3.63,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90068,Los Angeles,34.1604,-118.0666,164.0,393556.04,3.37,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90069,Los Angeles,34.1507,-118.2329,194.96,407230.57,3.11,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90070,Los Angeles,34.1998,-118.1668,170.0,386330.95,4.07,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90071,Los Angeles,33.9779,-118.1879,157.49,433013.95,3.84,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90072,Los Angeles,33.9839,-118.106,183.2,405894.72,3.87,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90073,Los Angeles,33.9542,-118.391,194.2,338671.2,3.1,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90074,Los Angeles,34.0595,-118.3353,165.17,436087.85,3.4,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90075,Los Angeles,34.0552,-118.1555,209.75,333988.54,2.89,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90076,Los Angeles,34.1445,-118.2757,163.74,438429.18,3.53,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90077,Los Angeles,34.1051,-118.3696,215.71,358191.88,3.86,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90078,Los Angeles,34.1916,-118.2034,204.17,371162.57,2.88,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90079,Los Angeles,33.9753,-118.3549,178.13,355764.36,3.63,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
90080,Los Angeles,33.9908,-118.0727,164.03,414326.39,3.11,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60601,Chicago,41.8072,-87.7025,166.67,173334.8,3.41,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60602,Chicago,41.7627,-87.717,149.56,199914.62,3.98,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60603,Chicago,41.8959,-87.4839,142.05,239084.12,4.06,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60604,Chicago,41.9676,-87.6706,170.76,216963.75,3.31,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60605,Chicago,41.8354,-87.5089,143.11,230673.81,2.95,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60606,Chicago,41.9104,-87.512,170.36,221511.65,3.95,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60607,Chicago,41.7836,-87.7617,174.1,237823.68,3.34,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60608,Chicago,41.9675,-87.5971,157.06,168764.78,3.55,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60609,Chicago,41.9584,-87.4849,135.91,188150.51,3.96,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60610,Chicago,41.9527,-87.7464,163.04,168521.54,3.13,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60611,Chicago,41.9986,-87.533,132.6,190317.58,4.04,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60612,Chicago,41.8096,-87.6634,130.05,179511.7,3.33,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60613,Chicago,42.0224,-87.483,143.78,174565.76,3.52,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60614,Chicago,41.8415,-87.5368,132.83,232693.46,4.04,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60615,Chicago,41.8751,-87.7045,164.1,212850.73,3.04,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60616,Chicago,41.8192,-87.6943,173.36,222845.8,3.5,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60617,Chicago,41.7678,-87.4937,174.44,171256.18,3.4,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60618,Chicago,41.823,-87.5055,139.23,211125.91,3.32,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60619,Chicago,41.9999,-87.8035,177.33,191165.25,3.63,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60620,Chicago,41.7287,-87.5826,166.12,187229.13,3.29,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60621,Chicago,41.8316,-87.6411,160.77,204536.24,3.91,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60622,Chicago,41.8746,-87.6585,143.91,223722.95,3.54,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60623,Chicago,41.7497,-87.4588,175.34,182533.81,3.84,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60624,Chicago,41.8158,-87.6753,166.99,190700.87,3.93,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60625,Chicago,41.7448,-87.6703,170.03,181590.32,3.92,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60626,Chicago,41.893,-87.7586,127.34,186949.04,4.07,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60627,Chicago,41.994,-87.7613,180.31,216705.76,3.39,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60628,Chicago,41.9111,-87.4579,178.91,183455.18,3.25,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60629,Chicago,41.7587,-87.7174,129.35,215511.66,3.81,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60630,Chicago,41.9099,-87.7597,155.51,189337.24,3.44,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60631,Chicago,41.7453,-87.7891,142.23,236570.61,3.82,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60632,Chicago,41.7612,-87.4761,129.76,198315.12,3.91,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60633,Chicago,41.7567,-87.7062,153.39,231307.71,3.69,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60634,Chicago,41.7451,-87.692,131.6,190170.16,3.28,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60635,Chicago,41.7298,-87.641,156.75,228410.91,3.46,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60636,Chicago,41.8036,-87.5102,166.34,177219.32,3.27,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60637,Chicago,41.8807,-87.4958,167.45,237374.05,3.73,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
60638,Chicago,41.9056,-87.6452,179.59,217627.14,4.03,Turner Construction Cost Index,2025-Q4,https://www.turnerconstruction.com/cost-index
