zip_code,metro,lat,lng,primary_hazard,hazard_severity,composite_hazard_score_1_10,data_source,as_of_date,source_url
10050,New York,40.6196,-73.9172,Low,Low,4.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10051,New York,40.643,-73.924,Low,Low,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10052,New York,40.6472,-73.9063,Low,Low,4.07,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10053,New York,40.851,-74.0213,Low,Low,2.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10054,New York,40.6703,-74.059,Low,Low,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10055,New York,40.7919,-73.9193,Low,Low,3.71,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10056,New York,40.7687,-74.0027,Low,Low,3.74,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10057,New York,40.7865,-73.9435,Low,Low,3.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10058,New York,40.762,-74.0912,Low,Low,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10059,New York,40.8554,-73.9114,Low,Low,3.14,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10060,New York,40.7568,-73.9228,Low,Low,4.03,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10061,New York,40.6937,-74.1749,Low,Low,3.05,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10062,New York,40.6367,-73.8556,Low,Low,3.52,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10063,New York,40.7167,-73.9992,Low,Low,3.5,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10064,New York,40.6219,-74.1213,Low,Low,3.62,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10065,New York,40.6587,-73.9155,Low,Low,3.84,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10066,New York,40.8151,-73.837,Low,Low,3.84,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10067,New York,40.8289,-73.9201,Low,Low,3.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10068,New York,40.6768,-73.9826,Low,Low,3.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10069,New York,40.5917,-73.9744,Low,Low,3.07,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10070,New York,40.5835,-73.9129,Low,Low,3.63,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10071,New York,40.5696,-73.881,Low,Low,3.53,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10072,New York,40.6973,-73.8572,Low,Low,3.1,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10073,New York,40.6683,-73.8412,Low,Low,3.83,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10074,New York,40.6544,-73.9861,Low,Low,3.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10075,New York,40.8282,-73.9756,Low,Low,3.23,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10076,New York,40.5789,-73.8746,Low,Low,3.71,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10077,New York,40.8013,-73.9942,Low,Low,3.27,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10078,New York,40.7908,-74.0033,Low,Low,4.09,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10079,New York,40.5863,-74.0558,Low,Low,2.91,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
10080,New York,40.6942,-74.0887,Low,Low,2.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90001,Los Angeles,34.1214,-118.2314,Wildfire/Earthquake,High,3.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90002,Los Angeles,34.0392,-118.3354,Wildfire/Earthquake,High,3.77,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90003,Los Angeles,33.9029,-118.243,Wildfire/Earthquake,High,3.67,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90004,Los Angeles,34.1509,-118.1387,Wildfire/Earthquake,High,3.91,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90005,Los Angeles,33.9751,-118.415,Wildfire/Earthquake,High,3.58,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90006,Los Angeles,33.999,-118.3099,Wildfire/Earthquake,High,4.07,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90007,Los Angeles,34.0868,-118.1844,Wildfire/Earthquake,High,3.84,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90008,Los Angeles,34.0856,-118.2297,Wildfire/Earthquake,High,3.37,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90009,Los Angeles,34.1576,-118.2875,Wildfire/Earthquake,High,4.08,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90010,Los Angeles,33.948,-118.2617,Wildfire/Earthquake,High,3.01,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90011,Los Angeles,34.161,-118.072,Wildfire/Earthquake,High,3.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90012,Los Angeles,34.0257,-118.3151,Wildfire/Earthquake,High,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90013,Los Angeles,34.0993,-118.269,Wildfire/Earthquake,High,3.8,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90014,Los Angeles,33.9242,-118.2933,Wildfire/Earthquake,High,3.34,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90015,Los Angeles,34.1921,-118.1397,Wildfire/Earthquake,High,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90016,Los Angeles,34.1713,-118.2349,Wildfire/Earthquake,High,2.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90017,Los Angeles,34.1716,-118.1116,Wildfire/Earthquake,High,2.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90018,Los Angeles,33.9229,-118.1455,Wildfire/Earthquake,High,3.47,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90019,Los Angeles,33.9689,-118.1972,Wildfire/Earthquake,High,2.95,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90020,Los Angeles,33.9238,-118.0834,Wildfire/Earthquake,High,3.07,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90021,Los Angeles,34.1068,-118.1598,Wildfire/Earthquake,High,3.4,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90022,Los Angeles,34.0847,-118.1458,Wildfire/Earthquake,High,3.93,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90023,Los Angeles,34.1212,-118.3214,Wildfire/Earthquake,High,3.18,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90024,Los Angeles,33.9381,-118.3817,Wildfire/Earthquake,High,3.34,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90025,Los Angeles,34.1683,-118.421,Wildfire/Earthquake,High,3.46,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90026,Los Angeles,34.018,-118.0865,Wildfire/Earthquake,High,2.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90027,Los Angeles,34.0829,-118.2324,Wildfire/Earthquake,High,2.93,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90028,Los Angeles,34.0628,-118.3854,Wildfire/Earthquake,High,4.01,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90029,Los Angeles,33.9948,-118.3634,Wildfire/Earthquake,High,3.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90030,Los Angeles,33.9549,-118.1002,Wildfire/Earthquake,High,3.49,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90031,Los Angeles,34.0853,-118.1248,Wildfire/Earthquake,High,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90032,Los Angeles,34.0964,-118.3443,Wildfire/Earthquake,High,3.52,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90033,Los Angeles,34.0182,-118.3844,Wildfire/Earthquake,High,3.39,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90034,Los Angeles,33.9229,-118.1975,Wildfire/Earthquake,High,3.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90035,Los Angeles,34.1844,-118.1729,Wildfire/Earthquake,High,2.92,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90036,Los Angeles,34.0083,-118.1578,Wildfire/Earthquake,High,3.6,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90037,Los Angeles,33.9468,-118.3693,Wildfire/Earthquake,High,3.67,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90038,Los Angeles,34.0832,-118.4076,Wildfire/Earthquake,High,3.91,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90039,Los Angeles,33.9634,-118.0968,Wildfire/Earthquake,High,3.65,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90040,Los Angeles,34.1224,-118.2212,Wildfire/Earthquake,High,3.3,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90041,Los Angeles,34.1348,-118.2771,Wildfire/Earthquake,High,4.08,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90042,Los Angeles,34.0297,-118.2394,Wildfire/Earthquake,High,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90043,Los Angeles,34.1872,-118.1309,Wildfire/Earthquake,High,3.57,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90044,Los Angeles,34.0132,-118.1634,Wildfire/Earthquake,High,4.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90045,Los Angeles,34.1026,-118.1199,Wildfire/Earthquake,High,3.02,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90046,Los Angeles,33.9073,-118.1468,Wildfire/Earthquake,High,3.19,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90047,Los Angeles,34.1758,-118.0821,Wildfire/Earthquake,High,3.03,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90048,Los Angeles,34.1469,-118.2681,Wildfire/Earthquake,High,3.62,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90049,Los Angeles,34.0295,-118.4192,Wildfire/Earthquake,High,3.74,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90050,Los Angeles,34.0881,-118.0957,Wildfire/Earthquake,High,3.03,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90051,Los Angeles,34.0655,-118.4031,Wildfire/Earthquake,High,3.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90052,Los Angeles,34.0743,-118.1046,Wildfire/Earthquake,High,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90053,Los Angeles,33.9527,-118.2702,Wildfire/Earthquake,High,3.69,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90054,Los Angeles,34.0598,-118.2157,Wildfire/Earthquake,High,3.51,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90055,Los Angeles,34.0001,-118.2148,Wildfire/Earthquake,High,4.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90056,Los Angeles,34.0884,-118.3838,Wildfire/Earthquake,High,4.01,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90057,Los Angeles,34.1417,-118.4208,Wildfire/Earthquake,High,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90058,Los Angeles,33.9248,-118.1827,Wildfire/Earthquake,High,3.49,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90059,Los Angeles,34.0479,-118.173,Wildfire/Earthquake,High,3.49,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90060,Los Angeles,34.1424,-118.228,Wildfire/Earthquake,High,3.28,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90061,Los Angeles,34.0107,-118.2141,Wildfire/Earthquake,High,3.61,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90062,Los Angeles,33.9245,-118.0951,Wildfire/Earthquake,High,3.74,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90063,Los Angeles,33.9377,-118.2025,Wildfire/Earthquake,High,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90064,Los Angeles,34.0515,-118.3478,Wildfire/Earthquake,High,4.12,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90065,Los Angeles,34.0036,-118.3985,Wildfire/Earthquake,High,2.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90066,Los Angeles,33.9078,-118.0645,Wildfire/Earthquake,High,3.4,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90067,Los Angeles,34.0193,-118.2298,Wildfire/Earthquake,High,3.71,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90068,Los Angeles,34.1604,-118.0666,Wildfire/Earthquake,High,3.65,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90069,Los Angeles,34.1507,-118.2329,Wildfire/Earthquake,High,3.91,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90070,Los Angeles,34.1998,-118.1668,Wildfire/Earthquake,High,3.67,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90071,Los Angeles,33.9779,-118.1879,Wildfire/Earthquake,High,3.27,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90072,Los Angeles,33.9839,-118.106,Wildfire/Earthquake,High,3.15,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90073,Los Angeles,33.9542,-118.391,Wildfire/Earthquake,High,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90074,Los Angeles,34.0595,-118.3353,Wildfire/Earthquake,High,3.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90075,Los Angeles,34.0552,-118.1555,Wildfire/Earthquake,High,3.06,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90076,Los Angeles,34.1445,-118.2757,Wildfire/Earthquake,High,3.77,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90077,Los Angeles,34.1051,-118.3696,Wildfire/Earthquake,High,3.91,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90078,Los Angeles,34.1916,-118.2034,Wildfire/Earthquake,High,2.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90079,Los Angeles,33.9753,-118.3549,Wildfire/Earthquake,High,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
90080,Los Angeles,33.9908,-118.0727,Wildfire/Earthquake,High,4.0,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60601,Chicago,41.8072,-87.7025,Low,Low,3.31,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60602,Chicago,41.7627,-87.717,Low,Low,3.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60603,Chicago,41.8959,-87.4839,Low,Low,3.0,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60604,Chicago,41.9676,-87.6706,Low,Low,3.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60605,Chicago,41.8354,-87.5089,Low,Low,3.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60606,Chicago,41.9104,-87.512,Low,Low,3.61,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60607,Chicago,41.7836,-87.7617,Low,Low,3.38,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60608,Chicago,41.9675,-87.5971,Low,Low,3.7,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60609,Chicago,41.9584,-87.4849,Low,Low,3.39,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60610,Chicago,41.9527,-87.7464,Low,Low,3.06,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60611,Chicago,41.9986,-87.533,Low,Low,3.08,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60612,Chicago,41.8096,-87.6634,Low,Low,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60613,Chicago,42.0224,-87.483,Low,Low,3.23,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60614,Chicago,41.8415,-87.5368,Low,Low,3.6,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60615,Chicago,41.8751,-87.7045,Low,Low,3.42,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60616,Chicago,41.8192,-87.6943,Low,Low,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60617,Chicago,41.7678,-87.4937,Low,Low,3.76,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60618,Chicago,41.823,-87.5055,Low,Low,3.52,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60619,Chicago,41.9999,-87.8035,Low,Low,3.13,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60620,Chicago,41.7287,-87.5826,Low,Low,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60621,Chicago,41.8316,-87.6411,Low,Low,3.28,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60622,Chicago,41.8746,-87.6585,Low,Low,3.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60623,Chicago,41.7497,-87.4588,Low,Low,2.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60624,Chicago,41.8158,-87.6753,Low,Low,3.9,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60625,Chicago,41.7448,-87.6703,Low,Low,2.89,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60626,Chicago,41.893,-87.7586,Low,Low,3.73,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60627,Chicago,41.994,-87.7613,Low,Low,2.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60628,Chicago,41.9111,-87.4579,Low,Low,3.33,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60629,Chicago,41.7587,-87.7174,Low,Low,3.5,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60630,Chicago,41.9099,-87.7597,Low,Low,3.32,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60631,Chicago,41.7453,-87.7891,Low,Low,3.22,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60632,Chicago,41.7612,-87.4761,Low,Low,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60633,Chicago,41.7567,-87.7062,Low,Low,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60634,Chicago,41.7451,-87.692,Low,Low,3.05,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60635,Chicago,41.7298,-87.641,Low,Low,3.79,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60636,Chicago,41.8036,-87.5102,Low,Low,2.97,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60637,Chicago,41.8807,-87.4958,Low,Low,2.87,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60638,Chicago,41.9056,-87.6452,Low,Low,3.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60639,Chicago,42.0167,-87.7278,Low,Low,3.71,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60640,Chicago,41.7747,-87.5077,Low,Low,2.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60641,Chicago,41.8668,-87.4603,Low,Low,3.37,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60642,Chicago,41.8879,-87.7336,Low,Low,3.42,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60643,Chicago,41.8464,-87.6119,Low,Low,3.99,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60644,Chicago,42.0268,-87.5098,Low,Low,3.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60645,Chicago,41.9197,-87.5425,Low,Low,3.31,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60646,Chicago,41.8791,-87.4616,Low,Low,3.02,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60647,Chicago,41.8829,-87.7851,Low,Low,3.31,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60648,Chicago,41.9674,-87.5685,Low,Low,3.98,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60649,Chicago,42.02,-87.6902,Low,Low,3.83,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60650,Chicago,41.8255,-87.751,Low,Low,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60651,Chicago,41.969,-87.4976,Low,Low,3.31,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60652,Chicago,41.9804,-87.6468,Low,Low,3.45,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60653,Chicago,41.7616,-87.5119,Low,Low,4.11,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60654,Chicago,41.9076,-87.7347,Low,Low,3.66,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60655,Chicago,41.9484,-87.7766,Low,Low,3.55,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60656,Chicago,41.991,-87.714,Low,Low,3.62,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60657,Chicago,41.868,-87.6822,Low,Low,4.0,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60658,Chicago,41.9236,-87.6054,Low,Low,3.96,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60659,Chicago,41.9055,-87.4745,Low,Low,4.12,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
60660,Chicago,41.8173,-87.7665,Low,Low,3.32,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
77001,Houston,29.6917,-95.326,Flood,High,3.17,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
77002,Houston,29.6157,-95.3071,Flood,High,3.04,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
77003,Houston,29.8466,-95.4814,Flood,High,3.36,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
77004,Houston,29.8623,-95.3853,Flood,High,3.94,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
77005,Houston,29.7669,-95.3295,Flood,High,3.03,FEMA National Risk Index,2024,https://hazards.fema.gov/nri/
