zip_code,metro,lat,lng,median_household_income,median_wage_growth_yoy_pct,rent_to_income_ratio_pct,pct_cost_burdened_renters,data_source,as_of_date,source_url
10066,New York,40.8151,-73.837,82360.14,4.12,49.0,41.62,US Census ACS / BLS,2023,https://data.census.gov
10067,New York,40.8289,-73.9201,92839.74,3.95,61.9,33.55,US Census ACS / BLS,2023,https://data.census.gov
10068,New York,40.6768,-73.9826,79765.34,4.17,49.3,44.96,US Census ACS / BLS,2023,https://data.census.gov
10069,New York,40.5917,-73.9744,82699.62,3.88,43.6,39.13,US Census ACS / BLS,2023,https://data.census.gov
10070,New York,40.5835,-73.9129,83703.3,3.29,34.0,38.2,US Census ACS / BLS,2023,https://data.census.gov
10071,New York,40.5696,-73.881,91050.83,3.52,35.7,44.9,US Census ACS / BLS,2023,https://data.census.gov
10072,New York,40.6973,-73.8572,91532.01,3.92,51.1,38.94,US Census ACS / BLS,2023,https://data.census.gov
10073,New York,40.6683,-73.8412,68158.07,4.28,48.1,37.13,US Census ACS / BLS,2023,https://data.census.gov
10074,New York,40.6544,-73.9861,79118.85,4.39,40.6,37.25,US Census ACS / BLS,2023,https://data.census.gov
10075,New York,40.8282,-73.9756,94584.38,4.33,44.2,44.43,US Census ACS / BLS,2023,https://data.census.gov
10076,New York,40.5789,-73.8746,82298.15,3.46,55.3,42.51,US Census ACS / BLS,2023,https://data.census.gov
10077,New York,40.8013,-73.9942,92733.47,4.19,44.3,34.26,US Census ACS / BLS,2023,https://data.census.gov
10078,New York,40.7908,-74.0033,93447.86,3.52,52.4,31.83,US Census ACS / BLS,2023,https://data.census.gov
10079,New York,40.5863,-74.0558,75756.52,3.51,57.4,34.24,US Census ACS / BLS,2023,https://data.census.gov
10080,New York,40.6942,-74.0887,92205.06,4.24,45.4,41.07,US Census ACS / BLS,2023,https://data.census.gov
90001,Los Angeles,34.1214,-118.2314,80705.1,3.81,37.1,42.72,US Census ACS / BLS,2023,https://data.census.gov
90002,Los Angeles,34.0392,-118.3354,78793.5,3.13,38.4,33.05,US Census ACS / BLS,2023,https://data.census.gov
90003,Los Angeles,33.9029,-118.243,66748.8,3.95,57.7,35.88,US Census ACS / BLS,2023,https://data.census.gov
90004,Los Angeles,34.1509,-118.1387,67453.5,3.25,44.6,41.47,US Census ACS / BLS,2023,https://data.census.gov
90005,Los Angeles,33.9751,-118.415,84236.7,3.29,33.5,34.34,US Census ACS / BLS,2023,https://data.census.gov
90006,Los Angeles,33.999,-118.3099,68811.6,4.14,56.0,39.39,US Census ACS / BLS,2023,https://data.census.gov
90007,Los Angeles,34.0868,-118.1844,68903.4,4.13,44.6,35.66,US Census ACS / BLS,2023,https://data.census.gov
90008,Los Angeles,34.0856,-118.2297,69840.3,3.16,47.5,33.93,US Census ACS / BLS,2023,https://data.census.gov
90009,Los Angeles,34.1576,-118.2875,70871.7,3.96,39.9,45.02,US Census ACS / BLS,2023,https://data.census.gov
90010,Los Angeles,33.948,-118.2617,88340.7,3.48,42.2,32.51,US Census ACS / BLS,2023,https://data.census.gov
90011,Los Angeles,34.161,-118.072,80502.6,3.61,37.3,38.84,US Census ACS / BLS,2023,https://data.census.gov
90012,Los Angeles,34.0257,-118.3151,85724.4,3.78,43.7,38.94,US Census ACS / BLS,2023,https://data.census.gov
90013,Los Angeles,34.0993,-118.269,82608.6,3.66,54.5,35.55,US Census ACS / BLS,2023,https://data.census.gov
90014,Los Angeles,33.9242,-118.2933,76390.5,4.17,36.4,40.22,US Census ACS / BLS,2023,https://data.census.gov
90015,Los Angeles,34.1921,-118.1397,79492.8,3.64,34.3,32.12,US Census ACS / BLS,2023,https://data.census.gov
90016,Los Angeles,34.1713,-118.2349,66735.3,4.34,38.7,35.63,US Census ACS / BLS,2023,https://data.census.gov
90017,Los Angeles,34.1716,-118.1116,84628.2,4.26,44.2,40.39,US Census ACS / BLS,2023,https://data.census.gov
90018,Los Angeles,33.9229,-118.1455,71846.4,3.43,50.7,42.08,US Census ACS / BLS,2023,https://data.census.gov
90019,Los Angeles,33.9689,-118.1972,68244.6,4.42,48.8,44.8,US Census ACS / BLS,2023,https://data.census.gov
90020,Los Angeles,33.9238,-118.0834,79139.1,4.16,45.8,43.21,US Census ACS / BLS,2023,https://data.census.gov
90021,Los Angeles,34.1068,-118.1598,73350.3,4.44,41.6,45.14,US Census ACS / BLS,2023,https://data.census.gov
90022,Los Angeles,34.0847,-118.1458,67699.2,3.71,48.9,44.35,US Census ACS / BLS,2023,https://data.census.gov
90023,Los Angeles,34.1212,-118.3214,79006.8,3.53,41.7,37.38,US Census ACS / BLS,2023,https://data.census.gov
90024,Los Angeles,33.9381,-118.3817,76695.6,3.73,43.8,43.38,US Census ACS / BLS,2023,https://data.census.gov
90025,Los Angeles,34.1683,-118.421,79414.5,4.44,56.0,35.9,US Census ACS / BLS,2023,https://data.census.gov
90026,Los Angeles,34.018,-118.0865,66654.3,3.93,32.8,34.75,US Census ACS / BLS,2023,https://data.census.gov
90027,Los Angeles,34.0829,-118.2324,86237.4,3.39,44.4,35.2,US Census ACS / BLS,2023,https://data.census.gov
90028,Los Angeles,34.0628,-118.3854,82805.7,4.3,33.6,44.8,US Census ACS / BLS,2023,https://data.census.gov
90029,Los Angeles,33.9948,-118.3634,74235.9,3.95,48.6,44.86,US Census ACS / BLS,2023,https://data.census.gov
90030,Los Angeles,33.9549,-118.1002,86539.8,3.29,49.2,33.17,US Census ACS / BLS,2023,https://data.census.gov
90031,Los Angeles,34.0853,-118.1248,81957.9,3.63,51.0,38.18,US Census ACS / BLS,2023,https://data.census.gov
90032,Los Angeles,34.0964,-118.3443,82997.4,3.42,32.3,41.99,US Census ACS / BLS,2023,https://data.census.gov
90033,Los Angeles,34.0182,-118.3844,63360.3,3.28,48.1,39.36,US Census ACS / BLS,2023,https://data.census.gov
90034,Los Angeles,33.9229,-118.1975,76163.7,3.68,49.7,31.91,US Census ACS / BLS,2023,https://data.census.gov
90035,Los Angeles,34.1844,-118.1729,79938.3,4.44,34.6,43.31,US Census ACS / BLS,2023,https://data.census.gov
90036,Los Angeles,34.0083,-118.1578,80813.1,4.3,43.1,32.66,US Census ACS / BLS,2023,https://data.census.gov
90037,Los Angeles,33.9468,-118.3693,62612.4,4.38,57.5,37.01,US Census ACS / BLS,2023,https://data.census.gov
90038,Los Angeles,34.0832,-118.4076,84428.4,4.21,45.3,38.96,US Census ACS / BLS,2023,https://data.census.gov
90039,Los Angeles,33.9634,-118.0968,66781.2,3.81,42.8,32.98,US Census ACS / BLS,2023,https://data.census.gov
90040,Los Angeles,34.1224,-118.2212,87042.0,3.79,45.6,37.73,US Census ACS / BLS,2023,https://data.census.gov
90041,Los Angeles,34.1348,-118.2771,84995.4,3.4,50.5,42.31,US Census ACS / BLS,2023,https://data.census.gov
90042,Los Angeles,34.0297,-118.2394,76474.2,3.32,31.7,37.07,US Census ACS / BLS,2023,https://data.census.gov
90043,Los Angeles,34.1872,-118.1309,79160.7,4.33,55.7,36.76,US Census ACS / BLS,2023,https://data.census.gov
90044,Los Angeles,34.0132,-118.1634,79492.8,3.94,52.6,44.9,US Census ACS / BLS,2023,https://data.census.gov
90045,Los Angeles,34.1026,-118.1199,82176.6,4.09,52.7,38.38,US Census ACS / BLS,2023,https://data.census.gov
90046,Los Angeles,33.9073,-118.1468,61705.2,4.27,47.3,35.67,US Census ACS / BLS,2023,https://data.census.gov
90047,Los Angeles,34.1758,-118.0821,84471.6,3.57,30.9,34.52,US Census ACS / BLS,2023,https://data.census.gov
90048,Los Angeles,34.1469,-118.2681,86728.8,4.09,46.8,37.93,US Census ACS / BLS,2023,https://data.census.gov
90049,Los Angeles,34.0295,-118.4192,87031.2,3.88,39.8,33.04,US Census ACS / BLS,2023,https://data.census.gov
90050,Los Angeles,34.0881,-118.0957,73282.8,3.55,31.2,33.43,US Census ACS / BLS,2023,https://data.census.gov
90051,Los Angeles,34.0655,-118.4031,66732.6,3.74,44.3,39.37,US Census ACS / BLS,2023,https://data.census.gov
90052,Los Angeles,34.0743,-118.1046,63222.6,3.52,42.1,41.3,US Census ACS / BLS,2023,https://data.census.gov
90053,Los Angeles,33.9527,-118.2702,61713.3,3.88,47.6,36.71,US Census ACS / BLS,2023,https://data.census.gov
90054,Los Angeles,34.0598,-118.2157,73407.0,3.31,37.1,33.47,US Census ACS / BLS,2023,https://data.census.gov
90055,Los Angeles,34.0001,-118.2148,81755.4,3.36,40.4,37.35,US Census ACS / BLS,2023,https://data.census.gov
90056,Los Angeles,34.0884,-118.3838,68590.2,3.75,33.9,45.14,US Census ACS / BLS,2023,https://data.census.gov
90057,Los Angeles,34.1417,-118.4208,61786.2,4.3,58.7,39.24,US Census ACS / BLS,2023,https://data.census.gov
90058,Los Angeles,33.9248,-118.1827,71719.5,4.26,57.4,31.93,US Census ACS / BLS,2023,https://data.census.gov
90059,Los Angeles,34.0479,-118.173,70817.7,3.92,55.0,31.94,US Census ACS / BLS,2023,https://data.census.gov
90060,Los Angeles,34.1424,-118.228,86510.1,3.42,50.0,38.84,US Census ACS / BLS,2023,https://data.census.gov
90061,Los Angeles,34.0107,-118.2141,71355.0,4.07,40.8,42.74,US Census ACS / BLS,2023,https://data.census.gov
90062,Los Angeles,33.9245,-118.0951,68109.6,3.67,52.0,44.81,US Census ACS / BLS,2023,https://data.census.gov
90063,Los Angeles,33.9377,-118.2025,69381.3,3.42,37.0,32.34,US Census ACS / BLS,2023,https://data.census.gov
90064,Los Angeles,34.0515,-118.3478,73145.1,4.36,56.0,32.69,US Census ACS / BLS,2023,https://data.census.gov
90065,Los Angeles,34.0036,-118.3985,66878.4,4.15,50.8,41.91,US Census ACS / BLS,2023,https://data.census.gov
90066,Los Angeles,33.9078,-118.0645,84247.5,3.19,48.9,36.12,US Census ACS / BLS,2023,https://data.census.gov
90067,Los Angeles,34.0193,-118.2298,65212.5,3.68,39.1,38.66,US Census ACS / BLS,2023,https://data.census.gov
90068,Los Angeles,34.1604,-118.0666,62469.3,4.03,30.9,31.76,US Census ACS / BLS,2023,https://data.census.gov
90069,Los Angeles,34.1507,-118.2329,72040.8,3.68,37.2,44.38,US Census ACS / BLS,2023,https://data.census.gov
90070,Los Angeles,34.1998,-118.1668,68082.6,4.27,36.1,38.03,US Census ACS / BLS,2023,https://data.census.gov
90071,Los Angeles,33.9779,-118.1879,77443.5,4.27,33.6,32.91,US Census ACS / BLS,2023,https://data.census.gov
90072,Los Angeles,33.9839,-118.106,65963.1,3.36,36.7,33.81,US Census ACS / BLS,2023,https://data.census.gov
90073,Los Angeles,33.9542,-118.391,63732.9,3.54,43.9,35.91,US Census ACS / BLS,2023,https://data.census.gov
90074,Los Angeles,34.0595,-118.3353,71684.4,3.88,54.3,40.67,US Census ACS / BLS,2023,https://data.census.gov
90075,Los Angeles,34.0552,-118.1555,76301.4,3.65,38.5,40.08,US Census ACS / BLS,2023,https://data.census.gov
90076,Los Angeles,34.1445,-118.2757,62226.3,4.01,37.6,36.26,US Census ACS / BLS,2023,https://data.census.gov
90077,Los Angeles,34.1051,-118.3696,63387.3,4.28,50.2,39.32,US Census ACS / BLS,2023,https://data.census.gov
90078,Los Angeles,34.1916,-118.2034,64837.2,3.31,52.5,42.7,US Census ACS / BLS,2023,https://data.census.gov
90079,Los Angeles,33.9753,-118.3549,79233.6,4.4,36.7,41.19,US Census ACS / BLS,2023,https://data.census.gov
90080,Los Angeles,33.9908,-118.0727,83240.4,3.54,31.7,39.38,US Census ACS / BLS,2023,https://data.census.gov
60601,Chicago,41.8072,-87.7025,56922.8,3.78,29.7,45.0,US Census ACS / BLS,2023,https://data.census.gov
60602,Chicago,41.7627,-87.717,56969.31,4.19,25.5,37.56,US Census ACS / BLS,2023,https://data.census.gov
60603,Chicago,41.8959,-87.4839,78217.95,3.94,39.8,34.98,US Census ACS / BLS,2023,https://data.census.gov
60604,Chicago,41.9676,-87.6706,72636.51,3.84,30.3,36.63,US Census ACS / BLS,2023,https://data.census.gov
60605,Chicago,41.8354,-87.5089,69468.8,4.26,29.1,36.19,US Census ACS / BLS,2023,https://data.census.gov
60606,Chicago,41.9104,-87.512,59172.51,4.15,30.6,43.93,US Census ACS / BLS,2023,https://data.census.gov
60607,Chicago,41.7836,-87.7617,67206.85,3.72,33.5,33.77,US Census ACS / BLS,2023,https://data.census.gov
60608,Chicago,41.9675,-87.5971,75211.81,3.86,35.1,43.97,US Census ACS / BLS,2023,https://data.census.gov
60609,Chicago,41.9584,-87.4849,58234.93,3.57,39.0,38.54,US Census ACS / BLS,2023,https://data.census.gov
60610,Chicago,41.9527,-87.7464,64232.53,3.64,28.2,38.52,US Census ACS / BLS,2023,https://data.census.gov
60611,Chicago,41.9986,-87.533,57725.74,4.42,29.0,34.93,US Census ACS / BLS,2023,https://data.census.gov
60612,Chicago,41.8096,-87.6634,68577.73,3.62,35.3,39.1,US Census ACS / BLS,2023,https://data.census.gov
60613,Chicago,42.0224,-87.483,69290.1,4.28,37.9,40.66,US Census ACS / BLS,2023,https://data.census.gov
60614,Chicago,41.8415,-87.5368,65280.27,4.23,36.8,33.93,US Census ACS / BLS,2023,https://data.census.gov
60615,Chicago,41.8751,-87.7045,64234.98,3.61,33.7,36.09,US Census ACS / BLS,2023,https://data.census.gov
60616,Chicago,41.8192,-87.6943,74761.38,3.32,28.6,39.37,US Census ACS / BLS,2023,https://data.census.gov
60617,Chicago,41.7678,-87.4937,57157.81,3.24,36.6,38.45,US Census ACS / BLS,2023,https://data.census.gov
60618,Chicago,41.823,-87.5055,67424.72,3.69,25.0,40.85,US Census ACS / BLS,2023,https://data.census.gov
60619,Chicago,41.9999,-87.8035,55916.67,4.46,31.0,36.08,US Census ACS / BLS,2023,https://data.census.gov
60620,Chicago,41.7287,-87.5826,61113.78,3.65,32.4,37.11,US Census ACS / BLS,2023,https://data.census.gov
60621,Chicago,41.8316,-87.6411,72727.09,4.4,38.7,40.58,US Census ACS / BLS,2023,https://data.census.gov
60622,Chicago,41.8746,-87.6585,58753.9,4.17,24.9,41.94,US Census ACS / BLS,2023,https://data.census.gov
60623,Chicago,41.7497,-87.4588,71951.07,3.54,42.3,41.09,US Census ACS / BLS,2023,https://data.census.gov
60624,Chicago,41.8158,-87.6753,76306.06,3.96,30.4,45.34,US Census ACS / BLS,2023,https://data.census.gov
60625,Chicago,41.7448,-87.6703,64487.12,3.76,33.3,33.35,US Census ACS / BLS,2023,https://data.census.gov
60626,Chicago,41.893,-87.7586,58915.47,4.34,43.7,39.25,US Census ACS / BLS,2023,https://data.census.gov
60627,Chicago,41.994,-87.7613,60643.76,4.24,41.0,40.45,US Census ACS / BLS,2023,https://data.census.gov
60628,Chicago,41.9111,-87.4579,78878.91,3.35,34.4,40.74,US Census ACS / BLS,2023,https://data.census.gov
60629,Chicago,41.7587,-87.7174,68178.7,4.37,33.8,38.27,US Census ACS / BLS,2023,https://data.census.gov
60630,Chicago,41.9099,-87.7597,77082.08,3.5,38.3,40.17,US Census ACS / BLS,2023,https://data.census.gov
60631,Chicago,41.7453,-87.7891,62181.1,3.25,30.3,35.18,US Census ACS / BLS,2023,https://data.census.gov
60632,Chicago,41.7612,-87.4761,57725.74,3.31,35.0,36.11,US Census ACS / BLS,2023,https://data.census.gov
60633,Chicago,41.7567,-87.7062,63454.06,3.6,29.5,38.94,US Census ACS / BLS,2023,https://data.census.gov
60634,Chicago,41.7451,-87.692,56256.94,3.35,41.3,43.63,US Census ACS / BLS,2023,https://data.census.gov
60635,Chicago,41.7298,-87.641,77329.33,3.58,30.9,36.25,US Census ACS / BLS,2023,https://data.census.gov
60636,Chicago,41.8036,-87.5102,63713.55,4.36,35.2,43.26,US Census ACS / BLS,2023,https://data.census.gov
60637,Chicago,41.8807,-87.4958,75419.89,3.25,30.6,45.33,US Census ACS / BLS,2023,https://data.census.gov
60638,Chicago,41.9056,-87.6452,67265.6,3.34,33.7,36.93,US Census ACS / BLS,2023,https://data.census.gov
60639,Chicago,42.0167,-87.7278,65275.38,3.27,28.1,41.03,US Census ACS / BLS,2023,https://data.census.gov
60640,Chicago,41.7747,-87.5077,62873.89,3.14,34.7,40.73,US Census ACS / BLS,2023,https://data.census.gov
60641,Chicago,41.8668,-87.4603,67392.9,3.81,33.9,32.11,US Census ACS / BLS,2023,https://data.census.gov
60642,Chicago,41.8879,-87.7336,67277.84,4.24,31.9,41.14,US Census ACS / BLS,2023,https://data.census.gov
60643,Chicago,41.8464,-87.6119,63906.94,3.86,28.4,32.2,US Census ACS / BLS,2023,https://data.census.gov
60644,Chicago,42.0268,-87.5098,78673.28,3.17,33.3,44.94,US Census ACS / BLS,2023,https://data.census.gov
60645,Chicago,41.9197,-87.5425,72031.86,3.7,34.7,40.55,US Census ACS / BLS,2023,https://data.census.gov
60646,Chicago,41.8791,-87.4616,64198.26,3.39,44.3,43.04,US Census ACS / BLS,2023,https://data.census.gov
60647,Chicago,41.8829,-87.7851,59091.73,4.16,35.2,41.23,US Census ACS / BLS,2023,https://data.census.gov
60648,Chicago,41.9674,-87.5685,59955.87,4.08,32.6,36.03,US Census ACS / BLS,2023,https://data.census.gov
60649,Chicago,42.02,-87.6902,57400.16,3.94,34.9,44.47,US Census ACS / BLS,2023,https://data.census.gov
60650,Chicago,41.8255,-87.751,64773.54,3.57,25.6,33.9,US Census ACS / BLS,2023,https://data.census.gov
60651,Chicago,41.969,-87.4976,56736.75,3.93,29.6,36.25,US Census ACS / BLS,2023,https://data.census.gov
60652,Chicago,41.9804,-87.6468,79527.63,4.2,28.5,44.85,US Census ACS / BLS,2023,https://data.census.gov
60653,Chicago,41.7616,-87.5119,67738.06,4.11,30.2,43.11,US Census ACS / BLS,2023,https://data.census.gov
60654,Chicago,41.9076,-87.7347,58210.45,3.63,35.4,40.99,US Census ACS / BLS,2023,https://data.census.gov
60655,Chicago,41.9484,-87.7766,80085.78,4.36,39.9,39.17,US Census ACS / BLS,2023,https://data.census.gov
60656,Chicago,41.991,-87.714,68198.29,4.28,35.0,41.83,US Census ACS / BLS,2023,https://data.census.gov
60657,Chicago,41.868,-87.6822,66927.78,3.52,39.8,43.09,US Census ACS / BLS,2023,https://data.census.gov
60658,Chicago,41.9236,-87.6054,77334.22,3.37,28.5,41.56,US Census ACS / BLS,2023,https://data.census.gov
60659,Chicago,41.9055,-87.4745,64036.69,4.29,29.8,35.3,US Census ACS / BLS,2023,https://data.census.gov
60660,Chicago,41.8173,-87.7665,70484.72,4.04,30.0,32.95,US Census ACS / BLS,2023,https://data.census.gov
77001,Houston,29.6917,-95.326,60711.82,4.2,27.2,42.12,US Census ACS / BLS,2023,https://data.census.gov
77002,Houston,29.6157,-95.3071,54747.18,4.08,28.9,37.17,US Census ACS / BLS,2023,https://data.census.gov
77003,Houston,29.8466,-95.4814,54619.26,3.9,30.5,36.17,US Census ACS / BLS,2023,https://data.census.gov
77004,Houston,29.8623,-95.3853,73837.34,4.15,26.1,39.37,US Census ACS / BLS,2023,https://data.census.gov
77005,Houston,29.7669,-95.3295,76241.67,3.85,22.0,44.63,US Census ACS / BLS,2023,https://data.census.gov
77006,Houston,29.8467,-95.3418,76367.22,3.87,27.6,32.47,US Census ACS / BLS,2023,https://data.census.gov
77007,Houston,29.6131,-95.3485,77369.22,4.24,32.7,37.35,US Census ACS / BLS,2023,https://data.census.gov
77008,Houston,29.6244,-95.4477,54384.75,3.43,25.1,44.8,US Census ACS / BLS,2023,https://data.census.gov
77009,Houston,29.9088,-95.3015,72160.23,3.93,21.2,45.22,US Census ACS / BLS,2023,https://data.census.gov
77010,Houston,29.7477,-95.3275,55247.0,3.17,27.8,44.07,US Census ACS / BLS,2023,https://data.census.gov
77011,Houston,29.8815,-95.2784,74152.39,3.15,20.4,34.94,US Census ACS / BLS,2023,https://data.census.gov
77012,Houston,29.6888,-95.3084,65205.43,3.55,35.1,36.01,US Census ACS / BLS,2023,https://data.census.gov
77013,Houston,29.6306,-95.3437,70492.59,3.59,24.9,37.26,US Census ACS / BLS,2023,https://data.census.gov
77014,Houston,29.8647,-95.4386,69637.46,3.62,33.1,42.62,US Census ACS / BLS,2023,https://data.census.gov
77015,Houston,29.7156,-95.5347,65593.91,4.29,33.0,41.15,US Census ACS / BLS,2023,https://data.census.gov
